RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 1.66058996E-07   3.48908202E-06   5.70369707E-07   6.74312503E-07   6.10213135E-07   3.28206113E-07   1.84173550E-04   1.38063688E+01   -1.96193516E+00   -1.16911950E-02   1.05498075E-01   1.38040705E+01   -1.95018804E+00   -4.98241140E-03   1.05526462E-01   1.67836750E+00   2.29757550E+06   1.36298742E+01   1.67836547E+00   2.29757800E+06   1.36305971E+01 
0 10 9.33022690E-08   2.38893108E-06   5.85957764E-07   5.57203180E-07   3.24572568E-07   3.34412653E-09   1.97568352E-06   1.35550470E+01   -1.98891544E+00   -1.03670783E-01   1.07481875E-01   1.36000862E+01   -1.98191428E+00   -7.52200335E-02   1.07095487E-01   1.67821991E+00   2.29640400E+06   1.32851925E+01   1.67822671E+00   2.29641025E+06   1.32870579E+01 
0 20 4.66481964E-08   1.59386457E-06   4.58860910E-07   3.97319582E-07   1.75117876E-07   2.84052537E-09   1.71340378E-06   1.36810369E+01   -2.06348538E+00   -1.82902679E-01   1.06639743E-01   1.36755800E+01   -1.98736691E+00   -1.39167249E-01   1.06707595E-01   1.67808974E+00   2.29629100E+06   1.32519560E+01   1.67810094E+00   2.29630000E+06   1.32546339E+01 
0 30 3.45911708E-08   1.20849643E-06   3.50249451E-07   3.09440111E-07   1.19397768E-07   2.48222287E-09   1.56867031E-06   1.35737791E+01   -2.04813242E+00   -2.17148960E-01   1.07666619E-01   1.35563068E+01   -2.00067067E+00   -1.81526080E-01   1.07787870E-01   1.67724514E+00   2.29577975E+06   1.31015348E+01   1.67728662E+00   2.29580000E+06   1.31075029E+01 
0 40 2.58199915E-08   1.00546504E-06   3.02335508E-07   2.82685733E-07   8.78535147E-08   2.21233676E-09   1.38048131E-06   1.35017900E+01   -2.00193787E+00   -2.40010798E-01   1.08454406E-01   1.34975328E+01   -1.97359729E+00   -1.68568879E-01   1.08437747E-01   1.67650592E+00   2.29546050E+06   1.30076265E+01   1.67657614E+00   2.29548800E+06   1.30157347E+01 
0 50 1.73277339E-08   8.65670927E-07   2.51990855E-07   2.39848504E-07   6.06494339E-08   1.99636108E-09   1.20561015E-06   1.34858522E+01   -1.97393155E+00   -2.94480592E-01   1.08800389E-01   1.34742508E+01   -1.95456994E+00   -1.93157226E-01   1.08823694E-01   1.67590928E+00   2.29524325E+06   1.29436808E+01   1.67603135E+00   2.29528550E+06   1.29561338E+01 
0 60 1.51178980E-08   7.23584662E-07   2.11447315E-07   1.97033330E-07   4.93324670E-08   1.81362392E-09   1.07116136E-06   1.34380436E+01   -1.94939280E+00   -3.28477770E-01   1.09366179E-01   1.34285822E+01   -1.94123554E+00   -2.10712716E-01   1.09343804E-01   1.67566442E+00   2.29494450E+06   1.28909779E+01   1.67553866E+00   2.29512050E+06   1.29075441E+01 
0 70 1.15675620E-08   6.19207242E-07   1.78932950E-07   1.64731162E-07   3.86049628E-08   1.65449709E-09   9.63783123E-07   1.34038916E+01   -1.93134940E+00   -3.43094885E-01   1.09804064E-01   1.33951302E+01   -1.93536508E+00   -2.08955422E-01   1.09728269E-01   1.67606747E+00   2.29452675E+06   1.28579931E+01   1.67584336E+00   2.29476200E+06   1.28765774E+01 
0 80 8.93024854E-09   5.53687073E-07   1.54216778E-07   1.42616230E-07   2.93531581E-08   1.51402457E-09   8.71960594E-07   1.33952255E+01   -1.93203056E+00   -3.44268441E-01   1.09997511E-01   1.33799353E+01   -1.93983650E+00   -2.04033300E-01   1.09928973E-01   1.67622232E+00   2.29435950E+06   1.28447704E+01   1.67601430E+00   2.29458350E+06   1.28624668E+01 
0 90 7.32056638E-09   5.03139290E-07   1.36187310E-07   1.20984595E-07   2.31625865E-08   1.39378487E-09   7.94145080E-07   1.33809624E+01   -1.92984569E+00   -3.39915901E-01   1.10208310E-01   1.33661098E+01   -1.94201005E+00   -2.01446101E-01   1.10096447E-01   1.67635953E+00   2.29420750E+06   1.28327694E+01   1.67615926E+00   2.29442825E+06   1.28502026E+01 
0 100 6.32051655E-09   4.60957693E-07   1.15468929E-07   1.00448709E-07   2.04902033E-08   1.28671584E-09   7.28288683E-07   1.33651848E+01   -1.92552364E+00   -3.38333756E-01   1.10408865E-01   1.33525095E+01   -1.94172883E+00   -2.02973455E-01   1.10251121E-01   1.67653453E+00   2.29400825E+06   1.28170290E+01   1.67632806E+00   2.29424250E+06   1.28355446E+01 
0 110 5.70457503E-09   4.25485496E-07   9.62269908E-08   8.21656769E-08   1.86153049E-08   1.19222132E-09   6.71726980E-07   1.33544292E+01   -1.92436922E+00   -3.37940872E-01   1.10547751E-01   1.33421631E+01   -1.94126928E+00   -2.04876736E-01   1.10372663E-01   1.67669606E+00   2.29381850E+06   1.28020535E+01   1.67648351E+00   2.29406700E+06   1.28216743E+01 
0 120 5.34712674E-09   3.94590302E-07   8.33526030E-08   6.73194691E-08   1.68213781E-08   1.11175313E-09   6.22464427E-07   1.33471012E+01   -1.92298639E+00   -3.36773485E-01   1.10647187E-01   1.33358812E+01   -1.94109821E+00   -2.03951389E-01   1.10455424E-01   1.67682385E+00   2.29366425E+06   1.27898674E+01   1.67659521E+00   2.29393775E+06   1.28114576E+01 
0 130 5.28568123E-09   3.67251602E-07   7.41622799E-08   5.55674546E-08   1.61638773E-08   1.04341502E-09   5.78184256E-07   1.33415728E+01   -1.92285764E+00   -3.35289091E-01   1.10724412E-01   1.33323917E+01   -1.94175756E+00   -2.01019675E-01   1.10510603E-01   1.67693365E+00   2.29352825E+06   1.27791262E+01   1.67667270E+00   2.29384650E+06   1.28042526E+01 
0 140 5.25867883E-09   3.42757716E-07   6.72546605E-08   4.66982399E-08   1.59768323E-08   9.84601845E-10   5.37628750E-07   1.33364477E+01   -1.92467690E+00   -3.33264887E-01   1.10793635E-01   1.33297443E+01   -1.94240010E+00   -1.98182926E-01   1.10556386E-01   1.67703533E+00   2.29339975E+06   1.27689638E+01   1.67673731E+00   2.29376925E+06   1.27981501E+01 
0 150 4.94855446E-09   3.20428683E-07   6.15323401E-08   4.03668778E-08   1.48692303E-08   9.34138100E-10   5.00539159E-07   1.33316059E+01   -1.92669582E+00   -3.32508266E-01   1.10858187E-01   1.33270788E+01   -1.94281399E+00   -1.96298927E-01   1.10600360E-01   1.67712653E+00   2.29328175E+06   1.27596426E+01   1.67679799E+00   2.29369575E+06   1.27923603E+01 
0 160 4.19086987E-09   2.99937057E-07   5.64585214E-08   3.57351766E-08   1.22011157E-08   8.91371810E-10   4.66540143E-07   1.33271008E+01   -1.92801654E+00   -3.34206551E-01   1.10917792E-01   1.33245640E+01   -1.94344950E+00   -1.95405126E-01   1.10640317E-01   1.67720664E+00   2.29317575E+06   1.27512808E+01   1.67685258E+00   2.29362900E+06   1.27870770E+01 
0 170 3.45012352E-09   2.81043611E-07   5.21833954E-08   3.16384714E-08   9.84256054E-09   8.55378379E-10   4.35105306E-07   1.33222456E+01   -1.92928946E+00   -3.37698698E-01   1.10976711E-01   1.33226604E+01   -1.94434977E+00   -1.95608363E-01   1.10672027E-01   1.67728281E+00   2.29307325E+06   1.27431831E+01   1.67689705E+00   2.29357400E+06   1.27827387E+01 
