RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 7.03328169E-08   2.41054204E-06   3.88126892E-07   4.12057716E-07   2.54965784E-07   1.19658935E-07   9.39597012E-05   9.78141880E+00   -1.22808635E+00   -1.50930798E-02   1.06595397E-01   9.77417469E+00   -1.21309161E+00   -6.50123646E-03   1.06690519E-01   1.68635750E+00   2.14274325E+06   9.60255051E+00   1.68636179E+00   2.14294000E+06   9.60452461E+00 
0 10 8.76991137E-08   1.62363733E-06   6.75723300E-07   6.79571599E-07   2.89274396E-07   1.24448818E-09   1.02710362E-06   9.40805626E+00   -1.30223858E+00   -1.70665324E-01   1.10797398E-01   9.45404530E+00   -1.29276133E+00   -1.44505545E-01   1.10120609E-01   1.67642462E+00   2.06282462E+06   8.85348892E+00   1.67634654E+00   2.06356112E+06   8.85626984E+00 
0 20 4.82422706E-08   1.16734907E-06   5.37372102E-07   4.52290635E-07   1.81467072E-07   1.28252164E-09   1.07634139E-06   9.88049221E+00   -1.52463424E+00   -2.61000574E-01   1.05631009E-01   9.80611420E+00   -1.35488927E+00   -2.19724715E-01   1.06539145E-01   1.67884791E+00   2.03784525E+06   8.75916481E+00   1.67877817E+00   2.03863312E+06   8.76214027E+00 
0 30 4.05828473E-08   9.75314947E-07   4.19678116E-07   3.82616804E-07   1.27505629E-07   1.01359177E-09   9.79614811E-07   9.67346954E+00   -1.45578980E+00   -2.89330214E-01   1.08153902E-01   9.66735840E+00   -1.39731932E+00   -2.92662919E-01   1.08212642E-01   1.68423712E+00   1.93412125E+06   8.36749458E+00   1.68417549E+00   1.93776462E+06   8.38125229E+00 
0 40 2.68637717E-08   8.48061916E-07   3.80463689E-07   3.81972370E-07   8.67328822E-08   8.72565020E-10   8.33814283E-07   9.67437649E+00   -1.39654708E+00   -3.15387279E-01   1.08451203E-01   9.63923454E+00   -1.33756781E+00   -2.46098503E-01   1.08842649E-01   1.68404627E+00   1.87944862E+06   8.16104603E+00   1.68414128E+00   1.88396338E+06   8.17809391E+00 
0 50 1.90703098E-08   7.57148143E-07   3.24451719E-07   3.22914246E-07   5.91049165E-08   8.05449596E-10   7.04676495E-07   9.70277500E+00   -1.37993395E+00   -3.51697624E-01   1.08413279E-01   9.61207962E+00   -1.33015466E+00   -2.61883527E-01   1.09393403E-01   1.68259597E+00   1.83974525E+06   8.01112270E+00   1.68292284E+00   1.84654738E+06   8.03680801E+00 
0 60 1.65603158E-08   6.56718896E-07   2.78967406E-07   2.72886041E-07   4.78019508E-08   7.59953933E-10   6.15477632E-07   9.61929607E+00   -1.32855868E+00   -4.11238343E-01   1.09557666E-01   9.53460598E+00   -1.31036675E+00   -2.78033435E-01   1.10425815E-01   1.68050492E+00   1.80612500E+06   7.88417006E+00   1.68103945E+00   1.81361700E+06   7.91246033E+00 
0 70 1.20930821E-08   5.59038710E-07   2.49757790E-07   2.45387724E-07   3.51004132E-08   7.24884930E-10   5.39798521E-07   9.58922672E+00   -1.32779765E+00   -4.26736891E-01   1.10045016E-01   9.48231888E+00   -1.30468690E+00   -2.69035429E-01   1.11107394E-01   1.67907369E+00   1.78828175E+06   7.81679249E+00   1.67959833E+00   1.79450725E+06   7.84030008E+00 
0 80 9.25226296E-09   5.03818171E-07   2.24654997E-07   2.25086140E-07   2.64734830E-08   6.91158131E-10   4.73941611E-07   9.55375195E+00   -1.34125006E+00   -4.23018396E-01   1.10525668E-01   9.44593525E+00   -1.32207143E+00   -2.68838882E-01   1.11516751E-01   1.67808807E+00   1.77736400E+06   7.77556610E+00   1.67863727E+00   1.78333350E+06   7.79810715E+00 
0 90 7.89958321E-09   4.55998133E-07   2.02141749E-07   2.05066669E-07   2.18922871E-08   6.62829347E-10   4.19939624E-07   9.51318836E+00   -1.34348500E+00   -4.21352774E-01   1.11032367E-01   9.41950321E+00   -1.32906008E+00   -2.69491374E-01   1.11790016E-01   1.67702568E+00   1.76651325E+06   7.73459291E+00   1.67768633E+00   1.77316125E+06   7.75969648E+00 
0 100 6.79292222E-09   4.12005278E-07   1.71410377E-07   1.84617519E-07   1.90099083E-08   6.35107411E-10   3.76884884E-07   9.47496891E+00   -1.34775507E+00   -4.17628944E-01   1.11481965E-01   9.39050961E+00   -1.33101201E+00   -2.73245633E-01   1.12102680E-01   1.67581940E+00   1.75510000E+06   7.69149542E+00   1.67660725E+00   1.76245525E+06   7.71926975E+00 
