RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 130 1.40975698E-09   1.52711152E-07   2.09515196E-08   1.40067486E-08   5.22281862E-09   2.90988900E-10   2.08497653E-07   8.89231777E+00   -5.70615172E-01   -1.48532867E-01   1.19671792E-01   8.84211445E+00   -5.54432034E-01   -1.13602512E-01   1.20241001E-01   1.68025327E+00   1.66956425E+06   7.50004673E+00   1.68252337E+00   1.60354375E+06   7.35582209E+00 
0 140 1.24169985E-09   1.42640516E-07   1.87699101E-08   1.35114622E-08   4.55020821E-09   2.76541900E-10   1.92584238E-07   8.89702129E+00   -5.57680726E-01   -1.68827459E-01   1.19822338E-01   8.85085201E+00   -5.41831374E-01   -1.32319003E-01   1.20319672E-01   1.68081439E+00   1.65639538E+06   7.47127867E+00   1.68282914E+00   1.58960788E+06   7.32537889E+00 
0 150 1.14463694E-09   1.33331923E-07   1.74863306E-08   1.26478756E-08   3.90295440E-09   2.64882727E-10   1.77921095E-07   8.90550900E+00   -5.44496715E-01   -1.90051183E-01   1.19911522E-01   8.86103153E+00   -5.30338466E-01   -1.54442638E-01   1.20369598E-01   1.68122208E+00   1.64592275E+06   7.44840097E+00   1.68304467E+00   1.57757438E+06   7.29909086E+00 
0 160 1.16472187E-09   1.24631171E-07   1.68219110E-08   1.14338548E-08   3.67791109E-09   2.55298171E-10   1.64319161E-07   8.91785145E+00   -5.33001184E-01   -2.09598958E-01   1.19936198E-01   8.87532902E+00   -5.20260632E-01   -1.76033556E-01   1.20354287E-01   1.68153334E+00   1.63726325E+06   7.42948389E+00   1.68319142E+00   1.56742412E+06   7.27691746E+00 
0 170 1.16689769E-09   1.16525548E-07   1.64226517E-08   1.03030402E-08   3.52556406E-09   2.47371706E-10   1.51676858E-07   8.93341732E+00   -5.23601532E-01   -2.26398155E-01   1.19905308E-01   8.89532852E+00   -5.11425674E-01   -1.93571225E-01   1.20254956E-01   1.68178248E+00   1.62981575E+06   7.41321468E+00   1.68328547E+00   1.55932325E+06   7.25922108E+00 
0 180 1.10111120E-09   1.09002166E-07   1.59682614E-08   9.60003010E-09   3.21152616E-09   2.40761772E-10   1.39880726E-07   8.95127964E+00   -5.15642524E-01   -2.41750598E-01   1.19831145E-01   8.91984749E+00   -5.03508568E-01   -2.07472578E-01   1.20087594E-01   1.68197453E+00   1.62368462E+06   7.39982080E+00   1.68334150E+00   1.55339200E+06   7.24626398E+00 
0 190 1.02922382E-09   1.02000556E-07   1.52943223E-08   9.19745968E-09   2.93631008E-09   2.35205633E-10   1.28833520E-07   8.97020912E+00   -5.08422911E-01   -2.56805509E-01   1.19725853E-01   8.94608212E+00   -4.96176839E-01   -2.20208272E-01   1.19887501E-01   1.68210399E+00   1.61932862E+06   7.39030504E+00   1.68337107E+00   1.54965000E+06   7.23808908E+00 
0 200 9.84082815E-10   9.54715063E-08   1.45094896E-08   8.92744634E-09   2.77402812E-09   2.30502520E-10   1.18482319E-07   8.98917580E+00   -5.01892030E-01   -2.71546066E-01   1.19597450E-01   8.97165966E+00   -4.89585429E-01   -2.32889771E-01   1.19684048E-01   1.68217230E+00   1.61694388E+06   7.38509560E+00   1.68338442E+00   1.54776812E+06   7.23397827E+00 
0 210 9.45872047E-10   8.94046295E-08   1.38401353E-08   8.63966942E-09   2.61086130E-09   2.26523009E-10   1.08784569E-07   9.00724411E+00   -4.95962679E-01   -2.85578668E-01   1.19455993E-01   8.99479103E+00   -4.84432548E-01   -2.45137811E-01   1.19496845E-01   1.68219686E+00   1.61606875E+06   7.38318396E+00   1.68338907E+00   1.54707438E+06   7.23246241E+00 
0 220 9.07949049E-10   8.37832062E-08   1.33468063E-08   8.28010993E-09   2.40099340E-09   2.23074240E-10   9.96641205E-08   9.02360058E+00   -4.90465909E-01   -2.98117280E-01   1.19314007E-01   9.01443005E+00   -4.81039643E-01   -2.56318241E-01   1.19338527E-01   1.68220413E+00   1.61581150E+06   7.38262177E+00   1.68339062E+00   1.54683350E+06   7.23193645E+00 
