RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 4.18912833E-08   1.35096718E-06   1.69749882E-07   2.73378078E-07   1.51069159E-07   1.06615055E-07   8.34076563E-05   9.80965042E+00   -1.20958650E+00   -2.37093139E-02   1.06314026E-01   9.82442379E+00   -1.20874596E+00   -2.43290439E-02   1.06155850E-01   1.68640709E+00   2.14573175E+06   9.63255310E+00   1.68639731E+00   2.14495550E+06   9.62475872E+00 
0 10 2.13491038E-08   1.01571868E-06   1.49264139E-07   1.23202668E-07   7.88794452E-08   1.08567100E-09   6.05276171E-07   9.03540611E+00   -1.12734056E+00   -2.08361596E-01   1.15383103E-01   9.22734642E+00   -1.13467896E+00   -2.18816444E-01   1.12899229E-01   1.67797947E+00   2.04732788E+06   8.79497242E+00   1.67907679E+00   2.03522538E+06   8.74927235E+00 
0 20 1.17424284E-08   6.57820976E-07   1.47487995E-07   1.17898281E-07   4.08938661E-08   9.32180444E-10   5.63469314E-07   9.01783085E+00   -1.09299457E+00   -2.77349681E-01   1.15954898E-01   9.15855217E+00   -1.12703073E+00   -2.86166847E-01   1.13882117E-01   1.68270493E+00   1.98160338E+06   8.54679108E+00   1.68294537E+00   1.97650050E+06   8.52752209E+00 
0 30 8.79111539E-09   4.93859829E-07   1.25728405E-07   8.76381634E-08   3.28117125E-08   8.20438772E-10   5.11802682E-07   9.10534668E+00   -1.10705864E+00   -2.48814017E-01   1.15401872E-01   9.10937881E+00   -1.17457438E+00   -2.17312112E-01   1.14789896E-01   1.68393147E+00   1.94882425E+06   8.42301464E+00   1.68399763E+00   1.94617850E+06   8.41302395E+00 
0 40 7.88066501E-09   4.21842913E-07   9.22875500E-08   7.02133889E-08   2.94177553E-08   7.12372883E-10   4.56668033E-07   8.90463829E+00   -1.09986413E+00   -3.13031286E-01   1.18521772E-01   9.00823402E+00   -1.17077267E+00   -2.10152850E-01   1.16514690E-01   1.68408167E+00   1.88105138E+06   8.16709805E+00   1.68392396E+00   1.87443338E+06   8.14210796E+00 
0 50 5.70869441E-09   3.74114563E-07   7.72180115E-08   6.88498147E-08   2.01659223E-08   6.37578379E-10   4.19887641E-07   8.65306759E+00   -1.05116892E+00   -4.02842075E-01   1.22493163E-01   8.90151596E+00   -1.12816942E+00   -2.92573124E-01   1.18251584E-01   1.68063116E+00   1.80784638E+06   7.89066982E+00   1.67987645E+00   1.79794425E+06   7.85327911E+00 
0 60 5.84048410E-09   3.15695075E-07   7.33303267E-08   5.42781784E-08   1.92208383E-08   5.78965320E-10   3.90637638E-07   8.59132767E+00   -1.00783217E+00   -4.68101591E-01   1.23940304E-01   8.82870197E+00   -1.10302687E+00   -3.39492559E-01   1.19420730E-01   1.67623675E+00   1.75895175E+06   7.70603991E+00   1.67607248E+00   1.74392638E+06   7.66249418E+00 
0 70 4.58742200E-09   2.76834953E-07   7.08839778E-08   4.53170941E-08   1.49657815E-08   5.30602784E-10   3.65134866E-07   8.63405323E+00   -9.87975895E-01   -5.16119242E-01   1.23866305E-01   8.81210995E+00   -1.09382617E+00   -3.06448132E-01   1.19768865E-01   1.67755806E+00   1.72078312E+06   7.61193657E+00   1.67881072E+00   1.69887662E+06   7.56408119E+00 
0 80 3.59686747E-09   2.54313420E-07   6.40392628E-08   4.35659153E-08   1.23608057E-08   4.80715412E-10   3.37246831E-07   8.67952919E+00   -9.85865176E-01   -5.49852014E-01   1.23675868E-01   8.83710098E+00   -1.08038509E+00   -2.74541706E-01   1.19500987E-01   1.67880476E+00   1.69898838E+06   7.56432533E+00   1.67996716E+00   1.67583512E+06   7.51374578E+00 
0 90 3.05053582E-09   2.37420807E-07   5.64234597E-08   4.22065973E-08   1.05023688E-08   4.39189629E-10   3.12471741E-07   8.72435951E+00   -9.81032073E-01   -5.96463978E-01   1.23395331E-01   8.87430096E+00   -1.06775224E+00   -2.68242687E-01   1.19026512E-01   1.67952049E+00   1.68512988E+06   7.53405046E+00   1.68056536E+00   1.66239662E+06   7.48438883E+00 
0 100 2.74157785E-09   2.23256791E-07   5.26606954E-08   3.89482544E-08   8.93011354E-09   4.07029854E-10   2.91455166E-07   8.77055359E+00   -9.77898479E-01   -6.42127156E-01   1.22975633E-01   8.89148617E+00   -1.05722225E+00   -2.69237906E-01   1.18792996E-01   1.67998576E+00   1.67543600E+06   7.51287413E+00   1.68095732E+00   1.65282000E+06   7.46346855E+00 
0 110 2.62681121E-09   2.10413063E-07   5.04848856E-08   3.44087887E-08   8.46562642E-09   3.81158133E-10   2.72701385E-07   8.81531429E+00   -9.75744843E-01   -6.64386690E-01   1.22486293E-01   8.88854504E+00   -1.05153930E+00   -2.57860035E-01   1.18806101E-01   1.68028975E+00   1.66874512E+06   7.49825764E+00   1.68126333E+00   1.64481038E+06   7.44597101E+00 
0 120 2.25721575E-09   1.98776206E-07   4.76055959E-08   3.22526255E-08   7.46279927E-09   3.58631735E-10   2.54589708E-07   8.85055161E+00   -9.71577942E-01   -6.59481287E-01   1.22066148E-01   8.88818932E+00   -1.05369556E+00   -2.32740283E-01   1.18777007E-01   1.68047655E+00   1.66447538E+06   7.48893023E+00   1.68142617E+00   1.64031762E+06   7.43615627E+00 
0 130 1.93823335E-09   1.87845444E-07   4.45289956E-08   3.13104138E-08   6.52389387E-09   3.39110406E-10   2.37241636E-07   8.87391090E+00   -9.70273674E-01   -6.40825868E-01   1.21745266E-01   8.89713764E+00   -1.06340063E+00   -2.04264715E-01   1.18627548E-01   1.68055105E+00   1.66273238E+06   7.48512220E+00   1.68142021E+00   1.64048550E+06   7.43652344E+00 
0 140 1.76410964E-09   1.77760583E-07   4.21595381E-08   2.95496552E-08   5.60266500E-09   3.23473553E-10   2.21439123E-07   8.89060688E+00   -9.74117577E-01   -6.16761148E-01   1.21462442E-01   8.90408039E+00   -1.07738912E+00   -1.82031184E-01   1.18507527E-01   1.68053329E+00   1.66315062E+06   7.48603630E+00   1.68135595E+00   1.64227550E+06   7.44043350E+00 
