RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 1 1.69607205E-07   4.22035191E-06   6.93623292E-07   8.18317119E-07   6.29252213E-07   3.43644047E-07   1.92165171E-04   1.39875345E+01   -2.03306470E-02   -3.66536668E-03   1.05179504E-01   1.39850368E+01   -1.78631786E-02   8.67834408E-03   1.05198249E-01   1.39847698E+01   -1.92234088E-02   8.24144052E-04   1.05200000E-01   1.67822456E+00   2.29772875E+06   1.36749306E+01   1.67821741E+00   2.29773550E+06   1.36769285E+01   1.67821479E+00   2.29773800E+06   1.36776390E+01 
0 10 2.29471780E-07   3.69713280E-06   1.36683241E-06   1.18837181E-06   7.96709401E-07   2.58421773E-09   1.79959432E-06   1.37800512E+01   -9.90921855E-02   -2.68488452E-02   1.06782407E-01   1.37787371E+01   -7.49411881E-02   2.78992206E-02   1.06780939E-01   1.37635107E+01   -7.14698583E-02   1.58603769E-02   1.06895007E-01   1.67848277E+00   2.29673250E+06   1.33818817E+01   1.67849612E+00   2.29675850E+06   1.33894606E+01   1.67850065E+00   2.29676750E+06   1.33921547E+01 
0 20 2.22285266E-07   3.11671033E-06   1.60446143E-06   1.45509637E-06   7.51618359E-07   2.31202057E-09   1.57252578E-06   1.37811327E+01   -1.36762783E-01   -4.71438803E-02   1.06792256E-01   1.37704391E+01   -9.55556855E-02   3.76504809E-02   1.06843479E-01   1.37556038E+01   -8.21599141E-02   3.80684920E-02   1.06947787E-01   1.67829335E+00   2.29647700E+06   1.33066778E+01   1.67830312E+00   2.29648750E+06   1.33097410E+01   1.67833257E+00   2.29652000E+06   1.33193369E+01 
0 30 1.84009664E-07   2.82525116E-06   1.61357798E-06   1.48948436E-06   5.79919515E-07   2.24574181E-09   1.47062678E-06   1.38584290E+01   -1.72026426E-01   -7.12480173E-02   1.06227249E-01   1.38301048E+01   -1.12826183E-01   3.48425880E-02   1.06394060E-01   1.38348055E+01   -9.81276780E-02   5.96662425E-02   1.06352873E-01   1.67821205E+00   2.29639650E+06   1.32830229E+01   1.67822838E+00   2.29641200E+06   1.32875338E+01   1.67827308E+00   2.29645600E+06   1.33004799E+01 
0 40 1.53867646E-07   2.53541589E-06   1.49649054E-06   1.42675799E-06   4.56496537E-07   1.97342231E-09   1.30182218E-06   1.38868427E+01   -1.92292497E-01   -1.00738518E-01   1.06049672E-01   1.38455458E+01   -1.17229417E-01   1.91876236E-02   1.06312238E-01   1.38691063E+01   -1.23735905E-01   5.40962927E-02   1.06141508E-01   1.67800343E+00   2.29622450E+06   1.32323751E+01   1.67804694E+00   2.29625725E+06   1.32420540E+01   1.67810225E+00   2.29630125E+06   1.32549334E+01 
0 50 1.32285763E-07   2.39101428E-06   1.32909008E-06   1.29279135E-06   3.84491386E-07   1.82654203E-09   1.16193780E-06   1.38640270E+01   -2.06780016E-01   -1.19199857E-01   1.06249325E-01   1.38164330E+01   -1.24139324E-01   5.62052522E-03   1.06576525E-01   1.38506393E+01   -1.39975354E-01   4.79543842E-02   1.06327929E-01   1.67767739E+00   2.29601025E+06   1.31693192E+01   1.67773736E+00   2.29604600E+06   1.31799049E+01   1.67779624E+00   2.29608275E+06   1.31907063E+01 
0 60 1.15216686E-07   2.33879791E-06   1.19164395E-06   1.12925341E-06   3.35986954E-07   1.75069037E-09   1.06638856E-06   1.38296356E+01   -2.15866640E-01   -1.22891404E-01   1.06528297E-01   1.37709961E+01   -1.29837394E-01   -2.24282476E-03   1.06957205E-01   1.38119459E+01   -1.50568515E-01   5.21493293E-02   1.06649764E-01   1.67727375E+00   2.29579375E+06   1.31056490E+01   1.67732787E+00   2.29582050E+06   1.31135378E+01   1.67738903E+00   2.29585150E+06   1.31226692E+01 
0 70 9.93825111E-08   2.27400210E-06   1.08580434E-06   9.94021889E-07   2.91010537E-07   1.70406966E-09   1.00015563E-06   1.37917700E+01   -2.18133703E-01   -1.29031971E-01   1.06842838E-01   1.37242632E+01   -1.31115094E-01   -1.17278891E-02   1.07344270E-01   1.37705431E+01   -1.61900714E-01   5.48732057E-02   1.06992088E-01   1.67678785E+00   2.29557425E+06   1.30410709E+01   1.67684567E+00   2.29559850E+06   1.30482454E+01   1.67691863E+00   2.29563000E+06   1.30574827E+01 
0 80 8.63400658E-08   2.16682156E-06   9.95023470E-07   9.06951811E-07   2.52663142E-07   1.66434955E-09   9.47527553E-07   1.37477484E+01   -2.13917062E-01   -1.38183117E-01   1.07215211E-01   1.36807652E+01   -1.26257181E-01   -1.98738165E-02   1.07711874E-01   1.37315292E+01   -1.68005571E-01   5.43957241E-02   1.07326701E-01   1.67622721E+00   2.29535550E+06   1.29767532E+01   1.67632377E+00   2.29539125E+06   1.29872341E+01   1.67642808E+00   2.29543050E+06   1.29988136E+01 
0 90 7.75732474E-08   2.02594629E-06   9.13718168E-07   8.46229341E-07   2.27151972E-07   1.61881986E-09   8.94495656E-07   1.37050819E+01   -2.02414230E-01   -1.41047522E-01   1.07581593E-01   1.36450157E+01   -1.17974810E-01   -2.29000114E-02   1.08022429E-01   1.36975584E+01   -1.67291895E-01   5.44541366E-02   1.07626043E-01   1.67567623E+00   2.29516500E+06   1.29206858E+01   1.67582119E+00   2.29521325E+06   1.29348745E+01   1.67598307E+00   2.29526875E+06   1.29511766E+01 
