RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 1 8.50137738E-08   4.34254025E-06   5.88662033E-07   6.17758872E-07   3.09594668E-07   1.25124615E-07   9.78705284E-05   9.94425297E+00   1.39198266E-02   3.19116120E-03   1.05675764E-01   9.95665073E+00   -7.29376916E-03   5.28186513E-03   1.05542608E-01   9.94917011E+00   -9.83934570E-03   -6.95361104E-03   1.05622634E-01   1.68640172E+00   2.15231550E+06   9.69864750E+00   1.68639958E+00   2.15248225E+06   9.70032120E+00   1.68640208E+00   2.15228500E+06   9.69834232E+00 
0 10 2.49530871E-07   3.60755075E-06   1.72645900E-06   1.21425796E-06   8.60327816E-07   9.96765781E-10   1.75860384E-06   9.52420139E+00   1.96547322E-02   -2.02183500E-02   1.10370234E-01   9.60106468E+00   -1.12363786E-01   3.94903459E-02   1.09424338E-01   9.54365158E+00   -5.73252477E-02   -1.80987064E-02   1.10103160E-01   1.67938054E+00   2.08659162E+06   9.03883076E+00   1.67966557E+00   2.08786362E+06   9.05160046E+00   1.67929184E+00   2.08620138E+06   9.03491306E+00 
0 20 2.39324152E-07   3.30843750E-06   2.07227731E-06   1.71120428E-06   8.03101273E-07   1.31723910E-09   1.60180571E-06   9.76091480E+00   -5.07187471E-02   -5.64872101E-02   1.07718572E-01   9.75183773E+00   -2.18936235E-01   5.35495132E-02   1.07765339E-01   9.70582962E+00   -8.81186873E-02   -2.80513056E-02   1.08300157E-01   1.67572904E+00   2.07214475E+06   8.89379501E+00   1.67637992E+00   2.07451388E+06   8.91758060E+00   1.67604518E+00   2.07328612E+06   8.90525436E+00 
0 30 1.81393148E-07   2.89297896E-06   2.07550966E-06   1.66725772E-06   5.83738711E-07   1.60378910E-09   1.54833072E-06   1.01419392E+01   -1.24762870E-01   -7.63606653E-02   1.03768095E-01   1.00157967E+01   -2.54353374E-01   4.82218005E-02   1.05009682E-01   1.00090866E+01   -1.76880762E-01   -5.61051443E-02   1.05104737E-01   1.67695343E+00   2.05773900E+06   8.83428478E+00   1.67647851E+00   2.06231475E+06   8.85156345E+00   1.67659795E+00   2.06117675E+06   8.84726620E+00 
0 40 1.34725738E-07   2.50755534E-06   1.78178459E-06   1.47625587E-06   4.33980404E-07   1.22037136E-09   1.25313420E-06   1.02934685E+01   -1.36878937E-01   -1.14353962E-01   1.02325447E-01   1.00998430E+01   -2.61432558E-01   3.48243602E-02   1.04217477E-01   1.00780888E+01   -2.00926423E-01   -6.79012313E-02   1.04457870E-01   1.68063402E+00   2.01565788E+06   8.67538357E+00   1.68053699E+00   2.01698338E+06   8.68038845E+00   1.68068838E+00   2.01490850E+06   8.67255402E+00 
0 50 1.09747674E-07   2.36123128E-06   1.50346682E-06   1.31775937E-06   3.52206399E-07   9.60572399E-10   1.02720981E-06   1.02929535E+01   -1.36864871E-01   -1.22688614E-01   1.02385208E-01   1.00728207E+01   -2.41485626E-01   3.52400690E-02   1.04547471E-01   1.00558043E+01   -1.85256347E-01   -5.96540459E-02   1.04736179E-01   1.68324625E+00   1.96948038E+06   8.50101376E+00   1.68327808E+00   1.96868550E+06   8.49801159E+00   1.68344998E+00   1.96419550E+06   8.48105717E+00 
0 60 9.25801729E-08   2.35589027E-06   1.30074977E-06   1.16118588E-06   2.94313764E-07   8.86665741E-10   8.85328916E-07   1.02880402E+01   -1.37064323E-01   -1.13851100E-01   1.02482103E-01   1.00372648E+01   -2.05213264E-01   4.95252348E-02   1.04984805E-01   1.00277872E+01   -1.55111074E-01   -3.80996652E-02   1.05082273E-01   1.68431854E+00   1.92811000E+06   8.34479523E+00   1.68434381E+00   1.92572588E+06   8.33579254E+00   1.68439078E+00   1.91957012E+06   8.31254864E+00 
0 70 7.89195980E-08   2.27537748E-06   1.15231160E-06   1.03516152E-06   2.48381610E-07   8.74024797E-10   7.80061328E-07   1.02885666E+01   -1.32578745E-01   -1.20094441E-01   1.02555133E-01   1.00072975E+01   -1.57449514E-01   4.15520370E-02   1.05403215E-01   9.99071884E+00   -1.23643160E-01   -2.90434435E-02   1.05556607E-01   1.68424368E+00   1.88984138E+06   8.20028973E+00   1.68418455E+00   1.88628288E+06   8.18685341E+00   1.68407035E+00   1.88053012E+06   8.16512966E+00 
0 80 6.76903085E-08   2.10646976E-06   1.03359446E-06   9.45266208E-07   2.05441594E-07   8.98124908E-10   7.03311684E-07   1.02666779E+01   -1.24728590E-01   -1.27545774E-01   1.02875501E-01   9.96455097E+00   -1.11347564E-01   3.50612663E-02   1.05961516E-01   9.93065357E+00   -9.46047306E-02   -2.49614641E-02   1.06288761E-01   1.68330169E+00   1.85545375E+06   8.07043934E+00   1.68314517E+00   1.85161475E+06   8.05594349E+00   1.68300354E+00   1.84834025E+06   8.04357815E+00 
0 90 6.05444868E-08   1.93015080E-06   9.38312951E-07   8.78215019E-07   1.77746344E-07   9.16087872E-10   6.40195651E-07   1.02204180E+01   -1.18781567E-01   -1.28508598E-01   1.03454046E-01   9.91528511E+00   -7.78753161E-02   4.39167917E-02   1.06593698E-01   9.86898327E+00   -7.21664354E-02   -2.17759479E-02   1.07048340E-01   1.68195307E+00   1.82796075E+06   7.96662378E+00   1.68175805E+00   1.82469912E+06   7.95430756E+00   1.68172646E+00   1.82418312E+06   7.95235920E+00 
