RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 1 8.90527971E-08   4.41366046E-06   6.01095735E-07   6.41678355E-07   3.23756552E-07   1.23852431E-07   9.68563836E-05   9.95574284E+00   -2.28328835E-02   -6.18080795E-03   1.05553009E-01   9.95497322E+00   -2.72298418E-02   2.21764320E-03   1.05560631E-01   9.95032215E+00   -1.02384035E-02   -4.31606639E-03   1.05609581E-01   1.68640637E+00   2.15193050E+06   9.69478321E+00   1.68640232E+00   2.15226625E+06   9.69815540E+00   1.68640363E+00   2.15216650E+06   9.69715309E+00 
0 10 2.56659888E-07   3.66255699E-06   1.75636058E-06   1.25293661E-06   8.84015947E-07   9.97015248E-10   1.80048221E-06   9.57720852E+00   -1.54960185E-01   -4.59460653E-02   1.09705418E-01   9.55626965E+00   -1.70617610E-01   2.03181207E-02   1.09949157E-01   9.52397728E+00   -9.55404639E-02   -1.27607537E-02   1.10303961E-01   1.67881501E+00   2.08414250E+06   9.01424313E+00   1.67918670E+00   2.08574188E+06   9.03030014E+00   1.67924607E+00   2.08600062E+06   9.03289700E+00 
0 20 2.44051250E-07   3.36218068E-06   2.10607254E-06   1.75486230E-06   8.17601347E-07   1.32239708E-09   1.63350637E-06   9.82105350E+00   -2.60613352E-01   -7.09056631E-02   1.06970340E-01   9.74363708E+00   -2.71227092E-01   4.60083373E-02   1.07778467E-01   9.66884518E+00   -1.48567751E-01   -2.77399011E-02   1.08678326E-01   1.67564619E+00   2.07001425E+06   8.88063717E+00   1.67574620E+00   2.07220650E+06   8.89441586E+00   1.67566299E+00   2.07190850E+06   8.89142323E+00 
0 30 1.83830366E-07   2.93423818E-06   2.11551969E-06   1.71656779E-06   5.91053606E-07   1.58692026E-09   1.55999373E-06   1.01064987E+01   -3.12466651E-01   -1.05463035E-01   1.04050115E-01   1.00875196E+01   -3.33359867E-01   6.36798963E-02   1.04175605E-01   9.98081589E+00   -2.00322017E-01   -4.82312627E-02   1.05390608E-01   1.67720199E+00   2.05528625E+06   8.82502365E+00   1.67667127E+00   2.06047388E+06   8.84461212E+00   1.67692888E+00   2.05797900E+06   8.83519173E+00 
0 40 1.36428483E-07   2.54522320E-06   1.79670042E-06   1.51357176E-06   4.40453988E-07   1.21807031E-09   1.26938437E-06   1.02225533E+01   -3.16978812E-01   -1.45105302E-01   1.02983229E-01   1.02008505E+01   -3.62584561E-01   6.09941073E-02   1.03096038E-01   1.00871058E+01   -2.27128536E-01   -4.85628657E-02   1.04349300E-01   1.68093050E+00   2.01149812E+06   8.65967560E+00   1.68038154E+00   2.01907288E+06   8.68827915E+00   1.68054867E+00   2.01682562E+06   8.67979336E+00 
0 50 1.11252973E-07   2.39667997E-06   1.50521646E-06   1.33621506E-06   3.57716061E-07   9.76601355E-10   1.05016215E-06   1.02312746E+01   -3.05944711E-01   -1.48694798E-01   1.02960430E-01   1.02164440E+01   -3.27649683E-01   7.40051270E-02   1.02989018E-01   1.00564489E+01   -2.13504195E-01   -3.56414542E-02   1.04719311E-01   1.68347883E+00   1.96340225E+06   8.47806168E+00   1.68311965E+00   1.97253125E+06   8.51253414E+00   1.68318617E+00   1.97094700E+06   8.50655174E+00 
0 60 9.48171746E-08   2.38742405E-06   1.30694775E-06   1.17591469E-06   3.02867932E-07   8.96340613E-10   9.04640729E-07   1.02223682E+01   -2.81360447E-01   -1.29387736E-01   1.03119731E-01   1.02032557E+01   -2.67512202E-01   9.87318009E-02   1.03190154E-01   9.99991226E+00   -1.74256310E-01   -1.97006334E-02   1.05356775E-01   1.68438435E+00   1.92065838E+06   8.31665802E+00   1.68427551E+00   1.93152125E+06   8.35767651E+00   1.68431568E+00   1.92836462E+06   8.34575653E+00 
0 70 8.04666556E-08   2.30698265E-06   1.16376805E-06   1.05511299E-06   2.54412271E-07   8.84099072E-10   7.98218593E-07   1.01918764E+01   -2.48709723E-01   -1.24361925E-01   1.03532955E-01   1.01679878E+01   -1.93866476E-01   1.00003272E-01   1.03656657E-01   9.96037960E+00   -1.27159134E-01   -1.80796161E-02   1.05864540E-01   1.68408644E+00   1.88127362E+06   8.16793728E+00   1.68430042E+00   1.89391125E+06   8.21565819E+00   1.68422139E+00   1.88843850E+06   8.19499302E+00 
0 80 6.89587480E-08   2.14104421E-06   1.04403978E-06   9.65727395E-07   2.09817600E-07   9.10823583E-10   7.21007041E-07   1.01349516E+01   -2.17808247E-01   -1.23424731E-01   1.04229555E-01   1.01003361E+01   -1.21798493E-01   9.51141492E-02   1.04479633E-01   9.90567780E+00   -9.19247791E-02   -1.91963948E-02   1.06555104E-01   1.68292356E+00   1.84656362E+06   8.03687000E+00   1.68345201E+00   1.85940312E+06   8.08535290E+00   1.68321073E+00   1.85319212E+06   8.06189919E+00 
0 90 6.23299314E-08   1.96582664E-06   9.47181434E-07   8.93817003E-07   1.83535931E-07   9.25868382E-10   6.55501196E-07   1.00725470E+01   -1.93185851E-01   -1.18028179E-01   1.04989782E-01   1.00247154E+01   -6.77058101E-02   8.71258453E-02   1.05399117E-01   9.83839512E+00   -6.88042045E-02   -1.71956010E-02   1.07388645E-01   1.68146908E+00   1.82008250E+06   7.93687487E+00   1.68215179E+00   1.83141712E+06   7.97967529E+00   1.68185616E+00   1.82632488E+06   7.96044683E+00 
