RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 100 5.62029641E-08   1.80703444E-06   7.68726920E-07   7.76447621E-07   1.68559680E-07   8.52506732E-10   4.28806402E-07   9.89909267E+00   -1.38580024E-01   6.91335723E-02   1.06685162E-01   9.94324303E+00   -1.63798317E-01   6.18543029E-02   1.06269121E-01   9.87862587E+00   -1.01836786E-01   -2.35216580E-02   1.06875248E-01   1.68325591E+00   1.85430425E+06   8.06609917E+00   1.68350828E+00   1.86096050E+06   8.09123325E+00   1.68318701E+00   1.85261500E+06   8.05972004E+00 
0 110 5.55941568E-08   1.66698271E-06   6.92929859E-07   7.29255078E-07   1.71890591E-07   8.35364167E-10   4.06421435E-07   9.85661030E+00   -1.30823746E-01   7.97225758E-02   1.07227072E-01   9.90627098E+00   -1.46199450E-01   7.14499056E-02   1.06759228E-01   9.84622574E+00   -8.04448277E-02   -1.11859711E-02   1.07309617E-01   1.68203628E+00   1.82938950E+06   7.97201872E+00   1.68259072E+00   1.83964112E+06   8.01072979E+00   1.68206632E+00   1.82991200E+06   7.97399187E+00 
0 120 4.85600076E-08   1.53726148E-06   6.51776020E-07   6.75880187E-07   1.52382739E-07   8.21799961E-10   3.85404434E-07   9.87044716E+00   -1.19910739E-01   7.68318400E-02   1.07164241E-01   9.92213917E+00   -1.23563275E-01   7.06737265E-02   1.06674455E-01   9.85788059E+00   -6.66727275E-02   -7.70596508E-03   1.07266515E-01   1.68133998E+00   1.81809300E+06   7.92936230E+00   1.68200433E+00   1.82883838E+06   7.96993732E+00   1.68147457E+00   1.82016788E+06   7.93719721E+00 
0 130 3.88525265E-08   1.41289195E-06   6.35107313E-07   6.48267758E-07   1.19314677E-07   8.24851798E-10   3.77345373E-07   9.92144966E+00   -9.81392860E-02   5.83540648E-02   1.06705725E-01   9.96572781E+00   -1.00084238E-01   5.54969087E-02   1.06284752E-01   9.89037895E+00   -5.80272339E-02   -2.09548771E-02   1.06995642E-01   1.68131351E+00   1.81768975E+06   7.92783976E+00   1.68176103E+00   1.82474975E+06   7.95449877E+00   1.68141747E+00   1.81928112E+06   7.93384886E+00 
0 140 3.47224614E-08   1.28668523E-06   6.10684651E-07   6.40312351E-07   1.07177264E-07   8.30388702E-10   3.67460103E-07   9.96721745E+00   -7.23659322E-02   3.77042219E-02   1.06303714E-01   9.99308681E+00   -9.07532349E-02   3.61019485E-02   1.06062345E-01   9.90965748E+00   -5.17988466E-02   -4.30256799E-02   1.06865071E-01   1.68135512E+00   1.81832412E+06   7.93023491E+00   1.68145120E+00   1.81980362E+06   7.93582153E+00   1.68128788E+00   1.81730225E+06   7.92637634E+00 
0 150 3.32732952E-08   1.17900481E-06   5.75161494E-07   6.27311465E-07   1.05894784E-07   8.44282144E-10   3.67060750E-07   9.98037624E+00   -5.97302429E-02   2.97803823E-02   1.06242493E-01   9.98751068E+00   -1.00948796E-01   2.68132370E-02   1.06186792E-01   9.90632534E+00   -4.55641709E-02   -5.59362657E-02   1.06977001E-01   1.68099165E+00   1.81292388E+06   7.90984297E+00   1.68084133E+00   1.81077538E+06   7.90173006E+00   1.68069601E+00   1.80874125E+06   7.89404964E+00 
0 160 3.01015994E-08   1.10054521E-06   5.36127743E-07   6.03909825E-07   9.64403100E-08   8.52142967E-10   3.65874826E-07   9.95881367E+00   -7.02020973E-02   3.83208804E-02   1.06540404E-01   9.96120834E+00   -1.17391765E-01   3.28997113E-02   1.06530257E-01   9.89021111E+00   -3.92482206E-02   -5.09158634E-02   1.07225329E-01   1.68014240E+00   1.80133338E+06   7.86607647E+00   1.68002450E+00   1.79981838E+06   7.86035585E+00   1.67970777E+00   1.79584725E+06   7.84536028E+00 
0 170 2.70477170E-08   1.03800460E-06   4.90511638E-07   5.73832438E-07   8.51966178E-08   8.45440551E-10   3.57779101E-07   9.91284180E+00   -9.42368805E-02   5.56484833E-02   1.07089274E-01   9.92827511E+00   -1.24463536E-01   4.93315868E-02   1.06940039E-01   9.86947441E+00   -3.47075872E-02   -3.39067988E-02   1.07517697E-01   1.67891157E+00   1.78642075E+06   7.80976534E+00   1.67917228E+00   1.78942700E+06   7.82111692E+00   1.67859483E+00   1.78286262E+06   7.79632950E+00 
0 180 2.69516356E-08   9.73944566E-07   4.35359198E-07   5.33509137E-07   8.45148307E-08   8.24422752E-10   3.41311704E-07   9.86304283E+00   -1.12441920E-01   7.30798170E-02   1.07672915E-01   9.89954853E+00   -1.20425984E-01   6.83109015E-02   1.07295804E-01   9.84985828E+00   -3.25811058E-02   -1.50561668E-02   1.07787892E-01   1.67750549E+00   1.77131012E+06   7.75270605E+00   1.67836475E+00   1.78033812E+06   7.78679657E+00   1.67759109E+00   1.77218250E+06   7.75600052E+00 
0 190 2.73301737E-08   9.07471872E-07   3.84732175E-07   4.80455128E-07   8.67699299E-08   7.99636468E-10   3.21709450E-07   9.83095646E+00   -1.12790942E-01   8.63592923E-02   1.08058855E-01   9.88426495E+00   -1.11750543E-01   8.40270743E-02   1.07495487E-01   9.83706379E+00   -3.16876583E-02   -7.60141236E-04   1.07972108E-01   1.67625308E+00   1.75910425E+06   7.70661592E+00   1.67764592E+00   1.77274475E+06   7.75812387E+00   1.67684710E+00   1.76476788E+06   7.72800207E+00 
0 200 2.46747476E-08   8.47537024E-07   3.50972044E-07   4.24755768E-07   7.82339740E-08   7.80844001E-10   3.04426948E-07   9.82490826E+00   -9.81536582E-02   9.33160633E-02   1.08152367E-01   9.88461781E+00   -1.01099402E-01   9.27972719E-02   1.07514679E-01   9.83334732E+00   -3.08260377E-02   5.89816459E-03   1.08046487E-01   1.67553973E+00   1.75164850E+06   7.67936325E+00   1.67706442E+00   1.76689425E+06   7.73603153E+00   1.67641783E+00   1.76065375E+06   7.71246672E+00 
0 210 2.04874997E-08   7.94138259E-07   3.25375652E-07   3.80240948E-07   6.33942534E-08   7.71488484E-10   2.94516951E-07   9.83830643E+00   -8.07155371E-02   9.23651308E-02   1.08023845E-01   9.89425087E+00   -8.84219855E-02   9.27861929E-02   1.07424080E-01   9.83530235E+00   -2.94685811E-02   3.63034708E-03   1.08050577E-01   1.67582345E+00   1.74757038E+06   7.67045450E+00   1.67662048E+00   1.76258175E+06   7.71974754E+00   1.67621720E+00   1.75876988E+06   7.70535326E+00 
0 220 1.87290059E-08   7.41881081E-07   3.00913541E-07   3.48933810E-07   5.72953027E-08   7.68303643E-10   2.89477242E-07   9.85632610E+00   -7.22348914E-02   8.50274041E-02   1.07837096E-01   9.90217113E+00   -7.80128688E-02   8.56009647E-02   1.07346028E-01   9.83634567E+00   -2.77132988E-02   -5.43585978E-03   1.08058617E-01   1.67581832E+00   1.74764550E+06   7.67061853E+00   1.67623413E+00   1.75892738E+06   7.70594788E+00   1.67604768E+00   1.75719562E+06   7.69940853E+00 
0 230 1.88988398E-08   6.94026198E-07   2.81227813E-07   3.22804027E-07   5.89880251E-08   7.66475883E-10   2.85625845E-07   9.86470604E+00   -7.70338625E-02   7.77578205E-02   1.07748911E-01   9.89917183E+00   -7.68772364E-02   7.74999559E-02   1.07382715E-01   9.83136177E+00   -2.58636680E-02   -1.50159206E-02   1.08127907E-01   1.67590630E+00   1.74636488E+06   7.66782093E+00   1.67579556E+00   1.75488288E+06   7.69067574E+00   1.67571020E+00   1.75410788E+06   7.68774939E+00 
