RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 1 8.99150763E-08   4.38465759E-06   5.90905756E-07   6.24684048E-07   3.27995451E-07   1.26400948E-07   9.89443361E-05   9.94944572E+00   -2.92463321E-02   -7.55895488E-03   1.05617665E-01   9.93864441E+00   -9.29986779E-03   5.87162189E-03   1.05735034E-01   9.94985962E+00   -1.15349060E-02   2.77946005E-03   1.05615154E-01   1.68640304E+00   2.15221725E+06   9.69766235E+00   1.68640327E+00   2.15219500E+06   9.69743919E+00   1.68640387E+00   2.15214150E+06   9.69690228E+00 
0 10 2.52445631E-07   3.62911419E-06   1.73396074E-06   1.24778433E-06   8.70080498E-07   1.01815589E-09   1.26059274E-06   9.56081390E+00   -2.10376486E-01   -2.54003126E-02   1.09816320E-01   9.51424122E+00   -1.07967757E-01   3.28115113E-02   1.10449053E-01   9.57391930E+00   -1.11984618E-01   2.20631771E-02   1.09747864E-01   1.67917776E+00   2.08570275E+06   9.02990818E+00   1.67917907E+00   2.08570850E+06   9.02996540E+00   1.67898524E+00   2.08486988E+06   9.02154541E+00 
0 20 2.40947315E-07   3.32313380E-06   2.08622623E-06   1.73447313E-06   8.07694676E-07   1.35894773E-09   1.29512182E-06   9.79517651E+00   -3.44616771E-01   -3.47423740E-02   1.07127696E-01   9.70636940E+00   -1.97759107E-01   6.11133166E-02   1.08228706E-01   9.75230312E+00   -2.11835861E-01   3.94496359E-02   1.07710801E-01   1.67567480E+00   2.07195062E+06   8.89184666E+00   1.67553866E+00   2.07146562E+06   8.88697815E+00   1.67551112E+00   2.07136800E+06   8.88599777E+00 
0 30 1.81130190E-07   2.90270441E-06   2.08990718E-06   1.70068313E-06   5.84634847E-07   1.62551150E-09   1.35586311E-06   1.01328754E+01   -4.17880356E-01   -8.88143405E-02   1.03671364E-01   1.00246296E+01   -2.38986477E-01   7.27800503E-02   1.04878597E-01   1.00149593E+01   -2.08774880E-01   9.41074360E-03   1.05009526E-01   1.67695022E+00   2.05777025E+06   8.83440304E+00   1.67719734E+00   2.05533250E+06   8.82519817E+00   1.67699170E+00   2.05736388E+06   8.83286858E+00 
0 40 1.34673627E-07   2.51721667E-06   1.77066602E-06   1.50410858E-06   4.34891547E-07   1.20918664E-09   1.08905442E-06   1.02459173E+01   -4.14287686E-01   -1.31595999E-01   1.02645658E-01   1.01146393E+01   -2.54157960E-01   6.51578829E-02   1.04016252E-01   1.00956717E+01   -2.26969466E-01   -1.42454049E-02   1.04257166E-01   1.68075514E+00   2.01397838E+06   8.66904163E+00   1.68082976E+00   2.01293050E+06   8.66508484E+00   1.68075657E+00   2.01395862E+06   8.66896725E+00 
0 50 1.10094057E-07   2.37459290E-06   1.48532331E-06   1.33095330E-06   3.53251522E-07   9.75891257E-10   9.09854748E-07   1.02262621E+01   -3.83881003E-01   -1.25544414E-01   1.02916233E-01   1.01116867E+01   -2.56416798E-01   7.08520263E-02   1.04094505E-01   1.00533934E+01   -2.27392390E-01   -1.57039240E-02   1.04736075E-01   1.68338656E+00   1.96589538E+06   8.48747635E+00   1.68333662E+00   1.96719912E+06   8.49239922E+00   1.68337357E+00   1.96623862E+06   8.48877239E+00 
0 60 9.31747408E-08   2.36425308E-06   1.29416287E-06   1.17199977E-06   2.96972075E-07   8.92451724E-10   7.93666231E-07   1.02034531E+01   -3.28031361E-01   -1.11363389E-01   1.03229210E-01   1.00912504E+01   -2.33352333E-01   8.22755396E-02   1.04358420E-01   1.00010471E+01   -1.99545771E-01   -8.37865006E-03   1.05339974E-01   1.68436408E+00   1.92347375E+06   8.32728863E+00   1.68433416E+00   1.92668350E+06   8.33940887E+00   1.68435919E+00   1.92406325E+06   8.32951450E+00 
0 70 7.88936134E-08   2.28817294E-06   1.15262424E-06   1.04705634E-06   2.48847471E-07   8.73535411E-10   7.07622689E-07   1.01834011E+01   -2.46013373E-01   -1.10827431E-01   1.03553861E-01   1.00543776E+01   -1.81072712E-01   7.18381330E-02   1.04826525E-01   9.96441936E+00   -1.49330780E-01   -1.47834653E-02   1.05833314E-01   1.68415654E+00   1.88475475E+06   8.18108273E+00   1.68422461E+00   1.88863538E+06   8.19573593E+00   1.68417382E+00   1.88568700E+06   8.18460274E+00 
0 80 6.78027021E-08   2.12571149E-06   1.03742400E-06   9.57111070E-07   2.06029114E-07   9.00522767E-10   6.49820493E-07   1.01298161E+01   -1.76684693E-01   -1.12342417E-01   1.04235053E-01   9.98982811E+00   -1.30843863E-01   5.98314889E-02   1.05606817E-01   9.91229534E+00   -9.74559784E-02   -2.14623846E-02   1.06509991E-01   1.68309784E+00   1.85050088E+06   8.05173683E+00   1.68324554E+00   1.85404738E+06   8.06512928E+00   1.68316483E+00   1.85208212E+06   8.05770779E+00 
0 90 6.10229307E-08   1.94930885E-06   9.39626773E-07   8.87626300E-07   1.79263083E-07   9.15325871E-10   6.00124906E-07   1.00647821E+01   -1.40180171E-01   -1.10923707E-01   1.05032898E-01   9.92654610E+00   -9.37351808E-02   5.55007644E-02   1.06388971E-01   9.84615135E+00   -5.79213239E-02   -2.14898009E-02   1.07337967E-01   1.68170083E+00   1.82376562E+06   7.95078230E+00   1.68187547E+00   1.82664862E+06   7.96166897E+00   1.68184781E+00   1.82618562E+06   7.95992088E+00 
0 100 5.59736506E-08   1.79912990E-06   8.63159471E-07   8.29477983E-07   1.64895653E-07   9.17982912E-10   5.51155779E-07   1.00256882E+01   -1.26032546E-01   -1.12824455E-01   1.05558433E-01   9.88852406E+00   -6.82587251E-02   5.21619841E-02   1.06913663E-01   9.80475712E+00   -3.45627144E-02   -2.25851107E-02   1.07897401E-01   1.68057883E+00   1.80712950E+06   7.88796329E+00   1.68075812E+00   1.80960612E+06   7.89731503E+00   1.68077743E+00   1.80987612E+06   7.89833450E+00 
0 110 4.77756146E-08   1.67253836E-06   8.13634756E-07   7.86396470E-07   1.41060042E-07   9.23581156E-10   5.06974629E-07   1.00168257E+01   -1.22784644E-01   -1.23789288E-01   1.05759412E-01   9.87484074E+00   -5.44412583E-02   4.56654802E-02   1.07177325E-01   9.79678249E+00   -2.98551638E-02   -3.01715080E-02   1.08085729E-01   1.67995822E+00   1.79897562E+06   7.85717392E+00   1.68016875E+00   1.80167338E+06   7.86736059E+00   1.68018115E+00   1.80183450E+06   7.86796856E+00 
0 120 4.02635756E-08   1.55022792E-06   7.80518974E-07   7.62384559E-07   1.18451446E-07   9.37088629E-10   4.70865984E-07   1.00152826E+01   -1.26744688E-01   -1.34833798E-01   1.05875261E-01   9.87304211E+00   -5.00991829E-02   3.83924916E-02   1.07308552E-01   9.80136204E+00   -3.41834985E-02   -3.92637551E-02   1.08129837E-01   1.67953873E+00   1.79378275E+06   7.83756447E+00   1.67984152E+00   1.79750700E+06   7.85162783E+00   1.67984235E+00   1.79751788E+06   7.85166883E+00 
0 130 3.64890056E-08   1.43147474E-06   7.49769754E-07   7.40332041E-07   1.07122581E-07   9.60088342E-10   4.47015907E-07   1.00057611E+01   -1.32368654E-01   -1.36242092E-01   1.06069058E-01   9.87142086E+00   -4.75968197E-02   3.66441347E-02   1.07431553E-01   9.79944706E+00   -3.71141024E-02   -4.26138863E-02   1.08241074E-01   1.67890239E+00   1.78631562E+06   7.80936813E+00   1.67934906E+00   1.79150888E+06   7.82897854E+00   1.67938542E+00   1.79194175E+06   7.83061314E+00 
0 140 3.35230261E-08   1.32905177E-06   7.12678741E-07   7.11031248E-07   9.67772138E-08   9.78540471E-10   4.27555847E-07   9.98370075E+00   -1.35534436E-01   -1.26274958E-01   1.06391720E-01   9.86045933E+00   -4.48324978E-02   4.53760177E-02   1.07647166E-01   9.78198242E+00   -3.67649570E-02   -3.59731391E-02   1.08519740E-01   1.67785943E+00   1.77495612E+06   7.76647377E+00   1.67845476E+00   1.78131962E+06   7.79050303E+00   1.67859828E+00   1.78290025E+06   7.79647160E+00 
0 150 3.06050154E-08   1.24139024E-06   6.63536525E-07   6.76632737E-07   8.66356160E-08   9.78695902E-10   4.04472360E-07   9.95479679E+00   -1.37136444E-01   -1.09837152E-01   1.06783502E-01   9.84192657E+00   -4.40827981E-02   6.18362688E-02   1.07935414E-01   9.75336266E+00   -3.53163630E-02   -2.17657406E-02   1.08916596E-01   1.67653430E+00   1.76175862E+06   7.71663904E+00   1.67721570E+00   1.76839350E+06   7.74169254E+00   1.67753124E+00   1.77157262E+06   7.75369740E+00 
0 160 2.93476443E-08   1.15588762E-06   6.05395257E-07   6.35860317E-07   8.43277448E-08   9.63524927E-10   3.77663525E-07   9.93020153E+00   -1.39578864E-01   -9.49483961E-02   1.07118987E-01   9.82619476E+00   -4.79965024E-02   7.77294040E-02   1.08183332E-01   9.72581577E+00   -3.60315815E-02   -7.20004225E-03   1.09292664E-01   1.67578077E+00   1.74818950E+06   7.67180681E+00   1.67591608E+00   1.75598362E+06   7.69483232E+00   1.67640948E+00   1.76057512E+06   7.71217012E+00 
0 170 2.83314225E-08   1.07056928E-06   5.48124831E-07   5.86714009E-07   8.32423197E-08   9.45911238E-10   3.52535039E-07   9.91641712E+00   -1.43172532E-01   -8.73641446E-02   1.07319750E-01   9.81957722E+00   -5.50487638E-02   8.53664801E-02   1.08319417E-01   9.70890141E+00   -3.93733494E-02   3.61447339E-04   1.09534681E-01   1.67675757E+00   1.73357538E+06   7.63988209E+00   1.67615461E+00   1.74271212E+06   7.65984154E+00   1.67554271E+00   1.75160762E+06   7.67927408E+00 
0 180 2.55455284E-08   9.89607088E-07   4.98220629E-07   5.33080083E-07   7.44791890E-08   9.32210198E-10   3.32394734E-07   9.91062069E+00   -1.47052526E-01   -8.87181610E-02   1.07409857E-01   9.82176208E+00   -5.98451160E-02   8.21295679E-02   1.08343132E-01   9.70348072E+00   -4.25205827E-02   -1.51673588E-03   1.09628908E-01   1.67732847E+00   1.72453638E+06   7.62013578E+00   1.67677999E+00   1.73322800E+06   7.63912296E+00   1.67622483E+00   1.74166738E+06   7.65755939E+00 
0 190 2.23170282E-08   9.13104031E-07   4.57200997E-07   4.82766836E-07   6.30245864E-08   9.20820364E-10   3.16851271E-07   9.90651894E+00   -1.49566010E-01   -9.54503268E-02   1.07458085E-01   9.82750225E+00   -5.84426187E-02   7.24674165E-02   1.08309574E-01   9.70360565E+00   -4.31852899E-02   -9.08881426E-03   1.09644122E-01   1.67768025E+00   1.71875675E+06   7.60751009E+00   1.67711926E+00   1.72789675E+06   7.62747669E+00   1.67662215E+00   1.73566100E+06   7.64443779E+00 
0 200 2.08162643E-08   8.37638083E-07   4.23691034E-07   4.39365010E-07   5.80527661E-08   9.09585463E-10   3.05232476E-07   9.89752960E+00   -1.50404632E-01   -1.00673661E-01   1.07543841E-01   9.83059406E+00   -5.18370420E-02   6.42293170E-02   1.08287446E-01   9.70187283E+00   -4.01264876E-02   -1.51428347E-02   1.09669521E-01   1.67799246E+00   1.71347700E+06   7.59597635E+00   1.67738843E+00   1.72356400E+06   7.61801147E+00   1.67689884E+00   1.73137625E+06   7.63507795E+00 
