RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 1 8.49267749E-08   4.46445210E-06   6.09244807E-07   6.35734978E-07   3.07955560E-07   1.25706791E-07   9.83203281E-05   9.93497944E+00   -1.61948968E-02   3.26560414E-03   1.05775028E-01   9.96411037E+00   -1.87931024E-02   6.00983901E-03   1.05463222E-01   9.94650745E+00   -2.86527183E-02   -4.02180944E-03   1.05650254E-01   1.68640244E+00   2.15226175E+06   9.69810963E+00   1.68639886E+00   2.15253475E+06   9.70084953E+00   1.68640471E+00   2.15207225E+06   9.69620609E+00 
0 10 2.61880444E-07   3.69439681E-06   1.79792357E-06   1.26234818E-06   9.01319368E-07   1.00321140E-09   8.50767208E-07   9.48166084E+00   -9.59824994E-02   -7.71695608E-03   1.10827513E-01   9.58735275E+00   -1.09794915E-01   6.22739308E-02   1.09544225E-01   9.52657318E+00   -1.69330716E-01   8.57393257E-03   1.10289603E-01   1.67915249E+00   2.08559275E+06   9.02880287E+00   1.67948186E+00   2.08704100E+06   9.04334164E+00   1.67926383E+00   2.08607825E+06   9.03367710E+00 
0 20 2.46985849E-07   3.39195549E-06   2.13805515E-06   1.77355105E-06   8.26796168E-07   1.35935163E-09   1.04174910E-06   9.77825642E+00   -1.64991483E-01   -4.49901484E-02   1.07402474E-01   9.70125103E+00   -1.59496158E-01   6.90851063E-02   1.08249791E-01   9.70405579E+00   -2.67190069E-01   1.55831026E-02   1.08268134E-01   1.67553508E+00   2.07145300E+06   8.88685131E+00   1.67609799E+00   2.07347838E+06   8.90718460E+00   1.67640090E+00   2.07459162E+06   8.91835976E+00 
0 30 1.85461531E-07   2.95854466E-06   2.14450233E-06   1.72571185E-06   5.96934456E-07   1.64903002E-09   1.19917161E-06   1.01349020E+01   -2.57225662E-01   -9.22381729E-02   1.03738099E-01   1.00151529E+01   -1.91468209E-01   4.46195528E-02   1.05007000E-01   1.00011339E+01   -3.35147321E-01   -2.36454643E-02   1.05124936E-01   1.67698979E+00   2.05738212E+06   8.83293819E+00   1.67677271E+00   2.05949700E+06   8.84092331E+00   1.67605889E+00   2.06624462E+06   8.86640358E+00 
0 40 1.37114995E-07   2.56420162E-06   1.81904090E-06   1.52572159E-06   4.43198417E-07   1.21617372E-09   9.31408294E-07   1.02499657E+01   -3.05606604E-01   -1.37003928E-01   1.02655388E-01   1.01342840E+01   -2.18039587E-01   3.02665140E-02   1.03847019E-01   1.00619698E+01   -3.74573439E-01   -4.92011420E-02   1.04545012E-01   1.68071151E+00   2.01458625E+06   8.67133713E+00   1.68095398E+00   2.01116175E+06   8.65840530E+00   1.67997909E+00   2.02430338E+06   8.70802975E+00 
0 50 1.12360588E-07   2.41149519E-06   1.53124313E-06   1.35603148E-06   3.60817467E-07   9.51588919E-10   7.47235333E-07   1.02258577E+01   -3.14206123E-01   -1.42254844E-01   1.02937110E-01   1.00961504E+01   -1.99085504E-01   3.16668563E-02   1.04284845E-01   1.00265255E+01   -3.47043991E-01   -4.37988080E-02   1.04957327E-01   1.68336546E+00   1.96644838E+06   8.48956490E+00   1.68358028E+00   1.96051475E+06   8.46715832E+00   1.68290961E+00   1.97728350E+06   8.53047848E+00 
0 60 9.48490992E-08   2.40463442E-06   1.33020546E-06   1.19317247E-06   3.01367692E-07   8.77126149E-10   6.50954973E-07   1.01985140E+01   -2.89800555E-01   -1.38424411E-01   1.03269033E-01   1.00423393E+01   -1.55668154E-01   4.75346670E-02   1.04922004E-01   9.99100780E+00   -2.92930156E-01   -3.13339941E-02   1.05378114E-01   1.68436360E+00   1.92353950E+06   8.32753754E+00   1.68440151E+00   1.91726750E+06   8.30385399E+00   1.68421829E+00   1.93529675E+06   8.37193298E+00 
0 70 8.06337965E-08   2.32326101E-06   1.17841171E-06   1.06388075E-06   2.53477708E-07   8.67610872E-10   5.87599061E-07   1.01768503E+01   -2.35816047E-01   -1.43158481E-01   1.03590958E-01   1.00099344E+01   -1.09728172E-01   4.83972058E-02   1.05378792E-01   9.96526527E+00   -2.21333325E-01   -3.43410447E-02   1.05734982E-01   1.68414903E+00   1.88436300E+06   8.17960358E+00   1.68400681E+00   1.87774650E+06   8.15461922E+00   1.68435407E+00   1.89890750E+06   8.23452473E+00 
0 80 6.93711542E-08   2.14571742E-06   1.05666084E-06   9.73012561E-07   2.10191317E-07   8.91900165E-10   5.46494164E-07   1.01322355E+01   -1.91806361E-01   -1.43720970E-01   1.04165673E-01   9.96456337E+00   -6.65689856E-02   4.73485366E-02   1.05976008E-01   9.91971874E+00   -1.42013565E-01   -4.28671129E-02   1.06319226E-01   1.68306673E+00   1.84977850E+06   8.04900932E+00   1.68274999E+00   1.84286775E+06   8.02291393E+00   1.68375349E+00   1.86839675E+06   8.11931324E+00 
0 90 6.19483913E-08   1.96451629E-06   9.60467446E-07   9.04024034E-07   1.81859704E-07   9.08811748E-10   5.11163819E-07   1.00741434E+01   -1.57964393E-01   -1.37396663E-01   1.04890160E-01   9.90539932E+00   -3.39830667E-02   5.15767932E-02   1.06717639E-01   9.86473179E+00   -7.59757012E-02   -4.42046896E-02   1.07010521E-01   1.68165338E+00   1.82300050E+06   7.94789314E+00   1.68119538E+00   1.81591312E+06   7.92113066E+00   1.68285072E+00   1.84498650E+06   8.03091431E+00 
0 100 5.62913129E-08   1.81776727E-06   8.84247982E-07   8.48505294E-07   1.66481470E-07   9.12937947E-10   4.74784599E-07   1.00334501E+01   -1.37426749E-01   -1.30867869E-01   1.05440103E-01   9.86883450E+00   -1.75513253E-02   5.24808690E-02   1.07220449E-01   9.83736324E+00   -3.60462628E-02   -4.35357876E-02   1.07412778E-01   1.68052697E+00   1.80642412E+06   7.88529968E+00   1.67998922E+00   1.79936888E+06   7.85865831E+00   1.68209028E+00   1.83033188E+06   7.97557688E+00 
0 110 4.81575704E-08   1.69212763E-06   8.29314331E-07   8.08740594E-07   1.43142046E-07   9.18248089E-10   4.40494631E-07   1.00187960E+01   -1.28759503E-01   -1.31706372E-01   1.05712935E-01   9.85606480E+00   -9.43903252E-03   4.45893183E-02   1.07459761E-01   9.84138203E+00   -2.18518376E-02   -4.93725836E-02   1.07476644E-01   1.67991149E+00   1.79838612E+06   7.85494757E+00   1.67934549E+00   1.79146712E+06   7.82882071E+00   1.68165040E+00   1.82295150E+06   7.94770861E+00 
0 120 4.09307255E-08   1.56823137E-06   7.91239358E-07   7.85050759E-07   1.20716535E-07   9.34024413E-10   4.14983504E-07   1.00112753E+01   -1.28063247E-01   -1.36178538E-01   1.05900519E-01   9.84976101E+00   -5.51575387E-04   3.48809026E-02   1.07613310E-01   9.85637665E+00   -2.25351322E-02   -5.80800362E-02   1.07418969E-01   1.67951691E+00   1.79351938E+06   7.83657026E+00   1.67892706E+00   1.78659712E+06   7.81043100E+00   1.68133903E+00   1.81807900E+06   7.92930937E+00 
0 130 3.73358020E-08   1.44884984E-06   7.59787383E-07   7.61474496E-07   1.09396119E-07   9.59095692E-10   4.02580667E-07   9.99333096E+00   -1.28253147E-01   -1.35371089E-01   1.06189832E-01   9.83746910E+00   9.33115743E-03   3.38345505E-02   1.07812606E-01   9.86182785E+00   -2.57741380E-02   -6.08529150E-02   1.07462972E-01   1.67892039E+00   1.78652125E+06   7.81014490E+00   1.67827213E+00   1.77933512E+06   7.78300953E+00   1.68087149E+00   1.81120312E+06   7.90334558E+00 
0 140 3.42867708E-08   1.34688730E-06   7.21969343E-07   7.31148646E-07   9.89811753E-08   9.77070980E-10   3.91832401E-07   9.96280670E+00   -1.27921104E-01   -1.24387644E-01   1.06607929E-01   9.81413269E+00   1.36483386E-02   4.34946641E-02   1.08112752E-01   9.85110283E+00   -2.63049230E-02   -5.33089116E-02   1.07682683E-01   1.67791355E+00   1.77552188E+06   7.76861048E+00   1.67716622E+00   1.76790138E+06   7.73983479E+00   1.68012226E+00   1.80107300E+06   7.86509371E+00 
0 150 3.12984305E-08   1.25902159E-06   6.70279405E-07   6.96853306E-07   8.93149590E-08   9.75141412E-10   3.73593082E-07   9.92844963E+00   -1.29868299E-01   -1.06464341E-01   1.07062541E-01   9.78552914E+00   8.61172937E-03   5.92262410E-02   1.08453438E-01   9.83307171E+00   -2.32915673E-02   -3.83329280E-02   1.07983969E-01   1.67659450E+00   1.76233312E+06   7.71880817E+00   1.67573965E+00   1.75437412E+06   7.68875456E+00   1.67918336E+00   1.78955700E+06   7.82160807E+00 
0 160 3.00952188E-08   1.17473110E-06   6.09294432E-07   6.54060443E-07   8.77379733E-08   9.59057389E-10   3.50118739E-07   9.90167999E+00   -1.35380521E-01   -9.05335769E-02   1.07425183E-01   9.76128101E+00   -3.41356150E-03   7.39723295E-02   1.08732633E-01   9.82051563E+00   -1.96354538E-02   -2.32550185E-02   1.08224273E-01   1.67574644E+00   1.74868425E+06   7.67288780E+00   1.67665958E+00   1.73508662E+06   7.64318323E+00   1.67826915E+00   1.77930250E+06   7.78288603E+00 
0 170 2.86763733E-08   1.09138307E-06   5.51197218E-07   6.00582098E-07   8.50343866E-08   9.42563250E-10   3.29243079E-07   9.88950634E+00   -1.42268285E-01   -8.39132965E-02   1.07611626E-01   9.74674797E+00   -1.59861818E-02   8.12847987E-02   1.08894840E-01   9.81951904E+00   -1.76288132E-02   -1.54623110E-02   1.08327888E-01   1.67675531E+00   1.73361025E+06   7.63995838E+00   1.67757249E+00   1.72054475E+06   7.61141586E+00   1.67754722E+00   1.77173550E+06   7.75431252E+00 
0 180 2.53584993E-08   1.01041655E-06   5.03397246E-07   5.44827174E-07   7.35450882E-08   9.29855637E-10   3.13285256E-07   9.88887787E+00   -1.48180366E-01   -8.83764103E-02   1.07648313E-01   9.74020386E+00   -2.39407998E-02   7.89154619E-02   1.08962752E-01   9.82767773E+00   -1.78830195E-02   -1.75493434E-02   1.08312294E-01   1.67733264E+00   1.72446950E+06   7.61998940E+00   1.67808390E+00   1.71190162E+06   7.59253454E+00   1.67704356E+00   1.76668912E+06   7.73525715E+00 
0 190 2.24422241E-08   9.29514556E-07   4.65355441E-07   4.95197924E-07   6.25851655E-08   9.19578191E-10   3.02357734E-07   9.89060593E+00   -1.51680082E-01   -9.92730558E-02   1.07634805E-01   9.73607635E+00   -2.61151586E-02   7.07925111E-02   1.09000534E-01   9.83726311E+00   -1.79587286E-02   -2.49408130E-02   1.08257852E-01   1.67768443E+00   1.71868662E+06   7.60735655E+00   1.67840540E+00   1.70625700E+06   7.58020353E+00   1.67667675E+00   1.76312175E+06   7.72178650E+00 
0 200 2.17777139E-08   8.47696867E-07   4.33415124E-07   4.53162215E-07   6.09592519E-08   9.09664899E-10   2.95030958E-07   9.88502026E+00   -1.52371690E-01   -1.08003646E-01   1.07683875E-01   9.72901535E+00   -2.44081616E-02   6.42617121E-02   1.09068997E-01   9.83888340E+00   -1.47158243E-02   -2.95811817E-02   1.08267643E-01   1.67801690E+00   1.71305675E+06   7.59505796E+00   1.67874992E+00   1.70000375E+06   7.56654310E+00   1.67634022E+00   1.75992200E+06   7.70970392E+00 
0 210 2.13618581E-08   7.71889347E-07   4.04696607E-07   4.17618850E-07   6.03387349E-08   8.98359609E-10   2.88930693E-07   9.86747074E+00   -1.51160508E-01   -1.07715935E-01   1.07857198E-01   9.71640968E+00   -2.16355529E-02   6.46807775E-02   1.09198764E-01   9.82772350E+00   -6.90947846E-03   -2.64522750E-02   1.08398214E-01   1.67845261E+00   1.70541225E+06   7.57835817E+00   1.67921662E+00   1.69115638E+06   7.54721594E+00   1.67595577E+00   1.75634850E+06   7.69621038E+00 
0 220 1.98675920E-08   7.08471362E-07   3.76698779E-07   3.86477694E-07   5.54096857E-08   8.84463669E-10   2.81185095E-07   9.84002686E+00   -1.49629608E-01   -9.75772291E-02   1.08141042E-01   9.69895363E+00   -2.01940332E-02   7.20251799E-02   1.09384276E-01   9.80630970E+00   3.53799807E-03   -1.66925639E-02   1.08628146E-01   1.67898464E+00   1.69561150E+06   7.55694818E+00   1.67975688E+00   1.68027988E+06   7.52345562E+00   1.67551017E+00   1.75207000E+06   7.68028402E+00 
0 230 1.81685404E-08   6.55605220E-07   3.48570381E-07   3.56236399E-07   5.04096604E-08   8.68795202E-10   2.70526556E-07   9.80958176E+00   -1.49182782E-01   -8.25912803E-02   1.08464420E-01   9.67951393E+00   -2.10859869E-02   8.19410905E-02   1.09595418E-01   9.78246403E+00   1.20994430E-02   -5.81938354E-03   1.08878292E-01   1.67951834E+00   1.68517450E+06   7.53414822E+00   1.68025029E+00   1.66963162E+06   7.50019407E+00   1.67606390E+00   1.74405325E+06   7.66277122E+00 
0 240 1.67730985E-08   6.09147605E-07   3.21358442E-07   3.26111120E-07   4.73209383E-08   8.54457227E-10   2.58365304E-07   9.78351688E+00   -1.50355741E-01   -6.95152655E-02   1.08747013E-01   9.66079140E+00   -2.38462351E-02   8.97147357E-02   1.09802835E-01   9.76383781E+00   1.50373932E-02   8.91507720E-04   1.09069005E-01   1.67995536E+00   1.67608812E+06   7.51429844E+00   1.68061066E+00   1.66132425E+06   7.48204660E+00   1.67659831E+00   1.73602738E+06   7.64523840E+00 
0 250 1.52938071E-08   5.67694826E-07   2.95802806E-07   2.98017028E-07   4.36586625E-08   8.43968617E-10   2.46669288E-07   9.76587963E+00   -1.52352765E-01   -6.24336489E-02   1.08942688E-01   9.64468575E+00   -2.70024780E-02   9.32367146E-02   1.09984897E-01   9.75313282E+00   1.23138493E-02   2.00760830E-03   1.09173015E-01   1.68025351E+00   1.66955862E+06   7.50003481E+00   1.68083692E+00   1.65583688E+06   7.47005892E+00   1.67706466E+00   1.72876425E+06   7.62937164E+00 
0 260 1.38316523E-08   5.31186117E-07   2.72140625E-07   2.73161902E-07   3.94965411E-08   8.37606262E-10   2.36659830E-07   9.75597668E+00   -1.53806508E-01   -6.10086694E-02   1.09056875E-01   9.63229179E+00   -2.87954789E-02   9.32895243E-02   1.10128015E-01   9.74710464E+00   7.87746813E-03   3.04657151E-04   1.09228425E-01   1.68043590E+00   1.66541450E+06   7.49098158E+00   1.68099403E+00   1.65188638E+06   7.46142864E+00   1.67743385E+00   1.72282200E+06   7.61639071E+00 
0 270 1.26698723E-08   4.99674684E-07   2.50709604E-07   2.50624595E-07   3.62103734E-08   8.33947411E-10   2.28151009E-07   9.74982738E+00   -1.53737634E-01   -6.17923103E-02   1.09131575E-01   9.62327003E+00   -2.82817800E-02   9.22847465E-02   1.10234261E-01   9.74013901E+00   6.79558190E-03   3.17039492E-04   1.09299459E-01   1.68056405E+00   1.66242612E+06   7.48445368E+00   1.68115914E+00   1.64759838E+06   7.45206165E+00   1.67771363E+00   1.71819838E+06   7.60629034E+00 
0 280 1.16254846E-08   4.72848086E-07   2.31108274E-07   2.29010624E-07   3.33039871E-08   8.31470504E-10   2.20535981E-07   9.74297810E+00   -1.52181983E-01   -6.11362793E-02   1.09214500E-01   9.61610222E+00   -2.58588493E-02   9.24824178E-02   1.10319205E-01   9.72871780E+00   1.15694935E-02   4.72088298E-03   1.09426051E-01   1.68069923E+00   1.65920400E+06   7.47741461E+00   1.68136799E+00   1.64194288E+06   7.43970680E+00   1.67793477E+00   1.71446288E+06   7.59812975E+00 
0 290 1.06949836E-08   4.49093335E-07   2.12051944E-07   2.08149302E-07   3.08413881E-08   8.29160463E-10   2.13061369E-07   9.73299885E+00   -1.50009453E-01   -5.76498434E-02   1.09331310E-01   9.60912514E+00   -2.32084095E-02   9.47679281E-02   1.10400714E-01   9.71355534E+00   2.08049882E-02   1.24667939E-02   1.09599575E-01   1.68087029E+00   1.65500725E+06   7.46824646E+00   1.68159926E+00   1.63534062E+06   7.42528391E+00   1.67813098E+00   1.71108588E+06   7.59075260E+00 
0 300 1.00322950E-08   4.26402011E-07   1.93371179E-07   1.88458927E-07   2.93764639E-08   8.26794466E-10   2.05423291E-07   9.72023106E+00   -1.48046702E-01   -5.27127869E-02   1.09477647E-01   9.60144424E+00   -2.22630780E-02   9.83974710E-02   1.10488907E-01   9.69836617E+00   3.06981746E-02   1.98358875E-02   1.09776713E-01   1.68106782E+00   1.64998862E+06   7.45728302E+00   1.68180370E+00   1.62915638E+06   7.41177416E+00   1.67832327E+00   1.70771475E+06   7.58338833E+00 
0 310 9.30802280E-09   4.04284094E-07   1.76642274E-07   1.70596323E-07   2.74831127E-08   8.24545265E-10   1.97849445E-07   9.70691204E+00   -1.46743357E-01   -4.89379168E-02   1.09628625E-01   9.59309673E+00   -2.38514449E-02   1.01886354E-01   1.10584140E-01   9.68687630E+00   3.78085710E-02   2.32939944E-02   1.09913446E-01   1.68126130E+00   1.64486375E+06   7.44608784E+00   1.68194592E+00   1.62462275E+06   7.40187025E+00   1.67851782E+00   1.70424075E+06   7.57579899E+00 
0 320 8.29406588E-09   3.83433701E-07   1.62580903E-07   1.54980455E-07   2.43085534E-08   8.22244384E-10   1.90312107E-07   9.69529438E+00   -1.45923823E-01   -4.79928143E-02   1.09759472E-01   9.58457756E+00   -2.71596182E-02   1.04264215E-01   1.10681780E-01   9.68040562E+00   4.11242247E-02   2.19656900E-02   1.09993048E-01   1.68142545E+00   1.64033838E+06   7.43620205E+00   1.68202448E+00   1.62202800E+06   7.39620209E+00   1.67871130E+00   1.70071638E+06   7.56809998E+00 
0 330 7.45350448E-09   3.64286308E-07   1.50297751E-07   1.40942717E-07   2.18353655E-08   8.19617485E-10   1.83263424E-07   9.68621635E+00   -1.45045683E-01   -4.94187549E-02   1.09861307E-01   9.57636452E+00   -3.03895641E-02   1.05563067E-01   1.10777229E-01   9.67730427E+00   4.22519222E-02   1.80881135E-02   1.10033043E-01   1.68155289E+00   1.63669562E+06   7.42824411E+00   1.68206525E+00   1.62065350E+06   7.39319944E+00   1.67889750E+00   1.69725500E+06   7.56053829E+00 
0 340 7.08428782E-09   3.46803546E-07   1.39555738E-07   1.27423704E-07   2.12150866E-08   8.16108792E-10   1.76627537E-07   9.67896652E+00   -1.43777817E-01   -5.11364415E-02   1.09942652E-01   9.56871986E+00   -3.18646058E-02   1.06395386E-01   1.10867865E-01   9.67445755E+00   4.37661372E-02   1.52519979E-02   1.10068470E-01   1.68165267E+00   1.63376062E+06   7.42183208E+00   1.68210292E+00   1.61936338E+06   7.39038086E+00   1.67907035E+00   1.69397938E+06   7.55338287E+00 
0 350 6.73572842E-09   3.30993458E-07   1.30620478E-07   1.14720720E-07   2.04144168E-08   8.11394674E-10   1.70234813E-07   9.67226219E+00   -1.42247319E-01   -5.10963090E-02   1.10018462E-01   9.56175423E+00   -3.09114568E-02   1.07217669E-01   1.10952109E-01   9.66948318E+00   4.72448766E-02   1.58008579E-02   1.10126868E-01   1.68173885E+00   1.63115712E+06   7.41614485E+00   1.68216074E+00   1.61735112E+06   7.38598490E+00   1.67922401E+00   1.69101275E+06   7.54690218E+00 
0 360 6.17350615E-09   3.16662721E-07   1.22417887E-07   1.03639948E-07   1.84616127E-08   8.05679856E-10   1.64348492E-07   9.66520309E+00   -1.40867963E-01   -4.87299263E-02   1.10099301E-01   9.55556488E+00   -2.81618536E-02   1.07924074E-01   1.11027926E-01   9.66209316E+00   5.24663366E-02   1.93940718E-02   1.10212162E-01   1.68182135E+00   1.62860312E+06   7.41056538E+00   1.68223906E+00   1.61455200E+06   7.37987041E+00   1.67935383E+00   1.68846300E+06   7.54133177E+00 
0 370 5.75360648E-09   3.03170907E-07   1.13628026E-07   9.38936964E-08   1.69386940E-08   7.99233180E-10   1.58741230E-07   9.65779209E+00   -1.40029013E-01   -4.51862775E-02   1.10185370E-01   9.55026722E+00   -2.51175258E-02   1.08088359E-01   1.11092798E-01   9.65390682E+00   5.79199232E-02   2.36667283E-02   1.10306434E-01   1.68190169E+00   1.62605262E+06   7.40499401E+00   1.68232083E+00   1.61153025E+06   7.37326908E+00   1.67945874E+00   1.68637275E+06   7.53676558E+00 
0 380 5.65313973E-09   2.89935429E-07   1.04467070E-07   8.50015880E-08   1.68059717E-08   7.92429400E-10   1.53242453E-07   9.65072536E+00   -1.39840245E-01   -4.23433520E-02   1.10268630E-01   9.54583740E+00   -2.32695434E-02   1.07519239E-01   1.11146033E-01   9.64711285E+00   6.19533174E-02   2.62165796E-02   1.10384949E-01   1.68197572E+00   1.62364788E+06   7.39974070E+00   1.68238688E+00   1.60901012E+06   7.36776400E+00   1.67954373E+00   1.68465962E+06   7.53302336E+00 
0 390 5.57921265E-09   2.77014180E-07   9.60749063E-08   7.71724871E-08   1.69052594E-08   7.85653043E-10   1.48192598E-07   9.64472771E+00   -1.40067339E-01   -4.14952263E-02   1.10340483E-01   9.54193687E+00   -2.33034417E-02   1.06582507E-01   1.11191250E-01   9.64302540E+00   6.38460591E-02   2.62835957E-02   1.10432737E-01   1.68203843E+00   1.62155975E+06   7.39517927E+00   1.68242788E+00   1.60740612E+06   7.36425972E+00   1.67962039E+00   1.68309838E+06   7.52961254E+00 
0 400 5.30795319E-09   2.64966673E-07   8.91459209E-08   7.05736767E-08   1.62215681E-08   7.78874854E-10   1.43491889E-07   9.64004517E+00   -1.40332833E-01   -4.26198617E-02   1.10397555E-01   9.53793144E+00   -2.47507505E-02   1.06037445E-01   1.11236326E-01   9.64144039E+00   6.40009940E-02   2.50313431E-02   1.10452130E-01   1.68208909E+00   1.61983900E+06   7.39141989E+00   1.68244731E+00   1.60663450E+06   7.36257410E+00   1.67970371E+00   1.68138412E+06   7.52586794E+00 
0 410 4.85499951E-09   2.54209681E-07   8.37826235E-08   6.51053966E-08   1.46747308E-08   7.71929520E-10   1.38976120E-07   9.63628960E+00   -1.40350461E-01   -4.45716754E-02   1.10443659E-01   9.53317928E+00   -2.63448376E-02   1.06530316E-01   1.11289859E-01   9.64102936E+00   6.34402782E-02   2.44293734E-02   1.10458404E-01   1.68213165E+00   1.61836875E+06   7.38820839E+00   1.68245649E+00   1.60627000E+06   7.36177826E+00   1.67980516E+00   1.67927038E+06   7.52125025E+00 
0 420 4.42772530E-09   2.44599875E-07   7.95040833E-08   6.06349886E-08   1.29849713E-08   7.64785901E-10   1.34615505E-07   9.63269711E+00   -1.40044615E-01   -4.59469333E-02   1.10487059E-01   9.52743435E+00   -2.68321428E-02   1.08128667E-01   1.11355923E-01   9.64035892E+00   6.30232915E-02   2.56991591E-02   1.10468045E-01   1.68217242E+00   1.61693675E+06   7.38507986E+00   1.68246615E+00   1.60588050E+06   7.36092710E+00   1.67992628E+00   1.67671038E+06   7.51565790E+00 
0 430 4.39367120E-09   2.35593234E-07   7.51930642E-08   5.64308635E-08   1.27339517E-08   7.57563512E-10   1.30253810E-07   9.62865067E+00   -1.39538318E-01   -4.59664613E-02   1.10534742E-01   9.52106667E+00   -2.57099308E-02   1.10225230E-01   1.11431062E-01   9.63880920E+00   6.30206913E-02   2.84925494E-02   1.10488236E-01   1.68221641E+00   1.61536788E+06   7.38165283E+00   1.68248081E+00   1.60529000E+06   7.35963726E+00   1.68005669E+00   1.67390150E+06   7.50952148E+00 
0 440 4.74913575E-09   2.26736134E-07   7.01410841E-08   5.17050758E-08   1.41001824E-08   7.50569940E-10   1.25867615E-07   9.62404060E+00   -1.39024749E-01   -4.47966307E-02   1.10588215E-01   9.51487064E+00   -2.34168321E-02   1.11881368E-01   1.11506134E-01   9.63675499E+00   6.32188842E-02   3.12895551E-02   1.10514723E-01   1.68226445E+00   1.61362350E+06   7.37784195E+00   1.68249738E+00   1.60461438E+06   7.35816145E+00   1.68018055E+00   1.67118388E+06   7.50358534E+00 
0 450 4.93705343E-09   2.17978965E-07   6.50654002E-08   4.70269654E-08   1.48824411E-08   7.44159678E-10   1.21524778E-07   9.61925793E+00   -1.38620034E-01   -4.32111323E-02   1.10643506E-01   9.50958061E+00   -2.09214091E-02   1.12360865E-01   1.11572005E-01   9.63504887E+00   6.32907376E-02   3.25775221E-02   1.10537589E-01   1.68231332E+00   1.61180988E+06   7.37387991E+00   1.68250990E+00   1.60410025E+06   7.35703802E+00   1.68028510E+00   1.66885000E+06   7.49848652E+00 
0 460 4.56390570E-09   2.09539365E-07   6.12161131E-08   4.36934791E-08   1.35744056E-08   7.38507144E-10   1.17324532E-07   9.61488724E+00   -1.38314992E-01   -4.19591926E-02   1.10694438E-01   9.50540829E+00   -1.90348402E-02   1.11501850E-01   1.11625232E-01   9.63430023E+00   6.30678535E-02   3.18861119E-02   1.10549450E-01   1.68235838E+00   1.61010638E+06   7.37015867E+00   1.68251443E+00   1.60391288E+06   7.35662889E+00   1.68036759E+00   1.66698150E+06   7.49440479E+00 
0 470 3.80357079E-09   2.01523321E-07   5.85186122E-08   4.16257002E-08   1.08780975E-08   7.33552608E-10   1.13413066E-07   9.61136246E+00   -1.38023391E-01   -4.13108543E-02   1.10736318E-01   9.50191593E+00   -1.79399010E-02   1.09736234E-01   1.11669891E-01   9.63445759E+00   6.25559092E-02   2.99933050E-02   1.10550374E-01   1.68239582E+00   1.60866512E+06   7.36701012E+00   1.68251193E+00   1.60401438E+06   7.35685015E+00   1.68043613E+00   1.66540812E+06   7.49096775E+00 
