RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 1 8.94621337E-08   4.54959172E-06   6.25456153E-07   6.65605342E-07   3.23549813E-07   1.24271793E-07   9.72399284E-05   9.94068146E+00   -2.79283263E-02   -1.05379112E-02   1.05712250E-01   9.93576622E+00   -2.73033399E-02   -9.87344608E-03   1.05764069E-01   9.95158577E+00   -2.54043117E-02   -3.00889579E-03   1.05595261E-01   1.68640363E+00   2.15216500E+06   9.69713688E+00   1.68640602E+00   2.15196275E+06   9.69510746E+00   1.68640363E+00   2.15216925E+06   9.69718075E+00 
0 10 2.68889664E-07   3.79139465E-06   1.85062959E-06   1.29710759E-06   9.25428935E-07   1.00469100E-09   1.30369472E-06   9.53376007E+00   -1.69011116E-01   -5.71826473E-02   1.10162050E-01   9.47594261E+00   -1.54403374E-01   -1.69231296E-02   1.10866763E-01   9.56844521E+00   -1.69505820E-01   5.78910019E-03   1.09783292E-01   1.67904532E+00   2.08512838E+06   9.02414131E+00   1.67887068E+00   2.08437938E+06   9.01662159E+00   1.67915833E+00   2.08561788E+06   9.02905560E+00 
0 20 2.56031171E-07   3.49598554E-06   2.20133438E-06   1.81974951E-06   8.57962107E-07   1.36683120E-09   1.30446915E-06   9.80831051E+00   -2.79063642E-01   -7.43693039E-02   1.07016206E-01   9.70079136E+00   -2.48284250E-01   -8.58469028E-03   1.08277917E-01   9.81725788E+00   -2.86267638E-01   2.67846100E-02   1.06998079E-01   1.67570722E+00   2.07206662E+06   8.89301109E+00   1.67550063E+00   2.07133050E+06   8.88562107E+00   1.67564940E+00   2.07186000E+06   8.89093685E+00 
0 30 1.92039295E-07   3.06198422E-06   2.22067320E-06   1.78168193E-06   6.18498518E-07   1.69585368E-09   1.38250505E-06   1.01614475E+01   -3.39940339E-01   -1.15615979E-01   1.03402816E-01   1.00738316E+01   -2.86562830E-01   1.78123038E-04   1.04356304E-01   1.01829853E+01   -3.39852542E-01   4.56706397E-02   1.03240915E-01   1.67671633E+00   2.06004038E+06   8.84297562E+00   1.67701566E+00   2.05712862E+06   8.83198071E+00   1.67675734E+00   2.05964550E+06   8.84148407E+00 
0 40 1.42476679E-07   2.65291760E-06   1.90158505E-06   1.57422937E-06   4.61395018E-07   1.26839506E-09   1.10255803E-06   1.02503958E+01   -3.69192272E-01   -1.43542469E-01   1.02594696E-01   1.01354952E+01   -2.79512286E-01   6.46358170E-03   1.03826426E-01   1.02970209E+01   -3.46992135E-01   4.98621017E-02   1.02201514E-01   1.68054271E+00   2.01690538E+06   8.68009472E+00   1.68077624E+00   2.01368400E+06   8.66793060E+00   1.68027985E+00   2.02041762E+06   8.69335651E+00 
0 50 1.17150769E-07   2.49036498E-06   1.59578099E-06   1.39317945E-06   3.77871203E-07   9.98374050E-10   8.96937991E-07   1.02349396E+01   -3.53683025E-01   -1.37068048E-01   1.02805421E-01   1.00885458E+01   -2.58972496E-01   1.36203161E-02   1.04362920E-01   1.02944298E+01   -3.24114680E-01   6.11076541E-02   1.02278687E-01   1.68325007E+00   1.96938562E+06   8.50065613E+00   1.68340373E+00   1.96544062E+06   8.48575878E+00   1.68301749E+00   1.97488738E+06   8.52143097E+00 
0 60 9.89743825E-08   2.49056211E-06   1.38075507E-06   1.22494134E-06   3.15343385E-07   9.08543241E-10   7.70689780E-07   1.02013273E+01   -3.10204476E-01   -1.21786788E-01   1.03216395E-01   1.00483875E+01   -2.08482951E-01   3.75601277E-02   1.04853369E-01   1.02631741E+01   -2.79121280E-01   8.86006504E-02   1.02660567E-01   1.68433058E+00   1.92702738E+06   8.34070683E+00   1.68437552E+00   1.92197512E+06   8.32162952E+00   1.68426442E+00   1.93230725E+06   8.36064434E+00 
0 70 8.43713366E-08   2.41444332E-06   1.22187748E-06   1.09249220E-06   2.65043866E-07   8.91541618E-10   6.82789164E-07   1.01738186E+01   -2.49254912E-01   -1.24956369E-01   1.03605457E-01   1.00157957E+01   -1.42059669E-01   4.84449305E-02   1.05294742E-01   1.02397604E+01   -2.25068733E-01   9.68562141E-02   1.02997974E-01   1.68421268E+00   1.88790700E+06   8.19298553E+00   1.68412542E+00   1.88315550E+06   8.17504406E+00   1.68430507E+00   1.89429288E+06   8.21709919E+00 
0 80 7.24080778E-08   2.23355437E-06   1.10097835E-06   9.98579139E-07   2.19493373E-07   9.17218690E-10   6.24134373E-07   1.01216927E+01   -1.94003835E-01   -1.30493283E-01   1.04267806E-01   9.95374870E+00   -9.15576592E-02   5.27741723E-02   1.06054910E-01   1.01955128E+01   -1.67354316E-01   9.58947390E-02   1.03557318E-01   1.68321157E+00   1.85321200E+06   8.06197453E+00   1.68306816E+00   1.84981188E+06   8.04913521E+00   1.68355250E+00   1.86222062E+06   8.09599209E+00 
0 90 6.43205240E-08   2.04035337E-06   9.98261498E-07   9.30351064E-07   1.88610855E-07   9.39336608E-10   5.77542039E-07   1.00574961E+01   -1.54382631E-01   -1.26785040E-01   1.05060868E-01   9.88816833E+00   -5.82237020E-02   5.90320602E-02   1.06859259E-01   1.01477871E+01   -1.19313471E-01   9.21458229E-02   1.04160428E-01   1.68184710E+00   1.82617338E+06   7.95987415E+00   1.68171525E+00   1.82400050E+06   7.95166922E+00   1.68247771E+00   1.83743712E+06   8.00240707E+00 
0 100 5.86425273E-08   1.88309332E-06   9.17377463E-07   8.73315116E-07   1.72634088E-07   9.48269796E-10   5.33396474E-07   1.00185862E+01   -1.29456028E-01   -1.23533629E-01   1.05592646E-01   9.85053349E+00   -3.89044955E-02   5.92307597E-02   1.07372172E-01   1.01132250E+01   -8.74211416E-02   8.92443582E-02   1.04635246E-01   1.68072426E+00   1.80913275E+06   7.89552736E+00   1.68062782E+00   1.80779962E+06   7.89049387E+00   1.68155801E+00   1.82147900E+06   7.94214821E+00 
0 110 5.01437221E-08   1.75407706E-06   8.61684953E-07   8.31227908E-07   1.48033251E-07   9.55251989E-10   4.91681647E-07   1.00096426E+01   -1.18889950E-01   -1.28153846E-01   1.05803162E-01   9.83702469E+00   -3.17662768E-02   4.95127216E-02   1.07624054E-01   1.00986118E+01   -7.12036565E-02   8.22987556E-02   1.04900196E-01   1.68010259E+00   1.80081812E+06   7.86413097E+00   1.68003774E+00   1.79998675E+06   7.86099148E+00   1.68103230E+00   1.81351350E+06   7.91206980E+00 
0 120 4.21216804E-08   1.62871640E-06   8.21018318E-07   8.06617152E-07   1.23433622E-07   9.67704583E-10   4.56205413E-07   1.00129948E+01   -1.17149614E-01   -1.37621820E-01   1.05875261E-01   9.83471012E+00   -2.98471861E-02   3.62848453E-02   1.07749298E-01   1.00960102E+01   -6.74409941E-02   7.22184107E-02   1.05034254E-01   1.67973435E+00   1.79617588E+06   7.84660149E+00   1.67969084E+00   1.79563975E+06   7.84457731E+00   1.68073499E+00   1.80928300E+06   7.89609480E+00 
