RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 4.53967388E-08   2.06549271E-06   8.48886430E-07   2.98977227E-07   1.62107838E-07   6.03322832E-08   5.91801145E-05   7.21380997E+00   -2.95483208E+00   1.03252949E-02   1.07850783E-01   7.16349316E+00   -2.91816759E+00   3.71077470E-02   1.08677961E-01   1.67830503E+00   1.70803825E+06   7.58409500E+00   1.67875504E+00   1.69990825E+06   7.56633472E+00 
0 10 6.20197795E-08   1.24888800E-06   7.58151657E-07   6.33486536E-07   2.05795132E-07   6.47268683E-10   6.92608921E-07   6.97078085E+00   -2.95409751E+00   5.45684025E-02   1.11258596E-01   6.97047567E+00   -2.94534969E+00   1.14381090E-01   1.11218221E-01   1.67918718E+00   1.36034062E+06   6.82453537E+00   1.67943418E+00   1.36520412E+06   6.83515978E+00 
0 20 3.81130505E-08   9.11821701E-07   5.52717950E-07   3.70050884E-07   1.41782138E-07   7.69542596E-10   8.13024428E-07   7.27593374E+00   -3.14160442E+00   1.80472627E-01   1.06550567E-01   7.33493423E+00   -3.18030858E+00   3.32071662E-01   1.05607875E-01   1.67611170E+00   1.30872038E+06   6.71176863E+00   1.67385030E+00   1.29670050E+06   6.68649197E+00 
0 30 3.12981783E-08   7.24304584E-07   4.37092069E-07   3.38618690E-07   1.00945378E-07   5.33487643E-10   6.90810452E-07   7.06746578E+00   -3.02582526E+00   2.74437755E-01   1.10050820E-01   7.13597393E+00   -3.08253145E+00   3.77146572E-01   1.08804971E-01   1.58261371E+00   1.12138712E+06   6.35805988E+00   1.58201158E+00   1.12022412E+06   6.35588121E+00 
0 40 1.99404830E-08   6.32463752E-07   3.82916738E-07   3.34728156E-07   6.57425971E-08   4.61880173E-10   5.72179886E-07   7.03021765E+00   -2.97725797E+00   3.44440877E-01   1.11041769E-01   7.04970360E+00   -3.02045107E+00   4.02831107E-01   1.10518187E-01   1.53749621E+00   1.03402419E+06   6.19439411E+00   1.53879905E+00   1.03655338E+06   6.19913244E+00 
0 50 1.50029820E-08   5.60331500E-07   3.33936953E-07   2.86815322E-07   4.43858248E-08   4.31201796E-10   4.69958508E-07   6.99798346E+00   -2.90842724E+00   3.28084946E-01   1.12158693E-01   7.03122902E+00   -2.92662716E+00   3.50557834E-01   1.11605383E-01   1.50923455E+00   9.79070625E+05   6.09144402E+00   1.51216948E+00   9.84785688E+05   6.10215092E+00 
0 60 1.25309230E-08   4.75338823E-07   2.90748488E-07   2.52119520E-07   3.56025609E-08   4.11022744E-10   4.04166940E-07   6.94196701E+00   -2.83730340E+00   3.03048074E-01   1.13584489E-01   6.93857813E+00   -2.83817554E+00   3.17122489E-01   1.13628328E-01   1.48930180E+00   9.40204625E+05   6.01863289E+00   1.49221087E+00   9.45882250E+05   6.02926922E+00 
0 70 9.12591336E-09   4.03229279E-07   2.54905274E-07   2.31416180E-07   2.57674149E-08   3.97641087E-10   3.52664244E-07   6.91555357E+00   -2.78992820E+00   3.10995311E-01   1.14426672E-01   6.90025759E+00   -2.78344440E+00   3.15789163E-01   1.14681616E-01   1.48336184E+00   9.28605062E+05   5.99690199E+00   1.48576832E+00   9.33305312E+05   6.00570774E+00 
0 80 7.29880067E-09   3.65306818E-07   2.30871052E-07   2.13022588E-07   1.99223749E-08   3.84061838E-10   3.07506014E-07   6.89622068E+00   -2.77465320E+00   3.23564619E-01   1.14937745E-01   6.88935709E+00   -2.76958799E+00   3.24921817E-01   1.15069717E-01   1.47986376E+00   9.21770438E+05   5.98409796E+00   1.48341417E+00   9.28707312E+05   5.99709368E+00 
0 90 6.22968965E-09   3.32503106E-07   2.08213663E-07   1.97469873E-07   1.66535550E-08   3.71115083E-10   2.69867144E-07   6.85585117E+00   -2.77969742E+00   3.18882525E-01   1.15602762E-01   6.86115408E+00   -2.77567005E+00   3.18967164E-01   1.15550943E-01   1.47229910E+00   9.06980812E+05   5.95639133E+00   1.47812665E+00   9.18375375E+05   5.97773790E+00 
0 100 5.29638289E-09   2.99504279E-07   1.80455487E-07   1.84561614E-07   1.43600820E-08   3.56314894E-10   2.40698085E-07   6.81177759E+00   -2.78681993E+00   3.01696420E-01   1.16279013E-01   6.84390354E+00   -2.77598357E+00   3.00586432E-01   1.15871117E-01   1.46251976E+00   8.91080875E+05   5.92094612E+00   1.47111940E+00   9.04673375E+05   5.95206833E+00 
0 110 4.44431381E-09   2.69644914E-07   1.56381986E-07   1.68751455E-07   1.13844854E-08   3.41184914E-10   2.19643567E-07   6.77310705E+00   -2.79843187E+00   2.81363100E-01   1.16813257E-01   6.83384228E+00   -2.77130294E+00   2.84753859E-01   1.16069332E-01   1.45376980E+00   8.78120000E+05   5.88935566E+00   1.46562064E+00   8.95670500E+05   5.93213272E+00 
0 120 4.01010025E-09   2.43266470E-07   1.37664472E-07   1.50602801E-07   9.81034010E-09   3.25518307E-10   2.03519008E-07   6.74808741E+00   -2.80823660E+00   2.65906632E-01   1.17125258E-01   6.83021259E+00   -2.76849318E+00   2.81856209E-01   1.16130516E-01   1.44804609E+00   8.69633688E+05   5.86867142E+00   1.46200454E+00   8.90318125E+05   5.91908693E+00 
0 130 3.57120955E-09   2.19411433E-07   1.21659610E-07   1.31977330E-07   8.61614424E-09   3.08460812E-10   1.89548828E-07   6.73009682E+00   -2.81408668E+00   2.62408257E-01   1.17341772E-01   6.82093525E+00   -2.76420140E+00   2.93118447E-01   1.16268247E-01   1.44380391E+00   8.63339875E+05   5.85333109E+00   1.45801413E+00   8.84408938E+05   5.90468407E+00 
0 140 3.00095993E-09   1.97027518E-07   1.08093992E-07   1.15065752E-07   7.18713755E-09   2.90721724E-10   1.76367280E-07   6.70810032E+00   -2.81936264E+00   2.69454062E-01   1.17618948E-01   6.80429316E+00   -2.75584006E+00   3.12967330E-01   1.16533905E-01   1.43933821E+00   8.56710375E+05   5.83717251E+00   1.45370054E+00   8.78017375E+05   5.88910532E+00 
0 150 2.60180699E-09   1.76293810E-07   9.64159526E-08   1.00927465E-07   6.57006360E-09   2.73181644E-10   1.63682728E-07   6.68369246E+00   -2.82579303E+00   2.76735395E-01   1.17931940E-01   6.78884125E+00   -2.74698377E+00   3.30768585E-01   1.16792902E-01   1.43506420E+00   8.50361875E+05   5.82169867E+00   1.45038319E+00   8.73099688E+05   5.87711906E+00 
0 160 2.27845542E-09   1.57833043E-07   8.62301448E-08   9.11098539E-08   5.73208991E-09   2.58264743E-10   1.51766656E-07   6.66312599E+00   -2.83164787E+00   2.77693778E-01   1.18199565E-01   6.77765942E+00   -2.74002337E+00   3.39540690E-01   1.16989538E-01   1.43196070E+00   8.45749812E+05   5.81045723E+00   1.44849777E+00   8.70303688E+05   5.87030411E+00 
0 170 1.99497197E-09   1.42705176E-07   7.74798039E-08   8.41112495E-08   4.85311658E-09   2.47184717E-10   1.40877461E-07   6.64964056E+00   -2.83653331E+00   2.75782615E-01   1.18368074E-01   6.77086639E+00   -2.73512554E+00   3.40887427E-01   1.17115296E-01   1.43040049E+00   8.43430500E+05   5.80480433E+00   1.44764662E+00   8.69041188E+05   5.86722708E+00 
0 180 1.79260606E-09   1.30871371E-07   6.99155152E-08   7.75896680E-08   4.42396830E-09   2.39212067E-10   1.31157407E-07   6.64175844E+00   -2.84163976E+00   2.76140392E-01   1.18446656E-01   6.76558685E+00   -2.73136163E+00   3.39403450E-01   1.17212169E-01   1.42981231E+00   8.42555812E+05   5.80267239E+00   1.44677651E+00   8.67750438E+05   5.86408091E+00 
0 190 1.59310398E-09   1.21258424E-07   6.35808632E-08   7.06218728E-08   3.98962374E-09   2.33260994E-10   1.22418712E-07   6.63722372E+00   -2.84647417E+00   2.79472530E-01   1.18474014E-01   6.75904655E+00   -2.72785187E+00   3.39224339E-01   1.17323361E-01   1.42947721E+00   8.42057625E+05   5.80145836E+00   1.44521189E+00   8.65429125E+05   5.85842323E+00 
0 200 1.41441159E-09   1.12951604E-07   5.80411452E-08   6.31469916E-08   3.51719409E-09   2.28241745E-10   1.14151455E-07   6.63684034E+00   -2.84927344E+00   2.84529477E-01   1.18452586E-01   6.75159359E+00   -2.72442842E+00   3.41746122E-01   1.17446169E-01   1.42937207E+00   8.41901250E+05   5.80107689E+00   1.44317997E+00   8.62413750E+05   5.85107374E+00 
0 210 1.24335753E-09   1.05763476E-07   5.31467670E-08   5.54293322E-08   3.09607406E-09   2.23695826E-10   1.06236449E-07   6.64263248E+00   -2.84841347E+00   2.90745527E-01   1.18363537E-01   6.74494123E+00   -2.72153354E+00   3.45730662E-01   1.17555685E-01   1.42987680E+00   8.42651812E+05   5.80290651E+00   1.44126904E+00   8.59577188E+05   5.84415960E+00 
0 220 1.11485121E-09   9.94413938E-08   4.90479692E-08   4.80324012E-08   2.81434009E-09   2.19150406E-10   9.87035875E-08   6.65511656E+00   -2.84317613E+00   2.97972769E-01   1.18203536E-01   6.74013853E+00   -2.71918035E+00   3.49117905E-01   1.17637940E-01   1.43114316E+00   8.44534500E+05   5.80749512E+00   1.43982506E+00   8.57433312E+05   5.83893442E+00 
0 230 1.00672248E-09   9.38928721E-08   4.55002649E-08   4.17750918E-08   2.56535460E-09   2.14258722E-10   9.16330620E-08   6.67281675E+00   -2.83406758E+00   3.05988550E-01   1.17991246E-01   6.73682261E+00   -2.71700501E+00   3.50607127E-01   1.17700368E-01   1.43298233E+00   8.47268312E+05   5.81415844E+00   1.43880641E+00   8.55920688E+05   5.83524752E+00 
0 240 9.32903199E-10   8.89115341E-08   4.23671231E-08   3.67871706E-08   2.42145815E-09   2.08852408E-10   8.50249364E-08   6.69364738E+00   -2.82222915E+00   3.14041197E-01   1.17751062E-01   6.73386717E+00   -2.71479464E+00   3.50351602E-01   1.17759608E-01   1.43516898E+00   8.50517500E+05   5.82207823E+00   1.43795729E+00   8.54659625E+05   5.83217382E+00 
0 250 8.83888351E-10   8.45541663E-08   3.96320452E-08   3.27461898E-08   2.38614284E-09   2.02967226E-10   7.88835379E-08   6.71598673E+00   -2.80864835E+00   3.21069956E-01   1.17501348E-01   6.73027754E+00   -2.71264267E+00   3.49488050E-01   1.17828235E-01   1.43758881E+00   8.54112312E+05   5.83083963E+00   1.43705380E+00   8.53317625E+05   5.82890272E+00 
0 260 8.33229541E-10   8.07277871E-08   3.72876663E-08   2.94742950E-08   2.31886155E-09   1.96802949E-10   7.32096836E-08   6.73898411E+00   -2.79416871E+00   3.26470912E-01   1.17249295E-01   6.72592163E+00   -2.71067882E+00   3.49054396E-01   1.17906868E-01   1.44021106E+00   8.58006562E+05   5.84033155E+00   1.43606520E+00   8.51849062E+05   5.82532358E+00 
0 270 7.63696328E-10   7.72685951E-08   3.53200491E-08   2.66552878E-08   2.16292362E-09   1.90664193E-10   6.79965027E-08   6.76154613E+00   -2.77953219E+00   3.30510318E-01   1.17005654E-01   6.72144318E+00   -2.70901585E+00   3.49214524E-01   1.17985919E-01   1.44292116E+00   8.62029625E+05   5.85013723E+00   1.43511307E+00   8.50434562E+05   5.82187557E+00 
