RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 4.76888324E-08   2.21583264E-06   4.73192841E-07   2.98568494E-07   1.69994991E-07   5.99934822E-08   5.88445364E-05   7.61832237E+00   -1.51638675E+00   -9.69448686E-03   1.08230695E-01   7.66497755E+00   -1.49561679E+00   -3.96866649E-02   1.07657865E-01   1.67912555E+00   1.69291838E+06   7.55106497E+00   1.67862654E+00   1.70226875E+06   7.57149124E+00 
0 10 6.35079616E-08   1.33125161E-06   6.78867821E-07   6.53113489E-07   2.11085151E-07   6.45917375E-10   7.03559920E-07   7.42156124E+00   -1.56329334E+00   -1.64304599E-01   1.10920154E-01   7.42644501E+00   -1.44984126E+00   -2.83712149E-01   1.11178420E-01   1.67896473E+00   1.35608125E+06   6.81523037E+00   1.67849326E+00   1.34738550E+06   6.79623413E+00 
0 20 3.87749353E-08   9.75174203E-07   4.77164690E-07   3.73503582E-07   1.44327544E-07   7.56058383E-10   8.08819550E-07   7.73532009E+00   -1.70605636E+00   -2.28079244E-01   1.06534958E-01   7.79559183E+00   -1.48062122E+00   -3.13892692E-01   1.06347844E-01   1.66556370E+00   1.28085138E+06   6.65680027E+00   1.67057335E+00   1.29043488E+06   6.67475367E+00 
0 30 3.19346682E-08   7.69394660E-07   3.88814811E-07   3.47595801E-07   1.02385691E-07   5.26880872E-10   6.95956771E-07   7.54943371E+00   -1.58240294E+00   -2.49855354E-01   1.09607205E-01   7.57099152E+00   -1.55668044E+00   -3.47707093E-01   1.09368816E-01   1.56778920E+00   1.09273112E+06   6.30437565E+00   1.57351530E+00   1.10380550E+06   6.32512236E+00 
0 40 1.98260377E-08   6.75876493E-07   3.44704034E-07   3.40873612E-07   6.58048549E-08   4.60043170E-10   5.75749425E-07   7.48807859E+00   -1.57053041E+00   -2.32830659E-01   1.10803559E-01   7.56004429E+00   -1.54487622E+00   -2.82024831E-01   1.09842561E-01   1.52117324E+00   1.00230650E+06   6.13497448E+00   1.52943087E+00   1.01835962E+06   6.16504812E+00 
0 50 1.53145141E-08   5.97863846E-07   2.99593893E-07   2.99192550E-07   4.45684591E-08   4.28375418E-10   4.65267703E-07   7.39471388E+00   -1.51464295E+00   -2.66442120E-01   1.12554282E-01   7.50792599E+00   -1.57066715E+00   -2.70530313E-01   1.10754602E-01   1.49022067E+00   9.41998188E+05   6.02199268E+00   1.49994767E+00   9.60973562E+05   6.05754137E+00 
0 60 1.32093207E-08   5.03703518E-07   2.65230824E-07   2.62394536E-07   3.77681708E-08   4.12075069E-10   3.99363358E-07   7.27925396E+00   -1.49590302E+00   -2.73764342E-01   1.14497408E-01   7.42070436E+00   -1.55627012E+00   -2.72014767E-01   1.12227328E-01   1.47071099E+00   9.03874375E+05   5.95057154E+00   1.47881138E+00   9.19713688E+05   5.98024511E+00 
0 70 9.44763645E-09   4.27803002E-07   2.38141681E-07   2.34138497E-07   2.65043596E-08   4.01922134E-10   3.48925454E-07   7.22466278E+00   -1.50006640E+00   -2.51586854E-01   1.15457065E-01   7.38036776E+00   -1.52650380E+00   -2.51442105E-01   1.13074332E-01   1.46298635E+00   8.91771562E+05   5.92262936E+00   1.47482085E+00   9.11912500E+05   5.96563053E+00 
0 80 7.51444151E-09   3.95002814E-07   2.16542347E-07   2.17436806E-07   2.09885886E-08   3.85198595E-10   3.02228443E-07   7.15466976E+00   -1.51582980E+00   -2.34169871E-01   1.16568379E-01   7.35827780E+00   -1.51425159E+00   -2.30759427E-01   1.13548756E-01   1.45168138E+00   8.75024438E+05   5.88181067E+00   1.47572982E+00   9.13689938E+05   5.96896029E+00 
0 90 6.84609702E-09   3.66093644E-07   1.92879313E-07   2.03755206E-07   1.97243200E-08   3.73248377E-10   2.65292840E-07   7.06591368E+00   -1.53632009E+00   -2.38205731E-01   1.17935002E-01   7.33005524E+00   -1.50158787E+00   -2.30316207E-01   1.14067219E-01   1.43326855E+00   8.47693562E+05   5.81519508E+00   1.47337735E+00   9.09089750E+05   5.96034193E+00 
