RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 4.55455655E-08   2.23609845E-06   2.46329250E-07   3.10701267E-07   1.62672251E-07   6.01611632E-08   5.90119816E-05   7.79107237E+00   -4.41957921E-01   2.65119616E-02   1.07738391E-01   7.72781277E+00   -4.18376923E-01   4.00140285E-02   1.08618706E-01   1.67824864E+00   1.70903062E+06   7.58626270E+00   1.67866397E+00   1.70158388E+06   7.56999493E+00 
0 10 6.30988453E-08   1.33253275E-06   6.27140253E-07   6.40769144E-07   2.09127336E-07   6.47092879E-10   6.89724402E-07   7.61239576E+00   -4.95311677E-01   8.57751444E-02   1.10403426E-01   7.61957741E+00   -5.14998019E-01   1.15934260E-01   1.10185035E-01   1.67852426E+00   1.34794538E+06   6.79745722E+00   1.67853963E+00   1.34822325E+06   6.79806423E+00 
0 20 3.89040942E-08   9.74148406E-07   4.61171425E-07   3.75503362E-07   1.45042648E-07   7.69369901E-10   8.16101306E-07   8.01735878E+00   -5.74002862E-01   2.20184743E-01   1.05027251E-01   8.10084820E+00   -5.67172110E-01   3.09803396E-01   1.03973605E-01   1.67169511E+00   1.29258000E+06   6.67877245E+00   1.66666293E+00   1.28295462E+06   6.66074038E+00 
0 30 3.19517532E-08   7.75922956E-07   3.60746640E-07   3.42735319E-07   1.02769704E-07   5.32184519E-10   6.99887948E-07   7.82347584E+00   -4.90879029E-01   2.90968478E-01   1.07913017E-01   7.95662022E+00   -5.38681448E-01   3.49027306E-01   1.06070518E-01   1.57113338E+00   1.09919962E+06   6.31649399E+00   1.56994557E+00   1.09690250E+06   6.31219053E+00 
0 40 2.01544648E-08   6.75508829E-07   3.24318108E-07   3.41404217E-07   6.65244286E-08   4.62703459E-10   5.83677206E-07   7.81931067E+00   -4.83925462E-01   3.24599862E-01   1.08201392E-01   7.88241291E+00   -5.07391751E-01   3.71142983E-01   1.07300751E-01   1.52668178E+00   1.01301700E+06   6.15503931E+00   1.52669215E+00   1.01303712E+06   6.15507698E+00 
0 50 1.52735726E-08   5.96888469E-07   2.87829266E-07   2.96041350E-07   4.54586697E-08   4.31407576E-10   4.78398476E-07   7.78869867E+00   -4.35076207E-01   2.85265625E-01   1.08926170E-01   7.86040115E+00   -4.52827543E-01   3.21624279E-01   1.07901856E-01   1.49929345E+00   9.59698062E+05   6.05515146E+00   1.50123894E+00   9.63490875E+05   6.06225729E+00 
0 60 1.27954412E-08   5.06877939E-07   2.57131632E-07   2.59724573E-07   3.65529580E-08   4.09760587E-10   4.10240034E-07   7.70138931E+00   -3.95048976E-01   2.53274441E-01   1.10358782E-01   7.73955202E+00   -4.26557809E-01   3.02434117E-01   1.09745145E-01   1.47851121E+00   9.19127062E+05   5.97914600E+00   1.48181355E+00   9.25580312E+05   5.99123573E+00 
0 70 9.40016154E-09   4.30213163E-07   2.31442044E-07   2.37624349E-07   2.64995492E-08   3.97165023E-10   3.57903389E-07   7.65399694E+00   -3.70331675E-01   2.67005265E-01   1.11139946E-01   7.67772198E+00   -4.01211828E-01   3.11128199E-01   1.10727765E-01   1.47202158E+00   9.06437938E+05   5.95537424E+00   1.47616911E+00   9.14548688E+05   5.97056913E+00 
0 80 7.45459161E-09   3.92014130E-07   2.12512418E-07   2.18850602E-07   2.04993125E-08   3.85192656E-10   3.11737864E-07   7.61233997E+00   -3.65426749E-01   2.91120261E-01   1.11754857E-01   7.65057278E+00   -3.97965670E-01   3.27919543E-01   1.11144520E-01   1.46714270E+00   8.97922625E+05   5.93762207E+00   1.47414541E+00   9.10591750E+05   5.96315622E+00 
0 90 6.53994769E-09   3.58909404E-07   1.90882346E-07   2.03744293E-07   1.78747257E-08   3.72320064E-10   2.72632946E-07   7.55083799E+00   -3.75484437E-01   2.97385573E-01   1.12627670E-01   7.61795616E+00   -4.05298173E-01   3.29115897E-01   1.11608587E-01   1.45644283E+00   8.82081125E+05   5.89901018E+00   1.46870708E+00   9.00236812E+05   5.94326258E+00 
