RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 2.50681779E-07   4.22960693E-06   1.73486853E-06   8.40185180E-07   9.23796051E-07   4.85159433E-07   2.38218767E-04   1.48056784E+01   -5.99656677E+00   1.88502707E-02   1.05256855E-01   1.47948122E+01   -5.99071980E+00   -3.47583741E-02   1.05335206E-01   1.67741716E+00   2.30000000E+06   1.56098089E+01   1.67741454E+00   2.30000000E+06   1.56075592E+01 
0 10 1.10437433E-07   2.84416365E-06   1.23051700E-06   5.68120697E-07   3.98993876E-07   4.95463937E-09   2.74220974E-06   1.46262398E+01   -5.97075748E+00   9.18766633E-02   1.06525719E-01   1.46098213E+01   -5.96649027E+00   -1.64802805E-01   1.06596589E-01   1.67670059E+00   2.30000000E+06   1.53588915E+01   1.67668366E+00   2.30000000E+06   1.53551989E+01 
0 20 5.21149275E-08   1.88088723E-06   8.39296604E-07   3.88549012E-07   2.03412796E-07   4.16519175E-09   2.28908038E-06   1.46663942E+01   -6.01036501E+00   1.20024242E-01   1.06338650E-01   1.46733971E+01   -5.97939157E+00   -2.18433648E-01   1.06341571E-01   1.67659760E+00   2.30000000E+06   1.53370361E+01   1.67655897E+00   2.30000000E+06   1.53291826E+01 
0 30 3.79099490E-08   1.40504551E-06   6.30210707E-07   3.05202633E-07   1.39884193E-07   3.63661190E-09   2.03202853E-06   1.45919724E+01   -5.97629356E+00   1.37321770E-01   1.07040755E-01   1.45956249E+01   -5.93226576E+00   -2.21517727E-01   1.07093185E-01   1.67604756E+00   2.30000000E+06   1.52377300E+01   1.67598581E+00   2.30000000E+06   1.52279034E+01 
0 40 2.83517263E-08   1.16418369E-06   5.20581011E-07   2.71695001E-07   1.04314395E-07   3.23553939E-09   1.78008258E-06   1.45373507E+01   -5.93838167E+00   1.69880286E-01   1.07614473E-01   1.45381393E+01   -5.89937162E+00   -1.95093170E-01   1.07671358E-01   1.67560577E+00   2.30000000E+06   1.51714573E+01   1.67553627E+00   2.30000000E+06   1.51617737E+01 
0 50 1.97547596E-08   9.98699534E-07   4.39242541E-07   2.26197045E-07   7.58363257E-08   2.90855007E-09   1.55299256E-06   1.45015202E+01   -5.90823698E+00   1.76784098E-01   1.08076103E-01   1.45123110E+01   -5.88113165E+00   -1.98244557E-01   1.08022325E-01   1.67575765E+00   2.29997300E+06   1.51261358E+01   1.67579448E+00   2.29996900E+06   1.51216030E+01 
0 60 1.74539512E-08   8.30988142E-07   3.65670843E-07   1.81894762E-07   6.22678229E-08   2.63303890E-09   1.38376140E-06   1.44714565E+01   -5.88272429E+00   1.74084604E-01   1.08471401E-01   1.44803095E+01   -5.85905170E+00   -2.00522408E-01   1.08403452E-01   1.67605555E+00   2.29993950E+06   1.50882587E+01   1.67603278E+00   2.29994200E+06   1.50912580E+01 
0 70 1.34289380E-08   7.14147973E-07   3.12813938E-07   1.52632268E-07   4.85321756E-08   2.39635245E-09   1.24931910E-06   1.44502792E+01   -5.86811543E+00   1.81924388E-01   1.08761340E-01   1.44523764E+01   -5.84604263E+00   -1.90037191E-01   1.08720347E-01   1.67620671E+00   2.29992150E+06   1.50678492E+01   1.67618394E+00   2.29992425E+06   1.50709858E+01 
0 80 1.06254516E-08   6.41195129E-07   2.78077806E-07   1.29935771E-07   3.80986442E-08   2.19085128E-09   1.13553790E-06   1.44433308E+01   -5.86493063E+00   1.88478976E-01   1.08914234E-01   1.44384575E+01   -5.84395552E+00   -1.83224395E-01   1.08907498E-01   1.67623460E+00   2.29991800E+06   1.50639915E+01   1.67623591E+00   2.29991775E+06   1.50638084E+01 
0 90 8.87067486E-09   5.85376654E-07   2.52639012E-07   1.07414600E-07   2.98657596E-08   2.01549022E-09   1.03892421E-06   1.44364853E+01   -5.86524916E+00   1.94898829E-01   1.09033011E-01   1.44300671E+01   -5.84230423E+00   -1.83102667E-01   1.09043099E-01   1.67625821E+00   2.29991500E+06   1.50606804E+01   1.67626250E+00   2.29991450E+06   1.50600796E+01 
