RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 2.50574999E-07   4.14708393E-06   1.89895729E-06   8.40243445E-07   9.23095513E-07   4.80956487E-07   2.36110354E-04   1.45683632E+01   -6.51164007E+00   -6.36875443E-03   1.05364814E-01   1.45843010E+01   -6.49701500E+00   -2.64726337E-02   1.05309412E-01   1.67740846E+00   2.30000000E+06   1.56025257E+01   1.67741621E+00   2.30000000E+06   1.56090040E+01 
0 10 1.10812174E-07   2.79715823E-06   1.32251455E-06   6.00345118E-07   3.99025851E-07   4.90880270E-09   2.67735481E-06   1.44218807E+01   -6.49210215E+00   -6.86320812E-02   1.06382914E-01   1.44190845E+01   -6.43375158E+00   -1.56623587E-01   1.06575191E-01   1.67670798E+00   2.30000000E+06   1.53604994E+01   1.67670429E+00   2.30000000E+06   1.53596859E+01 
0 20 5.25753947E-08   1.84795783E-06   8.95783671E-07   4.05141918E-07   2.03587135E-07   4.13164791E-09   2.23558004E-06   1.44638643E+01   -6.50773764E+00   -1.27137214E-01   1.06249869E-01   1.44760866E+01   -6.43975115E+00   -2.16883913E-01   1.06355712E-01   1.67651248E+00   2.30000000E+06   1.53199377E+01   1.67656219E+00   2.30000000E+06   1.53298149E+01 
0 30 3.95072952E-08   1.38005601E-06   6.73935972E-07   3.22010777E-07   1.44189784E-07   3.60294794E-09   1.98299313E-06   1.43758984E+01   -6.44730997E+00   -1.45441353E-01   1.07094228E-01   1.43805256E+01   -6.40231943E+00   -2.54683495E-01   1.07194982E-01   1.67590487E+00   2.30000000E+06   1.52153263E+01   1.67599535E+00   2.30000000E+06   1.52293930E+01 
0 40 2.80956716E-08   1.14741863E-06   5.57135138E-07   2.79575033E-07   1.04208901E-07   3.20874838E-09   1.73148055E-06   1.43237486E+01   -6.41639042E+00   -1.55501470E-01   1.07639186E-01   1.43312855E+01   -6.38427353E+00   -2.45086670E-01   1.07681334E-01   1.67553461E+00   2.29999650E+06   1.51527824E+01   1.67556071E+00   2.30000000E+06   1.51651592E+01 
0 50 2.00475512E-08   9.86842565E-07   4.72377621E-07   2.36903361E-07   7.61043282E-08   2.88133384E-09   1.51819097E-06   1.42905598E+01   -6.39699125E+00   -1.85165867E-01   1.08036101E-01   1.42967081E+01   -6.36249781E+00   -2.61104167E-01   1.08104847E-01   1.67591977E+00   2.29995500E+06   1.51058817E+01   1.67585135E+00   2.29996275E+06   1.51145277E+01 
0 60 1.83625470E-08   8.18892374E-07   3.91898226E-07   1.91886940E-07   6.56131434E-08   2.60694932E-09   1.35729306E-06   1.42510576E+01   -6.38016510E+00   -1.97773755E-01   1.08443499E-01   1.42566996E+01   -6.34267282E+00   -2.75216073E-01   1.08537473E-01   1.67618012E+00   2.29992475E+06   1.50715103E+01   1.67614079E+00   2.29992950E+06   1.50768604E+01 
0 70 1.43102863E-08   7.02139914E-07   3.34443257E-07   1.55795519E-07   5.23346095E-08   2.36968822E-09   1.22773019E-06   1.42270546E+01   -6.37526941E+00   -1.93287462E-01   1.08707927E-01   1.42326040E+01   -6.33505964E+00   -2.68934458E-01   1.08825006E-01   1.67631102E+00   2.29990850E+06   1.50532284E+01   1.67627120E+00   2.29991350E+06   1.50588617E+01 
0 80 1.06567279E-08   6.30474119E-07   2.98318952E-07   1.32683610E-07   3.86927432E-08   2.16589546E-09   1.11837699E-06   1.42075806E+01   -6.37830067E+00   -1.82077631E-01   1.08906783E-01   1.42261715E+01   -6.33253956E+00   -2.54551142E-01   1.08974159E-01   1.67639852E+00   2.29989725E+06   1.50405693E+01   1.67628241E+00   2.29991200E+06   1.50572901E+01 
0 90 9.13392029E-09   5.75628178E-07   2.70790053E-07   1.09423603E-07   3.16474882E-08   1.99325689E-09   1.02474326E-06   1.41850462E+01   -6.38141251E+00   -1.76648840E-01   1.09110415E-01   1.42171555E+01   -6.33030510E+00   -2.44336143E-01   1.09124057E-01   1.67649913E+00   2.29988400E+06   1.50255432E+01   1.67630064E+00   2.29990975E+06   1.50546989E+01 
0 100 7.99173439E-09   5.29272938E-07   2.45699283E-07   8.92050238E-08   2.72132077E-08   1.84075355E-09   9.41912390E-07   1.41654816E+01   -6.38359642E+00   -1.81088924E-01   1.09284662E-01   1.42041025E+01   -6.32834721E+00   -2.42352337E-01   1.09286509E-01   1.67660010E+00   2.29987025E+06   1.50099192E+01   1.67636156E+00   2.29990200E+06   1.50459576E+01 
