RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 2.48069000E-07   4.32421393E-06   1.30512558E-06   8.42284464E-07   9.13449753E-07   4.82485291E-07   2.36872904E-04   1.53532743E+01   4.37592316E+00   2.13727131E-02   1.05317451E-01   1.53365488E+01   4.37983799E+00   2.39215083E-02   1.05414867E-01   1.67742169E+00   2.30000000E+06   1.56138878E+01   1.67742026E+00   2.30000000E+06   1.56125841E+01 
0 10 1.10080848E-07   2.93326593E-06   9.56148710E-07   5.71434100E-07   3.96694645E-07   4.92446439E-09   2.63836591E-06   1.52030048E+01   4.28794956E+00   1.11637384E-01   1.06530391E-01   1.51913433E+01   4.27065897E+00   9.75484475E-02   1.06590614E-01   1.67674398E+00   2.30000000E+06   1.53685207E+01   1.67671573E+00   2.30000000E+06   1.53622160E+01 
0 20 5.18368886E-08   1.92146081E-06   6.77029732E-07   3.95496215E-07   2.00203687E-07   4.15383417E-09   2.23719621E-06   1.52426100E+01   4.29019070E+00   1.78418770E-01   1.06420256E-01   1.52595148E+01   4.30520868E+00   1.56610474E-01   1.06261343E-01   1.67661142E+00   2.30000000E+06   1.53399010E+01   1.67658734E+00   2.30000000E+06   1.53349352E+01 
0 30 3.85938925E-08   1.43789816E-06   5.03821298E-07   3.08661157E-07   1.41411277E-07   3.61930219E-09   1.99852070E-06   1.51368961E+01   4.26738977E+00   2.17032388E-01   1.07289381E-01   1.51768293E+01   4.29360771E+00   1.93844989E-01   1.06963344E-01   1.67607188E+00   2.30000000E+06   1.52416506E+01   1.67604887E+00   2.30000000E+06   1.52379408E+01 
0 40 2.80260188E-08   1.19953631E-06   4.26730395E-07   2.72445931E-07   1.03462128E-07   3.22003912E-09   1.75037565E-06   1.50762215E+01   4.27761126E+00   2.24542364E-01   1.07811421E-01   1.51103821E+01   4.28304911E+00   2.09884658E-01   1.07550606E-01   1.67564428E+00   2.30000000E+06   1.51768999E+01   1.67563677E+00   2.30000000E+06   1.51758356E+01 
0 50 1.95237515E-08   1.03562047E-06   3.65279305E-07   2.26517599E-07   7.49855857E-08   2.89394619E-09   1.53840972E-06   1.50438032E+01   4.27567816E+00   1.87031165E-01   1.08178765E-01   1.50683584E+01   4.28160000E+00   1.79560527E-01   1.07972607E-01   1.67573893E+00   2.29997500E+06   1.51284266E+01   1.67570674E+00   2.29997850E+06   1.51323347E+01 
0 60 1.73719705E-08   8.61294382E-07   3.03261174E-07   1.85124279E-07   6.25323935E-08   2.61575472E-09   1.37665768E-06   1.50027037E+01   4.27940083E+00   1.58494219E-01   1.08572811E-01   1.50327616E+01   4.27819967E+00   1.64114416E-01   1.08332880E-01   1.67603397E+00   2.29994200E+06   1.50911102E+01   1.67597771E+00   2.29994850E+06   1.50984440E+01 
0 70 1.37692844E-08   7.37521987E-07   2.56192266E-07   1.55193135E-07   4.94192669E-08   2.37747577E-09   1.24604310E-06   1.49761972E+01   4.27843475E+00   1.50595173E-01   1.08853638E-01   1.50092297E+01   4.27707863E+00   1.67523652E-01   1.08589828E-01   1.67619956E+00   2.29992225E+06   1.50688305E+01   1.67610681E+00   2.29993350E+06   1.50814371E+01 
0 80 1.05746576E-08   6.61466515E-07   2.25952860E-07   1.31674810E-07   3.72394915E-08   2.17349538E-09   1.13274632E-06   1.49633636E+01   4.27623415E+00   1.56749919E-01   1.09021060E-01   1.50010309E+01   4.27610159E+00   1.76137239E-01   1.08727328E-01   1.67627931E+00   2.29991250E+06   1.50577145E+01   1.67615259E+00   2.29992800E+06   1.50752687E+01 
0 90 8.70680328E-09   6.04429658E-07   2.02645154E-07   1.09363093E-07   2.97622034E-08   1.99755612E-09   1.03380376E-06   1.49497271E+01   4.27447796E+00   1.64576352E-01   1.09175004E-01   1.49931774E+01   4.27196455E+00   1.82462424E-01   1.08852930E-01   1.67635906E+00   2.29990250E+06   1.50463266E+01   1.67620158E+00   2.29992200E+06   1.50685635E+01 
0 100 8.02014721E-09   5.56628379E-07   1.79883742E-07   8.95981458E-08   2.75176539E-08   1.84372495E-09   9.48076604E-07   1.49319143E+01   4.27580976E+00   1.67952135E-01   1.09339662E-01   1.49844589E+01   4.26906443E+00   1.84155583E-01   1.08970560E-01   1.67646897E+00   2.29988800E+06   1.50301189E+01   1.67625356E+00   2.29991575E+06   1.50613470E+01 
0 110 7.36843608E-09   5.15017007E-07   1.61450217E-07   7.20451467E-08   2.48295287E-08   1.71022785E-09   8.73557724E-07   1.49154119E+01   4.28122663E+00   1.66628823E-01   1.09479263E-01   1.49791689E+01   4.26960087E+00   1.83326587E-01   1.09049238E-01   1.67657721E+00   2.29987350E+06   1.50135107E+01   1.67629051E+00   2.29991100E+06   1.50561352E+01 
0 120 6.99407021E-09   4.78172694E-07   1.47874175E-07   5.80830815E-08   2.23699388E-08   1.59591274E-09   8.07432968E-07   1.49031277E+01   4.28901196E+00   1.64878950E-01   1.09578036E-01   1.49759636E+01   4.27090406E+00   1.83158740E-01   1.09103993E-01   1.67665982E+00   2.29986175E+06   1.50003796E+01   1.67632091E+00   2.29990725E+06   1.50518074E+01 
0 130 7.00725877E-09   4.45459165E-07   1.36520867E-07   4.80422315E-08   2.16052101E-08   1.49707724E-09   7.47501645E-07   1.48928375E+01   4.29654360E+00   1.65277630E-01   1.09657943E-01   1.49719849E+01   4.27152205E+00   1.84310734E-01   1.09158441E-01   1.67672861E+00   2.29985175E+06   1.49890804E+01   1.67635977E+00   2.29990225E+06   1.50462208E+01 
0 140 6.99039360E-09   4.16018054E-07   1.26697728E-07   4.11106740E-08   2.12005169E-08   1.41169343E-09   6.92829474E-07   1.48813276E+01   4.30279922E+00   1.66687429E-01   1.09744959E-01   1.49669561E+01   4.27135992E+00   1.84964597E-01   1.09216578E-01   1.67680216E+00   2.29984100E+06   1.49766521E+01   1.67640650E+00   2.29989625E+06   1.50393896E+01 
0 150 6.66319577E-09   3.88836867E-07   1.17903156E-07   3.62234580E-08   1.97333865E-08   1.33936684E-09   6.43066301E-07   1.48686123E+01   4.30838108E+00   1.67386740E-01   1.09838888E-01   1.49627380E+01   4.27086973E+00   1.84434786E-01   1.09266117E-01   1.67687833E+00   2.29982900E+06   1.49632940E+01   1.67644846E+00   2.29989075E+06   1.50331726E+01 
0 160 5.80662984E-09   3.63511504E-07   1.09888020E-07   3.23881970E-08   1.65215415E-08   1.27853206E-09   5.97605776E-07   1.48568878E+01   4.31388283E+00   1.67313412E-01   1.09923519E-01   1.49605513E+01   4.27081966E+00   1.83151811E-01   1.09297588E-01   1.67694473E+00   2.29981850E+06   1.49512281E+01   1.67647588E+00   2.29988725E+06   1.50290613E+01 
0 170 4.83988449E-09   3.40149569E-07   1.02477458E-07   2.84335950E-08   1.34425200E-08   1.22741828E-09   5.56127475E-07   1.48472271E+01   4.31851721E+00   1.67551383E-01   1.09992646E-01   1.49600935E+01   4.27145338E+00   1.81702852E-01   1.09312654E-01   1.67699850E+00   2.29980950E+06   1.49411411E+01   1.67648852E+00   2.29988550E+06   1.50271654E+01 
0 180 4.34480896E-09   3.18627684E-07   9.56487511E-08   2.50108272E-08   1.23163595E-08   1.18351295E-09   5.17936314E-07   1.48388510E+01   4.32120466E+00   1.69311598E-01   1.10053889E-01   1.49603500E+01   4.27237558E+00   1.81146279E-01   1.09319478E-01   1.67704678E+00   2.29980125E+06   1.49318361E+01   1.67649245E+00   2.29988500E+06   1.50265598E+01 
0 190 4.21132107E-09   2.98600980E-07   8.95388510E-08   2.32634463E-08   1.19471029E-08   1.14507515E-09   4.82663893E-07   1.48310690E+01   4.32175875E+00   1.72898501E-01   1.10113144E-01   1.49600744E+01   4.27298355E+00   1.82442248E-01   1.09328613E-01   1.67709434E+00   2.29979300E+06   1.49223709E+01   1.67649722E+00   2.29988425E+06   1.50258408E+01 
0 200 4.11907841E-09   2.79796069E-07   8.40988008E-08   2.20993481E-08   1.12713892E-08   1.11052911E-09   4.49763604E-07   1.48243208E+01   4.32050467E+00   1.77604795E-01   1.10167675E-01   1.49583464E+01   4.27285624E+00   1.85011953E-01   1.09348193E-01   1.67713964E+00   2.29978475E+06   1.49130955E+01   1.67651021E+00   2.29988250E+06   1.50238724E+01 
0 210 3.95928978E-09   2.62131238E-07   7.91386583E-08   2.07706865E-08   1.03984616E-08   1.07912745E-09   4.18927755E-07   1.48195972E+01   4.31766701E+00   1.82447806E-01   1.10210918E-01   1.49552851E+01   4.27198029E+00   1.86867937E-01   1.09378330E-01   1.67717826E+00   2.29977750E+06   1.49049730E+01   1.67653155E+00   2.29987975E+06   1.50205870E+01 
0 220 3.66082409E-09   2.45573744E-07   7.44957802E-08   1.97430090E-08   9.34253741E-09   1.05039433E-09   3.89962906E-07   1.48174582E+01   4.31331921E+00   1.86979815E-01   1.10239290E-01   1.49520788E+01   4.27083826E+00   1.86476395E-01   1.09410152E-01   1.67720771E+00   2.29977200E+06   1.48986063E+01   1.67655468E+00   2.29987650E+06   1.50170288E+01 
