RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 1 8.55941735E-08   4.33939113E-06   5.90066634E-07   6.32159640E-07   3.11217576E-07   1.25992997E-07   9.85519800E-05   9.94968033E+00   -1.05551742E-02   6.48045493E-03   1.05617598E-01   9.96593666E+00   -2.16688104E-02   1.18816330E-03   1.05444312E-01   9.93848515E+00   -8.16825405E-03   5.10598114E-03   1.05735824E-01   1.68640208E+00   2.15229150E+06   9.69840622E+00   1.68640113E+00   2.15236450E+06   9.69914055E+00   1.68640029E+00   2.15242900E+06   9.69978714E+00 
0 10 2.49234461E-07   3.60064314E-06   1.71929560E-06   1.22175356E-06   8.59002057E-07   1.00477271E-09   1.19579443E-06   9.55047321E+00   -1.03152707E-01   3.24389525E-02   1.10046342E-01   9.58634472E+00   -1.67934865E-01   3.84943150E-02   1.09582692E-01   9.50266171E+00   -9.19116959E-02   2.32798532E-02   1.10553995E-01   1.67923760E+00   2.08596362E+06   9.03252697E+00   1.67947018E+00   2.08698875E+06   9.04281807E+00   1.67937756E+00   2.08657825E+06   9.03869724E+00 
0 20 2.39071142E-07   3.28958572E-06   2.06932100E-06   1.71167778E-06   8.01934164E-07   1.30239786E-09   1.22593406E-06   9.83667183E+00   -1.84803128E-01   4.58886884E-02   1.06855266E-01   9.72114086E+00   -2.81165689E-01   7.32925013E-02   1.08050577E-01   9.65506744E+00   -1.55956358E-01   2.23847479E-02   1.08792230E-01   1.67569554E+00   2.07202475E+06   8.89259052E+00   1.67600620E+00   2.07314450E+06   8.90383244E+00   1.67566574E+00   2.07191850E+06   8.89152336E+00 
0 30 1.80562111E-07   2.88787669E-06   2.07698395E-06   1.67706651E-06   5.80933090E-07   1.60176372E-09   1.31943580E-06   1.01284389E+01   -2.67583400E-01   4.75455485E-02   1.03820778E-01   1.00475340E+01   -3.55830848E-01   6.84315786E-02   1.04639605E-01   9.93106270E+00   -2.49795064E-01   -2.52171140E-03   1.05828144E-01   1.67685568E+00   2.05869250E+06   8.83788586E+00   1.67652714E+00   2.06185250E+06   8.84981823E+00   1.67683959E+00   2.05884825E+06   8.83847427E+00 
0 40 1.33829218E-07   2.49091204E-06   1.76955052E-06   1.48127015E-06   4.32363748E-07   1.21242005E-09   1.07443122E-06   1.02089930E+01   -3.27380598E-01   4.70403396E-02   1.03070609E-01   1.01720142E+01   -3.78271997E-01   7.22755492E-02   1.03432514E-01   1.00300503E+01   -2.91474521E-01   -3.61538716E-02   1.04860120E-01   1.68067658E+00   2.01507038E+06   8.67316532E+00   1.68037522E+00   2.01915725E+06   8.68859768E+00   1.68053722E+00   2.01698012E+06   8.68037605E+00 
0 50 1.09401491E-07   2.33765559E-06   1.48304071E-06   1.30844512E-06   3.51922210E-07   9.57928847E-10   8.87719466E-07   1.02222118E+01   -3.15577447E-01   6.15652986E-02   1.03006199E-01   1.01924839E+01   -3.71311039E-01   9.54956040E-02   1.03265181E-01   1.00366249E+01   -2.78268665E-01   -3.80845033E-02   1.04854278E-01   1.68339407E+00   1.96569638E+06   8.48672485E+00   1.68321085E+00   1.97034788E+06   8.50428867E+00   1.68328214E+00   1.96858375E+06   8.49762726E+00 
0 60 9.26725647E-08   2.33358764E-06   1.28819192E-06   1.15369778E-06   2.94483129E-07   8.77042217E-10   7.74699970E-07   1.02038679E+01   -2.73766756E-01   8.95084590E-02   1.03258967E-01   1.01795969E+01   -3.32674384E-01   1.10444985E-01   1.03463292E-01   1.00249615E+01   -2.44996950E-01   -2.43705735E-02   1.05042256E-01   1.68438184E+00   1.92106400E+06   8.31818962E+00   1.68432939E+00   1.92713875E+06   8.34112835E+00   1.68435025E+00   1.92505962E+06   8.33327675E+00 
0 70 7.88192978E-08   2.26139036E-06   1.14672969E-06   1.03364550E-06   2.47994706E-07   8.57505844E-10   6.91169248E-07   1.01756201E+01   -2.23332509E-01   9.39625651E-02   1.03641599E-01   1.01471291E+01   -2.60628551E-01   9.69962776E-02   1.03901565E-01   9.98582554E+00   -2.05160588E-01   -2.55327132E-02   1.05536513E-01   1.68408000E+00   1.88097225E+06   8.16679955E+00   1.68423355E+00   1.88919175E+06   8.19783688E+00   1.68417740E+00   1.88588162E+06   8.18533802E+00 
0 80 6.74990304E-08   2.09937230E-06   1.02923934E-06   9.42710130E-07   2.05351839E-07   8.83728091E-10   6.34704861E-07   1.01256857E+01   -1.79632828E-01   8.70260522E-02   1.04266718E-01   1.00981674E+01   -1.88943312E-01   7.79223144E-02   1.04530998E-01   9.92701340E+00   -1.59339696E-01   -3.35496143E-02   1.06261067E-01   1.68292248E+00   1.84653975E+06   8.03677940E+00   1.68332696E+00   1.85609675E+06   8.07286739E+00   1.68313313E+00   1.85132975E+06   8.05486679E+00 
0 90 6.00795573E-08   1.92572975E-06   9.33025433E-07   8.74565956E-07   1.76276629E-07   9.02828146E-10   5.86851684E-07   1.00642290E+01   -1.41306698E-01   8.28803703E-02   1.05024390E-01   1.00429754E+01   -1.36702403E-01   7.15110004E-02   1.05229810E-01   9.86658096E+00   -1.08354986E-01   -3.42841111E-02   1.07018501E-01   1.68148601E+00   1.82034688E+06   7.93787289E+00   1.68202853E+00   1.82925662E+06   7.97151709E+00   1.68172169E+00   1.82410462E+06   7.95206308E+00 
0 100 5.50772405E-08   1.77974971E-06   8.59013312E-07   8.20816069E-07   1.62350929E-07   9.06818898E-10   5.39955295E-07   1.00167217E+01   -1.13384105E-01   7.77077600E-02   1.05641894E-01   1.00069475E+01   -1.06161840E-01   6.43486157E-02   1.05730109E-01   9.82897377E+00   -6.48196340E-02   -3.26179303E-02   1.07536584E-01   1.68035960E+00   1.80417900E+06   7.87682199E+00   1.68085480E+00   1.81096625E+06   7.90245104E+00   1.68053496E+00   1.80653112E+06   7.88570404E+00 
0 110 4.75580855E-08   1.65468339E-06   8.08184154E-07   7.79548145E-07   1.41074722E-07   9.11654363E-10   4.97192445E-07   9.99506187E+00   -9.25359204E-02   6.66875765E-02   1.05984785E-01   9.99617004E+00   -9.10072401E-02   5.21162264E-02   1.05959989E-01   9.81914902E+00   -4.04490605E-02   -3.87919694E-02   1.07750386E-01   1.67972100E+00   1.79601000E+06   7.84597492E+00   1.68015099E+00   1.80144362E+06   7.86649275E+00   1.67987657E+00   1.79794612E+06   7.85328627E+00 
0 120 4.00922033E-08   1.53630299E-06   7.75162050E-07   7.57164969E-07   1.18165786E-07   9.24772481E-10   4.61982893E-07   9.98446846E+00   -7.93203339E-02   5.52286021E-02   1.06204696E-01   9.99961376E+00   -8.35740939E-02   4.26320210E-02   1.06030867E-01   9.82548904E+00   -3.21293846E-02   -4.95042205E-02   1.07783690E-01   1.67927051E+00   1.79058038E+06   7.82547235E+00   1.67977917E+00   1.79673150E+06   7.84869909E+00   1.67951834E+00   1.79353612E+06   7.83663321E+00 
0 130 3.61347752E-08   1.42323358E-06   7.46849594E-07   7.37393975E-07   1.05978529E-07   9.47399270E-10   4.38469527E-07   9.96866035E+00   -7.39928335E-02   5.19550294E-02   1.06473207E-01   9.99852085E+00   -7.80290291E-02   4.20489646E-02   1.06142454E-01   9.83018398E+00   -3.34755629E-02   -5.41535653E-02   1.07834063E-01   1.67862785E+00   1.78322875E+06   7.79771185E+00   1.67932475E+00   1.79122050E+06   7.82788944E+00   1.67900252E+00   1.78746112E+06   7.81369400E+00 
0 140 3.32365815E-08   1.32464550E-06   7.12954147E-07   7.09580377E-07   9.61154925E-08   9.67688818E-10   4.20506069E-07   9.94389248E+00   -7.40831494E-02   5.95026352E-02   1.06831454E-01   9.97981071E+00   -7.48052076E-02   5.20556308E-02   1.06434487E-01   9.81820583E+00   -3.80625278E-02   -4.80215289E-02   1.08067207E-01   1.67762196E+00   1.77249975E+06   7.75719833E+00   1.67849576E+00   1.78176850E+06   7.79219818E+00   1.67805290E+00   1.77699075E+06   7.77415657E+00 
