RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 1 9.02156572E-08   4.42779583E-06   5.98101508E-07   6.29329350E-07   3.29176061E-07   1.26150582E-07   9.87424573E-05   9.95927048E+00   -1.68471050E-03   -3.11018157E-05   1.05515815E-01   9.94729996E+00   -1.62228178E-02   9.60233994E-03   1.05643116E-01   9.95225143E+00   -1.89052373E-02   -6.13152003E-03   1.05588675E-01   1.68639898E+00   2.15252575E+06   9.70075989E+00   1.68640137E+00   2.15234525E+06   9.69894791E+00   1.68640125E+00   2.15235375E+06   9.69903374E+00 
0 10 2.52595669E-07   3.65636811E-06   1.73661397E-06   1.22358279E-06   8.70615679E-07   1.01719499E-09   1.34038748E-06   9.59614182E+00   -4.73158993E-02   9.66318324E-03   1.09529391E-01   9.52310753E+00   -1.15988560E-01   4.39810716E-02   1.10349029E-01   9.56664658E+00   -1.07853606E-01   -3.33626452E-03   1.09833382E-01   1.67959583E+00   2.08754962E+06   9.04844856E+00   1.67925525E+00   2.08604075E+06   9.03330135E+00   1.67935550E+00   2.08648112E+06   9.03772163E+00 
0 20 2.42554250E-07   3.34504375E-06   2.10170106E-06   1.72674800E-06   8.13373958E-07   1.32434330E-09   1.33469109E-06   9.82521343E+00   -1.38981581E-01   4.89158668E-02   1.06986076E-01   9.68556499E+00   -1.87453300E-01   7.67891780E-02   1.08430207E-01   9.72061539E+00   -1.47661403E-01   1.74017977E-02   1.08132631E-01   1.67599940E+00   2.07312000E+06   8.90358639E+00   1.67555273E+00   2.07151550E+06   8.88747787E+00   1.67564332E+00   2.07183812E+06   8.89071751E+00 
0 30 1.83932130E-07   2.93446828E-06   2.10658368E-06   1.69645284E-06   5.91294281E-07   1.62314584E-09   1.39685687E-06   1.00837049E+01   -1.98061481E-01   7.77136683E-02   1.04291432E-01   9.99700928E+00   -2.40406051E-01   7.62759447E-02   1.05125308E-01   1.00392933E+01   -2.13014379E-01   4.19027917E-02   1.04742602E-01   1.67672873E+00   2.05992125E+06   8.84252548E+00   1.67701447E+00   2.05714012E+06   8.83202362E+00   1.67680836E+00   2.05915162E+06   8.83961964E+00 
0 40 1.36222965E-07   2.54153474E-06   1.80038126E-06   1.50270364E-06   4.38690506E-07   1.21331323E-09   1.13609065E-06   1.01809778E+01   -2.52142400E-01   8.02603811E-02   1.03373758E-01   1.00694036E+01   -2.71002322E-01   5.36006168E-02   1.04450554E-01   1.01177368E+01   -2.53537059E-01   4.46575694E-02   1.04005285E-01   1.68050373E+00   2.01743425E+06   8.68209171E+00   1.68065333E+00   2.01539238E+06   8.67438030E+00   1.68025136E+00   2.02079188E+06   8.69476986E+00 
0 50 1.11071657E-07   2.39407404E-06   1.51398228E-06   1.33295543E-06   3.56594029E-07   9.67891101E-10   9.47301203E-07   1.02189226E+01   -2.76638627E-01   8.70398805E-02   1.03057541E-01   1.00598240E+01   -2.45941371E-01   4.87043336E-02   1.04599819E-01   1.00812006E+01   -2.41564751E-01   4.30957638E-02   1.04442865E-01   1.68319964E+00   1.97062100E+06   8.50532055E+00   1.68328142E+00   1.96860112E+06   8.49769306E+00   1.68296123E+00   1.97614950E+06   8.52619648E+00 
0 60 9.41804359E-08   2.38656958E-06   1.31443699E-06   1.17236618E-06   2.99844856E-07   8.90709229E-10   8.27033034E-07   1.02167902E+01   -2.64209718E-01   9.42399204E-02   1.03146754E-01   1.00330811E+01   -1.92857653E-01   5.84786497E-02   1.04939669E-01   1.00452623E+01   -1.91879734E-01   6.16146065E-02   1.04879588E-01   1.68432081E+00   1.92791050E+06   8.34404182E+00   1.68433094E+00   1.92699588E+06   8.34058857E+00   1.68422699E+00   1.93476488E+06   8.36992550E+00 
0 70 8.02546865E-08   2.31460581E-06   1.16641388E-06   1.04695937E-06   2.52824549E-07   8.75747919E-10   7.35825893E-07   1.02019081E+01   -2.32794389E-01   8.93719345E-02   1.03396147E-01   9.99605465E+00   -1.35107815E-01   4.86667119E-02   1.05429351E-01   1.00135651E+01   -1.49545714E-01   6.67797029E-02   1.05303369E-01   1.68421817E+00   1.88824162E+06   8.19424915E+00   1.68423927E+00   1.88955375E+06   8.19920349E+00   1.68433130E+00   1.89658188E+06   8.22574234E+00 
0 80 6.89307242E-08   2.14911597E-06   1.04815933E-06   9.56339022E-07   2.09492285E-07   9.06398678E-10   6.72684507E-07   1.01583357E+01   -1.98821381E-01   7.64509067E-02   1.03960976E-01   9.93826485E+00   -9.25357416E-02   3.61652263E-02   1.06158689E-01   9.96776295E+00   -1.09111287E-01   6.15682825E-02   1.05892211E-01   1.68319988E+00   1.85292825E+06   8.06090355E+00   1.68332696E+00   1.85609712E+06   8.07286930E+00   1.68358898E+00   1.86328175E+06   8.09999847E+00 
0 90 6.18046982E-08   1.96852875E-06   9.50883134E-07   8.86853513E-07   1.81511950E-07   9.24254562E-10   6.18259890E-07   1.00976381E+01   -1.64896905E-01   7.18935430E-02   1.04707189E-01   9.87307644E+00   -5.86075038E-02   3.54693085E-02   1.06974311E-01   9.90450954E+00   -7.08265379E-02   5.69680519E-02   1.06678903E-01   1.68179703E+00   1.82534262E+06   7.95673752E+00   1.68202019E+00   1.82911088E+06   7.97096682E+00   1.68249106E+00   1.83769438E+06   8.00337887E+00 
