RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 1 8.22290360E-08   4.31970420E-06   5.92472816E-07   6.44891372E-07   2.98190315E-07   1.26682039E-07   9.91378474E-05   9.94447041E+00   -2.53804848E-02   -8.34545027E-03   1.05672255E-01   9.95422363E+00   -2.29304582E-02   1.92903343E-03   1.05568938E-01   9.94673538E+00   -2.08341535E-02   -1.74640380E-02   1.05648041E-01   1.68640125E+00   2.15235550E+06   9.69904995E+00   1.68640089E+00   2.15238475E+06   9.69934273E+00   1.68639982E+00   2.15246250E+06   9.70012379E+00 
0 10 2.49053471E-07   3.59824799E-06   1.71442366E-06   1.22506174E-06   8.58436238E-07   1.01251230E-09   2.05441142E-06   9.55044079E+00   -1.27116948E-01   -3.49887758E-02   1.10024467E-01   9.57229233E+00   -1.50262997E-01   2.42980644E-02   1.09758712E-01   9.54059601E+00   -1.51220456E-01   -7.38755986E-02   1.10116713E-01   1.67934799E+00   2.08644812E+06   9.03738976E+00   1.67943180E+00   2.08681825E+06   9.04110622E+00   1.67969310E+00   2.08798750E+06   9.05284500E+00 
0 20 2.38469227E-07   3.29227214E-06   2.06770960E-06   1.72008606E-06   7.99907241E-07   1.33504885E-09   1.79581252E-06   9.80599117E+00   -2.08561346E-01   -5.36442511E-02   1.07136771E-01   9.79701614E+00   -2.33049646E-01   5.15646115E-02   1.07215270E-01   9.76953316E+00   -2.63941079E-01   -1.06449582E-01   1.07496299E-01   1.67568851E+00   2.07199988E+06   8.89234161E+00   1.67617214E+00   2.07374938E+06   8.90990543E+00   1.67636609E+00   2.07446275E+06   8.91706657E+00 
0 30 1.80712476E-07   2.87726152E-06   2.07749258E-06   1.69059911E-06   5.81523238E-07   1.58954117E-09   1.65573249E-06   1.01399260E+01   -3.18266273E-01   -8.63285959E-02   1.03684850E-01   1.01080542E+01   -2.62950420E-01   6.88399598E-02   1.04020447E-01   1.01067753E+01   -3.44033599E-01   -1.48409978E-01   1.04002170E-01   1.67695272E+00   2.05774550E+06   8.83431053E+00   1.67642665E+00   2.06280612E+06   8.85341930E+00   1.67637408E+00   2.06330162E+06   8.85529041E+00 
0 40 1.33102631E-07   2.49446066E-06   1.77047104E-06   1.49500283E-06   4.29083343E-07   1.19821508E-09   1.32349044E-06   1.02218151E+01   -3.68967682E-01   -1.14850953E-01   1.02918252E-01   1.02169800E+01   -2.59977907E-01   7.39555135E-02   1.03039391E-01   1.02421169E+01   -3.79332721E-01   -1.72329053E-01   1.02716178E-01   1.68075335E+00   2.01400412E+06   8.66913891E+00   1.68056989E+00   2.01653525E+06   8.67869663E+00   1.68038237E+00   2.01906200E+06   8.68823814E+00 
0 50 1.08808813E-07   2.35346170E-06   1.47769708E-06   1.32234356E-06   3.49811245E-07   9.66318026E-10   1.08367146E-06   1.02003250E+01   -3.46959710E-01   -1.09652333E-01   1.03188798E-01   1.02155094E+01   -2.26143375E-01   7.81365633E-02   1.03137724E-01   1.02631874E+01   -3.29221606E-01   -1.57038838E-01   1.02573290E-01   1.68340039E+00   1.96552850E+06   8.48609066E+00   1.68338168E+00   1.96602438E+06   8.48796272E+00   1.68317902E+00   1.97112125E+06   8.50720978E+00 
0 60 9.18015601E-08   2.34499953E-06   1.28135162E-06   1.16424542E-06   2.91927194E-07   8.90844010E-10   9.22371612E-07   1.01884356E+01   -2.87575155E-01   -9.59150344E-02   1.03381813E-01   1.01852560E+01   -1.79921657E-01   9.08782482E-02   1.03515901E-01   1.02605228E+01   -2.70872921E-01   -1.33274883E-01   1.02677986E-01   1.68437171E+00   1.92249700E+06   8.32359982E+00   1.68436980E+00   1.92274875E+06   8.32455063E+00   1.68430150E+00   1.92953762E+06   8.35018635E+00 
0 70 7.76403581E-08   2.26501993E-06   1.14080888E-06   1.03777143E-06   2.43585106E-07   8.79727069E-10   8.04030776E-07   1.01728191E+01   -2.30400130E-01   -1.05905943E-01   1.03639193E-01   1.01442528E+01   -1.35355815E-01   8.10236335E-02   1.04035132E-01   1.02374382E+01   -2.22833559E-01   -1.17200166E-01   1.03013620E-01   1.68412983E+00   1.88337625E+06   8.17587757E+00   1.68414259E+00   1.88402525E+06   8.17832756E+00   1.68427718E+00   1.89214475E+06   8.20898724E+00 
0 80 6.63671429E-08   2.10068970E-06   1.02933848E-06   9.48429033E-07   2.00370806E-07   9.03089936E-10   7.16807847E-07   1.01246109E+01   -1.82372883E-01   -1.17406093E-01   1.04241461E-01   1.00765562E+01   -9.97862071E-02   7.20912889E-02   1.04846053E-01   1.01738091E+01   -1.70914948E-01   -1.06768981E-01   1.03782617E-01   1.68303597E+00   1.84907350E+06   8.04634762E+00   1.68310285E+00   1.85061688E+06   8.05217552E+00   1.68344378E+00   1.85917900E+06   8.08450699E+00 
0 90 5.97104020E-08   1.92533889E-06   9.34623131E-07   8.81862150E-07   1.75077517E-07   9.18534249E-10   6.43910482E-07   1.00609932E+01   -1.44846350E-01   -1.16248578E-01   1.05016656E-01   1.00024004E+01   -8.36795568E-02   7.30143487E-02   1.05734870E-01   1.00968637E+01   -1.34796247E-01   -9.92751420E-02   1.04698427E-01   1.68162239E+00   1.82250200E+06   7.94601107E+00   1.68180239E+00   1.82543012E+06   7.95706797E+00   1.68225050E+00   1.83319325E+06   7.98638201E+00 
