RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 1 2.45947831E-07   4.78511629E-06   6.96102063E-07   8.76454294E-07   9.20348384E-07   5.01549039E-07   2.45320465E-04   1.59920168E+01   -6.76564919E-03   4.37436253E-03   1.05138034E-01   1.59996595E+01   -6.73404103E-03   4.24215221E-04   1.05087355E-01   1.59995327E+01   -4.33739321E-03   -6.03969954E-03   1.05088890E-01   1.67745245E+00   2.30000000E+06   1.56503973E+01   1.67745352E+00   2.30000000E+06   1.56521120E+01   1.67745316E+00   2.30000000E+06   1.56514950E+01 
0 10 2.28356200E-07   4.07378138E-06   1.29827640E-06   1.17070158E-06   8.03494004E-07   3.76087694E-09   2.29771717E-06   1.58280630E+01   -4.44117226E-02   2.51254756E-02   1.06224678E-01   1.58581629E+01   -5.46319187E-02   1.23104742E-02   1.06015466E-01   1.58505163E+01   -5.19636422E-02   -1.95700675E-02   1.06083475E-01   1.67700398E+00   2.30000000E+06   1.54337082E+01   1.67702162E+00   2.30000000E+06   1.54387159E+01   1.67701983E+00   2.30000000E+06   1.54382067E+01 
0 20 2.15881784E-07   3.43195848E-06   1.46106424E-06   1.36175765E-06   7.40356768E-07   3.29165228E-09   1.97606914E-06   1.58193445E+01   -7.51638487E-02   5.09205833E-02   1.06291912E-01   1.58365250E+01   -7.42144287E-02   2.63502877E-02   1.06171496E-01   1.58228483E+01   -7.02557042E-02   -1.79456510E-02   1.06289171E-01   1.67677450E+00   2.30000000E+06   1.53754911E+01   1.67679727E+00   2.30000000E+06   1.53807907E+01   1.67680323E+00   2.30000000E+06   1.53821878E+01 
0 30 1.80177651E-07   3.11448571E-06   1.44880880E-06   1.35413745E-06   5.80143137E-07   3.00795078E-09   1.78263781E-06   1.58671608E+01   -9.18011442E-02   6.13436475E-02   1.05997734E-01   1.58741083E+01   -8.73637199E-02   2.96619982E-02   1.05946973E-01   1.58567753E+01   -8.25668573E-02   -2.24033594E-02   1.06087737E-01   1.67668617E+00   2.30000000E+06   1.53557386E+01   1.67669189E+00   2.30000000E+06   1.53569937E+01   1.67672992E+00   2.30000000E+06   1.53653612E+01 
0 40 1.52633476E-07   2.83621125E-06   1.35326798E-06   1.27978171E-06   4.65933368E-07   2.76219136E-09   1.62370645E-06   1.58790283E+01   -1.03719994E-01   5.11513725E-02   1.05957337E-01   1.58872681E+01   -9.60926712E-02   1.80487540E-02   1.05893277E-01   1.58691235E+01   -9.44305882E-02   -3.88531238E-02   1.06035911E-01   1.67650032E+00   2.30000000E+06   1.53175592E+01   1.67650318E+00   2.30000000E+06   1.53181248E+01   1.67657924E+00   2.30000000E+06   1.53332834E+01 
0 50 1.31461391E-07   2.66748020E-06   1.22144206E-06   1.16436081E-06   3.93754533E-07   2.57112975E-09   1.46321918E-06   1.58525238E+01   -1.15394339E-01   4.57664989E-02   1.06166363E-01   1.58650723E+01   -1.02505244E-01   8.28560907E-03   1.06073394E-01   1.58521910E+01   -9.73757431E-02   -4.82083075E-02   1.06175117E-01   1.67625570E+00   2.30000000E+06   1.52725439E+01   1.67627418E+00   2.30000000E+06   1.52757864E+01   1.67636073E+00   2.30000000E+06   1.52912455E+01 
0 60 1.15787607E-07   2.57116449E-06   1.10893120E-06   1.03487901E-06   3.49729191E-07   2.44690779E-09   1.35003472E-06   1.58142519E+01   -1.20114028E-01   5.22007830E-02   1.06440805E-01   1.58287477E+01   -1.05592251E-01   9.01424699E-03   1.06340080E-01   1.58214731E+01   -9.15214270E-02   -4.15284187E-02   1.06400117E-01   1.67600131E+00   2.30000000E+06   1.52303381E+01   1.67602348E+00   2.30000000E+06   1.52338629E+01   1.67610812E+00   2.30000000E+06   1.52475758E+01 
0 70 1.02074061E-07   2.47138314E-06   1.01831188E-06   9.17690045E-07   3.12643834E-07   2.35871100E-09   1.27192857E-06   1.57755623E+01   -1.19436152E-01   5.34776524E-02   1.06718831E-01   1.57909918E+01   -1.06152184E-01   8.76712054E-03   1.06615469E-01   1.57822495E+01   -9.04946253E-02   -3.51415947E-02   1.06682636E-01   1.67572141E+00   2.30000000E+06   1.51879683E+01   1.67572451E+00   2.30000000E+06   1.51884146E+01   1.67584240E+00   2.30000000E+06   1.52058325E+01 
0 80 8.94273526E-08   2.35367588E-06   9.36932793E-07   8.31953912E-07   2.76682385E-07   2.27371277E-09   1.20824814E-06   1.57337198E+01   -1.20040424E-01   4.57147136E-02   1.07027523E-01   1.57544880E+01   -1.03881538E-01   3.93248722E-03   1.06886730E-01   1.57365408E+01   -9.50571820E-02   -3.81414667E-02   1.07015021E-01   1.67561793E+00   2.29998775E+06   1.51429834E+01   1.67564011E+00   2.29998550E+06   1.51403503E+01   1.67557728E+00   2.30000000E+06   1.51674690E+01 
0 90 8.07128657E-08   2.21903770E-06   8.59641546E-07   7.70167901E-07   2.52340470E-07   2.18226393E-09   1.14187242E-06   1.56923227E+01   -1.21340871E-01   3.86079736E-02   1.07336722E-01   1.57210064E+01   -9.82192084E-02   1.30533846E-03   1.07138544E-01   1.56931143E+01   -9.66806263E-02   -4.32573110E-02   1.07337296E-01   1.67595959E+00   2.29995050E+06   1.51007757E+01   1.67598999E+00   2.29994700E+06   1.50968523E+01   1.67568433E+00   2.29998075E+06   1.51350431E+01 
