,Fingerprint(G2),Fingerprint(G4),Ref_Wind_Speed
407,0.7711280286208289,0.3546768241216305,6.02745581
408,1.0,1.0,7.32776213
409,0.8193691006176981,0.5947340091217013,7.17313957
410,1.0,1.0,7.37457466
411,1.0,1.0,7.32371998
412,0.8689490524229768,0.6280388053528287,6.94685602
413,1.0,1.0,7.33738327
414,1.0,1.0,7.32609081
415,0.947126147829541,0.8466852900601964,7.33237028
416,1.0,1.0,7.34343815
417,1.0,1.0,7.32224274
418,1.0,1.0,7.34331179
419,0.9344060235286312,0.8179570352481452,7.11020803
420,1.0,1.0,7.3258667
421,0.7421851600995049,0.4667047259857252,6.64474297
422,0.9163263828351635,0.7681639297758234,7.34901953
423,1.0,1.0,7.30518007
424,1.0,1.0,7.40241766
425,0.5082165318684988,0.4422848305557088,6.30793571
426,1.0,1.0,7.32752991
427,0.615522030102923,0.22678713593892152,5.70007229
428,1.0,1.0,7.38672113
429,1.0,1.0,7.32487154
430,1.0,1.0,7.34497595
431,1.0,1.0,7.36947012
432,1.0,1.0,7.33431816
433,0.9699480186851951,0.9228485983270401,7.43144274
434,1.0,1.0,7.38332129
435,1.0,1.0,7.33278275
436,0.9212877402676812,0.7824295196500739,7.31194544
437,1.0,1.0,7.3510704
438,1.0,1.0,7.32037783
439,1.0,1.0,7.38432789
440,0.9335152601522133,0.7463499956678785,6.60903168
441,1.0,1.0,7.33365583
442,0.9192941720197291,0.8057357832706045,7.37871647
443,1.0,1.0,7.33232832
444,1.0,1.0,7.31787872
445,1.0,1.0,7.35329056
446,0.6030953120851862,0.34032644010413104,6.00563192
447,1.0,1.0,7.32989216
448,0.9535867230042115,0.842234251122485,7.02032232
449,0.8025891455418558,0.8283757734815929,7.20501995
450,1.0,1.0,7.32361317
451,1.0,1.0,7.36992693
452,0.745639200434445,0.30625191688214,6.06172228
453,1.0,1.0,7.32630348
454,0.7487674279169187,0.33587944631039546,6.08601046
455,0.9611976012869944,0.9167850486235903,7.4386034
456,1.0,1.0,7.33139372
457,0.8110435879464222,0.4511028162407035,6.25334406
458,1.0,1.0,7.35936832
459,1.0,1.0,7.32097626
460,0.9785907762886548,0.9489056264101703,7.14239073
461,1.0,1.0,7.38572836
462,1.0,1.0,7.31320763
463,0.928341017961167,0.9416242176215159,7.29824877
464,0.8511404320599341,0.5498468722065014,6.75292873
465,1.0,1.0,7.30392742
466,0.6371910405145019,0.45350784530108296,6.96635962
467,1.0,1.0,7.3691082
468,1.0,1.0,7.32738972
469,1.0,1.0,7.34460688
470,0.8237022850544155,0.5923959180206944,7.21042395
471,1.0,1.0,7.31426144
472,0.6465116657632561,0.6983049853665346,7.1032548
473,1.0,1.0,7.35671711
474,1.0,1.0,7.32876682
475,1.0,1.0,7.38880873
476,0.9864821503758447,0.97443444495251,7.43831921
477,1.0,1.0,7.33829165
478,1.0,1.0,7.35823727
479,0.906806501599984,0.6509770994659905,6.48371077
480,1.0,1.0,7.32780838
481,1.0,1.0,7.35695314
482,0.9744885873392097,0.911122429918205,6.95636272
483,1.0,1.0,7.31910324
484,0.6200827070651211,0.3276244948430226,5.98483753
485,1.0,1.0,7.39090014
486,1.0,1.0,7.31639624
487,1.0,1.0,7.33439827
