,Fingerprint(G2),Fingerprint(G4),Fingerprint(G6),Ref_Wind_Speed
1025,1.0,1.0,1.0,7.3489151
1026,0.3087513530989179,0.2625548620979158,1.0,5.11036873
1027,1.0,1.0,1.0,7.34092999
1028,0.31061206307529343,0.31413344215628913,1.0,5.23679447
1029,1.0,1.0,1.0,7.35419559
1030,0.31474053234108135,0.36421318406489067,1.0,5.40532064
1031,1.0,1.0,1.0,7.35912228
1032,0.32229479104375447,0.4136217912031519,1.0,5.55358648
1033,1.0,1.0,1.0,7.3536377
1034,0.3344888919598976,0.4630017962987333,1.0,5.72273874
1035,1.0,1.0,1.0,7.36508036
1036,0.3524948650473636,0.5127618712249591,1.0,5.90408993
1037,1.0,1.0,1.0,7.36825848
1038,0.37734482727130736,0.5630556021101947,1.0,6.06695271
1039,1.0,1.0,1.0,7.37133121
1040,0.40983426276915047,0.6137814819405394,1.0,6.21162605
1041,1.0,1.0,1.0,7.37004662
1042,0.4504274797425163,0.6645987821962356,1.0,6.3670702
1043,1.0,1.0,1.0,7.38387299
1044,0.49916623337632404,0.714954786098138,1.0,6.52303553
1045,1.0,1.0,1.0,7.39239407
1046,0.5555824787158788,0.7641196030881687,1.0,6.65165663
1047,1.0,1.0,1.0,7.39672184
1048,0.6186161839764228,0.8112254418436851,1.0,6.78196383
1049,1.0,1.0,1.0,7.40507507
1050,0.6865390934743085,0.8553078022424401,1.0,6.91084433
1051,1.0,1.0,1.0,7.41927767
1052,0.7568852805745458,0.8953465601812813,1.0,7.03756952
1053,1.0,1.0,1.0,7.42316437
1054,0.8263892751249091,0.9303053679853172,1.0,7.14271927
1055,1.0,1.0,1.0,7.42681599
1056,0.8909324872275235,0.9591681822900094,1.0,7.22257948
1057,1.0,1.0,1.0,7.43836498
1058,0.9454985803731498,0.9809720656374212,1.0,7.2841897
1059,1.0,1.0,1.0,7.4401412
1060,0.9841383724689967,0.9948356923920378,1.0,7.35028028
1061,1.0,1.0,1.0,7.44527864
1062,0.9999447637104836,0.9999832285976411,1.0,7.39223957
1063,1.0,1.0,1.0,7.44139576
1064,1.0,1.0,1.0,7.4383316
1065,1.0,1.0,1.0,7.43931341
1066,1.0,1.0,1.0,7.47310305
1067,1.0,1.0,1.0,7.44768333
1068,1.0,1.0,1.0,7.50485325
1069,1.0,1.0,1.0,7.48393726
1070,1.0,1.0,1.0,7.50941801
1071,1.0,1.0,1.0,7.4913702
1072,1.0,1.0,1.0,7.5241313
1073,1.0,1.0,1.0,7.4674592
1074,1.0,1.0,1.0,7.56316662
1075,1.0,1.0,1.0,7.47330475
1076,1.0,1.0,1.0,7.57174969
1077,1.0,1.0,1.0,7.47974348
1078,1.0,1.0,1.0,7.57912397
1079,1.0,1.0,1.0,7.50172806
1080,1.0,1.0,1.0,7.5707202
1081,1.0,1.0,1.0,7.4960103
1082,1.0,1.0,1.0,7.56806946
1083,1.0,1.0,1.0,7.49304342
1084,1.0,1.0,1.0,7.56435013
1085,1.0,1.0,1.0,7.49259138
1086,1.0,1.0,1.0,7.54964066
1087,1.0,1.0,1.0,7.49497366
1088,1.0,1.0,1.0,7.55146646
1089,1.0,1.0,1.0,7.48398638
1090,1.0,1.0,1.0,7.55257273
1091,1.0,1.0,1.0,7.46859789
1092,1.0,1.0,1.0,7.53242159
1093,1.0,1.0,1.0,7.46926641
1094,1.0,1.0,1.0,7.52182484
1095,1.0,1.0,1.0,7.47089338
1096,1.0,1.0,1.0,7.51742935
1097,1.0,1.0,1.0,7.45903826
1098,1.0,1.0,1.0,7.49762249
1099,1.0,1.0,1.0,7.46089792
1100,1.0,1.0,1.0,7.47456598
1101,1.0,1.0,1.0,7.46438122
1102,1.0,1.0,1.0,7.45294428
1103,1.0,1.0,1.0,7.45792294
1104,0.9980645767521731,0.9991376398384741,1.0,7.41070938
1105,1.0,1.0,1.0,7.45086861
1106,0.9648251006167593,0.9831939724880181,1.0,7.3551383
1107,1.0,1.0,1.0,7.43507671
1108,0.9024867957474159,0.9500408422239698,1.0,7.27885008
1109,1.0,1.0,1.0,7.4376359
1110,0.8243886591700752,0.9035230169196635,1.0,7.190588
1111,1.0,1.0,1.0,7.45159626
1112,0.7409922565970182,0.8474179737023954,1.0,7.06501245
1113,1.0,1.0,1.0,7.40157032
1114,0.6601092729124546,0.7852914095797385,1.0,6.94959307
1115,1.0,1.0,1.0,7.40327883
1116,0.5871568855843987,0.7203501281677974,1.0,6.78093386
1117,1.0,1.0,1.0,7.39253664
1118,0.5254380429605697,0.6552994519941908,1.0,6.62719679
1119,1.0,1.0,1.0,7.39667606
1120,0.47644352274344914,0.5922142316127426,1.0,6.4727335
1121,1.0,1.0,1.0,7.38378143
1122,0.44017246584391023,0.5324347167869348,1.0,6.29732752
1123,1.0,1.0,1.0,7.38049603
1124,0.4154679286884482,0.4765010420414122,1.0,6.11142492
1125,1.0,1.0,1.0,7.38430691
1126,0.40036387408551666,0.4241428794991293,1.0,5.91495562
1127,1.0,1.0,1.0,7.38654804
1128,0.39243992789567417,0.37434394616963396,1.0,5.73328495
1129,1.0,1.0,1.0,7.3703866
1130,0.3891801667147985,0.3255045399578642,1.0,5.54358149
1131,1.0,1.0,1.0,7.37443304
1132,0.38833217104372453,0.2757291366561774,1.0,5.3738203
1133,1.0,1.0,1.0,7.36521864
1134,0.3882625792092915,0.22327032549847026,1.0,5.25016356
1135,1.0,1.0,1.0,7.37993765
1136,0.3882625776381413,0.16710669126221533,1.0,5.15568638
1137,1.0,1.0,1.0,7.36434269
1138,0.3882625776381413,0.10688198902186197,1.0,5.0888772
1139,1.0,1.0,1.0,7.36998081
1140,0.3882625776381413,0.04230256965043011,1.0,5.07858276
1141,1.0,1.0,1.0,7.36329556
1142,0.3882625776381413,0.10688198902186197,1.0,5.11230373
1143,1.0,1.0,1.0,7.37802935
1144,0.3882625776381413,0.16710669126221533,1.0,5.20459461
1145,1.0,1.0,1.0,7.36445379
1146,0.3882625792092915,0.22327032549847026,1.0,5.32811213
1147,1.0,1.0,1.0,7.37409592
1148,0.38833217104372453,0.2757291366561774,1.0,5.47299147
1149,1.0,1.0,1.0,7.36991596
1150,0.3891801667147985,0.3255045399578642,1.0,5.65676117
1151,1.0,1.0,1.0,7.38587904
1152,0.39243992789567417,0.37434394616963396,1.0,5.85257912
1153,1.0,1.0,1.0,7.38359594
1154,0.40036387408551666,0.4241428794991293,1.0,6.03363276
1155,1.0,1.0,1.0,7.37984085
1156,0.4154679286884482,0.4765010420414122,1.0,6.2237854
1157,1.0,1.0,1.0,7.38312531
1158,0.44017246584391023,0.5324347167869348,1.0,6.40136003
1159,1.0,1.0,1.0,7.39642286
1160,0.47644352274344914,0.5922142316127426,1.0,6.56498623
1161,1.0,1.0,1.0,7.3926115
1162,0.5254380429605697,0.6552994519941908,1.0,6.70894623
1163,1.0,1.0,1.0,7.40381098
1164,0.5871568855843987,0.7203501281677974,1.0,6.86603308
1165,1.0,1.0,1.0,7.40190172
1166,0.6601092729124546,0.7852914095797385,1.0,7.0191021
1167,1.0,1.0,1.0,7.45233059
1168,0.7409922565970182,0.8474179737023954,1.0,7.1219182
1169,1.0,1.0,1.0,7.43746424
1170,0.8243886591700752,0.9035230169196635,1.0,7.23535395
1171,1.0,1.0,1.0,7.43497849
1172,0.9024867957474159,0.9500408422239698,1.0,7.31272793
1173,1.0,1.0,1.0,7.45088148
1174,0.9648251006167593,0.9831939724880181,1.0,7.38153553
1175,1.0,1.0,1.0,7.45803881
1176,0.9980645767521731,0.9991376398384741,1.0,7.43135357
1177,1.0,1.0,1.0,7.46352291
1178,1.0,1.0,1.0,7.46770287
