,X_coord,Y_coord,Ref_wind,Num_tot_turb,ID,Turb_num
0,0.0,0.0,7.4797616,2.0,2_turbine_240_degrees_279.0_meters,0.0
1,241.6210876558584,139.49999999999997,7.57623148,2.0,2_turbine_240_degrees_279.0_meters,1.0
2,0.0,0.0,7.47360182,2.0,2_turbine_241_degrees_279.0_meters,0.0
3,244.01889829189142,135.26188404872804,7.56752729,2.0,2_turbine_241_degrees_279.0_meters,1.0
4,0.0,0.0,7.46784782,2.0,2_turbine_242_degrees_279.0_meters,0.0
5,246.34237840764064,130.98256601726354,7.55792332,2.0,2_turbine_242_degrees_279.0_meters,1.0
6,0.0,0.0,7.49173546,2.0,2_turbine_243_degrees_279.0_meters,0.0
7,248.59082024855465,126.66334942733354,7.51761532,2.0,2_turbine_243_degrees_279.0_meters,1.0
8,0.0,0.0,7.48339224,2.0,2_turbine_244_degrees_279.0_meters,0.0
9,250.7635389174676,122.3055499541526,7.50035381,2.0,2_turbine_244_degrees_279.0_meters,1.0
10,0.0,0.0,7.44775724,2.0,2_turbine_245_degrees_279.0_meters,0.0
11,252.85987258322533,117.91049502565514,7.49375725,2.0,2_turbine_245_degrees_279.0_meters,1.0
12,0.0,0.0,7.43949652,2.0,2_turbine_246_degrees_279.0_meters,0.0
13,254.87918268228563,113.47952341814826,7.45918131,2.0,2_turbine_246_degrees_279.0_meters,1.0
14,0.0,0.0,7.4412384,2.0,2_turbine_247_degrees_279.0_meters,0.0
15,256.82085411323084,109.01398484850738,7.42024326,2.0,2_turbine_247_degrees_279.0_meters,1.0
16,0.0,0.0,7.44484901,2.0,2_turbine_248_degrees_279.0_meters,0.0
17,258.68429542413367,104.51523956303946,7.36896563,2.0,2_turbine_248_degrees_279.0_meters,1.0
18,0.0,0.0,7.43987465,2.0,2_turbine_249_degrees_279.0_meters,0.0
19,260.4689389927193,99.98465792313877,7.32154608,2.0,2_turbine_249_degrees_279.0_meters,1.0
20,0.0,0.0,7.43814945,2.0,2_turbine_250_degrees_279.0_meters,0.0
21,262.17424119926847,95.42361998786157,7.24805546,2.0,2_turbine_250_degrees_279.0_meters,1.0
22,0.0,0.0,7.4262557,2.0,2_turbine_251_degrees_279.0_meters,0.0
23,263.7996825922094,90.83351509354672,7.1765461,2.0,2_turbine_251_degrees_279.0_meters,1.0
24,0.0,0.0,7.42346907,2.0,2_turbine_252_degrees_279.0_meters,0.0
25,265.34476804634784,86.21574143061032,7.08723116,2.0,2_turbine_252_degrees_279.0_meters,1.0
26,0.0,0.0,7.41898584,2.0,2_turbine_253_degrees_279.0_meters,0.0
27,266.80902691368686,81.57170561764356,6.97298098,2.0,2_turbine_253_degrees_279.0_meters,1.0
28,0.0,0.0,7.40453577,2.0,2_turbine_254_degrees_279.0_meters,0.0
29,268.19201316679096,76.90282227294277,6.83376694,2.0,2_turbine_254_degrees_279.0_meters,1.0
30,0.0,0.0,7.39596319,2.0,2_turbine_255_degrees_279.0_meters,0.0
31,269.49330553465006,72.21051358360329,6.6922574,2.0,2_turbine_255_degrees_279.0_meters,1.0
32,0.0,0.0,7.39225912,2.0,2_turbine_256_degrees_279.0_meters,0.0
33,270.712507631003,67.49620887230729,6.5718832,2.0,2_turbine_256_degrees_279.0_meters,1.0
34,0.0,0.0,7.38424873,2.0,2_turbine_257_degrees_279.0_meters,0.0
35,271.84924807508065,62.76134416193834,6.43158913,2.0,2_turbine_257_degrees_279.0_meters,1.0
36,0.0,0.0,7.37088966,2.0,2_turbine_258_degrees_279.0_meters,0.0
