RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 1 3.32033466E-07   5.55979750E-06   7.36243294E-07   1.01650096E-06   1.24750898E-06   7.13813336E-07   3.10344272E-04   1.80047340E+01   -7.10867345E-03   2.22859113E-03   1.05058044E-01   1.80066681E+01   -1.71189364E-02   6.17323909E-03   1.05046853E-01   1.80096512E+01   -1.56704411E-02   3.42780305E-03   1.05029359E-01   1.67678642E+00   2.30000000E+06   1.76185760E+01   1.67678797E+00   2.30000000E+06   1.76193733E+01   1.67678940E+00   2.30000000E+06   1.76200848E+01 
0 10 2.52060659E-07   4.73589034E-06   1.33005517E-06   1.26946816E-06   9.00000487E-07   5.35976197E-09   4.74928447E-06   1.78755970E+01   -7.04319775E-02   2.21375227E-02   1.05820931E-01   1.78851624E+01   -8.66164342E-02   2.18570624E-02   1.05765380E-01   1.78968487E+01   -7.39284009E-02   2.30074842E-02   1.05689183E-01   1.67628729E+00   2.30000000E+06   1.74441662E+01   1.67630112E+00   2.30000000E+06   1.74478550E+01   1.67628646E+00   2.30000000E+06   1.74439507E+01 
0 20 2.36713234E-07   4.03861713E-06   1.45220167E-06   1.39959104E-06   8.27599138E-07   4.71010653E-09   3.85735575E-06   1.78700123E+01   -9.21726525E-02   4.13251109E-02   1.05867632E-01   1.78754692E+01   -9.72577929E-02   3.32807116E-02   1.05836697E-01   1.78850994E+01   -8.78498778E-02   4.34431620E-02   1.05771542E-01   1.67610323E+00   2.30000000E+06   1.73984699E+01   1.67613053E+00   2.30000000E+06   1.74049110E+01   1.67609549E+00   2.30000000E+06   1.73966560E+01 
0 30 1.94369278E-07   3.68227006E-06   1.41890996E-06   1.36492372E-06   6.45361183E-07   4.25494484E-09   3.21417383E-06   1.78972321E+01   -9.71366614E-02   4.30640280E-02   1.05729125E-01   1.79079571E+01   -1.01838432E-01   3.30581106E-02   1.05663531E-01   1.79161510E+01   -9.35473815E-02   4.97578233E-02   1.05615720E-01   1.67601860E+00   2.30000000E+06   1.73791084E+01   1.67608070E+00   2.30000000E+06   1.73932304E+01   1.67601800E+00   2.30000000E+06   1.73789806E+01 
0 40 1.64654736E-07   3.38780660E-06   1.32854780E-06   1.27253611E-06   5.23114011E-07   3.94078592E-09   2.75173625E-06   1.78931141E+01   -9.66700017E-02   2.70758737E-02   1.05786465E-01   1.79140625E+01   -1.04903765E-01   1.69316716E-02   1.05655648E-01   1.79260769E+01   -9.42833424E-02   4.07582559E-02   1.05587110E-01   1.67586732E+00   2.30000000E+06   1.73465462E+01   1.67596912E+00   2.30000000E+06   1.73681870E+01   1.67588449E+00   2.30000000E+06   1.73501186E+01 
0 50 1.42596221E-07   3.18858088E-06   1.20196773E-06   1.15662215E-06   4.47758453E-07   3.71333386E-09   2.38907364E-06   1.78661861E+01   -9.78563502E-02   1.69925559E-02   1.05976157E-01   1.78921909E+01   -1.04707457E-01   7.66389212E-03   1.05814755E-01   1.79038963E+01   -9.47288349E-02   3.57252471E-02   1.05744518E-01   1.67569304E+00   2.30000000E+06   1.73117008E+01   1.67580545E+00   2.30000000E+06   1.73338737E+01   1.67572796E+00   2.30000000E+06   1.73184776E+01 
0 60 1.25991292E-07   3.05455819E-06   1.09335451E-06   1.02713545E-06   4.00603170E-07   3.53865559E-09   2.12583632E-06   1.78360500E+01   -9.56011117E-02   2.20893007E-02   1.06175832E-01   1.78605480E+01   -9.89973694E-02   1.32894134E-02   1.06025912E-01   1.78655338E+01   -9.49289724E-02   4.05948386E-02   1.05993390E-01   1.67552459E+00   2.30000000E+06   1.72802410E+01   1.67561626E+00   2.30000000E+06   1.72971210E+01   1.67556524E+00   2.30000000E+06   1.72876492E+01 
0 70 1.10865571E-07   2.92674736E-06   1.00646503E-06   9.10999177E-07   3.58746547E-07   3.40102568E-09   1.93584742E-06   1.78032379E+01   -8.81032199E-02   2.62814555E-02   1.06388390E-01   1.78251343E+01   -9.20588002E-02   1.68482363E-02   1.06256209E-01   1.78252983E+01   -9.31371227E-02   4.37703580E-02   1.06253006E-01   1.67567050E+00   2.30000000E+06   1.72477341E+01   1.67559004E+00   2.30000000E+06   1.72611656E+01   1.67562699E+00   2.30000000E+06   1.72550392E+01 
0 80 9.76299219E-08   2.78461675E-06   9.30569058E-07   8.24927042E-07   3.20954996E-07   3.26671001E-09   1.78915957E-06   1.77623158E+01   -8.24970976E-02   2.04879455E-02   1.06653422E-01   1.77871304E+01   -8.88929963E-02   1.06417015E-02   1.06504172E-01   1.77881832E+01   -8.91477168E-02   4.15229164E-02   1.06496282E-01   1.67587781E+00   2.30000000E+06   1.72112827E+01   1.67578423E+00   2.30000000E+06   1.72280846E+01   1.67582107E+00   2.30000000E+06   1.72215385E+01 
0 90 8.83743780E-08   2.62705657E-06   8.58660769E-07   7.62270759E-07   2.95008448E-07   3.12699577E-09   1.65633401E-06   1.77200775E+01   -8.29869285E-02   1.35618355E-02   1.06930703E-01   1.77526245E+01   -8.72025713E-02   4.40245075E-03   1.06734022E-01   1.77568321E+01   -8.35072324E-02   3.89211290E-02   1.06706940E-01   1.67606032E+00   2.30000000E+06   1.71766109E+01   1.67593384E+00   2.30000000E+06   1.72009354E+01   1.67597663E+00   2.30000000E+06   1.71928596E+01 
