RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 1 1.20565858E-07   3.95852430E-06   6.44507224E-07   7.21147899E-07   4.45122026E-07   2.17112344E-07   1.41554934E-04   1.19749327E+01   -2.66619250E-02   1.72071648E-03   1.05305120E-01   1.19803085E+01   -1.51456045E-02   2.13877414E-03   1.05258495E-01   1.19776363E+01   -1.97389722E-02   -4.78267204E-03   1.05281718E-01   1.67623496E+00   2.27859225E+06   1.16973972E+01   1.67620564E+00   2.27866625E+06   1.16991682E+01   1.67626262E+00   2.27852300E+06   1.16957312E+01 
0 10 2.23968627E-07   3.42728208E-06   1.41108762E-06   1.14141824E-06   7.72942485E-07   1.66198100E-09   2.82667133E-06   1.17033129E+01   -1.26363605E-01   3.98852117E-02   1.07749261E-01   1.17142410E+01   -1.11829653E-01   1.20979166E-02   1.07659318E-01   1.17172174E+01   -1.11589648E-01   -1.45858722E-02   1.07624665E-01   1.68072617E+00   2.26160675E+06   1.12895565E+01   1.68069351E+00   2.26185325E+06   1.12954741E+01   1.68078363E+00   2.26115475E+06   1.12787037E+01 
0 20 2.21324981E-07   2.96979783E-06   1.72199782E-06   1.49598839E-06   7.42349528E-07   1.61794522E-09   2.37078120E-06   1.17228689E+01   -2.03289792E-01   7.22415820E-02   1.07611492E-01   1.17234201E+01   -1.68221489E-01   2.14766189E-02   1.07596584E-01   1.17196455E+01   -1.51334822E-01   -2.24702992E-02   1.07590519E-01   1.68117106E+00   2.25681050E+06   1.11743946E+01   1.68116653E+00   2.25689250E+06   1.11763639E+01   1.68118000E+00   2.25664425E+06   1.11703997E+01 
0 30 1.81530126E-07   2.65931999E-06   1.74042009E-06   1.55333862E-06   5.66849280E-07   1.71080738E-09   2.07102721E-06   1.18820848E+01   -2.79216021E-01   7.65221417E-02   1.06202528E-01   1.18824234E+01   -1.86044171E-01   -1.19729340E-02   1.06220432E-01   1.18251934E+01   -2.01438621E-01   -4.60991226E-02   1.06651381E-01   1.68122709E+00   2.25557400E+06   1.11447048E+01   1.68123245E+00   2.25541475E+06   1.11408825E+01   1.68123126E+00   2.25545125E+06   1.11417589E+01 
0 40 1.47096884E-07   2.32807452E-06   1.58286696E-06   1.45467584E-06   4.37157780E-07   1.46805157E-09   1.75908519E-06   1.19483938E+01   -3.16501588E-01   7.03517348E-02   1.05647899E-01   1.19627867E+01   -2.18699336E-01   -5.70862591E-02   1.05557993E-01   1.18690147E+01   -2.22940132E-01   -7.39591196E-02   1.06316395E-01   1.68125939E+00   2.25233900E+06   1.10670290E+01   1.68125808E+00   2.25226375E+06   1.10652199E+01   1.68125248E+00   2.25196850E+06   1.10581331E+01 
0 50 1.22094875E-07   2.19324556E-06   1.37719064E-06   1.30203694E-06   3.58190817E-07   1.33779365E-09   1.51523477E-06   1.19322052E+01   -3.27821940E-01   7.04863220E-02   1.05821453E-01   1.19663410E+01   -2.54637212E-01   -8.49435106E-02   1.05556928E-01   1.18645096E+01   -2.20662192E-01   -8.23153630E-02   1.06405959E-01   1.68103993E+00   2.24795475E+06   1.09617577E+01   1.68106055E+00   2.24820525E+06   1.09677734E+01   1.68098891E+00   2.24738200E+06   1.09480047E+01 
0 60 1.03025307E-07   2.16467220E-06   1.22813435E-06   1.14922568E-06   3.03539991E-07   1.29482869E-09   1.33051651E-06   1.18913994E+01   -3.15891683E-01   8.12641308E-02   1.06211245E-01   1.19442892E+01   -2.71039099E-01   -9.12858918E-02   1.05778106E-01   1.18336649E+01   -2.18979686E-01   -7.10688010E-02   1.06714658E-01   1.68052316E+00   2.24360700E+06   1.08573647E+01   1.68059027E+00   2.24405625E+06   1.08681536E+01   1.68040895E+00   2.24288775E+06   1.08400965E+01 
0 70 8.70043095E-08   2.12229452E-06   1.11504175E-06   1.02113859E-06   2.57952507E-07   1.29223920E-09   1.18864921E-06   1.18521872E+01   -2.92883575E-01   8.89541060E-02   1.06604733E-01   1.19169397E+01   -2.68407285E-01   -9.45333019E-02   1.06056027E-01   1.17924232E+01   -2.07072318E-01   -6.25615492E-02   1.07127681E-01   1.67976892E+00   2.23953525E+06   1.07595997E+01   1.67984462E+00   2.23988800E+06   1.07680664E+01   1.67958200E+00   2.23870025E+06   1.07395496E+01 
0 80 7.54392886E-08   2.02221122E-06   1.01439116E-06   9.30472311E-07   2.22802228E-07   1.29550159E-09   1.07216101E-06   1.18140593E+01   -2.58026928E-01   8.84071812E-02   1.07006431E-01   1.18858538E+01   -2.52524972E-01   -1.02557577E-01   1.06378287E-01   1.17418900E+01   -1.82638854E-01   -6.07375503E-02   1.07640728E-01   1.67881811E+00   2.23569450E+06   1.06673794E+01   1.67886484E+00   2.23586350E+06   1.06714363E+01   1.67856455E+00   2.23480425E+06   1.06460066E+01 
0 90 6.85533905E-08   1.87799640E-06   9.23321466E-07   8.61709623E-07   2.00714936E-07   1.28627120E-09   9.69225198E-07   1.17715492E+01   -2.13342384E-01   8.50610882E-02   1.07454985E-01   1.18556509E+01   -2.29718283E-01   -1.05171569E-01   1.06701471E-01   1.16937199E+01   -1.54747784E-01   -5.54444045E-02   1.08138368E-01   1.67779756E+00   2.23234025E+06   1.05868425E+01   1.67785263E+00   2.23250750E+06   1.05908546E+01   1.67750180E+00   2.23146400E+06   1.05658026E+01 
