RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 1 1.24688768E-07   4.06839763E-06   6.72851172E-07   7.44521969E-07   4.61528202E-07   2.12386936E-07   1.38509175E-04   1.19693804E+01   -2.32105199E-02   -1.88675653E-02   1.05354548E-01   1.19739513E+01   -1.95328165E-02   -1.10086044E-02   1.05314553E-01   1.19687595E+01   -8.78258422E-03   -7.93774892E-03   1.05359651E-01   1.67623270E+00   2.27859825E+06   1.16975384E+01   1.67621541E+00   2.27864150E+06   1.16985788E+01   1.67627978E+00   2.27847975E+06   1.16946907E+01 
0 10 2.33495768E-07   3.50284495E-06   1.48230220E-06   1.19134461E-06   8.05165712E-07   1.62973612E-09   1.81302448E-06   1.16705275E+01   -1.15649812E-01   -9.52369943E-02   1.08056337E-01   1.17101240E+01   -1.00330316E-01   -7.00293332E-02   1.07687764E-01   1.16973438E+01   -7.17182308E-02   -3.14835124E-02   1.07798398E-01   1.68072331E+00   2.26162875E+06   1.12900858E+01   1.68069601E+00   2.26183425E+06   1.12950220E+01   1.68076372E+00   2.26131450E+06   1.12825384E+01 
0 20 2.28516640E-07   3.04229366E-06   1.78460471E-06   1.55917132E-06   7.65448362E-07   1.60080227E-09   1.60978880E-06   1.16961203E+01   -1.87202662E-01   -1.36125967E-01   1.07812986E-01   1.17835712E+01   -1.60851896E-01   -1.09689623E-01   1.06996462E-01   1.17098789E+01   -1.37367040E-01   -2.49135979E-02   1.07686043E-01   1.68116295E+00   2.25695650E+06   1.11779003E+01   1.68116069E+00   2.25699500E+06   1.11788216E+01   1.68116391E+00   2.25693975E+06   1.11774969E+01 
0 30 1.86678264E-07   2.72808279E-06   1.80170787E-06   1.60830234E-06   5.82015161E-07   1.72757142E-09   1.52571340E-06   1.18656530E+01   -2.71402031E-01   -1.73268124E-01   1.06296599E-01   1.19339581E+01   -2.16083512E-01   -1.33478656E-01   1.05687968E-01   1.18617935E+01   -1.87922835E-01   -3.53746898E-02   1.06366932E-01   1.68122649E+00   2.25558850E+06   1.11450548E+01   1.68122244E+00   2.25569925E+06   1.11477118E+01   1.68121600E+00   2.25586750E+06   1.11517506E+01 
0 40 1.51377591E-07   2.38716530E-06   1.63391451E-06   1.50237656E-06   4.50324450E-07   1.44486845E-09   1.31592640E-06   1.19297409E+01   -3.14947754E-01   -2.04486996E-01   1.05777711E-01   1.19899292E+01   -2.63440847E-01   -1.59896046E-01   1.05249815E-01   1.19277992E+01   -2.06784695E-01   -6.52018413E-02   1.05836958E-01   1.68125498E+00   2.25208675E+06   1.10609703E+01   1.68126452E+00   2.25276375E+06   1.10772285E+01   1.68126583E+00   2.25293850E+06   1.10814257E+01 
0 50 1.25629597E-07   2.25245094E-06   1.42034776E-06   1.34136690E-06   3.68971257E-07   1.29460398E-09   1.14560771E-06   1.19070539E+01   -3.30660939E-01   -2.16333300E-01   1.06009252E-01   1.19798765E+01   -2.73996890E-01   -1.68560296E-01   1.05376981E-01   1.18968754E+01   -2.18052611E-01   -6.92974702E-02   1.06132612E-01   1.68100953E+00   2.24760700E+06   1.09534082E+01   1.68110085E+00   2.24873100E+06   1.09803953E+01   1.68111789E+00   2.24897275E+06   1.09861994E+01 
0 60 1.05806564E-07   2.22482390E-06   1.26123041E-06   1.18068988E-06   3.11910100E-07   1.25669120E-09   1.02632623E-06   1.18685780E+01   -3.19332451E-01   -1.97961435E-01   1.06383055E-01   1.19487247E+01   -2.48980120E-01   -1.48541331E-01   1.05686441E-01   1.18467693E+01   -2.21431747E-01   -4.93410751E-02   1.06602542E-01   1.68047976E+00   2.24332800E+06   1.08506680E+01   1.68066037E+00   2.24454950E+06   1.08799944E+01   1.68070352E+00   2.24486650E+06   1.08876085E+01 
0 70 8.97778918E-08   2.17743900E-06   1.14107274E-06   1.05461334E-06   2.66108430E-07   1.25444211E-09   9.36815297E-07   1.18398666E+01   -2.93268472E-01   -1.74142420E-01   1.06686369E-01   1.19118004E+01   -2.17140302E-01   -1.29137278E-01   1.06062181E-01   1.17983179E+01   -2.09175467E-01   -3.84410135E-02   1.07078038E-01   1.67972815E+00   2.23934850E+06   1.07551146E+01   1.67998874E+00   2.24058650E+06   1.07848425E+01   1.68004954E+00   2.24089300E+06   1.07922020E+01 
0 80 7.80232057E-08   2.06873483E-06   1.03922446E-06   9.66216021E-07   2.30047903E-07   1.25996524E-09   8.62987122E-07   1.18050909E+01   -2.54374504E-01   -1.55856013E-01   1.07057787E-01   1.18674641E+01   -1.82972163E-01   -1.20296218E-01   1.06522508E-01   1.17508631E+01   -1.88245609E-01   -3.65925543E-02   1.07559614E-01   1.67877913E+00   2.23555475E+06   1.06640253E+01   1.67915678E+00   2.23695875E+06   1.06977377E+01   1.67921281E+00   2.23717725E+06   1.07029839E+01 
0 90 7.04804037E-08   1.92200855E-06   9.47990543E-07   8.96820666E-07   2.05681459E-07   1.25613764E-09   7.94757852E-07   1.17673168E+01   -2.12887198E-01   -1.39233857E-01   1.07463188E-01   1.18232460E+01   -1.49356261E-01   -1.14237122E-01   1.06991000E-01   1.17066011E+01   -1.62924886E-01   -3.08361370E-02   1.08020023E-01   1.67776155E+00   2.23223175E+06   1.05842333E+01   1.67828965E+00   2.23388500E+06   1.06239338E+01   1.67834067E+00   2.23405250E+06   1.06279526E+01 
