RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 1 2.96811713E-08   3.03078764E-06   2.85170216E-07   2.96060108E-07   1.05047391E-07   2.66669655E-08   3.47593123E-05   5.93688202E+00   -1.14176646E-02   8.73700064E-03   1.06203303E-01   5.93065977E+00   -2.21410729E-02   -1.21474161E-03   1.06314778E-01   5.92818069E+00   -2.31768228E-02   5.71548473E-03   1.06355831E-01   1.41632402E+00   8.22482812E+05   5.75374699E+00   1.41712439E+00   8.23674938E+05   5.75665283E+00   1.41673970E+00   8.23102062E+05   5.75525618E+00 
0 10 9.26899375E-08   1.84396561E-06   1.01629121E-06   7.07240019E-07   3.21060611E-07   2.39452735E-10   8.62486161E-07   5.61231470E+00   -9.82770249E-02   4.30314243E-02   1.12315819E-01   5.59543800E+00   -8.94555002E-02   5.68457274E-03   1.12686746E-01   5.56734514E+00   -1.09246731E-01   4.39947806E-02   1.13125399E-01   1.23893499E+00   5.63856688E+05   5.11572123E+00   1.24342525E+00   5.68776812E+05   5.12939787E+00   1.24324191E+00   5.68576000E+05   5.12883949E+00 
0 20 7.53927054E-08   1.71467957E-06   1.14403645E-06   8.84887015E-07   2.56477676E-07   4.56575028E-10   8.35251797E-07   5.96399975E+00   -1.72100469E-01   5.55955172E-02   1.05711736E-01   5.92597437E+00   -1.29180089E-01   3.10458597E-02   1.06415957E-01   5.95902824E+00   -1.59236565E-01   6.41799271E-02   1.05689809E-01   1.23870516E+00   5.63604625E+05   5.11502028E+00   1.24181926E+00   5.67017875E+05   5.12450838E+00   1.24183667E+00   5.67036938E+05   5.12456131E+00 
0 30 5.37896270E-08   1.43345335E-06   1.05610843E-06   7.81998608E-07   1.87063819E-07   5.18123322E-10   7.80653636E-07   6.24141455E+00   -1.94183648E-01   5.42381853E-02   1.01126522E-01   6.12027216E+00   -2.01067775E-01   3.65711749E-02   1.03152119E-01   6.30561972E+00   -2.17765003E-01   6.46300167E-02   1.00051649E-01   1.21528637E+00   5.37829375E+05   5.04337263E+00   1.21624458E+00   5.38887812E+05   5.04631472E+00   1.21597683E+00   5.38592000E+05   5.04549265E+00 
0 40 4.33660325E-08   1.19374101E-06   8.40849168E-07   6.58893384E-07   1.52551678E-07   3.38286371E-10   5.84511497E-07   6.31234741E+00   -1.97296336E-01   4.62502092E-02   1.00087643E-01   6.15660524E+00   -1.89396366E-01   3.97186391E-02   1.02645002E-01   6.33929491E+00   -2.42782518E-01   6.18759058E-02   9.96198505E-02   1.17332852E+00   4.91166969E+05   4.91366482E+00   1.17268074E+00   4.90441531E+05   4.91164827E+00   1.17246366E+00   4.90198531E+05   4.91097307E+00 
0 50 3.71327147E-08   1.11545216E-06   7.03491594E-07   5.74718854E-07   1.26367468E-07   2.50034243E-10   4.65634542E-07   6.28796721E+00   -1.80319056E-01   5.89058809E-02   1.00527227E-01   6.14069653E+00   -1.55052751E-01   5.34405783E-02   1.02969751E-01   6.26445246E+00   -2.07227007E-01   6.98218197E-02   1.00871727E-01   1.13610661E+00   4.49235438E+05   4.79710722E+00   1.13619840E+00   4.49339500E+05   4.79739666E+00   1.13605285E+00   4.49174531E+05   4.79693794E+00 
0 60 3.10598800E-08   1.08283041E-06   6.20251683E-07   5.10479651E-07   1.02227922E-07   2.19667604E-10   3.87361951E-07   6.24214602E+00   -1.49318084E-01   6.87178001E-02   1.01347528E-01   6.10284805E+00   -1.06537938E-01   5.66463880E-02   1.03688069E-01   6.20232868E+00   -1.52608678E-01   7.56100267E-02   1.01975337E-01   1.10630894E+00   4.15290969E+05   4.70275164E+00   1.10731089E+00   4.16438031E+05   4.70594025E+00   1.10751796E+00   4.16675000E+05   4.70659876E+00 
0 70 2.56203716E-08   1.00037903E-06   5.58560146E-07   4.70782766E-07   8.18685635E-08   2.28344718E-10   3.37159577E-07   6.17846107E+00   -1.11846872E-01   6.51965439E-02   1.02521941E-01   6.04195833E+00   -5.52054867E-02   4.93577197E-02   1.04848213E-01   6.14763260E+00   -1.05993010E-01   6.86971918E-02   1.03022285E-01   1.08415711E+00   3.89833000E+05   4.63198566E+00   1.08515620E+00   3.90985438E+05   4.63518906E+00   1.08533549E+00   3.91192156E+05   4.63576365E+00 
0 80 2.10844373E-08   9.03320824E-07   5.07936306E-07   4.41875756E-07   6.38488800E-08   2.38791681E-10   2.99832635E-07   6.10397720E+00   -7.32044503E-02   5.62346615E-02   1.03914887E-01   5.96656895E+00   -1.87647287E-02   4.48528863E-02   1.06297374E-01   6.06878376E+00   -6.30993247E-02   5.74415550E-02   1.04511596E-01   1.06791222E+00   3.71039438E+05   4.57974529E+00   1.06833708E+00   3.71532312E+05   4.58111525E+00   1.06807220E+00   3.71225125E+05   4.58026123E+00 
0 90 1.92001401E-08   8.25026575E-07   4.67269842E-07   4.17146623E-07   5.72170187E-08   2.38087244E-10   2.66864134E-07   6.03825331E+00   -4.49105799E-02   4.80836593E-02   1.05185635E-01   5.90518665E+00   2.08586338E-03   3.68804522E-02   1.07522950E-01   5.99158525E+00   -2.54604723E-02   4.56432812E-02   1.05998598E-01   1.05840313E+00   3.59989062E+05   4.54902840E+00   1.05788505E+00   3.59385906E+05   4.54735184E+00   1.05783319E+00   3.59325562E+05   4.54718399E+00 
0 100 1.71229146E-08   7.63905689E-07   4.37179040E-07   3.96250101E-07   5.17488985E-08   2.31659650E-10   2.34861403E-07   5.99693155E+00   -2.71941032E-02   3.58322188E-02   1.06037535E-01   5.86981726E+00   9.19739250E-03   2.60094013E-02   1.08281672E-01   5.95096397E+00   -1.68304297E-03   3.47910188E-02   1.06841892E-01   1.05630660E+00   3.57547688E+05   4.54224205E+00   1.05505025E+00   3.56083875E+05   4.53817320E+00   1.05568862E+00   3.56827719E+05   4.54024076E+00 
0 110 1.41068890E-08   7.08060497E-07   4.18281502E-07   3.84626503E-07   4.22886579E-08   2.29927521E-10   2.08557267E-07   5.98203135E+00   -1.48309562E-02   2.11441033E-02   1.06410690E-01   5.86313200E+00   7.82833248E-03   1.39184361E-02   1.08501695E-01   5.94563150E+00   3.65071301E-03   2.18841285E-02   1.07040800E-01   1.05848706E+00   3.60086688E+05   4.54929972E+00   1.05724883E+00   3.58645125E+05   4.54529238E+00   1.05837393E+00   3.59955031E+05   4.54893398E+00 
0 120 1.24432225E-08   6.52088829E-07   4.03493317E-07   3.74485211E-07   3.66017652E-08   2.35337860E-10   1.91992612E-07   5.98237801E+00   -7.75070162E-03   1.39866518E-02   1.06492132E-01   5.87127829E+00   3.12651997E-03   7.22936820E-03   1.08432911E-01   5.95584345E+00   -3.22094350E-03   1.30013218E-02   1.06947750E-01   1.05986869E+00   3.61694500E+05   4.55376911E+00   1.05901861E+00   3.60705469E+05   4.55101967E+00   1.06033528E+00   3.62237406E+05   4.55527830E+00 
0 130 1.16676295E-08   6.02681723E-07   3.87688260E-07   3.60738483E-07   3.37982122E-08   2.44518600E-10   1.84028551E-07   5.97826290E+00   -9.50769521E-03   1.83178708E-02   1.06630929E-01   5.87173843E+00   -2.12958665E-03   1.10929096E-02   1.08492315E-01   5.95928907E+00   -1.45559218E-02   1.48793189E-02   1.06960401E-01   1.05720568E+00   3.58594812E+05   4.54515266E+00   1.05636060E+00   3.57610688E+05   4.54241705E+00   1.05770111E+00   3.59171719E+05   4.54675627E+00 
0 140 1.03118598E-08   5.60819956E-07   3.66811918E-07   3.48483837E-07   2.89546502E-08   2.47955823E-10   1.74593339E-07   5.96328163E+00   -1.87214538E-02   2.94131879E-02   1.06944151E-01   5.85459280E+00   -6.15830021E-03   2.29899883E-02   1.08867235E-01   5.94643021E+00   -2.33514961E-02   2.62060314E-02   1.07246175E-01   1.05075741E+00   3.51077156E+05   4.52425575E+00   1.04940331E+00   3.49570344E+05   4.51979923E+00   1.05054092E+00   3.50824562E+05   4.52355385E+00 
