RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 1 3.03765333E-08   3.02570220E-06   2.86293215E-07   3.02392436E-07   1.07726933E-07   2.71133427E-08   3.53366413E-05   5.93295956E+00   -5.46092028E-03   -1.03415013E-03   1.06272362E-01   5.92876911E+00   -1.85816679E-02   8.32124520E-03   1.06348395E-01   5.94054413E+00   -2.19857376E-02   -1.53459958E-03   1.06136590E-01   1.41587520E+00   8.21814188E+05   5.75211716E+00   1.41641951E+00   8.22625062E+05   5.75409365E+00   1.41635859E+00   8.22534188E+05   5.75387239E+00 
0 10 9.26759967E-08   1.84388182E-06   1.00616830E-06   7.14028943E-07   3.20796005E-07   2.46899556E-10   3.50870749E-07   5.60030222E+00   -1.02989011E-01   4.22328267E-05   1.12444930E-01   5.60449076E+00   -1.15809977E-01   3.44685316E-02   1.12457879E-01   5.62039900E+00   -1.83636084E-01   -8.82442924E-04   1.12112597E-01   1.23874497E+00   5.63648250E+05   5.11514187E+00   1.23999012E+00   5.65013375E+05   5.11893654E+00   1.24445236E+00   5.69901312E+05   5.13252354E+00 
0 20 7.47841753E-08   1.70648775E-06   1.15035732E-06   8.86475107E-07   2.54103128E-07   4.68356187E-10   5.63935203E-07   6.01149035E+00   -1.51515707E-01   -3.21597084E-02   1.04735821E-01   5.96707869E+00   -1.65977389E-01   6.35990053E-02   1.05600297E-01   5.96689892E+00   -2.54400045E-01   -3.40458974E-02   1.05565779E-01   1.24051726E+00   5.65591188E+05   5.12054253E+00   1.23872113E+00   5.63622188E+05   5.11506939E+00   1.24487889E+00   5.70368125E+05   5.13382101E+00 
0 30 5.33916165E-08   1.42408658E-06   1.04237938E-06   7.82077962E-07   1.85707378E-07   5.16684306E-10   5.97055077E-07   6.28612804E+00   -1.88427031E-01   -6.10689409E-02   1.00339942E-01   6.20114517E+00   -1.97961345E-01   8.00677389E-02   1.01743922E-01   6.24172688E+00   -2.76925862E-01   -5.84241487E-02   1.01041637E-01   1.21590316E+00   5.38510688E+05   5.04526663E+00   1.21542895E+00   5.37986938E+05   5.04381084E+00   1.21892321E+00   5.41844688E+05   5.05453396E+00 
0 40 4.31866631E-08   1.19148740E-06   8.35678520E-07   6.63664821E-07   1.51148740E-07   3.37610440E-10   4.21538459E-07   6.32620096E+00   -2.12167919E-01   -6.77141696E-02   9.97950807E-02   6.25498199E+00   -1.85034499E-01   6.51286691E-02   1.00987352E-01   6.30143976E+00   -2.62073547E-01   -7.32052177E-02   1.00175984E-01   1.17178321E+00   4.89436281E+05   4.90885401E+00   1.17433655E+00   4.92295500E+05   4.91680193E+00   1.17663586E+00   4.94868031E+05   4.92395258E+00 
0 50 3.67886486E-08   1.11174802E-06   7.04032857E-07   5.77160222E-07   1.24825391E-07   2.40986620E-10   3.19605704E-07   6.26407957E+00   -2.09621087E-01   -5.82479760E-02   1.00849979E-01   6.22363758E+00   -1.55984566E-01   7.38192797E-02   1.01564586E-01   6.27108574E+00   -2.08935559E-01   -7.59710595E-02   1.00736707E-01   1.13383281E+00   4.46657094E+05   4.78994036E+00   1.13770342E+00   4.51044844E+05   4.80213690E+00   1.14001405E+00   4.53661531E+05   4.80941057E+00 
0 60 3.04811962E-08   1.07882147E-06   6.17323735E-07   5.12331098E-07   1.00285028E-07   2.10365544E-10   2.64576983E-07   6.19466162E+00   -1.76621616E-01   -4.82195541E-02   1.02087416E-01   6.16699219E+00   -1.17356084E-01   7.27039278E-02   1.02598146E-01   6.21245909E+00   -1.50353238E-01   -6.97537065E-02   1.01798251E-01   1.10342932E+00   4.11992469E+05   4.69358253E+00   1.10748315E+00   4.16635156E+05   4.70648813E+00   1.11144483E+00   4.21165969E+05   4.71908236E+00 
0 70 2.52859760E-08   9.90324679E-07   5.52954305E-07   4.70182442E-07   8.03220530E-08   2.19232604E-10   2.39425219E-07   6.12716150E+00   -1.40618816E-01   -5.28489538E-02   1.03368141E-01   6.09035015E+00   -8.66184160E-02   5.30044436E-02   1.04031906E-01   6.13387632E+00   -9.89276022E-02   -6.68881834E-02   1.03251502E-01   1.08038867E+00   3.85482688E+05   4.61989307E+00   1.08493173E+00   3.90726469E+05   4.63446951E+00   1.08967066E+00   3.96187594E+05   4.64964962E+00 
0 80 2.11094608E-08   8.93184961E-07   5.03189256E-07   4.39472615E-07   6.35013322E-08   2.30217928E-10   2.24869197E-07   6.05044031E+00   -1.08272359E-01   -5.92151843E-02   1.04834288E-01   6.00578880E+00   -5.63831739E-02   3.80155928E-02   1.05631888E-01   6.05032301E+00   -6.25724792E-02   -6.43147230E-02   1.04829058E-01   1.06397247E+00   3.66465594E+05   4.56703138E+00   1.06903410E+00   3.72340750E+05   4.58336258E+00   1.07361627E+00   3.77650562E+05   4.59812212E+00 
0 90 1.89908729E-08   8.18929379E-07   4.64873381E-07   4.15769193E-07   5.64696236E-08   2.29869471E-10   2.09138534E-07   5.98519754E+00   -7.86614344E-02   -5.97014837E-02   1.06114201E-01   5.93697309E+00   -3.66154499E-02   3.22430730E-02   1.06980935E-01   5.98011875E+00   -4.79281731E-02   -6.26032352E-02   1.06196165E-01   1.05545306E+00   3.56553312E+05   4.53947783E+00   1.06047904E+00   3.62404594E+05   4.55574274E+00   1.06484210E+00   3.67475781E+05   4.56983900E+00 
0 100 1.65417386E-08   7.60497414E-07   4.38763578E-07   3.97726751E-07   4.98824662E-08   2.24203087E-10   1.88943289E-07   5.95763493E+00   -5.95102310E-02   -6.37195557E-02   1.06725082E-01   5.89884710E+00   -2.68244464E-02   2.76790056E-02   1.07785799E-01   5.93918324E+00   -4.73938696E-02   -6.51842952E-02   1.07043035E-01   1.05475152E+00   3.55735688E+05   4.53720522E+00   1.05941963E+00   3.61172031E+05   4.55231667E+00   1.06354272E+00   3.65966219E+05   4.56564331E+00 
0 110 1.37385721E-08   7.05169441E-07   4.19773613E-07   3.85382037E-07   4.09527985E-08   2.24763860E-10   1.74352977E-07   5.95734119E+00   -5.25141470E-02   -7.45218545E-02   1.06831387E-01   5.88961124E+00   -2.70199198E-02   2.01838724E-02   1.08056098E-01   5.93004036E+00   -5.07836379E-02   -7.23892599E-02   1.07309446E-01   1.05765939E+00   3.59123219E+05   4.54662132E+00   1.06199837E+00   3.64171406E+05   4.56065416E+00   1.06588054E+00   3.68681562E+05   4.57319117E+00 
0 120 1.24871100E-08   6.49257686E-07   4.01397358E-07   3.71863081E-07   3.64107784E-08   2.33232128E-10   1.70422496E-07   5.96110010E+00   -5.70730716E-02   -8.10734853E-02   1.06844679E-01   5.89183283E+00   -3.62198204E-02   1.68517642E-02   1.08097710E-01   5.93812227E+00   -5.33124544E-02   -7.72886276E-02   1.07251987E-01   1.05862129E+00   3.60242969E+05   4.54973412E+00   1.06302488E+00   3.65364562E+05   4.56397057E+00   1.06655228E+00   3.69461344E+05   4.57535839E+00 
0 130 1.16337100E-08   6.00682142E-07   3.82149551E-07   3.56793635E-07   3.33012800E-08   2.42412812E-10   1.70713221E-07   5.95356512E+00   -6.84545636E-02   -7.68445581E-02   1.07043900E-01   5.88821173E+00   -4.50478606E-02   2.31357049E-02   1.08224779E-01   5.94065619E+00   -5.23843393E-02   -7.34760165E-02   1.07277796E-01   1.05479681E+00   3.55788469E+05   4.53735209E+00   1.05974841E+00   3.61554625E+05   4.55338001E+00   1.06300259E+00   3.65338656E+05   4.56389856E+00 
0 140 1.01457731E-08   5.58148315E-07   3.60507727E-07   3.45018805E-07   2.81687456E-08   2.44202158E-10   1.64992741E-07   5.93271875E+00   -8.01110566E-02   -6.58971071E-02   1.07470758E-01   5.87445450E+00   -4.52568531E-02   3.53027433E-02   1.08520031E-01   5.92838430E+00   -5.37791140E-02   -6.14067502E-02   1.07550308E-01   1.04738402E+00   3.47971750E+05   4.51260424E+00   1.05313873E+00   3.53855438E+05   4.53197861E+00   1.05650711E+00   3.57781281E+05   4.54289150E+00 
0 150 9.13696141E-09   5.17313026E-07   3.34678361E-07   3.32319161E-07   2.54626613E-08   2.39226222E-10   1.53941173E-07   5.90625143E+00   -8.76694098E-02   -5.57131022E-02   1.07990593E-01   5.85661507E+00   -3.69561203E-02   4.66026850E-02   1.08875275E-01   5.90817595E+00   -6.29294142E-02   -4.70355377E-02   1.07945547E-01   1.03932130E+00   3.41579938E+05   4.48383522E+00   1.04624212E+00   3.47067344E+05   4.50853348E+00   1.04985344E+00   3.50021969E+05   4.52132273E+00 
0 160 8.88581919E-09   4.77990625E-07   3.06986976E-07   3.11706088E-07   2.58397179E-08   2.33152025E-10   1.43683792E-07   5.88679981E+00   -9.00588036E-02   -5.08435518E-02   1.08372085E-01   5.84148645E+00   -2.75519863E-02   5.19948192E-02   1.09166145E-01   5.89029408E+00   -7.83654228E-02   -3.86347361E-02   1.08278960E-01   1.03326547E+00   3.36769781E+05   4.46218538E+00   1.04096746E+00   3.42886031E+05   4.48971415E+00   1.04522383E+00   3.46260562E+05   4.50490236E+00 
0 170 8.30224067E-09   4.40900806E-07   2.82850266E-07   2.85718187E-07   2.43768614E-08   2.27881394E-10   1.36431751E-07   5.87983370E+00   -8.86248276E-02   -5.25864474E-02   1.08511001E-01   5.83314896E+00   -2.32593026E-02   4.98787016E-02   1.09319381E-01   5.88126421E+00   -9.18026492E-02   -4.03824113E-02   1.08436346E-01   1.03049600E+00   3.34567375E+05   4.45227242E+00   1.03817201E+00   3.40667656E+05   4.47972918E+00   1.04270089E+00   3.44260875E+05   4.49590206E+00 
0 180 7.28555705E-09   4.04161966E-07   2.63922090E-07   2.61181640E-07   2.05943582E-08   2.22742227E-10   1.31102226E-07   5.88178921E+00   -8.51686671E-02   -5.91178983E-02   1.08472772E-01   5.83026409E+00   -2.48112250E-02   4.24942300E-02   1.09364256E-01   5.87889051E+00   -9.69732553E-02   -4.90346961E-02   1.08466417E-01   1.03030765E+00   3.34417500E+05   4.45159817E+00   1.03728211E+00   3.39961125E+05   4.47654915E+00   1.04183698E+00   3.43575812E+05   4.49281883E+00 
0 190 6.73004008E-09   3.66272388E-07   2.47458587E-07   2.39893893E-07   1.82641831E-08   2.17913826E-10   1.27299856E-07   5.88443613E+00   -8.23346078E-02   -6.55928999E-02   1.08413272E-01   5.82769632E+00   -2.89901961E-02   3.50130126E-02   1.09399900E-01   5.87736082E+00   -9.42290649E-02   -5.71484156E-02   1.08482055E-01   1.03095233E+00   3.34930406E+05   4.45390654E+00   1.03713036E+00   3.39840562E+05   4.47600651E+00   1.04150772E+00   3.43314594E+05   4.49164295E+00 
0 200 6.75661749E-09   3.29531190E-07   2.31467681E-07   2.21286484E-07   1.84073397E-08   2.13505894E-10   1.24511530E-07   5.88050652E+00   -8.20296183E-02   -6.69607371E-02   1.08471565E-01   5.82120562E+00   -3.18565629E-02   3.24654244E-02   1.09507710E-01   5.87210321E+00   -8.89170468E-02   -5.89174889E-02   1.08569734E-01   1.03072679E+00   3.34750938E+05   4.45309877E+00   1.03664732E+00   3.39457000E+05   4.47428036E+00   1.04080188E+00   3.42754750E+05   4.48912287E+00 
0 210 6.64091226E-09   2.97769247E-07   2.16455064E-07   2.05518887E-07   1.81623943E-08   2.09038592E-10   1.21361978E-07   5.86761475E+00   -8.36935863E-02   -6.18214048E-02   1.08696833E-01   5.81000328E+00   -3.12617570E-02   3.63719240E-02   1.09704860E-01   5.86188221E+00   -8.65335613E-02   -5.34472354E-02   1.08752988E-01   1.02885985E+00   3.33265406E+05   4.44641256E+00   1.03524554E+00   3.38343406E+05   4.46926832E+00   1.03933287E+00   3.41589125E+05   4.48387671E+00 
