RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 100 1.68389889E-08   7.73535817E-07   4.42536447E-07   4.03067446E-07   5.09653368E-08   2.29264913E-10   1.96302949E-07   5.96691608E+00   -6.42139912E-02   -5.74128330E-02   1.06534652E-01   5.87987137E+00   -1.04035391E-02   2.56037470E-02   1.08094759E-01   5.89252996E+00   -2.19340832E-03   -5.03249140E-03   1.07831828E-01   1.05368805E+00   3.54496031E+05   4.53375912E+00   1.05819249E+00   3.59743781E+05   4.54834652E+00   1.06134045E+00   3.63406469E+05   4.55852795E+00 
0 110 1.39900607E-08   7.18115700E-07   4.22947551E-07   3.91842917E-07   4.19703667E-08   2.28544628E-10   1.80106852E-07   5.96247339E+00   -5.97383231E-02   -6.93154857E-02   1.06720015E-01   5.87445974E+00   -5.73062431E-03   1.37999570E-02   1.08283006E-01   5.89747286E+00   -1.65431260E-03   -1.92818642E-02   1.07849553E-01   1.05642354E+00   3.57683969E+05   4.54262066E+00   1.06068504E+00   3.62644250E+05   4.55640888E+00   1.06370556E+00   3.66155531E+05   4.56616926E+00 
0 120 1.26510598E-08   6.60569697E-07   4.05669255E-07   3.80196923E-07   3.70321089E-08   2.36016345E-10   1.74094126E-07   5.96386433E+00   -6.18578158E-02   -7.44816214E-02   1.06781974E-01   5.87866020E+00   -3.28420987E-03   7.45674549E-03   1.08280554E-01   5.90764809E+00   -2.43774336E-03   -2.83442400E-02   1.07758909E-01   1.05756092E+00   3.59008531E+05   4.54630280E+00   1.06160808E+00   3.63717625E+05   4.55939245E+00   1.06486630E+00   3.67503906E+05   4.56991720E+00 
0 130 1.18602177E-08   6.09545964E-07   3.86855874E-07   3.65973762E-07   3.40426318E-08   2.45617277E-10   1.73952984E-07   5.95700741E+00   -6.61097765E-02   -7.01870844E-02   1.06976800E-01   5.87503242E+00   -2.44456157E-03   1.13871470E-02   1.08407021E-01   5.91003323E+00   -2.02890998E-03   -2.53226161E-02   1.07799217E-01   1.05406833E+00   3.54939312E+05   4.53499174E+00   1.05832255E+00   3.59895250E+05   4.54876757E+00   1.06167805E+00   3.63799000E+05   4.55961895E+00 
0 140 1.04400808E-08   5.66843426E-07   3.65122304E-07   3.54645181E-07   2.91671043E-08   2.48192494E-10   1.68422204E-07   5.93897581E+00   -6.97332472E-02   -6.10925853E-02   1.07361943E-01   5.85882092E+00   -5.80919161E-03   2.20805109E-02   1.08752102E-01   5.90131664E+00   -4.43230383E-03   -1.36806974E-02   1.08031802E-01   1.04691184E+00   3.47597781E+05   4.51092100E+00   1.05177402E+00   3.52263500E+05   4.52755356E+00   1.05483544E+00   3.55833500E+05   4.53747702E+00 
0 150 9.44225409E-09   5.27649831E-07   3.38775266E-07   3.42565272E-07   2.65794071E-08   2.43044390E-10   1.56290611E-07   5.91411448E+00   -7.31189251E-02   -5.26222549E-02   1.07861936E-01   5.83607483E+00   -1.38904881E-02   3.29902358E-02   1.09210283E-01   5.88620520E+00   -1.29372971E-02   -9.45502834E-04   1.08370714E-01   1.03890026E+00   3.41245750E+05   4.48233128E+00   1.04500520E+00   3.46087375E+05   4.50412273E+00   1.04740262E+00   3.47986438E+05   4.51267052E+00 
0 160 9.18572152E-09   4.88722208E-07   3.10807110E-07   3.21898511E-07   2.70185900E-08   2.36380471E-10   1.44507439E-07   5.89389992E+00   -7.69591704E-02   -4.86630090E-02   1.08265035E-01   5.81549501E+00   -2.37549227E-02   3.76953110E-02   1.09622665E-01   5.87414837E+00   -2.40528230E-02   6.43763691E-03   1.08638242E-01   1.03282356E+00   3.36418531E+05   4.46060419E+00   1.03990173E+00   3.42040562E+05   4.48590851E+00   1.04172623E+00   3.43487938E+05   4.49242306E+00 
0 170 8.50689119E-09   4.50893936E-07   2.86968231E-07   2.94617337E-07   2.51956749E-08   2.31105732E-10   1.36613963E-07   5.88504219E+00   -8.08051974E-02   -5.09893522E-02   1.08442791E-01   5.80535126E+00   -3.11059374E-02   3.33849415E-02   1.09830998E-01   5.87160587E+00   -3.02567389E-02   5.61829424E-03   1.08710699E-01   1.03001511E+00   3.34184781E+05   4.45055056E+00   1.03749132E+00   3.40127250E+05   4.47729683E+00   1.03877819E+00   3.41148844E+05   4.48189497E+00 
0 180 7.37009787E-09   4.13485083E-07   2.68612609E-07   2.68984110E-07   2.08215027E-08   2.26145366E-10   1.30920697E-07   5.88524532E+00   -8.41226429E-02   -5.76726906E-02   1.08436421E-01   5.80492973E+00   -3.33790965E-02   2.37794593E-02   1.09844454E-01   5.87635899E+00   -2.81383973E-02   -1.35168224E-03   1.08629771E-01   1.02974939E+00   3.33973344E+05   4.44959879E+00   1.03711629E+00   3.39829375E+05   4.47595644E+00   1.03814137E+00   3.40643312E+05   4.47961998E+00 
0 190 6.95972746E-09   3.74868790E-07   2.51478212E-07   2.47767929E-07   1.89712477E-08   2.21472535E-10   1.26806071E-07   5.88645411E+00   -8.67284015E-02   -6.38067275E-02   1.08399160E-01   5.80754280E+00   -3.17005441E-02   1.68420933E-02   1.09789982E-01   5.88121748E+00   -2.08998378E-02   -8.80592875E-03   1.08533151E-01   1.03022027E+00   3.34348031E+05   4.45128536E+00   1.03738368E+00   3.40041781E+05   4.47691250E+00   1.03837860E+00   3.40831688E+05   4.48046780E+00 
0 200 7.20249238E-09   3.37721872E-07   2.34698845E-07   2.29687700E-07   1.99680930E-08   2.17348362E-10   1.24293109E-07   5.88133574E+00   -8.84067193E-02   -6.47702664E-02   1.08473308E-01   5.80555534E+00   -2.85209473E-02   1.82475876E-02   1.09817468E-01   5.87934256E+00   -1.47678880E-02   -1.12030283E-02   1.08552650E-01   1.02981174E+00   3.34023000E+05   4.44982243E+00   1.03697062E+00   3.39713781E+05   4.47543621E+00   1.03786910E+00   3.40427219E+05   4.47864723E+00 
