RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 6.14709261E-09   6.04145953E-07   1.21382911E-07   6.98563838E-08   2.19159482E-08   7.37003791E-09   1.44466139E-05   3.84578872E+00   6.68940246E-01   1.28650516E-02   1.07685015E-01   3.81647563E+00   6.62944734E-01   -2.45229211E-02   1.08508766E-01   8.46723437E-01   1.84465078E+05   3.77667761E+00   8.46043706E-01   1.83894656E+05   3.77411008E+00 
0 10 7.63483321E-09   3.29979599E-07   1.61727840E-07   1.55930820E-07   2.55118326E-08   8.20460505E-11   1.81222390E-07   3.72440457E+00   6.62726343E-01   5.88366166E-02   1.11242242E-01   3.69196773E+00   6.14878476E-01   -1.28117874E-01   1.12312131E-01   7.46745229E-01   1.29526289E+05   3.42047930E+00   7.45591819E-01   1.28904922E+05   3.41630459E+00 
0 20 4.90507324E-09   2.36002379E-07   1.14777066E-07   8.84430307E-08   1.82858884E-08   9.70327430E-11   2.06278131E-07   3.96324706E+00   6.16767347E-01   1.28194675E-01   1.05274118E-01   3.89519310E+00   6.18128479E-01   -1.64463669E-01   1.07004143E-01   7.28800535E-01   1.19822617E+05   3.35528708E+00   7.28461862E-01   1.19638727E+05   3.35405159E+00 
0 30 3.96543509E-09   1.88604446E-07   9.17276921E-08   8.16542567E-08   1.27445192E-08   6.64316449E-11   1.74849873E-07   3.82872653E+00   6.33479178E-01   1.17454320E-01   1.09014437E-01   3.78138757E+00   6.07442617E-01   -1.52591616E-01   1.10381156E-01   6.82567120E-01   9.44531719E+04   3.18484783E+00   6.80564463E-01   9.33419141E+04   3.17738199E+00 
0 40 2.49662357E-09   1.62743021E-07   8.33318978E-08   8.23736244E-08   8.22366797E-09   5.76614728E-11   1.45463616E-07   3.79598618E+00   6.46596909E-01   1.30181149E-01   1.10099345E-01   3.77545047E+00   6.08943403E-01   -1.00476280E-01   1.10847630E-01   6.61912680E-01   8.29411016E+04   3.10750628E+00   6.61217272E-01   8.25515234E+04   3.10488892E+00 
0 50 1.91155891E-09   1.43735761E-07   7.24328331E-08   6.96123905E-08   5.76191495E-09   5.37389612E-11   1.18409858E-07   3.77655602E+00   6.56034529E-01   9.09334272E-02   1.10886790E-01   3.75704694E+00   6.18830025E-01   -9.55290273E-02   1.11563601E-01   6.49141729E-01   7.57657891E+04   3.05930042E+00   6.48427129E-01   7.53629688E+04   3.05659413E+00 
0 60 1.61818348E-09   1.22748332E-07   6.41844906E-08   6.16146849E-08   4.64327110E-09   5.11542475E-11   1.02716250E-07   3.70659375E+00   6.61757171E-01   5.93393631E-02   1.13040425E-01   3.72115350E+00   6.20662034E-01   -9.53733027E-02   1.12740934E-01   6.38976991E-01   7.00227969E+04   3.02071738E+00   6.39171600E-01   7.01330078E+04   3.02145767E+00 
0 70 1.17011500E-09   1.04368731E-07   5.76390633E-08   5.61320235E-08   3.33268502E-09   4.94211616E-11   8.99005101E-08   3.67773747E+00   6.65450633E-01   5.91205433E-02   1.13972016E-01   3.70059443E+00   6.28336191E-01   -8.85922015E-02   1.13380298E-01   6.36178017E-01   6.84363828E+04   3.01005936E+00   6.36319041E-01   6.85163750E+04   3.01059675E+00 
0 80 9.30920341E-10   9.41672766E-08   5.28984501E-08   5.20186880E-08   2.58605848E-09   4.75465847E-11   7.82872931E-08   3.66532731E+00   6.62509978E-01   6.04916587E-02   1.14378437E-01   3.68771648E+00   6.25541508E-01   -8.61967579E-02   1.13781027E-01   6.35363638E-01   6.79743750E+04   3.00695539E+00   6.34329736E-01   6.73875859E+04   3.00301313E+00 
0 90 8.05962241E-10   8.58813749E-08   4.79452318E-08   4.79942237E-08   2.14801665E-09   4.60184460E-11   6.89280739E-08   3.64589453E+00   6.58443034E-01   6.97001517E-02   1.14952251E-01   3.67739058E+00   6.21311665E-01   -8.86873305E-02   1.14096500E-01   6.32113993E-01   6.61290312E+04   2.99455786E+00   6.31868184E-01   6.59893438E+04   2.99361944E+00 
