,X_coord,Y_coord,Ref_Wind_Speed,Wind_angle,Spacing
98,0.0,0.0,7.42681599,289.0,279.0
99,263.7996825922094,-90.83351509354672,7.22257948,289.0,279.0
100,0.0,0.0,7.43836498,290.0,279.0
101,262.17424119926847,-95.42361998786157,7.2841897,290.0,279.0
102,0.0,0.0,7.4401412,291.0,279.0
103,260.4689389927193,-99.98465792313877,7.35028028,291.0,279.0
104,0.0,0.0,7.44527864,292.0,279.0
105,258.68429542413367,-104.51523956303946,7.39223957,292.0,279.0
106,0.0,0.0,7.44139576,293.0,279.0
107,256.82085411323084,-109.01398484850738,7.4383316,293.0,279.0
108,0.0,0.0,7.43931341,294.0,279.0
109,254.87918268228563,-113.47952341814826,7.47310305,294.0,279.0
110,0.0,0.0,7.44768333,295.0,279.0
111,252.85987258322533,-117.91049502565514,7.50485325,295.0,279.0
112,0.0,0.0,7.48393726,296.0,279.0
113,250.7635389174676,-122.3055499541526,7.50941801,296.0,279.0
114,0.0,0.0,7.4913702,297.0,279.0
115,248.59082024855465,-126.66334942733354,7.5241313,297.0,279.0
116,0.0,0.0,7.4674592,298.0,279.0
117,246.34237840764064,-130.98256601726354,7.56316662,298.0,279.0
118,0.0,0.0,7.47330475,299.0,279.0
119,244.01889829189142,-135.26188404872804,7.57174969,299.0,279.0
120,0.0,0.0,7.47974348,300.0,279.0
121,241.6210876558584,-139.49999999999997,7.57912397,300.0,279.0
122,0.0,0.0,7.50172806,240.0,372.0
123,322.1614502078112,185.99999999999997,7.5707202,240.0,372.0
124,0.0,0.0,7.4960103,241.0,372.0
125,325.3585310558552,180.34917873163738,7.56806946,241.0,372.0
126,0.0,0.0,7.49304342,242.0,372.0
127,328.45650454352085,174.64342135635138,7.56435013,242.0,372.0
128,0.0,0.0,7.49259138,243.0,372.0
129,331.45442699807285,168.8844659031114,7.54964066,243.0,372.0
130,0.0,0.0,7.49497366,244.0,372.0
131,334.35138522329015,163.07406660553679,7.55146646,244.0,372.0
132,0.0,0.0,7.48398638,245.0,372.0
133,337.1464967776338,157.21399336754018,7.55257273,245.0,372.0
134,0.0,0.0,7.46859789,246.0,372.0
135,339.8389102430475,151.30603122419768,7.53242159,246.0,372.0
136,0.0,0.0,7.46926641,247.0,372.0
137,342.42780548430784,145.35197979800984,7.52182484,247.0,372.0
138,0.0,0.0,7.47089338,248.0,372.0
139,344.9123938988449,139.35365275071928,7.51742935,248.0,372.0
140,0.0,0.0,7.45903826,249.0,372.0
141,347.29191865695907,133.3128772308517,7.49762249,249.0,372.0
142,0.0,0.0,7.46089792,250.0,372.0
143,349.5656549323579,127.23149331714876,7.47456598,250.0,372.0
144,0.0,0.0,7.46438122,251.0,372.0
145,351.73291012294584,121.1113534580623,7.45294428,251.0,372.0
146,0.0,0.0,7.45792294,252.0,372.0
147,353.7930240617971,114.95432190748043,7.41070938,252.0,372.0
148,0.0,0.0,7.45086861,253.0,372.0
149,355.7453692182492,108.76227415685808,7.3551383,253.0,372.0
150,0.0,0.0,7.43507671,254.0,372.0
151,357.58935088905463,102.5370963639237,7.27885008,254.0,372.0
152,0.0,0.0,7.4376359,255.0,372.0
153,359.3244073795334,96.28068477813771,7.190588,255.0,372.0
154,0.0,0.0,7.45159626,256.0,372.0
155,360.9500101746707,89.9949451630764,7.06501245,256.0,372.0
156,0.0,0.0,7.40157032,257.0,372.0
157,362.4656641001075,83.68179221591778,6.94959307,257.0,372.0
158,0.0,0.0,7.40327883,258.0,372.0
159,363.8709074729757,77.34314898420648,6.78093386,258.0,372.0
160,0.0,0.0,7.39253664,259.0,372.0
161,365.165312242531,70.98094628007466,6.62719679,259.0,372.0
162,0.0,0.0,7.39667606,260.0,372.0
163,366.3484841205414,64.59712209209809,6.4727335,260.0,372.0
164,0.0,0.0,7.38378143,261.0,372.0
165,367.42006270139126,58.19362099496588,6.29732752,261.0,372.0
166,0.0,0.0,7.38049603,262.0,372.0
167,368.3797215718642,51.77239355714434,6.11142492,262.0,372.0
168,0.0,0.0,7.38430691,263.0,372.0
169,369.2271684105718,45.33539574671486,5.91495562,263.0,372.0
170,0.0,0.0,7.38654804,264.0,372.0
171,369.9621450769977,38.88458833556709,5.73328495,264.0,372.0
172,0.0,0.0,7.3703866,265.0,372.0
173,370.58442769012936,32.421936302128834,5.54358149,265.0,372.0
174,0.0,0.0,7.37443304,266.0,372.0
175,371.0938266966546,25.949408232814612,5.3738203,266.0,372.0
176,0.0,0.0,7.36521864,267.0,372.0
177,371.49018692870146,19.468975722375106,5.25016356,267.0,372.0
178,0.0,0.0,7.37993765,268.0,372.0
179,371.77338765110363,12.982612773330361,5.15568638,268.0,372.0
180,0.0,0.0,7.36434269,269.0,372.0
181,371.94334259817754,6.492295194669467,5.0888772,269.0,372.0
182,0.0,0.0,7.36998081,270.0,372.0
183,372.0,0.0,5.07858276,270.0,372.0
184,0.0,0.0,7.36329556,271.0,372.0
185,371.94334259817754,-6.492295194669467,5.11230373,271.0,372.0
186,0.0,0.0,7.37802935,272.0,372.0
187,371.77338765110363,-12.982612773330361,5.20459461,272.0,372.0
188,0.0,0.0,7.36445379,273.0,372.0
189,371.49018692870146,-19.468975722375106,5.32811213,273.0,372.0
190,0.0,0.0,7.37409592,274.0,372.0
191,371.0938266966546,-25.949408232814612,5.47299147,274.0,372.0
192,0.0,0.0,7.36991596,275.0,372.0
193,370.58442769012936,-32.421936302128834,5.65676117,275.0,372.0
194,0.0,0.0,7.38587904,276.0,372.0
195,369.9621450769977,-38.88458833556709,5.85257912,276.0,372.0
196,0.0,0.0,7.38359594,277.0,372.0
197,369.2271684105718,-45.33539574671486,6.03363276,277.0,372.0
198,0.0,0.0,7.37984085,278.0,372.0
199,368.3797215718642,-51.77239355714434,6.2237854,278.0,372.0
200,0.0,0.0,7.38312531,279.0,372.0
201,367.42006270139126,-58.19362099496588,6.40136003,279.0,372.0
202,0.0,0.0,7.39642286,280.0,372.0
203,366.3484841205414,-64.59712209209809,6.56498623,280.0,372.0
204,0.0,0.0,7.3926115,281.0,372.0
205,365.165312242531,-70.98094628007466,6.70894623,281.0,372.0
206,0.0,0.0,7.40381098,282.0,372.0
207,363.8709074729757,-77.34314898420648,6.86603308,282.0,372.0
208,0.0,0.0,7.40190172,283.0,372.0
209,362.4656641001075,-83.68179221591778,7.0191021,283.0,372.0
210,0.0,0.0,7.45233059,284.0,372.0
211,360.9500101746707,-89.9949451630764,7.1219182,284.0,372.0
212,0.0,0.0,7.43746424,285.0,372.0
213,359.3244073795334,-96.28068477813771,7.23535395,285.0,372.0
214,0.0,0.0,7.43497849,286.0,372.0
215,357.58935088905463,-102.5370963639237,7.31272793,286.0,372.0
216,0.0,0.0,7.45088148,287.0,372.0
217,355.7453692182492,-108.76227415685808,7.38153553,287.0,372.0
218,0.0,0.0,7.45803881,288.0,372.0
219,353.7930240617971,-114.95432190748043,7.43135357,288.0,372.0
220,0.0,0.0,7.46352291,289.0,372.0
221,351.73291012294584,-121.1113534580623,7.46770287,289.0,372.0
222,0.0,0.0,7.4604702,290.0,372.0
223,349.5656549323579,-127.23149331714876,7.48571348,290.0,372.0
224,0.0,0.0,7.45873117,291.0,372.0
225,347.29191865695907,-133.3128772308517,7.50581408,291.0,372.0
226,0.0,0.0,7.47042561,292.0,372.0
227,344.9123938988449,-139.35365275071928,7.52361345,292.0,372.0
228,0.0,0.0,7.46862125,293.0,372.0
229,342.42780548430784,-145.35197979800984,7.52674675,293.0,372.0
230,0.0,0.0,7.46796179,294.0,372.0
231,339.8389102430475,-151.30603122419768,7.53581238,294.0,372.0
232,0.0,0.0,7.48313475,295.0,372.0
233,337.1464967776338,-157.21399336754018,7.55529499,295.0,372.0
234,0.0,0.0,7.49386311,296.0,372.0
235,334.35138522329015,-163.07406660553679,7.55289221,296.0,372.0
236,0.0,0.0,7.49355888,297.0,372.0
