,X_coord,Y_coord,Ref_Wind_Speed,ID
0,0.0,0.0,7.32766294,0.0
1,1042.605229973151,495.0,7.3696146,0.0
2,1955.622859102595,151.0,7.30516195,0.0
3,0.0,0.0,7.30057335,1.0
4,287.5943445249627,-231.0,7.40046787,1.0
5,3338.136359175389,423.0,7.45098972,1.0
6,0.0,0.0,7.33319044,2.0
7,133.15463754783377,495.0,7.35395145,2.0
8,2655.547944447033,-116.0,7.16639519,2.0
9,0.0,0.0,7.32573605,3.0
10,451.98402898144656,503.0,7.36060095,3.0
11,3007.343775958816,457.0,6.84889698,3.0
12,0.0,0.0,7.32431698,4.0
13,618.8341567724224,-435.0,7.36216736,4.0
14,2097.268164702009,-553.0,7.17752409,4.0
15,0.0,0.0,7.32649183,5.0
16,2420.588125261885,294.0,7.38386154,5.0
17,1059.7379329078371,17.0,6.07239008,5.0
18,0.0,0.0,7.32636499,6.0
19,878.2443598904974,-392.0,7.3899827,6.0
20,3465.2190048330995,-269.0,7.22809172,6.0
21,0.0,0.0,7.32798147,7.0
22,2599.190788970645,28.0,6.88924026,7.0
23,1179.6396408079104,-281.0,7.36707449,7.0
24,0.0,0.0,7.32007408,8.0
25,751.307159085231,-122.0,7.16640759,8.0
26,2002.185939787544,-386.0,7.36771536,8.0
27,0.0,0.0,7.32353592,9.0
28,652.1834443747642,369.0,7.35471201,9.0
29,3335.219007554191,-107.0,7.17393637,9.0
30,0.0,0.0,7.32433033,10.0
31,3137.9531964424573,-345.0,7.25673532,10.0
32,436.8525441046804,-464.0,7.35991526,10.0
33,0.0,0.0,7.32551193,11.0
34,2082.2361432721045,469.0,7.42234612,11.0
35,973.0543524824956,209.0,7.33626223,11.0
36,0.0,0.0,7.32048368,12.0
37,2336.486924801543,-349.0,7.41080999,12.0
38,635.1773992197782,286.0,7.33716297,12.0
39,0.0,0.0,7.27778149,13.0
40,2438.2763295095856,-550.0,7.4267149,13.0
41,334.699815600332,14.0,4.90979958,13.0
42,0.0,0.0,7.32543612,14.0
43,268.99584662739744,-516.0,7.37801313,14.0
44,1006.7169208255496,-377.0,7.30752182,14.0
45,0.0,0.0,7.33737803,15.0
46,2921.222527679784,-24.0,6.96568537,15.0
47,66.66734810024354,511.0,7.38414717,15.0
48,0.0,0.0,7.32603407,16.0
49,3168.421497230771,490.0,7.35407686,16.0
50,905.3163862037992,312.0,7.34822035,16.0
51,0.0,0.0,7.33695078,17.0
52,2388.976219191384,-37.0,6.7866025,17.0
53,39.21903222809215,-397.0,7.34048939,17.0
54,0.0,0.0,7.32867622,18.0
55,1451.921021586999,-312.0,7.33867645,18.0
56,1827.4257578055224,-268.0,5.8302927,18.0
57,0.0,0.0,7.32939434,19.0
58,1601.7603022128071,191.0,7.35614252,19.0
59,2695.007646967637,111.0,6.56862497,19.0
60,0.0,0.0,7.32935476,20.0
61,2339.114007014013,110.0,7.13994455,20.0
62,1742.0526360742194,-36.0,6.47386646,20.0
63,0.0,0.0,7.31291246,21.0
64,1248.0860175202752,445.0,7.41792536,21.0
65,469.320722309124,274.0,7.37258196,21.0
66,0.0,0.0,7.32871819,22.0
67,1397.8270583435342,-85.0,6.8349719,22.0
68,2740.9901370299303,266.0,7.37997532,22.0
69,0.0,0.0,7.30681944,23.0
70,2637.847137171607,-134.0,7.02209044,23.0
71,306.604587360916,-263.0,7.40123367,23.0
