RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 150 3.76775144E-09   2.40622910E-07   1.14277597E-07   9.86850353E-08   1.07436771E-08   5.04482678E-10   2.48334317E-07   8.06027508E+00   -3.77974987E+00   -3.32066506E-01   1.19881429E-01   8.30364418E+00   -3.63215351E+00   -4.00030077E-01   1.18035935E-01   1.68149018E+00   1.63850338E+06   7.43219328E+00   1.67802656E+00   1.71289112E+06   7.59469604E+00 
0 160 3.25775962E-09   2.19166395E-07   1.03622092E-07   8.76506832E-08   8.86270879E-09   4.80185780E-10   2.31054543E-07   8.04979610E+00   -3.77898812E+00   -3.28313142E-01   1.20024927E-01   8.29096889E+00   -3.62262607E+00   -3.93969506E-01   1.18254073E-01   1.68170238E+00   1.63226762E+06   7.41857100E+00   1.67839611E+00   1.70642188E+06   7.58056402E+00 
0 170 2.79502976E-09   2.01578132E-07   9.45266052E-08   7.97481121E-08   7.28853733E-09   4.60812277E-10   2.15272365E-07   8.05057907E+00   -3.77520108E+00   -3.25006425E-01   1.20043911E-01   8.27810955E+00   -3.61487889E+00   -3.93365204E-01   1.18459329E-01   1.68180978E+00   1.62896500E+06   7.41135597E+00   1.67870772E+00   1.70078075E+06   7.56824064E+00 
0 180 2.47892196E-09   1.86726311E-07   8.69870647E-08   7.31887653E-08   6.55062138E-09   4.45249559E-10   2.00814299E-07   8.05951500E+00   -3.76849842E+00   -3.20396602E-01   1.19976856E-01   8.26633835E+00   -3.60926843E+00   -3.94206762E-01   1.18636988E-01   1.68186677E+00   1.62716925E+06   7.40743303E+00   1.67897689E+00   1.69575912E+06   7.55727053E+00 
0 190 2.27269337E-09   1.74029978E-07   8.06867035E-08   6.62112214E-08   6.17516882E-09   4.32178460E-10   1.87306000E-07   8.07676220E+00   -3.75809765E+00   -3.15025449E-01   1.19827591E-01   8.25640774E+00   -3.60531950E+00   -3.93508404E-01   1.18783548E-01   1.68187594E+00   1.62687675E+06   7.40679455E+00   1.67921436E+00   1.69119900E+06   7.54730892E+00 
0 200 2.09316120E-09   1.63229757E-07   7.53832410E-08   5.91487890E-08   5.73105563E-09   4.20743385E-10   1.74608260E-07   8.10284615E+00   -3.74370074E+00   -3.09405565E-01   1.19592600E-01   8.24837875E+00   -3.60205126E+00   -3.90206724E-01   1.18905567E-01   1.68182051E+00   1.62862925E+06   7.41062260E+00   1.67942989E+00   1.68695038E+06   7.53802776E+00 
0 210 1.90850047E-09   1.53928312E-07   7.09049743E-08   5.21045713E-08   5.20222043E-09   4.10217194E-10   1.62752883E-07   8.13602257E+00   -3.72564864E+00   -3.04239631E-01   1.19291745E-01   8.24141026E+00   -3.59879827E+00   -3.84968460E-01   1.19016878E-01   1.68170011E+00   1.63233388E+06   7.41871548E+00   1.67963576E+00   1.68278550E+06   7.52892923E+00 
0 220 1.72164960E-09   1.45556925E-07   6.70977442E-08   4.54814959E-08   4.62414729E-09   3.99864752E-10   1.51619943E-07   8.17235279E+00   -3.70497870E+00   -3.00648689E-01   1.18967034E-01   8.23431110E+00   -3.59515214E+00   -3.79460663E-01   1.19132504E-01   1.68153691E+00   1.63716075E+06   7.42926025E+00   1.67984390E+00   1.67845600E+06   7.51947117E+00 
0 230 1.55738489E-09   1.37904394E-07   6.35773958E-08   3.98105122E-08   4.10716217E-09   3.89270838E-10   1.41069165E-07   8.20799255E+00   -3.68300629E+00   -2.99631149E-01   1.18657432E-01   8.22669506E+00   -3.59095812E+00   -3.75159591E-01   1.19256310E-01   1.68135762E+00   1.64223200E+06   7.44033813E+00   1.68005133E+00   1.67401912E+06   7.50977850E+00 
0 240 1.48461066E-09   1.31004811E-07   6.00654531E-08   3.53861438E-08   3.99721900E-09   3.78366727E-10   1.31079929E-07   8.24076462E+00   -3.66125154E+00   -3.01277369E-01   1.18380703E-01   8.21926689E+00   -3.58658767E+00   -3.72435182E-01   1.19377144E-01   1.68117416E+00   1.64720050E+06   7.45119238E+00   1.68023670E+00   1.66993500E+06   7.50085688E+00 
0 250 1.46293677E-09   1.24863533E-07   5.66182266E-08   3.20246727E-08   4.13634149E-09   3.67342795E-10   1.21547828E-07   8.26983452E+00   -3.64142275E+00   -3.04671794E-01   1.18137680E-01   8.21275997E+00   -3.58260989E+00   -3.70708346E-01   1.19483456E-01   1.68098474E+00   1.65212412E+06   7.46194792E+00   1.68038464E+00   1.66659175E+06   7.49355316E+00 
0 260 1.42166434E-09   1.19288174E-07   5.34399156E-08   2.93464328E-08   4.16254542E-09   3.56547569E-10   1.12514471E-07   8.29451084E+00   -3.62478590E+00   -3.08490425E-01   1.17930017E-01   8.20714569E+00   -3.57935739E+00   -3.69360924E-01   1.19574562E-01   1.68079233E+00   1.65693812E+06   7.47246456E+00   1.68049836E+00   1.66396712E+06   7.48781967E+00 
0 270 1.37124290E-09   1.14068960E-07   5.06408639E-08   2.70574319E-08   4.07163503E-09   3.46366130E-10   1.04147752E-07   8.31392097E+00   -3.61194658E+00   -3.11407536E-01   1.17765352E-01   8.20199108E+00   -3.57681632E+00   -3.68115485E-01   1.19656578E-01   1.68061161E+00   1.66130325E+06   7.48200035E+00   1.68059230E+00   1.66175925E+06   7.48299646E+00 
