RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 2.15935110E-08   1.44882711E-06   2.05399047E-07   1.75458709E-07   7.66505366E-08   2.51801495E-08   3.29189279E-05   5.78762579E+00   5.79676092E-01   2.31132582E-02   1.08408727E-01   5.73478842E+00   5.89296103E-01   2.50563882E-02   1.09359935E-01   1.38726234E+00   7.79109750E+05   5.64803076E+00   1.38392067E+00   7.74111625E+05   5.63584852E+00 
0 10 2.69095111E-08   7.73825207E-07   3.76385685E-07   3.79509601E-07   9.02223860E-08   2.76128814E-10   3.92375654E-07   5.71139431E+00   5.38650334E-01   6.01291135E-02   1.10098921E-01   5.73447227E+00   4.95769441E-01   2.68944073E-02   1.09655485E-01   1.23430872E+00   5.58780312E+05   5.10161018E+00   1.23302317E+00   5.57368312E+05   5.09768534E+00 
0 20 1.73984933E-08   5.49349522E-07   2.66359962E-07   2.13719176E-07   6.47781704E-08   3.33889527E-10   4.69899334E-07   6.02105856E+00   5.00252664E-01   1.50575519E-01   1.04803011E-01   6.09464836E+00   5.29805183E-01   1.59313828E-01   1.03568926E-01   1.19915020E+00   5.19958219E+05   4.99369621E+00   1.19662607E+00   5.17154281E+05   4.98590231E+00 
0 30 1.42576901E-08   4.31404828E-07   2.09989082E-07   1.97779272E-07   4.60763658E-08   2.23600888E-10   3.96637802E-07   5.87403011E+00   5.52681446E-01   1.68193430E-01   1.07570589E-01   5.96499014E+00   5.19309580E-01   1.52527094E-01   1.06034070E-01   1.12022817E+00   4.31189719E+05   4.74694538E+00   1.12069571E+00   4.31722469E+05   4.74842644E+00 
0 40 8.90674556E-09   3.74608447E-07   1.89155827E-07   1.96074282E-07   2.93401516E-08   1.97257932E-10   3.29249275E-07   5.85997152E+00   5.61261058E-01   1.64164975E-01   1.08066596E-01   5.90903997E+00   5.55875361E-01   1.47946522E-01   1.07197270E-01   1.08639169E+00   3.92409844E+05   4.63914871E+00   1.08787000E+00   3.94113500E+05   4.64388418E+00 
0 50 6.82693146E-09   3.28152538E-07   1.68078273E-07   1.70667363E-07   2.02306243E-08   1.83053739E-10   2.67331359E-07   5.83924055E+00   5.95143020E-01   1.00811370E-01   1.08658336E-01   5.88992405E+00   5.96586049E-01   9.81856287E-02   1.07710116E-01   1.06694818E+00   3.69920906E+05   4.57663584E+00   1.06997132E+00   3.73427562E+05   4.58638334E+00 
0 60 5.67129055E-09   2.76355621E-07   1.50308438E-07   1.49099890E-07   1.62451705E-08   1.73430159E-10   2.28738529E-07   5.77079344E+00   6.23291731E-01   5.17819785E-02   1.10062584E-01   5.80459499E+00   6.09861076E-01   7.70219341E-02   1.09390184E-01   1.05311143E+00   3.53823594E+05   4.53188992E+00   1.05708122E+00   3.58449969E+05   4.54475021E+00 
0 70 4.15101109E-09   2.33480108E-07   1.35701555E-07   1.35737835E-07   1.16942722E-08   1.68199163E-10   2.00101056E-07   5.74185944E+00   6.33895040E-01   5.14433719E-02   1.10695384E-01   5.76985025E+00   6.25664413E-01   8.84886086E-02   1.10094227E-01   1.05044019E+00   3.50706844E+05   4.52322626E+00   1.05453086E+00   3.55478594E+05   4.53649044E+00 
0 80 3.25144156E-09   2.12240877E-07   1.25080220E-07   1.25059771E-07   8.95324082E-09   1.62571151E-10   1.74416883E-07   5.71665668E+00   6.30834997E-01   6.68635368E-02   1.11221850E-01   5.76152563E+00   6.19656861E-01   1.05855830E-01   1.10294141E-01   1.04811585E+00   3.48551219E+05   4.51521254E+00   1.05414474E+00   3.55028469E+05   4.53523922E+00 
0 90 2.87990010E-09   1.93965278E-07   1.12210948E-07   1.15737905E-07   7.85919418E-09   1.56601968E-10   1.52591596E-07   5.68086863E+00   6.17263019E-01   7.40701035E-02   1.11937724E-01   5.74498320E+00   6.05018675E-01   1.06739968E-01   1.10639021E-01   1.04075766E+00   3.42719688E+05   4.48896551E+00   1.05038428E+00   3.50641625E+05   4.52304506E+00 
