RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 2.08312567E-08   1.35725054E-06   3.20907873E-07   1.66528437E-07   7.39780006E-08   2.55551882E-08   3.34202668E-05   5.70717335E+00   1.18835115E+00   -9.91459843E-03   1.08157121E-01   5.69256353E+00   1.19731188E+00   -2.52267793E-02   1.08381845E-01   1.38566637E+00   7.76722875E+05   5.64221287E+00   1.38505232E+00   7.75804375E+05   5.63997412E+00 
0 10 2.53204586E-08   7.40665030E-07   3.75806053E-07   3.58334802E-07   8.49101554E-08   2.80014567E-10   3.82805098E-07   5.59099102E+00   1.09880078E+00   -1.03885569E-01   1.10850587E-01   5.60294199E+00   1.08502948E+00   -1.74283996E-01   1.10409416E-01   1.23573816E+00   5.60349562E+05   5.10597229E+00   1.23389947E+00   5.58330812E+05   5.10036087E+00 
0 20 1.64729190E-08   5.25452037E-07   2.62745118E-07   2.03791160E-07   6.14020905E-08   3.46086104E-10   4.56961232E-07   5.97674799E+00   1.08201027E+00   -1.24228515E-01   1.04390346E-01   5.86161804E+00   1.15133464E+00   -2.16162771E-01   1.05958402E-01   1.19820082E+00   5.18903812E+05   4.99076509E+00   1.20006299E+00   5.20971594E+05   4.99651289E+00 
0 30 1.34264253E-08   4.10838027E-07   2.10458424E-07   1.86040637E-07   4.31326264E-08   2.31685393E-10   3.82013155E-07   5.81682825E+00   1.06839645E+00   -1.47805363E-01   1.07367344E-01   5.71992397E+00   1.08026958E+00   -2.48971000E-01   1.08944222E-01   1.12253439E+00   4.33816688E+05   4.75424767E+00   1.12434769E+00   4.35880688E+05   4.75998497E+00 
0 40 8.50432347E-09   3.48278263E-07   1.91300046E-07   1.83314171E-07   2.82047150E-08   1.97836400E-10   3.17549336E-07   5.79650354E+00   1.10367858E+00   -1.58022225E-01   1.07841827E-01   5.65847206E+00   1.10076690E+00   -2.16449901E-01   1.10252991E-01   1.08982635E+00   3.96366812E+05   4.65014791E+00   1.09368002E+00   4.00800938E+05   4.66247368E+00 
0 50 6.62301414E-09   3.08885802E-07   1.67015017E-07   1.59870623E-07   1.97269863E-08   1.83051019E-10   2.60296986E-07   5.77332115E+00   1.11194682E+00   -2.06160098E-01   1.08464204E-01   5.61649990E+00   1.09020495E+00   -2.44829357E-01   1.11314729E-01   1.07182097E+00   3.75571188E+05   4.59234238E+00   1.07694864E+00   3.81506688E+05   4.60884094E+00 
0 60 5.40996625E-09   2.60649557E-07   1.47414013E-07   1.39143964E-07   1.54417172E-08   1.73295309E-10   2.25381669E-07   5.69290733E+00   1.13398910E+00   -2.60123223E-01   1.10000044E-01   5.53775787E+00   1.08109570E+00   -2.55897462E-01   1.12996787E-01   1.05804157E+00   3.59568156E+05   4.54785824E+00   1.06347120E+00   3.65883219E+05   4.56541252E+00 
0 70 3.91273902E-09   2.20296229E-07   1.33264379E-07   1.26015706E-07   1.11795213E-08   1.66871655E-10   1.97266218E-07   5.65953684E+00   1.13490009E+00   -2.68309355E-01   1.10792108E-01   5.49757862E+00   1.07054865E+00   -2.44652733E-01   1.13917559E-01   1.05538011E+00   3.56468312E+05   4.53924179E+00   1.05931365E+00   3.61048781E+05   4.55197430E+00 
0 80 3.11566306E-09   2.00865713E-07   1.20997541E-07   1.14944442E-07   8.58081339E-09   1.59495292E-10   1.72265715E-07   5.63184690E+00   1.12460113E+00   -2.55151838E-01   1.11490116E-01   5.47402000E+00   1.05565572E+00   -2.30924577E-01   1.14482462E-01   1.05452025E+00   3.55466219E+05   4.53645611E+00   1.05829251E+00   3.59860188E+05   4.54867029E+00 
0 90 2.70639133E-09   1.81439589E-07   1.08803825E-07   1.06403363E-07   7.07440240E-09   1.53533297E-10   1.52468374E-07   5.60253143E+00   1.11944163E+00   -2.37820908E-01   1.12162858E-01   5.46021128E+00   1.05426371E+00   -2.20781356E-01   1.14762656E-01   1.05072761E+00   3.51042406E+05   4.52415943E+00   1.05599773E+00   3.57187938E+05   4.54124212E+00 
0 100 2.26363972E-09   1.63372718E-07   9.36050881E-08   9.75665131E-08   5.95421490E-09   1.47297965E-10   1.37274839E-07   5.57392550E+00   1.11261821E+00   -2.23785579E-01   1.12792417E-01   5.44291687E+00   1.05106699E+00   -2.19807252E-01   1.15115441E-01   1.04519546E+00   3.46238094E+05   4.50480127E+00   1.05071247E+00   3.51024656E+05   4.52410984E+00 
0 110 1.89922544E-09   1.47783879E-07   8.08764398E-08   8.79265158E-08   4.90959806E-09   1.40303907E-10   1.25753900E-07   5.55311728E+00   1.11226273E+00   -2.15440899E-01   1.13217972E-01   5.42514610E+00   1.04681563E+00   -2.21121073E-01   1.15485996E-01   1.04044628E+00   3.42472594E+05   4.48785305E+00   1.04530954E+00   3.46328500E+05   4.50520802E+00 
0 120 1.63580938E-09   1.33405308E-07   7.10571513E-08   7.84208751E-08   4.09858059E-09   1.32873434E-10   1.16536683E-07   5.54125595E+00   1.11394405E+00   -2.11344823E-01   1.13445878E-01   5.41733789E+00   1.04490316E+00   -2.22148865E-01   1.15650423E-01   1.03728616E+00   3.39964312E+05   4.47656345E+00   1.04223311E+00   3.43889906E+05   4.49423218E+00 
0 130 1.42603418E-09   1.20002454E-07   6.25044407E-08   6.87738932E-08   3.49796014E-09   1.25200655E-10   1.08492458E-07   5.53033686E+00   1.11450958E+00   -2.10120663E-01   1.13658547E-01   5.41248989E+00   1.04302466E+00   -2.20383123E-01   1.15762264E-01   1.03447831E+00   3.37733781E+05   4.46652412E+00   1.04054213E+00   3.42548625E+05   4.48819542E+00 
0 140 1.24195709E-09   1.07409264E-07   5.51540928E-08   6.03259878E-08   3.09399617E-09   1.17649931E-10   1.01152374E-07   5.51772213E+00   1.11302447E+00   -2.08162755E-01   1.13920234E-01   5.40712929E+00   1.04193735E+00   -2.14105204E-01   1.15887985E-01   1.03159618E+00   3.35442500E+05   4.45621157E+00   1.03905213E+00   3.41366250E+05   4.48287392E+00 
0 150 1.09463016E-09   9.62433262E-08   4.87476903E-08   5.34987841E-08   2.79847034E-09   1.10481208E-10   9.41805212E-08   5.50374317E+00   1.11248612E+00   -2.05821052E-01   1.14209637E-01   5.39994621E+00   1.04040384E+00   -2.05869704E-01   1.16055578E-01   1.02901232E+00   3.33386750E+05   4.44695854E+00   1.03734779E+00   3.40013250E+05   4.47678375E+00 
0 160 9.40244438E-10   8.67347509E-08   4.31340048E-08   4.80771156E-08   2.36130959E-09   1.04486322E-10   8.75483721E-08   5.49059772E+00   1.11359322E+00   -2.04193950E-01   1.14477463E-01   5.39132023E+00   1.03880906E+00   -1.99766174E-01   1.16250798E-01   1.02692556E+00   3.31725500E+05   4.43948174E+00   1.03551948E+00   3.38561094E+05   4.47024775E+00 
0 170 8.15622292E-10   7.89571146E-08   3.81893166E-08   4.38648122E-08   2.00386641E-09   9.99373501E-11   8.15348074E-08   5.47859383E+00   1.11527205E+00   -2.02327386E-01   1.14720613E-01   5.38323116E+00   1.03751290E+00   -1.96617126E-01   1.16428979E-01   1.02505755E+00   3.30237531E+05   4.43278456E+00   1.03391302E+00   3.37284562E+05   4.46450233E+00 
0 180 7.33035355E-10   7.26572438E-08   3.39161943E-08   3.97856077E-08   1.86039872E-09   9.65448485E-11   7.60920003E-08   5.46581888E+00   1.11711538E+00   -1.99537009E-01   1.14977941E-01   5.37637186E+00   1.03633296E+00   -1.94429860E-01   1.16577610E-01   1.02285647E+00   3.28483250E+05   4.42488861E+00   1.03258705E+00   3.36230438E+05   4.45975780E+00 
0 190 6.48189780E-10   6.75127865E-08   3.04736609E-08   3.54574219E-08   1.66996272E-09   9.38257458E-11   7.10200112E-08   5.45168066E+00   1.11958098E+00   -1.96769893E-01   1.15259632E-01   5.37106419E+00   1.03536355E+00   -1.91436484E-01   1.16692752E-01   1.02015603E+00   3.26329531E+05   4.41519499E+00   1.03143167E+00   3.35311625E+05   4.45562220E+00 
0 200 5.60002378E-10   6.31230179E-08   2.74780607E-08   3.10859818E-08   1.43324563E-09   9.14641279E-11   6.62406734E-08   5.43747139E+00   1.12343323E+00   -1.95057914E-01   1.15537256E-01   5.36691904E+00   1.03455985E+00   -1.87647998E-01   1.16784766E-01   1.01733065E+00   3.24074469E+05   4.40504503E+00   1.03034234E+00   3.34445062E+05   4.45172215E+00 
