RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 1 4.61376573E-07   6.91709647E-06   7.27925851E-07   1.13506735E-06   1.74881995E-06   9.86878831E-07   3.86338477E-04   2.00152245E+01   -3.71182361E-03   2.00843951E-03   1.05005719E-01   2.00097504E+01   -1.62730664E-02   -1.27610657E-03   1.05034657E-01   2.00113811E+01   -1.66571774E-02   -4.92740376E-03   1.05025753E-01   1.67630517E+00   2.30000000E+06   1.95851917E+01   1.67630887E+00   2.30000000E+06   1.95867958E+01   1.67630398E+00   2.30000000E+06   1.95846519E+01 
0 10 2.70396214E-07   5.62147216E-06   1.28627312E-06   1.30031856E-06   9.91636057E-07   7.50315898E-09   6.98093436E-06   1.99211655E+01   -4.97111641E-02   1.69753861E-02   1.05501816E-01   1.99035854E+01   -7.48129115E-02   -2.35575028E-02   1.05599314E-01   1.99093895E+01   -7.40257576E-02   -1.89056285E-02   1.05563499E-01   1.67588139E+00   2.30000000E+06   1.94386845E+01   1.67589021E+00   2.30000000E+06   1.94411964E+01   1.67588210E+00   2.30000000E+06   1.94388847E+01 
0 20 2.44068417E-07   4.70139321E-06   1.34317099E-06   1.33758920E-06   8.80702828E-07   6.61427713E-09   5.67975076E-06   1.99057007E+01   -7.10234046E-02   3.17320041E-02   1.05596997E-01   1.98971825E+01   -8.41222852E-02   -3.56452279E-02   1.05646744E-01   1.99004860E+01   -8.48800167E-02   -1.98709536E-02   1.05623119E-01   1.67573476E+00   2.30000000E+06   1.93988914E+01   1.67574298E+00   2.30000000E+06   1.94010220E+01   1.67572117E+00   2.30000000E+06   1.93953629E+01 
0 30 1.99812447E-07   4.21658206E-06   1.28473278E-06   1.27570320E-06   6.97095743E-07   5.94648908E-09   4.72218744E-06   1.99158649E+01   -8.11727718E-02   3.19892764E-02   1.05566643E-01   1.99073772E+01   -8.61329958E-02   -5.16516455E-02   1.05615221E-01   1.99139690E+01   -8.35532546E-02   -2.75685005E-02   1.05572969E-01   1.67566156E+00   2.30000000E+06   1.93802853E+01   1.67565846E+00   2.30000000E+06   1.93795071E+01   1.67562294E+00   2.30000000E+06   1.93707333E+01 
0 40 1.72545811E-07   3.84891291E-06   1.18302739E-06   1.16219860E-06   5.88263390E-07   5.51678569E-09   4.02173191E-06   1.99052181E+01   -8.31280202E-02   2.01624241E-02   1.05651923E-01   1.98916855E+01   -9.17773694E-02   -7.38384649E-02   1.05726548E-01   1.99054871E+01   -7.98700228E-02   -4.46223579E-02   1.05646417E-01   1.67553699E+00   2.30000000E+06   1.93501797E+01   1.67552555E+00   2.30000000E+06   1.93475246E+01   1.67550039E+00   2.30000000E+06   1.93416786E+01 
0 50 1.45904238E-07   3.60484842E-06   1.06879133E-06   1.04029721E-06   4.96077689E-07   5.19798427E-09   3.46911816E-06   1.98785954E+01   -7.88335130E-02   1.53003437E-02   1.05820715E-01   1.98712940E+01   -9.34533924E-02   -8.12142938E-02   1.05859771E-01   1.98848076E+01   -7.72881880E-02   -4.94742543E-02   1.05784014E-01   1.67559922E+00   2.30000000E+06   1.93204651E+01   1.67560494E+00   2.30000000E+06   1.93191929E+01   1.67559636E+00   2.30000000E+06   1.93210793E+01 
0 60 1.30740588E-07   3.42330713E-06   9.81791686E-07   9.31706722E-07   4.51536692E-07   4.94416685E-09   3.04966829E-06   1.98528862E+01   -7.40775093E-02   2.26912610E-02   1.05979010E-01   1.98595257E+01   -8.65853056E-02   -6.91641346E-02   1.05939627E-01   1.98662720E+01   -7.50449300E-02   -3.76430228E-02   1.05904028E-01   1.67570293E+00   2.30000000E+06   1.92973061E+01   1.67569745E+00   2.30000000E+06   1.92985573E+01   1.67566502E+00   2.30000000E+06   1.93059120E+01 
0 70 1.17315544E-07   3.25165115E-06   9.20346224E-07   8.45214515E-07   4.13646660E-07   4.74502571E-09   2.72881948E-06   1.98281364E+01   -7.29559138E-02   2.88042612E-02   1.06128924E-01   1.98409843E+01   -7.91579634E-02   -6.14158064E-02   1.06053956E-01   1.98435822E+01   -7.22676367E-02   -2.98920963E-02   1.06043018E-01   1.67579865E+00   2.30000000E+06   1.92748871E+01   1.67579842E+00   2.30000000E+06   1.92749329E+01   1.67575836E+00   2.30000000E+06   1.92844696E+01 
0 80 1.01709610E-07   3.09047186E-06   8.67379129E-07   7.79266486E-07   3.67376799E-07   4.55626381E-09   2.47048729E-06   1.97958965E+01   -7.20329285E-02   2.56889295E-02   1.06320255E-01   1.98049889E+01   -7.57465884E-02   -7.01203719E-02   1.06266014E-01   1.98071156E+01   -6.77831620E-02   -3.58269997E-02   1.06258132E-01   1.67590928E+00   2.30000000E+06   1.92474289E+01   1.67593086E+00   2.30000000E+06   1.92418613E+01   1.67588270E+00   2.30000000E+06   1.92542095E+01 
0 90 9.15458997E-08   2.93223343E-06   8.06040305E-07   7.26212932E-07   3.36461682E-07   4.35068870E-09   2.24519567E-06   1.97575302E+01   -6.73719347E-02   1.92254223E-02   1.06547423E-01   1.97635803E+01   -7.38420263E-02   -8.20099711E-02   1.06511056E-01   1.97642269E+01   -6.20961785E-02   -4.49115857E-02   1.06511734E-01   1.67602193E+00   2.30000000E+06   1.92174892E+01   1.67606020E+00   2.30000000E+06   1.92067604E+01   1.67599940E+00   2.30000000E+06   1.92236481E+01 
