RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 3.38695088E-07   5.53077734E-06   5.85168095E-07   1.04862056E-06   1.24838562E-06   6.92550998E-07   3.02376720E-04   1.79166584E+01   1.55248737E+00   -3.81569099E-03   1.05178960E-01   1.79115086E+01   1.56011581E+00   -1.90495253E-02   1.05203994E-01   1.67672694E+00   2.30000000E+06   1.75901184E+01   1.67672741E+00   2.30000000E+06   1.75903168E+01 
0 10 1.29148205E-07   3.80941583E-06   5.69179520E-07   6.16236889E-07   4.85176599E-07   7.07684356E-09   3.24472262E-06   1.77716827E+01   1.50636864E+00   -6.67968392E-02   1.06096320E-01   1.77870178E+01   1.50619316E+00   -1.12151906E-01   1.06000826E-01   1.67605579E+00   2.30000000E+06   1.73875103E+01   1.67605054E+00   2.30000000E+06   1.73863125E+01 
0 20 6.09249469E-08   2.50212179E-06   4.34095256E-07   4.14105330E-07   2.46911611E-07   5.95109162E-09   2.73329169E-06   1.78225536E+01   1.50868428E+00   -1.19470827E-01   1.05967104E-01   1.78193130E+01   1.51980710E+00   -1.85394749E-01   1.05962716E-01   1.67593181E+00   2.30000000E+06   1.73601303E+01   1.67594564E+00   2.30000000E+06   1.73630924E+01 
0 30 4.46689654E-08   1.86126533E-06   3.26583546E-07   3.16189130E-07   1.72957414E-07   5.18933296E-09   2.43059776E-06   1.77413635E+01   1.51407063E+00   -1.53188810E-01   1.06592968E-01   1.77246189E+01   1.50812757E+00   -2.21145153E-01   1.06670663E-01   1.67552471E+00   2.30000000E+06   1.72802486E+01   1.67553580E+00   2.30000000E+06   1.72822800E+01 
0 40 3.31720429E-08   1.53184487E-06   2.77011395E-07   2.69512583E-07   1.30559158E-07   4.61111904E-09   2.15112345E-06   1.76827469E+01   1.53138208E+00   -1.67403519E-01   1.07064947E-01   1.76698055E+01   1.51137292E+00   -2.09640771E-01   1.07116237E-01   1.67573917E+00   2.30000000E+06   1.72359734E+01   1.67572057E+00   2.30000000E+06   1.72391758E+01 
0 50 2.34374067E-08   1.30960632E-06   2.28814002E-07   2.25816237E-07   9.63615321E-08   4.13528989E-09   1.90664605E-06   1.76510849E+01   1.53771079E+00   -2.08898261E-01   1.07392929E-01   1.76416321E+01   1.51784670E+00   -2.34258965E-01   1.07406862E-01   1.67591929E+00   2.30000000E+06   1.72036343E+01   1.67588830E+00   2.30000000E+06   1.72093735E+01 
0 60 2.01935126E-08   1.08999359E-06   1.88691985E-07   1.81759319E-07   7.77141764E-08   3.73547682E-09   1.71609304E-06   1.76123371E+01   1.53660476E+00   -2.38555595E-01   1.07748374E-01   1.76089153E+01   1.51788783E+00   -2.50197858E-01   1.07705258E-01   1.67606318E+00   2.30000000E+06   1.71760426E+01   1.67600858E+00   2.30000000E+06   1.71867161E+01 
0 70 1.62084905E-08   9.43175451E-07   1.57324052E-07   1.47104700E-07   6.22461158E-08   3.38909412E-09   1.55847715E-06   1.75837955E+01   1.53554630E+00   -2.48053759E-01   1.08032316E-01   1.75829964E+01   1.51299071E+00   -2.48270079E-01   1.07948527E-01   1.67614841E+00   2.30000000E+06   1.71588135E+01   1.67608309E+00   2.30000000E+06   1.71720924E+01 
0 80 1.33011513E-08   8.50960419E-07   1.32593684E-07   1.24299220E-07   4.94875358E-08   3.08948467E-09   1.42165266E-06   1.75764618E+01   1.53210747E+00   -2.47241154E-01   1.08179003E-01   1.75731030E+01   1.50842440E+00   -2.41519406E-01   1.08081885E-01   1.67616796E+00   2.30000000E+06   1.71547699E+01   1.67611206E+00   2.30000000E+06   1.71662579E+01 
0 90 1.10113403E-08   7.80071161E-07   1.16254888E-07   1.02435564E-07   3.89435648E-08   2.83537305E-09   1.30272667E-06   1.75716095E+01   1.53121865E+00   -2.41691381E-01   1.08294971E-01   1.75661812E+01   1.50671959E+00   -2.35126346E-01   1.08182244E-01   1.67617476E+00   2.30000000E+06   1.71533470E+01   1.67613578E+00   2.30000000E+06   1.71614265E+01 
0 100 9.85338833E-09   7.20520404E-07   9.94342244E-08   8.27241493E-08   3.41772477E-08   2.61292632E-09   1.19774325E-06   1.75646305E+01   1.53387475E+00   -2.37403795E-01   1.08409673E-01   1.75596313E+01   1.50644588E+00   -2.33566001E-01   1.08269922E-01   1.67619777E+00   2.30000000E+06   1.71484890E+01   1.67616677E+00   2.30000000E+06   1.71550121E+01 
0 110 9.18368492E-09   6.68584846E-07   8.47226858E-08   6.68104079E-08   3.13486979E-08   2.41959697E-09   1.10413407E-06   1.75593185E+01   1.53651130E+00   -2.34307632E-01   1.08503051E-01   1.75558281E+01   1.50709438E+00   -2.33304232E-01   1.08333550E-01   1.67622697E+00   2.30000000E+06   1.71422501E+01   1.67619407E+00   2.30000000E+06   1.71492882E+01 
0 120 8.95864893E-09   6.21912648E-07   7.47819939E-08   5.50588517E-08   2.92767126E-08   2.25426122E-09   1.02121032E-06   1.75563431E+01   1.53872859E+00   -2.30950788E-01   1.08572237E-01   1.75552692E+01   1.50794697E+00   -2.31269866E-01   1.08371317E-01   1.67625189E+00   2.30000000E+06   1.71368542E+01   1.67621040E+00   2.30000000E+06   1.71458073E+01 
0 130 9.22386256E-09   5.79542871E-07   6.74096725E-08   4.63819703E-08   2.87047932E-08   2.11333795E-09   9.46531088E-07   1.75548820E+01   1.54040074E+00   -2.28116304E-01   1.08624667E-01   1.75555191E+01   1.50818205E+00   -2.28589654E-01   1.08399302E-01   1.67627323E+00   2.30000000E+06   1.71321621E+01   1.67622221E+00   2.30000000E+06   1.71432781E+01 
0 140 9.38882927E-09   5.40842620E-07   6.17569711E-08   3.95057462E-08   2.84476851E-08   1.99223926E-09   8.78421758E-07   1.75540237E+01   1.54119587E+00   -2.26370752E-01   1.08667918E-01   1.75547523E+01   1.50825250E+00   -2.27222815E-01   1.08429499E-01   1.67629325E+00   2.30000000E+06   1.71277161E+01   1.67623603E+00   2.30000000E+06   1.71403141E+01 
0 150 8.93404462E-09   5.05161040E-07   5.69093892E-08   3.52308298E-08   2.63108362E-08   1.88890570E-09   8.16428724E-07   1.75535316E+01   1.54191422E+00   -2.26178691E-01   1.08703919E-01   1.75531998E+01   1.50846243E+00   -2.27066949E-01   1.08461149E-01   1.67631090E+00   2.30000000E+06   1.71237564E+01   1.67625117E+00   2.30000000E+06   1.71370258E+01 
0 160 7.77961962E-09   4.72091784E-07   5.26180273E-08   3.26111120E-08   2.18467378E-08   1.80159698E-09   7.59763168E-07   1.75532188E+01   1.54320490E+00   -2.27750406E-01   1.08733773E-01   1.75513916E+01   1.50852513E+00   -2.26948187E-01   1.08491294E-01   1.67632496E+00   2.30000000E+06   1.71205521E+01   1.67626488E+00   2.30000000E+06   1.71340160E+01 
0 170 6.60460842E-09   4.41450851E-07   4.88745968E-08   2.94753484E-08   1.80710398E-08   1.72790848E-09   7.07462618E-07   1.75521202E+01   1.54466546E+00   -2.30637342E-01   1.08763628E-01   1.75497513E+01   1.50834608E+00   -2.26828933E-01   1.08517177E-01   1.67633903E+00   2.30000000E+06   1.71173306E+01   1.67627513E+00   2.30000000E+06   1.71317463E+01 
0 180 6.12929574E-09   4.12950072E-07   4.55022544E-08   2.56897437E-08   1.73574701E-08   1.66518821E-09   6.58708984E-07   1.75487404E+01   1.54572260E+00   -2.33617663E-01   1.08803280E-01   1.75486126E+01   1.50810897E+00   -2.26964235E-01   1.08537048E-01   1.67635953E+00   2.30000000E+06   1.71125832E+01   1.67628109E+00   2.30000000E+06   1.71304207E+01 
0 190 6.01525629E-09   3.86405702E-07   4.26721662E-08   2.29289689E-08   1.71473378E-08   1.61046187E-09   6.12876477E-07   1.75423698E+01   1.54638886E+00   -2.35395521E-01   1.08857997E-01   1.75479050E+01   1.50813770E+00   -2.26731807E-01   1.08552136E-01   1.67638946E+00   2.30000000E+06   1.71055431E+01   1.67628419E+00   2.30000000E+06   1.71297417E+01 
0 200 5.78990988E-09   3.61681884E-07   4.02642613E-08   2.11762661E-08   1.56829518E-08   1.56174196E-09   5.70006875E-07   1.75336285E+01   1.54720259E+00   -2.35822827E-01   1.08924881E-01   1.75470715E+01   1.50867879E+00   -2.25617319E-01   1.08566612E-01   1.67642653E+00   2.30000000E+06   1.70966206E+01   1.67628741E+00   2.30000000E+06   1.71290321E+01 
0 210 5.51609025E-09   3.38590411E-07   3.79797243E-08   1.95560848E-08   1.40056402E-08   1.51780544E-09   5.30226089E-07   1.75233974E+01   1.54867482E+00   -2.35885978E-01   1.08999148E-01   1.75455875E+01   1.50966692E+00   -2.24398240E-01   1.08584166E-01   1.67646730E+00   2.30000000E+06   1.70865383E+01   1.67629302E+00   2.30000000E+06   1.71277695E+01 
0 220 5.22228349E-09   3.16939094E-07   3.57468402E-08   1.85878370E-08   1.29606788E-08   1.47753720E-09   4.93279856E-07   1.75121574E+01   1.55096579E+00   -2.36611471E-01   1.09078184E-01   1.75436211E+01   1.51075268E+00   -2.24460348E-01   1.08604036E-01   1.67650938E+00   2.30000000E+06   1.70757790E+01   1.67630076E+00   2.30000000E+06   1.71260376E+01 
0 230 4.72717021E-09   2.96639627E-07   3.36901707E-08   1.83800193E-08   1.19784138E-08   1.43984868E-09   4.58647605E-07   1.75001392E+01   1.55384064E+00   -2.38159314E-01   1.09160781E-01   1.75418034E+01   1.51157677E+00   -2.26391718E-01   1.08622208E-01   1.67655182E+00   2.30000000E+06   1.70645828E+01   1.67630827E+00   2.30000000E+06   1.71243534E+01 
