RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 1 6.07628863E-08   4.49708205E-06   4.99142402E-07   5.09230915E-07   2.16365720E-07   6.39458122E-08   6.24966415E-05   7.91229105E+00   -3.42317745E-02   1.12581262E-02   1.06250107E-01   7.91103601E+00   -3.51473950E-02   -9.00413468E-03   1.06267430E-01   7.91253567E+00   -3.69086191E-02   5.77927567E-04   1.06246144E-01   1.67610335E+00   1.75771088E+06   7.70135403E+00   1.67612052E+00   1.75786988E+06   7.70195484E+00   1.67613363E+00   1.75799112E+06   7.70241261E+00 
0 10 2.00808387E-07   3.14116619E-06   1.64742937E-06   1.14451427E-06   6.93378240E-07   5.54231716E-10   5.71994633E-07   7.45832109E+00   -1.55725613E-01   5.90983927E-02   1.12682790E-01   7.40278912E+00   -1.43366620E-01   -2.96624359E-02   1.13576613E-01   7.40200329E+00   -1.66242078E-01   2.60923465E-04   1.13513082E-01   1.68082619E+00   1.39596550E+06   6.90235901E+00   1.68100524E+00   1.40046875E+06   6.91219664E+00   1.68097055E+00   1.39958225E+06   6.91026020E+00 
0 20 1.71673818E-07   2.90613730E-06   1.91178810E-06   1.50159303E-06   5.80834580E-07   1.02801523E-09   9.26676989E-07   7.94978046E+00   -2.63442785E-01   7.68799856E-02   1.05645843E-01   7.83088541E+00   -2.15401962E-01   -3.34518068E-02   1.07371412E-01   7.81146097E+00   -2.51268446E-01   -1.96250193E-02   1.07531391E-01   1.67959273E+00   1.36840462E+06   6.84215117E+00   1.67988765E+00   1.37453725E+06   6.85554838E+00   1.67979515E+00   1.37258625E+06   6.85128641E+00 
0 30 1.21813514E-07   2.47564890E-06   1.81247117E-06   1.36240942E-06   4.16174743E-07   1.21396115E-09   1.04807873E-06   8.30914688E+00   -2.67066956E-01   7.46575594E-02   1.01213917E-01   8.23866272E+00   -3.07131261E-01   -2.20853947E-02   1.02138288E-01   8.22529030E+00   -3.43769401E-01   -3.92923169E-02   1.02247953E-01   1.67750478E+00   1.33040775E+06   6.75914574E+00   1.67773497E+00   1.33422688E+06   6.76748848E+00   1.67757046E+00   1.33149112E+06   6.76151228E+00 
0 40 9.57239550E-08   2.08787833E-06   1.46384264E-06   1.16033073E-06   3.31332359E-07   8.15355727E-10   7.48593322E-07   8.40626431E+00   -2.61872232E-01   6.14925772E-02   1.00149669E-01   8.28429985E+00   -3.06670308E-01   -1.92686543E-02   1.01659037E-01   8.31057167E+00   -3.41146648E-01   -1.64110288E-02   1.01305552E-01   1.64245987E+00   1.23658475E+06   6.57387114E+00   1.64150572E+00   1.23475412E+06   6.57044172E+00   1.64012718E+00   1.23210912E+06   6.56548643E+00 
0 50 8.10850906E-08   1.94637619E-06   1.22246581E-06   1.01290698E-06   2.74408706E-07   5.84904181E-10   5.64439745E-07   8.38086700E+00   -2.21984103E-01   7.50766918E-02   1.00527771E-01   8.24053192E+00   -2.39662424E-01   -3.51386378E-04   1.02252722E-01   8.24044418E+00   -2.90635020E-01   3.32244230E-03   1.02227516E-01   1.59757614E+00   1.15026100E+06   6.41215229E+00   1.59479690E+00   1.14490150E+06   6.40211153E+00   1.59315658E+00   1.14173725E+06   6.39618397E+00 
0 60 6.76125467E-08   1.90737387E-06   1.06804816E-06   8.93684671E-07   2.22482640E-07   5.01323982E-10   4.65224076E-07   8.33652210E+00   -1.72675043E-01   8.80381018E-02   1.01153255E-01   8.20157814E+00   -1.67544678E-01   2.92451940E-02   1.02817655E-01   8.16615486E+00   -2.09310487E-01   1.67688504E-02   1.03252389E-01   1.55960369E+00   1.07688788E+06   6.27469492E+00   1.55709267E+00   1.07202475E+06   6.26558447E+00   1.55456161E+00   1.06712150E+06   6.25639868E+00 
0 70 5.69349865E-08   1.77061122E-06   9.59810222E-07   8.19471666E-07   1.81617693E-07   5.07049014E-10   4.15455389E-07   8.26525211E+00   -1.24363571E-01   7.45307505E-02   1.02171570E-01   8.13684940E+00   -1.05117843E-01   4.36895862E-02   1.03745706E-01   8.09842014E+00   -1.25064731E-01   1.06730852E-02   1.04253478E-01   1.52923954E+00   1.01798781E+06   6.16435146E+00   1.52774239E+00   1.01507850E+06   6.15890121E+00   1.52490640E+00   1.00956581E+06   6.14857388E+00 
0 80 4.75747015E-08   1.60509887E-06   8.72486680E-07   7.65568643E-07   1.43683039E-07   5.37779099E-10   3.90738705E-07   8.15405369E+00   -8.38709250E-02   6.16142415E-02   1.03712760E-01   8.05319977E+00   -5.32432646E-02   5.43215349E-02   1.04941286E-01   8.01051617E+00   -4.81770895E-02   5.91459265E-03   1.05531521E-01   1.50592875E+00   9.72630938E+05   6.07938004E+00   1.50552726E+00   9.71848625E+05   6.07791471E+00   1.50353909E+00   9.67974250E+05   6.07065630E+00 
0 90 4.24856061E-08   1.47712592E-06   8.04553451E-07   7.22821426E-07   1.25061447E-07   5.41360845E-10   3.64146189E-07   8.04685497E+00   -5.49087487E-02   5.37653118E-02   1.05232157E-01   7.98209572E+00   -2.40744762E-02   6.35874271E-02   1.06002040E-01   7.92609119E+00   -1.79102688E-04   -2.03536576E-04   1.06787294E-01   1.49081695E+00   9.43162000E+05   6.02417326E+00   1.49129486E+00   9.44094750E+05   6.02592039E+00   1.49089849E+00   9.43321062E+05   6.02447081E+00 
0 100 3.75404738E-08   1.37443510E-06   7.51921334E-07   6.90179661E-07   1.11964972E-07   5.29984501E-10   3.29927161E-07   7.98282671E+00   -3.42716128E-02   4.46687266E-02   1.06200933E-01   7.94934893E+00   -1.46835586E-02   6.11397922E-02   1.06567077E-01   7.88098526E+00   1.88173093E-02   -1.83534715E-02   1.07521057E-01   1.48504162E+00   9.31886250E+05   6.00304890E+00   1.48624611E+00   9.34238438E+05   6.00745583E+00   1.48700154E+00   9.35713625E+05   6.01021910E+00 
0 110 3.13861435E-08   1.27599606E-06   7.14099485E-07   6.68280791E-07   9.34999420E-08   5.30149535E-10   3.02415486E-07   7.95856905E+00   -2.24192180E-02   3.22398469E-02   1.06634624E-01   7.94471931E+00   -1.14776809E-02   4.43593785E-02   1.06748037E-01   7.86975193E+00   1.81418825E-02   -4.13661078E-02   1.07779406E-01   1.48540664E+00   9.32599062E+05   6.00438452E+00   1.48691916E+00   9.35552625E+05   6.00991774E+00   1.48812795E+00   9.37912938E+05   6.01433945E+00 
