RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 4.73546322E-07   6.54388577E-06   2.41578209E-06   1.27117562E-06   1.74920956E-06   9.39238760E-07   3.69063317E-04   1.87849884E+01   -6.84968042E+00   1.44386319E-02   1.05111830E-01   1.87790260E+01   -6.84572029E+00   -2.66784485E-02   1.05147146E-01   1.67623699E+00   2.30000000E+06   1.95566292E+01   1.67623329E+00   2.30000000E+06   1.95551929E+01 
0 10 1.70953243E-07   4.40664462E-06   1.67566225E-06   6.90158629E-07   6.49216588E-07   9.64097868E-09   4.26325323E-06   1.86537418E+01   -6.83947659E+00   7.29779750E-02   1.05837189E-01   1.86458035E+01   -6.83911371E+00   -1.30025923E-01   1.05856121E-01   1.67567027E+00   2.30000000E+06   1.93824368E+01   1.67566538E+00   2.30000000E+06   1.93812313E+01 
0 20 7.49200453E-08   2.88479464E-06   1.11665838E-06   4.42220511E-07   3.12739957E-07   8.08370437E-09   3.50959226E-06   1.86721077E+01   -6.85995102E+00   9.34988707E-02   1.05853431E-01   1.86800251E+01   -6.83839417E+00   -1.66038737E-01   1.05836555E-01   1.67559779E+00   2.30000000E+06   1.93646297E+01   1.67557371E+00   2.30000000E+06   1.93588772E+01 
0 30 5.49508670E-08   2.14104557E-06   8.31611032E-07   3.41682835E-07   2.21465527E-07   7.02796488E-09   3.07228743E-06   1.86182079E+01   -6.83323526E+00   1.04467206E-01   1.06303580E-01   1.86212940E+01   -6.80166960E+00   -1.59354597E-01   1.06321029E-01   1.67568493E+00   2.30000000E+06   1.93014202E+01   1.67571807E+00   2.30000000E+06   1.92938423E+01 
0 40 4.11298764E-08   1.76658637E-06   6.82983398E-07   2.86018718E-07   1.68639858E-07   6.23431839E-09   2.69523503E-06   1.85777607E+01   -6.80491209E+00   1.28264070E-01   1.06671438E-01   1.85804024E+01   -6.77588749E+00   -1.31733462E-01   1.06682740E-01   1.67585301E+00   2.30000000E+06   1.92616234E+01   1.67588294E+00   2.30000000E+06   1.92541294E+01 
0 50 2.98666762E-08   1.51081542E-06   5.77384867E-07   2.34211598E-07   1.28246725E-07   5.58632740E-09   2.37658946E-06   1.85437279E+01   -6.77934551E+00   1.32625878E-01   1.07008249E-01   1.85583763E+01   -6.76306152E+00   -1.36914715E-01   1.06928758E-01   1.67596745E+00   2.30000000E+06   1.92322655E+01   1.67597127E+00   2.30000000E+06   1.92312317E+01 
0 60 2.58680508E-08   1.25718111E-06   4.79658979E-07   1.84932631E-07   1.03998453E-07   5.03877784E-09   2.13139265E-06   1.85117130E+01   -6.76023245E+00   1.26393422E-01   1.07302882E-01   1.85336857E+01   -6.74750471E+00   -1.39052868E-01   1.07171647E-01   1.67605662E+00   2.30000000E+06   1.92077770E+01   1.67603219E+00   2.30000000E+06   1.92146530E+01 
0 70 2.05032844E-08   1.08812856E-06   4.12985145E-07   1.53320045E-07   8.21658901E-08   4.57189309E-09   1.93166761E-06   1.84898243E+01   -6.75006294E+00   1.31396666E-01   1.07506976E-01   1.85099106E+01   -6.73681164E+00   -1.28162265E-01   1.07383095E-01   1.67609620E+00   2.30000000E+06   1.91963577E+01   1.67607415E+00   2.30000000E+06   1.92027721E+01 
0 80 1.69563918E-08   9.81063749E-07   3.69714797E-07   1.28506613E-07   6.62123369E-08   4.17064427E-09   1.76001572E-06   1.84826679E+01   -6.74790859E+00   1.36981189E-01   1.07608169E-01   1.84977875E+01   -6.73649168E+00   -1.21366858E-01   1.07504405E-01   1.67609119E+00   2.30000000E+06   1.91978436E+01   1.67608333E+00   2.30000000E+06   1.92001038E+01 
0 90 1.44303556E-08   8.98271594E-07   3.37664773E-07   1.04964563E-07   5.26399724E-08   3.82739129E-09   1.61043806E-06   1.84776993E+01   -6.74962854E+00   1.43619984E-01   1.07676081E-01   1.84923191E+01   -6.73677826E+00   -1.20412327E-01   1.07579663E-01   1.67608464E+00   2.30000000E+06   1.91997471E+01   1.67608047E+00   2.30000000E+06   1.92009449E+01 
