RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 4.72122053E-07   6.79201821E-06   1.15243245E-06   1.26124303E-06   1.74423951E-06   9.29328507E-07   3.65098298E-04   1.97340832E+01   -3.14521694E+00   -5.26696723E-03   1.05172828E-01   1.97428036E+01   -3.13071918E+00   -2.12090928E-02   1.05140261E-01   1.67622578E+00   2.30000000E+06   1.95522404E+01   1.67623580E+00   2.30000000E+06   1.95561619E+01 
0 10 1.70098488E-07   4.60204501E-06   8.93662730E-07   7.18394347E-07   6.43856936E-07   9.55490354E-09   4.17471529E-06   1.96227150E+01   -3.15827036E+00   -5.63819595E-02   1.05775513E-01   1.96171970E+01   -3.12252522E+00   -1.20180167E-01   1.05871774E-01   1.67566657E+00   2.30000000E+06   1.93815193E+01   1.67567253E+00   2.30000000E+06   1.93830242E+01 
0 20 7.64876944E-08   3.00247734E-06   6.27285601E-07   4.63892434E-07   3.15015541E-07   8.01443800E-09   3.43062015E-06   1.96490002E+01   -3.14926577E+00   -1.06674291E-01   1.05788648E-01   1.96538067E+01   -3.11875129E+00   -1.65247723E-01   1.05809540E-01   1.67554379E+00   2.30000000E+06   1.93517914E+01   1.67558444E+00   2.30000000E+06   1.93614349E+01 
0 30 5.76793582E-08   2.23057077E-06   4.70861210E-07   3.52985921E-07   2.28525622E-07   6.96761360E-09   3.00780789E-06   1.95722771E+01   -3.12069321E+00   -1.14753015E-01   1.06337473E-01   1.95699902E+01   -3.11305499E+00   -1.86723322E-01   1.06383018E-01   1.67577124E+00   2.30000000E+06   1.92814255E+01   1.67570376E+00   2.30000000E+06   1.92971287E+01 
0 40 4.10475529E-08   1.84463090E-06   3.87810616E-07   2.93634088E-07   1.68622819E-07   6.18009599E-09   2.64690289E-06   1.95327015E+01   -3.10894895E+00   -1.18655629E-01   1.06672205E-01   1.95345440E+01   -3.11045384E+00   -1.64265677E-01   1.06683418E-01   1.67592263E+00   2.30000000E+06   1.92440109E+01   1.67585611E+00   2.30000000E+06   1.92608604E+01 
0 50 3.03799581E-08   1.58138971E-06   3.21158552E-07   2.45383319E-07   1.28680227E-07   5.53243362E-09   2.34318577E-06   1.95046406E+01   -3.10015774E+00   -1.48112997E-01   1.06934547E-01   1.94996147E+01   -3.09854674E+00   -1.71528846E-01   1.06994264E-01   1.67602968E+00   2.30000000E+06   1.92153454E+01   1.67598283E+00   2.30000000E+06   1.92281418E+01 
0 60 2.69936606E-08   1.31452146E-06   2.65022578E-07   1.95972603E-07   1.07681963E-07   4.99060215E-09   2.10697340E-06   1.94701576E+01   -3.09563756E+00   -1.58155173E-01   1.07202314E-01   1.94661598E+01   -3.08875084E+00   -1.81415573E-01   1.07273571E-01   1.67610955E+00   2.30000000E+06   1.91924419E+01   1.67606950E+00   2.30000000E+06   1.92041073E+01 
0 70 2.18153762E-08   1.13803969E-06   2.22180930E-07   1.57440454E-07   8.72137704E-08   4.52152582E-09   1.90889273E-06   1.94462643E+01   -3.09684205E+00   -1.54467434E-01   1.07394278E-01   1.94451637E+01   -3.08414912E+00   -1.74737200E-01   1.07467942E-01   1.67615342E+00   2.30000000E+06   1.91792316E+01   1.67610145E+00   2.30000000E+06   1.91948490E+01 
0 80 1.71298957E-08   1.02709669E-06   1.94714929E-07   1.32648196E-07   6.72594211E-08   4.12432932E-09   1.73861361E-06   1.94252148E+01   -3.10103416E+00   -1.44869030E-01   1.07556939E-01   1.94417419E+01   -3.08200359E+00   -1.61366463E-01   1.07553475E-01   1.67618799E+00   2.30000000E+06   1.91684341E+01   1.67608738E+00   2.30000000E+06   1.91989441E+01 
0 90 1.49687267E-08   9.40758525E-07   1.76181899E-07   1.07516271E-07   5.51656356E-08   3.78438214E-09   1.59136039E-06   1.93986645E+01   -3.10529447E+00   -1.38484925E-01   1.07739925E-01   1.94378605E+01   -3.08197331E+00   -1.50441766E-01   1.07627228E-01   1.67623734E+00   2.30000000E+06   1.91524372E+01   1.67607987E+00   2.30000000E+06   1.92011280E+01 
