RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 4.70720778E-07   6.82789960E-06   1.14359580E-06   1.26178725E-06   1.73942908E-06   9.40882103E-07   3.69721791E-04   1.97422504E+01   3.11668944E+00   -2.71291807E-02   1.05153598E-01   1.97430420E+01   3.11965418E+00   1.59889609E-02   1.05146885E-01   1.67623401E+00   2.30000000E+06   1.95554695E+01   1.67623985E+00   2.30000000E+06   1.95578136E+01 
0 10 1.72117964E-07   4.63620108E-06   8.91749551E-07   6.91265484E-07   6.54281450E-07   9.62282432E-09   4.19413300E-06   1.96273823E+01   3.07400155E+00   -1.40936956E-01   1.05836108E-01   1.96302757E+01   3.07549906E+00   1.04403697E-01   1.05791248E-01   1.67566252E+00   2.30000000E+06   1.93805199E+01   1.67568433E+00   2.30000000E+06   1.93859863E+01 
0 20 7.53097993E-08   3.06069182E-06   6.35949220E-07   4.67941248E-07   3.13906440E-07   8.08685652E-09   3.46633283E-06   1.96681824E+01   3.07807589E+00   -1.91492498E-01   1.05768532E-01   1.96598663E+01   3.09981036E+00   1.18448935E-01   1.05755605E-01   1.67557907E+00   2.30000000E+06   1.93601551E+01   1.67559218E+00   2.30000000E+06   1.93632793E+01 
0 30 5.93693024E-08   2.26559200E-06   4.63563310E-07   3.39721396E-07   2.34767768E-07   7.03310565E-09   3.03759361E-06   1.95819969E+01   3.07042122E+00   -1.96082801E-01   1.06361426E-01   1.95917358E+01   3.08170629E+00   1.16548076E-01   1.06248111E-01   1.67572582E+00   2.30000000E+06   1.92920437E+01   1.67569900E+00   2.30000000E+06   1.92982025E+01 
0 40 4.26462350E-08   1.85040358E-06   3.86351132E-07   2.91802564E-07   1.72528431E-07   6.23710505E-09   2.67599262E-06   1.95355358E+01   3.07250547E+00   -1.73193440E-01   1.06722631E-01   1.95452366E+01   3.08251905E+00   1.19352497E-01   1.06589369E-01   1.67587769E+00   2.30000000E+06   1.92554741E+01   1.67585349E+00   2.30000000E+06   1.92615108E+01 
0 50 3.17123785E-08   1.56791702E-06   3.24085136E-07   2.35093211E-07   1.31602789E-07   5.59203528E-09   2.37051836E-06   1.95029373E+01   3.07079053E+00   -1.72053710E-01   1.07018657E-01   1.95135918E+01   3.08628178E+00   9.95139182E-02   1.06849477E-01   1.67599010E+00   2.30000000E+06   1.92261658E+01   1.67596197E+00   2.30000000E+06   1.92336941E+01 
0 60 2.64942788E-08   1.30796366E-06   2.67114501E-07   1.91598801E-07   1.05849416E-07   5.04502928E-09   2.13378507E-06   1.94642735E+01   3.07268310E+00   -1.75898701E-01   1.07320927E-01   1.94850082E+01   3.08161855E+00   8.36098865E-02   1.07077315E-01   1.67607296E+00   2.30000000E+06   1.92031040E+01   1.67603743E+00   2.30000000E+06   1.92131786E+01 
0 70 2.14466613E-08   1.13976625E-06   2.25231432E-07   1.54004383E-07   8.49814228E-08   4.57880578E-09   1.93703727E-06   1.94455090E+01   3.07064962E+00   -1.71502218E-01   1.07506432E-01   1.94679775E+01   3.07913876E+00   8.37479606E-02   1.07222944E-01   1.67610562E+00   2.30000000E+06   1.91936131E+01   1.67606580E+00   2.30000000E+06   1.92051582E+01 
0 80 1.73337202E-08   1.03036018E-06   1.97803530E-07   1.28831729E-07   6.65542217E-08   4.18006341E-09   1.76672575E-06   1.94455318E+01   3.07003641E+00   -1.67246386E-01   1.07579380E-01   1.94611721E+01   3.07662153E+00   8.91604573E-02   1.07302263E-01   1.67609608E+00   2.30000000E+06   1.91964054E+01   1.67606711E+00   2.30000000E+06   1.92047997E+01 
0 90 1.48112083E-08   9.44167766E-07   1.78949165E-07   1.06812458E-07   5.36844560E-08   3.83935284E-09   1.61703417E-06   1.94439259E+01   3.07124019E+00   -1.59157291E-01   1.07645012E-01   1.94554138E+01   3.07315779E+00   9.63019878E-02   1.07367620E-01   1.67609131E+00   2.30000000E+06   1.91977959E+01   1.67607164E+00   2.30000000E+06   1.92034855E+01 
0 100 1.36359057E-08   8.70811277E-07   1.60239253E-07   8.67560530E-08   4.73716710E-08   3.54159835E-09   1.48436220E-06   1.94395294E+01   3.06958795E+00   -1.54245540E-01   1.07718810E-01   1.94475670E+01   3.07109022E+00   1.03752479E-01   1.07437916E-01   1.67610431E+00   2.30000000E+06   1.91939831E+01   1.67608845E+00   2.30000000E+06   1.91986465E+01 
0 110 1.31960656E-08   8.06206515E-07   1.43431137E-07   7.14430044E-08   4.42444623E-08   3.28437189E-09   1.36749657E-06   1.94378986E+01   3.06806707E+00   -1.55696020E-01   1.07771009E-01   1.94417553E+01   3.07137775E+00   1.08286850E-01   1.07492529E-01   1.67611766E+00   2.30000000E+06   1.91900406E+01   1.67610574E+00   2.30000000E+06   1.91935749E+01 
0 120 1.34444136E-08   7.48176149E-07   1.30649155E-07   6.03314660E-08   4.28781881E-08   3.06334158E-09   1.26337511E-06   1.94378166E+01   3.06890202E+00   -1.56939879E-01   1.07806019E-01   1.94402390E+01   3.07355833E+00   1.12318195E-01   1.07519716E-01   1.67612803E+00   2.30000000E+06   1.91869469E+01   1.67611563E+00   2.30000000E+06   1.91906605E+01 
0 130 1.36820448E-08   6.95970471E-07   1.20291716E-07   5.12839584E-08   4.21160600E-08   2.87130497E-09   1.16884974E-06   1.94372959E+01   3.07087898E+00   -1.55872405E-01   1.07837126E-01   1.94414787E+01   3.07604885E+00   1.15774959E-01   1.07529201E-01   1.67614055E+00   2.30000000E+06   1.91831493E+01   1.67611992E+00   2.30000000E+06   1.91893692E+01 
0 140 1.33311744E-08   6.48565845E-07   1.11463315E-07   4.43311379E-08   3.99338127E-08   2.70569878E-09   1.08245251E-06   1.94357719E+01   3.07326865E+00   -1.54825673E-01   1.07869551E-01   1.94437981E+01   3.07783365E+00   1.17414370E-01   1.07530989E-01   1.67615521E+00   2.30000000E+06   1.91786995E+01   1.67612207E+00   2.30000000E+06   1.91887207E+01 
0 150 1.23094628E-08   6.05088132E-07   1.03525124E-07   4.06259417E-08   3.55662415E-08   2.56566790E-09   1.00386217E-06   1.94342327E+01   3.07569909E+00   -1.55295387E-01   1.07899047E-01   1.94463501E+01   3.07879686E+00   1.17994770E-01   1.07530072E-01   1.67616749E+00   2.30000000E+06   1.91748734E+01   1.67612362E+00   2.30000000E+06   1.91882648E+01 
0 160 1.09127312E-08   5.64981576E-07   9.63069056E-08   3.76302189E-08   3.04575707E-08   2.44854426E-09   9.32695912E-07   1.94332771E+01   3.07773900E+00   -1.57177106E-01   1.07922979E-01   1.94488697E+01   3.07914090E+00   1.18453890E-01   1.07528031E-01   1.67617631E+00   2.30000000E+06   1.91721268E+01   1.67612493E+00   2.30000000E+06   1.91878586E+01 
0 170 9.66924496E-09   5.27781992E-07   8.97532928E-08   3.35904211E-08   2.65321489E-08   2.35005060E-09   8.67983374E-07   1.94316387E+01   3.07950306E+00   -1.59610704E-01   1.07947938E-01   1.94510517E+01   3.07920337E+00   1.18736468E-01   1.07526235E-01   1.67618501E+00   2.30000000E+06   1.91693783E+01   1.67612636E+00   2.30000000E+06   1.91874371E+01 
0 180 8.81130724E-09   4.93186235E-07   8.38242968E-08   2.96974569E-08   2.42190783E-08   2.26528285E-09   8.08603374E-07   1.94278927E+01   3.08129668E+00   -1.61910310E-01   1.07981309E-01   1.94529934E+01   3.07939768E+00   1.18531846E-01   1.07523911E-01   1.67619777E+00   2.30000000E+06   1.91653252E+01   1.67612648E+00   2.30000000E+06   1.91874142E+01 
