RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 2.05411403E-08   1.39428812E-06   1.38119930E-07   1.71145516E-07   7.30202672E-08   2.55165720E-08   3.33696880E-05   5.83089352E+00   -3.19979131E-01   -7.92033784E-03   1.07969761E-01   5.81050396E+00   -3.11589271E-01   -9.50199645E-03   1.08351611E-01   1.38445628E+00   7.74912750E+05   5.63780117E+00   1.38514280E+00   7.75939875E+05   5.64030457E+00 
0 10 2.51076475E-08   7.52658934E-07   3.50838263E-07   3.59830835E-07   8.39913383E-08   2.80217904E-10   3.82439367E-07   5.68926859E+00   -3.58195245E-01   -1.07399173E-01   1.10758431E-01   5.75135565E+00   -4.03772235E-01   -1.23034015E-01   1.09354019E-01   1.23131192E+00   5.55487875E+05   5.09245825E+00   1.23092771E+00   5.55065625E+05   5.09128475E+00 
0 20 1.65941660E-08   5.36510981E-07   2.43187202E-07   2.05055045E-07   6.19019431E-08   3.48036794E-10   4.59517963E-07   6.12286997E+00   -4.94683981E-01   -1.34241432E-01   1.03201546E-01   6.01103020E+00   -4.23973203E-01   -1.29948169E-01   1.05085790E-01   1.19028115E+00   5.10096188E+05   4.96628284E+00   1.19078946E+00   5.10662219E+05   4.96785593E+00 
0 30 1.35602933E-08   4.20079999E-07   1.97105607E-07   1.88866466E-07   4.35409930E-08   2.31156719E-10   3.85073008E-07   5.97155905E+00   -4.54709113E-01   -1.35258898E-01   1.06011197E-01   5.88864803E+00   -4.83404696E-01   -1.76499799E-01   1.07392915E-01   1.11515522E+00   4.25404031E+05   4.73086309E+00   1.11680961E+00   4.27291906E+05   4.73611069E+00 
0 40 8.54798277E-09   3.56446520E-07   1.79508930E-07   1.85222731E-07   2.83244219E-08   1.98371708E-10   3.20388523E-07   5.98638868E+00   -4.23760563E-01   -1.45850316E-01   1.06023081E-01   5.83657598E+00   -4.42858994E-01   -1.42420679E-01   1.08644783E-01   1.08459687E+00   3.90340250E+05   4.63339567E+00   1.08655953E+00   3.92603406E+05   4.63968658E+00 
0 50 6.61697319E-09   3.14337370E-07   1.56072161E-07   1.61170902E-07   1.99175645E-08   1.83237855E-10   2.62379302E-07   5.97626352E+00   -4.28768963E-01   -1.73650563E-01   1.06446132E-01   5.80604792E+00   -4.40116376E-01   -1.60584837E-01   1.09461948E-01   1.06734693E+00   3.70383531E+05   4.57792187E+00   1.07084143E+00   3.74436094E+05   4.58918667E+00 
0 60 5.45891199E-09   2.66315908E-07   1.37091902E-07   1.40335246E-07   1.56759370E-08   1.73017059E-10   2.27004975E-07   5.91399050E+00   -3.99715930E-01   -2.20805481E-01   1.07756123E-01   5.74974918E+00   -4.14205760E-01   -1.67396918E-01   1.10721149E-01   1.05442595E+00   3.55356188E+05   4.53615046E+00   1.05773056E+00   3.59206000E+05   4.54685163E+00 
0 70 3.93928312E-09   2.25504095E-07   1.24885361E-07   1.27234173E-07   1.13739027E-08   1.66559849E-10   1.98644841E-07   5.89435673E+00   -4.06538010E-01   -2.25772083E-01   1.08279541E-01   5.72100782E+00   -4.06963944E-01   -1.52990475E-01   1.11399956E-01   1.05251920E+00   3.53132844E+05   4.52997017E+00   1.05414963E+00   3.55034062E+05   4.53525496E+00 
0 80 3.12125303E-09   2.06150744E-07   1.13790868E-07   1.16565708E-07   8.66960992E-09   1.59241856E-10   1.73293742E-07   5.87128401E+00   -4.16028440E-01   -2.17637867E-01   1.08815573E-01   5.70952225E+00   -4.16560084E-01   -1.44715637E-01   1.11670382E-01   1.05188739E+00   3.52395750E+05   4.52792120E+00   1.05346477E+00   3.54235594E+05   4.53303528E+00 
0 90 2.73017764E-09   1.86865265E-07   1.01465574E-07   1.07361046E-07   7.22349736E-09   1.53136934E-10   1.53177467E-07   5.84805107E+00   -4.16008919E-01   -2.10329220E-01   1.09318487E-01   5.70342684E+00   -4.18991148E-01   -1.41307995E-01   1.11802593E-01   1.04818332E+00   3.48604594E+05   4.51545286E+00   1.05060959E+00   3.50904594E+05   4.52377605E+00 
