RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 2.47987089E-07   4.12093323E-06   1.95448274E-06   8.32870910E-07   9.13545932E-07   4.86983708E-07   2.39123765E-04   1.44749966E+01   6.73554993E+00   -2.99095921E-02   1.05312146E-01   1.44739695E+01   6.73830843E+00   1.84230432E-02   1.05309829E-01   1.67742229E+00   2.30000000E+06   1.56143694E+01   1.67742205E+00   2.30000000E+06   1.56141968E+01 
0 10 1.09719359E-07   2.79268897E-06   1.36899087E-06   5.64803543E-07   3.97495057E-07   4.94848296E-09   2.69020393E-06   1.43455315E+01   6.63472891E+00   -1.56389385E-01   1.06459454E-01   1.43383141E+01   6.63245440E+00   1.11199751E-01   1.06466182E-01   1.67672515E+00   2.30000000E+06   1.53642988E+01   1.67674446E+00   2.30000000E+06   1.53686314E+01 
0 20 5.16605567E-08   1.86161265E-06   9.38876553E-07   3.96031766E-07   2.01675547E-07   4.16583745E-09   2.24689097E-06   1.44170046E+01   6.65791655E+00   -2.01037824E-01   1.06125809E-01   1.43882742E+01   6.68144464E+00   1.21032529E-01   1.06193103E-01   1.67658603E+00   2.30000000E+06   1.53346739E+01   1.67662013E+00   2.30000000E+06   1.53417006E+01 
0 30 3.94634938E-08   1.38655309E-06   6.97373537E-07   3.03512650E-07   1.45319234E-07   3.63663144E-09   1.99031342E-06   1.43084545E+01   6.61209536E+00   -2.01927409E-01   1.07068941E-01   1.43139114E+01   6.63314819E+00   1.22301266E-01   1.06939360E-01   1.67601955E+00   2.30000000E+06   1.52332382E+01   1.67607677E+00   2.30000000E+06   1.52424507E+01 
0 40 2.82233117E-08   1.13535032E-06   5.78445054E-07   2.70030114E-07   1.04282421E-07   3.23676264E-09   1.74845297E-06   1.42516766E+01   6.59773159E+00   -1.83093697E-01   1.07599728E-01   1.42486877E+01   6.61793184E+00   1.32286265E-01   1.07507020E-01   1.67560244E+00   2.30000000E+06   1.51709852E+01   1.67566514E+00   2.30000000E+06   1.51798639E+01 
0 50 2.06271480E-08   9.63003913E-07   4.90593266E-07   2.21463125E-07   7.75729490E-08   2.91012925E-09   1.53330222E-06   1.42150383E+01   6.58750820E+00   -1.90287694E-01   1.08013012E-01   1.42186985E+01   6.61329079E+00   1.09543100E-01   1.07843563E-01   1.67576194E+00   2.29997250E+06   1.51256113E+01   1.67568398E+00   2.29998075E+06   1.51350889E+01 
0 60 1.76857959E-08   8.02767431E-07   4.07839252E-07   1.84621882E-07   6.34483186E-08   2.63284372E-09   1.37217705E-06   1.41668634E+01   6.58445358E+00   -2.00430468E-01   1.08457923E-01   1.41907139E+01   6.60005617E+00   9.31127071E-02   1.08166404E-01   1.67604482E+00   2.29994075E+06   1.50896807E+01   1.67594969E+00   2.29995175E+06   1.51020603E+01 
0 70 1.39845913E-08   6.94582866E-07   3.49329298E-07   1.51995152E-07   5.10732505E-08   2.39569631E-09   1.24132032E-06   1.41475763E+01   6.57928991E+00   -1.98869139E-01   1.08719178E-01   1.41722383E+01   6.59225225E+00   9.51829404E-02   1.08390801E-01   1.67618036E+00   2.29992475E+06   1.50714712E+01   1.67607069E+00   2.29993775E+06   1.50862484E+01 
0 80 1.07787175E-08   6.25461553E-07   3.11903790E-07   1.29476177E-07   3.83496790E-08   2.19113327E-09   1.12954888E-06   1.41466970E+01   6.57854080E+00   -1.94634765E-01   1.08840331E-01   1.41656809E+01   6.58787918E+00   1.01741336E-01   1.08513154E-01   1.67619836E+00   2.29992250E+06   1.50690031E+01   1.67610812E+00   2.29993325E+06   1.50812607E+01 
0 90 9.04670561E-09   5.71660735E-07   2.83354780E-07   1.08474417E-07   3.05396526E-08   2.01648009E-09   1.03453351E-06   1.41417065E+01   6.57692957E+00   -1.85098231E-01   1.08971268E-01   1.41582909E+01   6.58127260E+00   1.10727310E-01   1.08630136E-01   1.67621839E+00   2.29992000E+06   1.50662413E+01   1.67614806E+00   2.29992850E+06   1.50758772E+01 
