RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 7.40050297E-08   2.39412839E-06   8.43929797E-07   4.06250564E-07   2.68048126E-07   1.17725115E-07   9.24059859E-05   9.35957336E+00   3.00222754E+00   -1.28781302E-02   1.06910899E-01   9.38800335E+00   3.04261184E+00   -2.25094426E-02   1.06487110E-01   1.68633807E+00   2.14192000E+06   9.59428501E+00   1.68637204E+00   2.14344225E+06   9.60956860E+00 
0 10 9.26223436E-08   1.61406524E-06   8.56398913E-07   7.29853582E-07   3.05388653E-07   1.22339294E-09   1.07798724E-06   9.08673477E+00   2.84751368E+00   -2.15678543E-01   1.10486925E-01   9.02640152E+00   2.93017101E+00   -1.81073233E-01   1.10883333E-01   1.67577970E+00   2.06880500E+06   8.87607193E+00   1.67551720E+00   2.07117462E+06   8.88501930E+00 
0 20 5.02202866E-08   1.16722572E-06   6.53209668E-07   4.64425909E-07   1.87961788E-07   1.23117405E-09   1.10517203E-06   9.44921207E+00   2.84285235E+00   -3.06915283E-01   1.06908873E-01   9.38626003E+00   3.02256989E+00   -2.48460442E-01   1.06949545E-01   1.67851114E+00   2.04160462E+06   8.77336121E+00   1.67836404E+00   2.04321300E+06   8.77943420E+00 
0 30 4.28353921E-08   9.73245278E-07   5.28126179E-07   4.06426039E-07   1.35259668E-07   9.78707004E-10   1.00304351E-06   9.19646835E+00   2.82909060E+00   -3.83138657E-01   1.09858677E-01   9.15221596E+00   2.91218853E+00   -2.85079479E-01   1.10091493E-01   1.68412852E+00   1.94023225E+06   8.39057064E+00   1.68403029E+00   1.94479425E+06   8.40779686E+00 
0 40 2.75927672E-08   8.60568605E-07   4.69067515E-07   4.02260952E-07   8.93298520E-08   8.59784577E-10   8.48082664E-07   9.15835857E+00   2.85655689E+00   -3.98708165E-01   1.10451080E-01   9.20737934E+00   2.91273713E+00   -2.92051435E-01   1.09747313E-01   1.68413925E+00   1.88385675E+06   8.17769146E+00   1.68424582E+00   1.88998038E+06   8.20081520E+00 
0 50 1.94779393E-08   7.68923599E-07   4.06063663E-07   3.39105867E-07   5.86280748E-08   8.02295341E-10   7.05755326E-07   9.08317852E+00   2.86597681E+00   -4.52614725E-01   1.11490831E-01   9.19072437E+00   2.90177155E+00   -3.27191889E-01   1.10238247E-01   1.68266475E+00   1.84112162E+06   8.01632023E+00   1.68292522E+00   1.84660112E+06   8.03701115E+00 
0 60 1.70960206E-08   6.55638644E-07   3.53762175E-07   2.87186566E-07   4.93772951E-08   7.64910024E-10   6.11424241E-07   8.97347260E+00   2.85871387E+00   -4.81141627E-01   1.12943254E-01   9.13485146E+00   2.88118911E+00   -3.56308937E-01   1.11130178E-01   1.68058884E+00   1.80726600E+06   7.88847876E+00   1.68089700E+00   1.81156538E+06   7.90471363E+00 
0 70 1.23928983E-08   5.52190784E-07   3.09665211E-07   2.53548393E-07   3.55201806E-08   7.35063677E-10   5.36213179E-07   8.91898060E+00   2.85283399E+00   -4.76662636E-01   1.13758929E-01   9.11052322E+00   2.87946796E+00   -3.50574374E-01   1.11609027E-01   1.67902029E+00   1.78766638E+06   7.81446886E+00   1.67955208E+00   1.79394525E+06   7.83817816E+00 
0 80 9.32560074E-09   4.98378881E-07   2.79552609E-07   2.32705389E-07   2.69851892E-08   7.05374814E-10   4.69719112E-07   8.85465050E+00   2.85078716E+00   -4.54587668E-01   1.14638358E-01   9.08354950E+00   2.86550379E+00   -3.24475169E-01   1.12117954E-01   1.67733812E+00   1.76961862E+06   7.74631882E+00   1.67878878E+00   1.78502925E+06   7.80451059E+00 
0 90 8.41288905E-09   4.58390190E-07   2.51282643E-07   2.13831242E-07   2.53896175E-08   6.79542034E-10   4.13415989E-07   8.76949310E+00   2.85692215E+00   -4.41639781E-01   1.15683131E-01   9.05287933E+00   2.85013604E+00   -3.11520994E-01   1.12619087E-01   1.67606783E+00   1.74399650E+06   7.66264725E+00   1.67799759E+00   1.77640625E+06   7.77194929E+00 
