RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 1.66041332E-07   3.45144622E-06   7.90587308E-07   6.68973200E-07   6.10104564E-07   3.28424733E-07   1.84296412E-04   1.36332989E+01   -2.92157602E+00   -1.28540248E-02   1.05514750E-01   1.36352882E+01   -2.90978408E+00   -2.43311003E-03   1.05517700E-01   1.67835748E+00   2.29758775E+06   1.36334505E+01   1.67835617E+00   2.29758925E+06   1.36339254E+01 
0 10 9.33393949E-08   2.36146320E-06   6.90085187E-07   5.53486984E-07   3.24725505E-07   3.34401218E-09   1.97695249E-06   1.33761492E+01   -2.92897010E+00   -1.16528817E-01   1.07527494E-01   1.34354286E+01   -2.92228150E+00   -6.70615435E-02   1.07047781E-01   1.67823613E+00   2.29641950E+06   1.32897263E+01   1.67824829E+00   2.29643125E+06   1.32931957E+01 
0 20 4.64863774E-08   1.57705449E-06   5.16871751E-07   3.94564097E-07   1.74442704E-07   2.84145263E-09   1.71279135E-06   1.34931879E+01   -3.00336647E+00   -2.00987726E-01   1.06714554E-01   1.35141888E+01   -2.92248297E+00   -1.32486120E-01   1.06645271E-01   1.67811453E+00   2.29631125E+06   1.32578955E+01   1.67812741E+00   2.29632200E+06   1.32610607E+01 
0 30 3.44664706E-08   1.19473350E-06   3.93650481E-07   3.06582649E-07   1.19124643E-07   2.48225551E-09   1.56724820E-06   1.33851166E+01   -2.98263216E+00   -2.41185784E-01   1.07743703E-01   1.33998365E+01   -2.91734982E+00   -1.74697742E-01   1.07690372E-01   1.67731643E+00   2.29581475E+06   1.31118574E+01   1.67735326E+00   2.29583325E+06   1.31173058E+01 
0 40 2.57627022E-08   9.94123411E-07   3.35313985E-07   2.80506470E-07   8.77639650E-08   2.21208052E-09   1.37826430E-06   1.33114901E+01   -2.93314862E+00   -2.62839705E-01   1.08556688E-01   1.33376207E+01   -2.88137722E+00   -1.64647728E-01   1.08381391E-01   1.67660105E+00   2.29549800E+06   1.30186424E+01   1.67666662E+00   2.29552425E+06   1.30263863E+01 
0 50 1.72252932E-08   8.55727080E-07   2.81068679E-07   2.37585269E-07   6.03992021E-08   1.99631511E-09   1.20311904E-06   1.32908211E+01   -2.90772939E+00   -3.08694661E-01   1.08944960E-01   1.33168535E+01   -2.85555077E+00   -1.88447192E-01   1.08762421E-01   1.67602706E+00   2.29528400E+06   1.29556913E+01   1.67614281E+00   2.29532500E+06   1.29677668E+01 
0 60 1.50602713E-08   7.15047747E-07   2.35588786E-07   1.94954396E-07   4.92848606E-08   1.81317295E-09   1.06860784E-06   1.32450333E+01   -2.88543582E+00   -3.36323917E-01   1.09499328E-01   1.32752275E+01   -2.83828664E+00   -2.06898510E-01   1.09255664E-01   1.67550051E+00   2.29510825E+06   1.29039516E+01   1.67567217E+00   2.29516375E+06   1.29202909E+01 
0 70 1.15435812E-08   6.11497228E-07   1.98940270E-07   1.63113782E-07   3.86278955E-08   1.65398450E-09   9.61551905E-07   1.32102995E+01   -2.86637759E+00   -3.46827149E-01   1.09951243E-01   1.32436352E+01   -2.83115530E+00   -2.05410138E-01   1.09622754E-01   1.67590618E+00   2.29469700E+06   1.28714352E+01   1.67567253E+00   2.29493625E+06   1.28903341E+01 
0 80 8.86816487E-09   5.46489957E-07   1.72996451E-07   1.41353851E-07   2.92701703E-08   1.51356239E-09   8.70039401E-07   1.32006207E+01   -2.86524820E+00   -3.47097248E-01   1.10159025E-01   1.32288275E+01   -2.83536792E+00   -2.00430647E-01   1.09813072E-01   1.67606080E+00   2.29453400E+06   1.28585577E+01   1.67583787E+00   2.29476775E+06   1.28770266E+01 
0 90 7.28421456E-09   4.96405335E-07   1.54415943E-07   1.20126330E-07   2.30598936E-08   1.39321299E-09   7.92487299E-07   1.31863251E+01   -2.86136198E+00   -3.43400270E-01   1.10381529E-01   1.32147455E+01   -2.83654165E+00   -1.97934613E-01   1.09978117E-01   1.67619300E+00   2.29439150E+06   1.28473034E+01   1.67597687E+00   2.29462300E+06   1.28655872E+01 
0 100 6.30106456E-09   4.54624086E-07   1.33917951E-07   9.96527945E-08   2.03911750E-08   1.28606592E-09   7.26697181E-07   1.31694250E+01   -2.85498071E+00   -3.43196422E-01   1.10605814E-01   1.32008896E+01   -2.83446598E+00   -1.99678466E-01   1.10132538E-01   1.67636633E+00   2.29419975E+06   1.28321686E+01   1.67614460E+00   2.29444400E+06   1.28514528E+01 
0 110 5.69003689E-09   4.19519495E-07   1.15338899E-07   8.14752568E-08   1.85550046E-08   1.19158983E-09   6.70251438E-07   1.31577139E+01   -2.85231757E+00   -3.44138741E-01   1.10764965E-01   1.31904974E+01   -2.83220625E+00   -2.01849177E-01   1.10252827E-01   1.67652547E+00   2.29401875E+06   1.28178644E+01   1.67629886E+00   2.29427500E+06   1.28381119E+01 
0 120 5.35539701E-09   3.88989662E-07   1.02381406E-07   6.66493278E-08   1.68210104E-08   1.11101273E-09   6.21123206E-07   1.31498985E+01   -2.85004592E+00   -3.43605995E-01   1.10879324E-01   1.31844616E+01   -2.83080649E+00   -2.01135650E-01   1.10332221E-01   1.67664850E+00   2.29387500E+06   1.28065166E+01   1.67640889E+00   2.29415200E+06   1.28283825E+01 
0 130 5.32541922E-09   3.62018483E-07   9.26510353E-08   5.48121832E-08   1.62421330E-08   1.04259601E-09   5.77124467E-07   1.31440172E+01   -2.84927154E+00   -3.42004478E-01   1.10967897E-01   1.31812000E+01   -2.83073735E+00   -1.98283598E-01   1.10384017E-01   1.67675281E+00   2.29375050E+06   1.27966824E+01   1.67648482E+00   2.29406550E+06   1.28215523E+01 
0 140 5.32626387E-09   3.37831466E-07   8.50168149E-08   4.59186715E-08   1.61400404E-08   9.83686022E-10   5.36951745E-07   1.31387987E+01   -2.85070062E+00   -3.39593977E-01   1.11043245E-01   1.31790180E+01   -2.83100796E+00   -1.95555329E-01   1.10424764E-01   1.67684865E+00   2.29363375E+06   1.27874613E+01   1.67654765E+00   2.29399300E+06   1.28158388E+01 
0 150 5.01670883E-09   3.15802254E-07   7.85277052E-08   3.96313631E-08   1.50346189E-08   9.33128019E-10   5.00076112E-07   1.31341953E+01   -2.85266066E+00   -3.38619381E-01   1.11109294E-01   1.31771479E+01   -2.83119750E+00   -1.93948150E-01   1.10461578E-01   1.67693365E+00   2.29352850E+06   1.27791338E+01   1.67660546E+00   2.29392575E+06   1.28105087E+01 
0 160 4.23289359E-09   2.95597403E-07   7.26760589E-08   3.50968357E-08   1.22786199E-08   8.90377772E-10   4.66161822E-07   1.31304197E+01   -2.85419941E+00   -3.40427727E-01   1.11165285E-01   1.31754656E+01   -2.83167458E+00   -1.93390742E-01   1.10494353E-01   1.67700505E+00   2.29343825E+06   1.27720089E+01   1.67665756E+00   2.29386425E+06   1.28056688E+01 
0 170 3.45890849E-09   2.76962140E-07   6.75496423E-08   3.10015444E-08   9.81592763E-09   8.54473992E-10   4.34791332E-07   1.31268358E+01   -2.85589385E+00   -3.44051719E-01   1.11214913E-01   1.31743383E+01   -2.83250380E+00   -1.93902791E-01   1.10519424E-01   1.67706883E+00   2.29335650E+06   1.27655582E+01   1.67670012E+00   2.29381375E+06   1.28016758E+01 
