RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 2.48017614E-07   4.09641871E-06   1.95902066E-06   8.38109713E-07   9.13017402E-07   4.83016720E-07   2.37134023E-04   1.44571028E+01   -6.76920557E+00   5.65392477E-03   1.05326302E-01   1.44483166E+01   -6.75315332E+00   2.32644789E-02   1.05422236E-01   1.67742193E+00   2.30000000E+06   1.56141071E+01   1.67741609E+00   2.30000000E+06   1.56088495E+01 
0 10 1.09357082E-07   2.77115032E-06   1.36195558E-06   5.72384010E-07   3.94445124E-07   4.92646413E-09   2.64571827E-06   1.42916517E+01   -6.75473499E+00   5.13461977E-02   1.06467940E-01   1.42759523E+01   -6.73856163E+00   1.03686482E-01   1.06553547E-01   1.67673433E+00   2.30000000E+06   1.53663721E+01   1.67673421E+00   2.30000000E+06   1.53663397E+01 
0 20 5.15721261E-08   1.82175927E-06   9.18935712E-07   3.87034646E-07   2.00103784E-07   4.15227186E-09   2.23183201E-06   1.43363791E+01   -6.79176331E+00   1.04946710E-01   1.06244616E-01   1.43349934E+01   -6.76754427E+00   1.58668399E-01   1.06283672E-01   1.67660677E+00   2.30000000E+06   1.53389330E+01   1.67660201E+00   2.30000000E+06   1.53379526E+01 
0 30 3.82522067E-08   1.35977962E-06   6.89478213E-07   3.06160814E-07   1.40313219E-07   3.62043262E-09   1.99234910E-06   1.42351046E+01   -6.73067904E+00   1.49252608E-01   1.07181951E-01   1.42579603E+01   -6.71627951E+00   2.04722464E-01   1.07047372E-01   1.67605531E+00   2.30000000E+06   1.52389717E+01   1.67605472E+00   2.30000000E+06   1.52388706E+01 
0 40 2.78092926E-08   1.13650924E-06   5.71002829E-07   2.69519006E-07   1.02969764E-07   3.22056204E-09   1.74496643E-06   1.41980553E+01   -6.69820118E+00   1.77568644E-01   1.07642874E-01   1.42051888E+01   -6.68349314E+00   2.15816244E-01   1.07612222E-01   1.67561889E+00   2.30000000E+06   1.51732941E+01   1.67564619E+00   2.30000000E+06   1.51771708E+01 
0 50 1.93398417E-08   9.82799975E-07   4.87859722E-07   2.22849863E-07   7.43656727E-08   2.89483570E-09   1.53212704E-06   1.41727571E+01   -6.67343521E+00   1.68216825E-01   1.08018413E-01   1.41703196E+01   -6.65671682E+00   1.94543123E-01   1.08056471E-01   1.67576075E+00   2.29997250E+06   1.51257601E+01   1.67567742E+00   2.29998150E+06   1.51358843E+01 
0 60 1.69054548E-08   8.17635510E-07   4.06040556E-07   1.83568275E-07   6.14263129E-08   2.61702482E-09   1.36966275E-06   1.41446228E+01   -6.64092541E+00   1.61263734E-01   1.08414583E-01   1.41403265E+01   -6.63016081E+00   1.83288112E-01   1.08453073E-01   1.67604721E+00   2.29994050E+06   1.50893660E+01   1.67595685E+00   2.29995075E+06   1.51011410E+01 
0 70 1.35854368E-08   6.99485952E-07   3.45925912E-07   1.53844709E-07   4.92292820E-08   2.37810194E-09   1.23741791E-06   1.41290426E+01   -6.62532234E+00   1.66529194E-01   1.08662911E-01   1.41238203E+01   -6.61376381E+00   1.83667183E-01   1.08720601E-01   1.67619288E+00   2.29992300E+06   1.50697546E+01   1.67610168E+00   2.29993400E+06   1.50821304E+01 
0 80 1.04958868E-08   6.26402425E-07   3.08042814E-07   1.30524356E-07   3.69815432E-08   2.17317919E-09   1.12474606E-06   1.41213064E+01   -6.62188578E+00   1.78165525E-01   1.08805805E-01   1.41203604E+01   -6.60700750E+00   1.89440176E-01   1.08859211E-01   1.67624760E+00   2.29991650E+06   1.50621719E+01   1.67615485E+00   2.29992775E+06   1.50749588E+01 
0 90 8.63801208E-09   5.71107819E-07   2.79927576E-07   1.08577943E-07   2.93579134E-08   1.99652628E-09   1.02800016E-06   1.41113834E+01   -6.62185001E+00   1.86384633E-01   1.08932562E-01   1.41153746E+01   -6.60477066E+00   1.92459941E-01   1.08975045E-01   1.67629993E+00   2.29991000E+06   1.50547991E+01   1.67620862E+00   2.29992125E+06   1.50675859E+01 
0 100 7.96100430E-09   5.24984387E-07   2.54882281E-07   8.85330849E-08   2.72675038E-08   1.84216808E-09   9.43563521E-07   1.40990171E+01   -6.62291193E+00   1.89145699E-01   1.09058745E-01   1.41101360E+01   -6.60187531E+00   1.92146048E-01   1.09078534E-01   1.67637324E+00   2.29990050E+06   1.50442629E+01   1.67626882E+00   2.29991375E+06   1.50591917E+01 
0 110 7.32636307E-09   4.85483667E-07   2.33211580E-07   7.10525399E-08   2.47411727E-08   1.70729964E-09   8.69070959E-07   1.40899792E+01   -6.62461615E+00   1.87643036E-01   1.09152406E-01   1.41090555E+01   -6.59775543E+00   1.92086741E-01   1.09145664E-01   1.67643774E+00   2.29989225E+06   1.50347738E+01   1.67631328E+00   2.29990825E+06   1.50529032E+01 
