RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 5.96290928E-09   5.82753614E-07   1.30926139E-07   7.04827201E-08   2.12272706E-08   7.43925321E-09   1.45851236E-05   3.79749560E+00   -8.20473254E-01   -7.75665790E-03   1.08189933E-01   3.79755473E+00   -8.13626170E-01   -1.43776671E-03   1.08223855E-01   8.45791698E-01   1.83683125E+05   3.77315807E+00   8.46049309E-01   1.83899359E+05   3.77413130E+00 
0 10 7.38165573E-09   3.19051736E-07   1.60008696E-07   1.52543038E-07   2.46829668E-08   8.27584182E-11   1.70049461E-07   3.68409801E+00   -8.27063978E-01   -7.51442239E-02   1.11464277E-01   3.72559714E+00   -8.36601377E-01   -6.84749633E-02   1.10051394E-01   7.45511532E-01   1.28861656E+05   3.41601396E+00   7.46170402E-01   1.29216656E+05   3.41839910E+00 
0 20 4.73588457E-09   2.29584131E-07   1.11894309E-07   8.63646861E-08   1.76883344E-08   1.01156812E-10   2.01837295E-07   3.91619325E+00   -9.45393145E-01   -1.10024974E-01   1.04870714E-01   3.86955357E+00   -8.56587589E-01   -7.45810419E-02   1.06488563E-01   7.27588177E-01   1.19164203E+05   3.35086370E+00   7.27937996E-01   1.19354242E+05   3.35214043E+00 
0 30 3.88037069E-09   1.81755595E-07   9.02705466E-08   7.91839483E-08   1.24263426E-08   6.88465604E-11   1.70692189E-07   3.78189588E+00   -8.85990143E-01   -1.10388897E-01   1.08925469E-01   3.78605080E+00   -8.62774372E-01   -9.81640518E-02   1.08876511E-01   6.81131959E-01   9.36569062E+04   3.17949820E+00   6.82752669E-01   9.45560859E+04   3.18553925E+00 
0 40 2.42205789E-09   1.55607552E-07   8.10728054E-08   7.85937715E-08   8.05818967E-09   5.85622315E-11   1.41815178E-07   3.76013851E+00   -8.52483749E-01   -1.07776545E-01   1.09966308E-01   3.74815011E+00   -8.18712592E-01   -6.50549755E-02   1.10411540E-01   6.60809755E-01   8.23231953E+04   3.10335493E+00   6.63256288E-01   8.36934609E+04   3.11256099E+00 
0 50 1.86130023E-09   1.38379946E-07   7.00166893E-08   6.76298768E-08   5.61902302E-09   5.42265191E-11   1.16789799E-07   3.73593211E+00   -8.43365312E-01   -1.15293428E-01   1.10932864E-01   3.71975708E+00   -8.06118309E-01   -7.17969984E-02   1.11499794E-01   6.48263216E-01   7.52705391E+04   3.05597329E+00   6.51534796E-01   7.71136797E+04   3.06835604E+00 
0 60 1.55304991E-09   1.18443872E-07   6.08324484E-08   5.86836570E-08   4.45324977E-09   5.12860240E-11   1.01323721E-07   3.67631602E+00   -8.10890019E-01   -1.31965607E-01   1.12985373E-01   3.67753172E+00   -7.86359310E-01   -7.89809525E-02   1.12942018E-01   6.38680041E-01   6.98546094E+04   3.01958752E+00   6.41904533E-01   7.16797656E+04   3.03184938E+00 
0 70 1.12243914E-09   1.00457598E-07   5.46522756E-08   5.34333715E-08   3.21938121E-09   4.93663166E-11   8.86884237E-08   3.65086627E+00   -8.07904959E-01   -1.30218878E-01   1.13887437E-01   3.65217543E+00   -7.80545175E-01   -7.31518492E-02   1.13773629E-01   6.36122942E-01   6.84051484E+04   3.00984955E+00   6.38362229E-01   6.96745469E+04   3.01837778E+00 
0 80 8.79926521E-10   9.16538028E-08   5.00697901E-08   4.93346164E-08   2.43649856E-09   4.72218688E-11   7.75609124E-08   3.62960887E+00   -8.11884880E-01   -1.24776900E-01   1.14571214E-01   3.63720965E+00   -7.88279772E-01   -7.03003556E-02   1.14173681E-01   6.35036111E-01   6.77885156E+04   3.00570679E+00   6.37141883E-01   6.89829219E+04   3.01373124E+00 
0 90 7.68369646E-10   8.32344540E-08   4.52873437E-08   4.56391440E-08   2.03415063E-09   4.55151299E-11   6.84910972E-08   3.60813117E+00   -8.09228837E-01   -1.22258291E-01   1.15269803E-01   3.62508106E+00   -7.89573371E-01   -6.90731108E-02   1.14510588E-01   6.32459283E-01   6.63252734E+04   2.99587631E+00   6.35118604E-01   6.78353281E+04   3.00602126E+00 
0 100 6.58773314E-10   7.54071436E-08   3.86323933E-08   4.19245758E-08   1.76379245E-09   4.38536603E-11   6.16218543E-08   3.58882213E+00   -8.08686793E-01   -1.21507958E-01   1.15876816E-01   3.60830617E+00   -7.89814055E-01   -6.99550137E-02   1.14999257E-01   6.29908502E-01   6.48749414E+04   2.98613262E+00   6.31697714E-01   6.58924375E+04   2.99296832E+00 
0 110 5.70972269E-10   6.99518665E-08   3.31576402E-08   3.83554557E-08   1.51626445E-09   4.19628637E-11   5.63545441E-08   3.57029319E+00   -8.06473613E-01   -1.21898308E-01   1.16471499E-01   3.59510064E+00   -7.89254725E-01   -6.95634857E-02   1.15395576E-01   5.02139270E-01   5.17951641E+04   2.98131585E+00   5.96016049E-01   6.14064961E+04   2.98483276E+00 
0 120 5.02533015E-10   6.37035740E-08   2.94114244E-08   3.45260034E-08   1.28236910E-09   4.01262773E-11   5.23124442E-08   3.55467343E+00   -8.01851213E-01   -1.21420197E-01   1.16995133E-01   3.58228731E+00   -7.86394954E-01   -6.74510896E-02   1.15806691E-01   6.10556841E-01   6.28932070E+04   2.98537660E+00   5.75838149E-01   5.93425352E+04   2.98407745E+00 
