RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 1.11553824E-07   2.61427476E-06   1.15379589E-06   5.22639141E-07   4.08771001E-07   2.06227824E-07   1.34961956E-04   1.09706631E+01   4.63932180E+00   -4.17902544E-02   1.05867133E-01   1.09682150E+01   4.64357519E+00   2.68739350E-02   1.05870828E-01   1.67722642E+00   2.27596650E+06   1.16343498E+01   1.67720604E+00   2.27602350E+06   1.16357174E+01 
0 10 8.95872745E-08   1.77641243E-06   9.01138719E-07   5.80529502E-07   3.01274810E-07   2.10273665E-09   1.52757411E-06   1.07151814E+01   4.47998953E+00   -2.22619876E-01   1.08652614E-01   1.06941786E+01   4.47706556E+00   1.62449762E-01   1.08767994E-01   1.68120790E+00   2.25606175E+06   1.11564188E+01   1.68119359E+00   2.25637475E+06   1.11639309E+01 
0 20 4.48903812E-08   1.21962364E-06   6.70816803E-07   4.15871170E-07   1.66113082E-07   1.82996240E-09   1.36173458E-06   1.09085913E+01   4.52822542E+00   -2.96903551E-01   1.07072867E-01   1.08439760E+01   4.56917429E+00   1.89462572E-01   1.07412249E-01   1.68126249E+00   2.25407850E+06   1.11087990E+01   1.68125677E+00   2.25445875E+06   1.11179247E+01 
0 30 3.54700980E-08   9.57562861E-07   5.16025636E-07   3.32371940E-07   1.16537620E-07   1.58805613E-09   1.25726319E-06   1.07510386E+01   4.43308783E+00   -3.17876577E-01   1.08970083E-01   1.07215576E+01   4.49179602E+00   2.07879275E-01   1.08960502E-01   1.68066442E+00   2.24457800E+06   1.08806801E+01   1.68075597E+00   2.24526975E+06   1.08972912E+01 
0 40 2.52542627E-08   8.12162227E-07   4.53083231E-07   3.21270278E-07   8.08457372E-08   1.41864742E-09   1.08589609E-06   1.07092094E+01   4.42822742E+00   -3.00362647E-01   1.09594613E-01   1.06259289E+01   4.49364233E+00   2.18777433E-01   1.09998845E-01   1.67956471E+00   2.23862525E+06   1.07377472E+01   1.67972004E+00   2.23931200E+06   1.07542391E+01 
0 50 1.74557879E-08   7.00590419E-07   3.92101725E-07   2.63458617E-07   5.58326363E-08   1.29505939E-09   9.32310229E-07   1.06789236E+01   4.41934395E+00   -3.25886995E-01   1.10156320E-01   1.06145859E+01   4.50527859E+00   1.91417217E-01   1.10307246E-01   1.67847490E+00   2.23449975E+06   1.06386890E+01   1.67868531E+00   2.23522275E+06   1.06560526E+01 
0 60 1.50859876E-08   5.89833121E-07   3.29089204E-07   2.25926243E-07   4.52927615E-08   1.19416654E-09   8.22201002E-07   1.06032248E+01   4.42046404E+00   -3.38390768E-01   1.11034952E-01   1.05509377E+01   4.48542547E+00   1.69579268E-01   1.11127853E-01   1.67733729E+00   2.23099175E+06   1.05544596E+01   1.67762768E+00   2.23183250E+06   1.05746508E+01 
0 70 1.11637908E-08   5.00599299E-07   2.79635771E-07   1.94445775E-07   3.47000295E-08   1.10914755E-09   7.30971351E-07   1.05749311E+01   4.41228247E+00   -3.31843853E-01   1.11522496E-01   1.05171366E+01   4.47678041E+00   1.71097860E-01   1.11592524E-01   1.67661583E+00   2.22902825E+06   1.05073175E+01   1.67696786E+00   2.22996550E+06   1.05298223E+01 
0 80 8.26214475E-09   4.42095029E-07   2.46987042E-07   1.73049571E-07   2.48465692E-08   1.03026754E-09   6.52468543E-07   1.05639534E+01   4.40607119E+00   -3.25478911E-01   1.11815311E-01   1.05006304E+01   4.46602106E+00   1.83021337E-01   1.11871183E-01   1.67627680E+00   2.22815825E+06   1.04864273E+01   1.67658055E+00   2.22893625E+06   1.05051050E+01 
0 90 6.89387170E-09   3.96913038E-07   2.20008246E-07   1.52037359E-07   2.07010373E-08   9.57768309E-10   5.87827060E-07   1.05448971E+01   4.39491749E+00   -3.14923733E-01   1.12156585E-01   1.04771223E+01   4.45135641E+00   1.92579165E-01   1.12191297E-01   1.67587852E+00   2.22717350E+06   1.04627790E+01   1.67617381E+00   2.22790000E+06   1.04802237E+01 
0 100 5.97010397E-09   3.57893043E-07   1.90956513E-07   1.29713470E-07   1.86182731E-08   8.88872642E-10   5.33722130E-07   1.05283518E+01   4.38076305E+00   -3.15777898E-01   1.12452745E-01   1.04537230E+01   4.44306087E+00   1.95100516E-01   1.12468243E-01   1.67563140E+00   2.22580325E+06   1.04364090E+01   1.67572045E+00   2.22679250E+06   1.04536352E+01 
0 110 5.23953325E-09   3.24918005E-07   1.65057045E-07   1.08408145E-07   1.63440887E-08   8.24462332E-10   4.88682247E-07   1.05101757E+01   4.37162685E+00   -3.24925840E-01   1.12714574E-01   1.04316788E+01   4.43900728E+00   1.92408174E-01   1.12707257E-01   1.67633951E+00   2.22323425E+06   1.04106178E+01   1.67586339E+00   2.22497100E+06   1.04280539E+01 
0 120 4.84682294E-09   2.96770139E-07   1.46384210E-07   9.06770268E-08   1.45957832E-08   7.67910235E-10   4.51333392E-07   1.04960604E+01   4.36877584E+00   -3.29961956E-01   1.12895072E-01   1.04162865E+01   4.43676424E+00   1.90314695E-01   1.12871557E-01   1.67690337E+00   2.22112350E+06   1.03894272E+01   1.67642522E+00   2.22291750E+06   1.04074383E+01 
