RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 150 1.11289777E-08   6.09218546E-07   5.83532440E-08   3.93317698E-08   3.29321566E-08   2.53417620E-09   9.96477979E-07   1.95406170E+01   1.37548041E+00   8.90764669E-02   1.08236641E-01   1.96353416E+01   1.36335325E+00   1.05115846E-01   1.07722707E-01   1.67641544E+00   2.30000000E+06   1.90862331E+01   1.67616916E+00   2.30000000E+06   1.91743813E+01 
0 160 9.86069093E-09   5.68992277E-07   5.40159419E-08   3.60450727E-08   2.78830790E-08   2.41952547E-09   9.24543485E-07   1.95213909E+01   1.37743199E+00   8.70129094E-02   1.08355246E-01   1.96353073E+01   1.36382496E+00   1.04573324E-01   1.07736751E-01   1.67645669E+00   2.30000000E+06   1.90682354E+01   1.67617941E+00   2.30000000E+06   1.91711655E+01 
0 170 8.62564598E-09   5.31933779E-07   5.00492732E-08   3.17883959E-08   2.38989717E-08   2.32291031E-09   8.58728811E-07   1.95009861E+01   1.37893331E+00   8.51513073E-02   1.08478278E-01   1.96369572E+01   1.36463177E+00   1.03874840E-01   1.07738942E-01   1.67649543E+00   2.30000000E+06   1.90499763E+01   1.67618346E+00   2.30000000E+06   1.91698933E+01 
0 180 7.93302579E-09   4.97741837E-07   4.64403911E-08   2.78475181E-08   2.21075016E-08   2.24022134E-09   7.98228257E-07   1.94786491E+01   1.37942493E+00   8.46296400E-02   1.08610585E-01   1.96393127E+01   1.36580181E+00   1.03745773E-01   1.07735157E-01   1.67653310E+00   2.30000000E+06   1.90305843E+01   1.67618346E+00   2.30000000E+06   1.91698971E+01 
0 190 7.64229746E-09   4.65960568E-07   4.34832792E-08   2.62138453E-08   2.08003694E-08   2.16842588E-09   7.42423026E-07   1.94540405E+01   1.37900841E+00   8.60517398E-02   1.08754806E-01   1.96411037E+01   1.36706924E+00   1.05317406E-01   1.07733153E-01   1.67657006E+00   2.30000000E+06   1.90095215E+01   1.67618322E+00   2.30000000E+06   1.91699524E+01 
0 200 7.51244844E-09   4.36213810E-07   4.10941787E-08   2.51054875E-08   1.93560545E-08   2.10452877E-09   6.90600302E-07   1.94278717E+01   1.37803018E+00   8.90615284E-02   1.08907595E-01   1.96412659E+01   1.36797881E+00   1.08061694E-01   1.07739694E-01   1.67660439E+00   2.30000000E+06   1.89872799E+01   1.67618656E+00   2.30000000E+06   1.91689205E+01 
0 210 7.35677741E-09   4.08283768E-07   3.89173707E-08   2.34924791E-08   1.80703470E-08   2.04656092E-09   6.42204157E-07   1.94012794E+01   1.37672830E+00   9.26556885E-02   1.09063037E-01   1.96398335E+01   1.36821735E+00   1.09898604E-01   1.07755214E-01   1.67663443E+00   2.30000000E+06   1.89648380E+01   1.67619371E+00   2.30000000E+06   1.91666412E+01 
0 220 6.92102597E-09   3.82053230E-07   3.67242237E-08   2.25271535E-08   1.65221756E-08   1.99310679E-09   5.96789164E-07   1.93752060E+01   1.37518537E+00   9.60881710E-02   1.09216206E-01   1.96380596E+01   1.36789119E+00   1.09247223E-01   1.07772730E-01   1.67665911E+00   2.30000000E+06   1.89429569E+01   1.67620158E+00   2.30000000E+06   1.91641006E+01 
0 230 6.27628793E-09   3.57438040E-07   3.45436355E-08   2.16036575E-08   1.51375303E-08   1.94277061E-09   5.53898815E-07   1.93500862E+01   1.37342608E+00   9.93280485E-02   1.09364770E-01   1.96372948E+01   1.36745310E+00   1.06526963E-01   1.07784100E-01   1.67667854E+00   2.30000000E+06   1.89219551E+01   1.67620671E+00   2.30000000E+06   1.91624718E+01 
0 240 5.85878679E-09   3.34308794E-07   3.23610578E-08   1.96395771E-08   1.54187827E-08   1.89384286E-09   5.12782719E-07   1.93261414E+01   1.37149882E+00   1.02620840E-01   1.09507397E-01   1.96378441E+01   1.36730921E+00   1.03525102E-01   1.07786939E-01   1.67669308E+00   2.30000000E+06   1.89019852E+01   1.67620778E+00   2.30000000E+06   1.91620979E+01 
