RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 4.48457556E-08   2.09995824E-06   6.99840939E-07   2.90786147E-07   1.60557903E-07   6.05913471E-08   5.94423182E-05   7.44194603E+00   -2.44009304E+00   2.81138364E-02   1.07349835E-01   7.39987659E+00   -2.42364025E+00   -4.93489876E-02   1.07957937E-01   1.67819524E+00   1.70996600E+06   7.58830643E+00   1.67836392E+00   1.70699412E+06   7.58181381E+00 
0 10 6.15490805E-08   1.26073826E-06   6.99329462E-07   6.12339534E-07   2.04413709E-07   6.49321985E-10   7.14852320E-07   7.10718203E+00   -2.37765694E+00   1.08960398E-01   1.12352565E-01   7.10099363E+00   -2.39144492E+00   -2.54242450E-01   1.12148359E-01   1.67891204E+00   1.35508638E+06   6.81305695E+00   1.67894459E+00   1.35569962E+06   6.81439686E+00 
0 20 3.75220033E-08   9.20642321E-07   5.15299860E-07   3.62965778E-07   1.40516988E-07   7.64756924E-10   8.08830009E-07   7.53958702E+00   -2.62731671E+00   2.20687106E-01   1.05815686E-01   7.48884535E+00   -2.54132366E+00   -3.31726581E-01   1.06714033E-01   1.67659009E+00   1.31591525E+06   6.72748613E+00   1.67610407E+00   1.30860800E+06   6.71152306E+00 
0 30 3.08633723E-08   7.40363532E-07   4.05570347E-07   3.26644226E-07   9.92595659E-08   5.37468126E-10   6.92497622E-07   7.30239153E+00   -2.48815227E+00   2.64259100E-01   1.09712906E-01   7.26395702E+00   -2.45925450E+00   -2.94308841E-01   1.10265210E-01   1.58441710E+00   1.12486988E+06   6.36458445E+00   1.58416522E+00   1.12438338E+06   6.36367321E+00 
0 40 1.94938199E-08   6.39626592E-07   3.59476758E-07   3.35509696E-07   6.44328182E-08   4.60107341E-10   5.73812599E-07   7.26743269E+00   -2.43744540E+00   3.40641469E-01   1.10630713E-01   7.22572756E+00   -2.42985058E+00   -1.92283601E-01   1.11201577E-01   1.53962398E+00   1.03815438E+06   6.20213175E+00   1.54058933E+00   1.04002800E+06   6.20564175E+00 
0 50 1.46609889E-08   5.69386486E-07   3.10090314E-07   2.85192698E-07   4.36735910E-08   4.27347213E-10   4.65725634E-07   7.26227188E+00   -2.39689422E+00   3.29318702E-01   1.11179337E-01   7.18798399E+00   -2.40355635E+00   -1.79047659E-01   1.12097949E-01   1.51258492E+00   9.85594562E+05   6.10366631E+00   1.51504266E+00   9.90378750E+05   6.11262894E+00 
0 60 1.27689983E-08   4.87436125E-07   2.70629556E-07   2.47854047E-07   3.62027208E-08   4.09666939E-10   4.02545055E-07   7.18576384E+00   -2.33858585E+00   3.09765071E-01   1.12734675E-01   7.09799623E+00   -2.35212445E+00   -1.86650306E-01   1.13771349E-01   1.49139464E+00   9.44289375E+05   6.02628517E+00   1.49581218E+00   9.52908625E+05   6.04243231E+00 
0 70 9.31311561E-09   4.12904313E-07   2.41730618E-07   2.29389343E-07   2.62465178E-08   3.96401856E-10   3.49891280E-07   7.14885283E+00   -2.31871009E+00   3.22407037E-01   1.13528676E-01   7.04853487E+00   -2.32262921E+00   -1.76264405E-01   1.14744887E-01   1.48436701E+00   9.30568688E+05   6.00058079E+00   1.48843944E+00   9.38521000E+05   6.01547861E+00 
0 80 7.30978922E-09   3.74971535E-07   2.18862951E-07   2.12627654E-07   2.01850057E-08   3.79824366E-10   3.04014918E-07   7.13295746E+00   -2.31693172E+00   3.22481751E-01   1.13899156E-01   7.01367998E+00   -2.32086825E+00   -1.77324504E-01   1.15335591E-01   1.48279941E+00   9.27506500E+05   5.99484396E+00   1.48532462E+00   9.32438750E+05   6.00408411E+00 
0 90 6.34780450E-09   3.40904450E-07   1.97978821E-07   1.96921505E-07   1.65811240E-08   3.69841796E-10   2.69256049E-07   7.10452414E+00   -2.32144618E+00   3.23706806E-01   1.14366479E-01   6.98432589E+00   -2.32333922E+00   -1.86865166E-01   1.15794696E-01   1.47876823E+00   9.19629375E+05   5.98008680E+00   1.48085177E+00   9.23701125E+05   5.98771524E+00 
0 100 5.37037614E-09   3.07689248E-07   1.71721723E-07   1.83547471E-07   1.41571688E-08   3.57055191E-10   2.41644784E-07   7.06587648E+00   -2.31973481E+00   3.13146472E-01   1.14989221E-01   6.95493603E+00   -2.32286644E+00   -1.92303047E-01   1.16269343E-01   1.47000563E+00   9.02494312E+05   5.94798613E+00   1.47375953E+00   9.09837125E+05   5.96174240E+00 
0 110 4.43872405E-09   2.79482663E-07   1.48159415E-07   1.68706933E-07   1.16372618E-08   3.41374651E-10   2.20304685E-07   7.02812433E+00   -2.31076336E+00   2.95456320E-01   1.15619019E-01   6.93126202E+00   -2.32397413E+00   -1.91790625E-01   1.16656147E-01   1.46055162E+00   8.88167000E+05   5.91384363E+00   1.46731544E+00   8.98178062E+05   5.93824434E+00 
0 120 3.88183263E-09   2.53239961E-07   1.29868084E-07   1.51389926E-07   9.51146273E-09   3.26222077E-10   2.03772416E-07   6.99983740E+00   -2.30525708E+00   2.82867342E-01   1.16081819E-01   6.92186546E+00   -2.32546854E+00   -1.86396897E-01   1.16828598E-01   1.45421886E+00   8.78785688E+05   5.89097786E+00   1.46403503E+00   8.93323938E+05   5.92641306E+00 
0 130 3.48099105E-09   2.27887043E-07   1.15373204E-07   1.33370690E-07   8.35202396E-09   3.10529602E-10   1.89576767E-07   6.97765255E+00   -2.30204010E+00   2.78478324E-01   1.16439722E-01   6.91549540E+00   -2.32404637E+00   -1.77898645E-01   1.16967686E-01   1.44980705E+00   8.72245375E+05   5.87503672E+00   1.46157324E+00   8.89679625E+05   5.91753054E+00 
0 140 3.08930881E-09   2.04296185E-07   1.03197756E-07   1.17366213E-07   7.42125694E-09   2.93893437E-10   1.76751655E-07   6.95592928E+00   -2.30118895E+00   2.83498943E-01   1.16777353E-01   6.90256643E+00   -2.31972241E+00   -1.65912315E-01   1.17215760E-01   1.44574428E+00   8.66219000E+05   5.86034822E+00   1.45786071E+00   8.84181625E+05   5.90412998E+00 
0 150 2.68067368E-09   1.82731114E-07   9.20445657E-08   1.04448993E-07   6.51015819E-09   2.77154438E-10   1.64605211E-07   6.93227577E+00   -2.30336165E+00   2.91411221E-01   1.17132120E-01   6.88617086E+00   -2.31305575E+00   -1.54439390E-01   1.17522918E-01   1.44144964E+00   8.59845438E+05   5.84481382E+00   1.45379913E+00   8.78163562E+05   5.88946152E+00 
0 160 2.31833241E-09   1.63484231E-07   8.23588522E-08   9.50129504E-08   5.75092285E-09   2.61959093E-10   1.53246333E-07   6.90711927E+00   -2.30772233E+00   2.94708520E-01   1.17504977E-01   6.87175417E+00   -2.30546260E+00   -1.47332668E-01   1.17799714E-01   1.43711507E+00   8.53408688E+05   5.82912493E+00   1.45055020E+00   8.73347375E+05   5.87772274E+00 
0 170 2.00245065E-09   1.47138735E-07   7.38970556E-08   8.75300614E-08   4.91375918E-09   2.49605364E-10   1.42688009E-07   6.88358068E+00   -2.31401944E+00   2.92424977E-01   1.17846467E-01   6.86183786E+00   -2.29897285E+00   -1.44168451E-01   1.17997222E-01   1.43336010E+00   8.47829688E+05   5.81552696E+00   1.44857347E+00   8.70415938E+05   5.87057781E+00 
0 180 1.78228732E-09   1.34206601E-07   6.66950299E-08   8.02838969E-08   4.24957802E-09   2.40053560E-10   1.32783953E-07   6.86408710E+00   -2.32212853E+00   2.87240535E-01   1.18115619E-01   6.85651922E+00   -2.29441905E+00   -1.42745212E-01   1.18110321E-01   1.43047297E+00   8.43538125E+05   5.80506659E+00   1.44760764E+00   8.68983438E+05   5.86708641E+00 
0 190 1.61618163E-09   1.24005737E-07   6.03006569E-08   7.29080440E-08   3.91127264E-09   2.32766237E-10   1.23812200E-07   6.84794044E+00   -2.33141685E+00   2.82384843E-01   1.18324198E-01   6.85360003E+00   -2.29106474E+00   -1.41180187E-01   1.18178144E-01   1.42810357E+00   8.40014938E+05   5.79647923E+00   1.44693780E+00   8.67989812E+05   5.86466455E+00 
0 200 1.44777901E-09   1.15638308E-07   5.46964678E-08   6.54753194E-08   3.54015484E-09   2.26946045E-10   1.15716858E-07   6.83355474E+00   -2.34099936E+00   2.79712290E-01   1.18502200E-01   6.85058355E+00   -2.28810644E+00   -1.38813168E-01   1.18245184E-01   1.42583239E+00   8.36636812E+05   5.78824568E+00   1.44593346E+00   8.66499812E+05   5.86103296E+00 
0 210 1.28481481E-09   1.08177886E-07   4.98368031E-08   5.81424260E-08   3.16208904E-09   2.21853674E-10   1.08039991E-07   6.82113075E+00   -2.34990191E+00   2.78962046E-01   1.18653417E-01   6.84624481E+00   -2.28543305E+00   -1.35889128E-01   1.18331656E-01   1.42375731E+00   8.33549438E+05   5.78072023E+00   1.44446743E+00   8.64324562E+05   5.85573101E+00 
0 220 1.11608978E-09   1.01561930E-07   4.56149643E-08   5.11708791E-08   2.75765277E-09   2.16947640E-10   1.00505339E-07   6.81239367E+00   -2.35744953E+00   2.79260457E-01   1.18755080E-01   6.84105158E+00   -2.28310513E+00   -1.33399621E-01   1.18429609E-01   1.42227137E+00   8.31338062E+05   5.77533054E+00   1.44286525E+00   8.61946688E+05   5.84993505E+00 
0 230 9.95183158E-10   9.57193578E-08   4.19645794E-08   4.50186306E-08   2.48402543E-09   2.11947848E-10   9.32244291E-08   6.80838871E+00   -2.36308074E+00   2.80587643E-01   1.18793368E-01   6.83630657E+00   -2.28110075E+00   -1.31936267E-01   1.18518449E-01   1.42154682E+00   8.30259625E+05   5.77270222E+00   1.44151521E+00   8.59942750E+05   5.84505081E+00 
0 240 9.24088583E-10   9.05434518E-08   3.88692740E-08   3.98293132E-08   2.39652476E-09   2.06780509E-10   8.64358540E-08   6.80850840E+00   -2.36642265E+00   2.83306032E-01   1.18779376E-01   6.83274603E+00   -2.27942824E+00   -1.31430581E-01   1.18586563E-01   1.42144370E+00   8.30106125E+05   5.77232790E+00   1.44056821E+00   8.58536688E+05   5.84162378E+00 
0 250 8.78586703E-10   8.59501981E-08   3.62523878E-08   3.55496361E-08   2.37251330E-09   2.01212741E-10   8.01206284E-08   6.81184483E+00   -2.36747003E+00   2.87077993E-01   1.18727565E-01   6.83000326E+00   -2.27803111E+00   -1.31587595E-01   1.18640013E-01   1.42177236E+00   8.30595375E+05   5.77352047E+00   1.43989551E+00   8.57537875E+05   5.83918905E+00 
0 260 8.33666969E-10   8.17655916E-08   3.40056516E-08   3.20633475E-08   2.31696973E-09   1.95209154E-10   7.41723056E-08   6.81815434E+00   -2.36627841E+00   2.90969372E-01   1.18641689E-01   6.82719660E+00   -2.27672982E+00   -1.32070169E-01   1.18693754E-01   1.42251956E+00   8.31707375E+05   5.77623081E+00   1.43924880E+00   8.56577625E+05   5.83684874E+00 
0 270 7.71669728E-10   7.79559315E-08   3.20689395E-08   2.91971194E-08   2.18980500E-09   1.88995611E-10   6.85429598E-08   6.82785940E+00   -2.36294007E+00   2.94425488E-01   1.18514530E-01   6.82385731E+00   -2.27545476E+00   -1.32419318E-01   1.18755996E-01   1.42378533E+00   8.33591188E+05   5.78082228E+00   1.43848896E+00   8.55449250E+05   5.83409834E+00 
0 280 7.10248360E-10   7.44965831E-08   3.04124690E-08   2.66580678E-08   2.05586170E-09   1.82921470E-10   6.33272705E-08   6.84090662E+00   -2.35765290E+00   2.97774404E-01   1.18345261E-01   6.82016039E+00   -2.27427006E+00   -1.32284641E-01   1.18824236E-01   1.42556441E+00   8.36238250E+05   5.78727388E+00   1.43764961E+00   8.54202750E+05   5.83106041E+00 
0 290 6.74730716E-10   7.12946928E-08   2.90165882E-08   2.42124560E-08   1.97047978E-09   1.77258194E-10   5.85595892E-08   6.85642481E+00   -2.35059834E+00   3.01641285E-01   1.18145965E-01   6.81664515E+00   -2.27321649E+00   -1.31691247E-01   1.18890189E-01   1.42767370E+00   8.39375688E+05   5.79492140E+00   1.43684649E+00   8.53009812E+05   5.82815266E+00 
0 300 6.57931820E-10   6.83327031E-08   2.78506995E-08   2.18943548E-08   1.87680227E-09   1.72221820E-10   5.42073586E-08   6.87325907E+00   -2.34199715E+00   3.06264490E-01   1.17933512E-01   6.81373787E+00   -2.27236366E+00   -1.30964816E-01   1.18946776E-01   1.42989278E+00   8.42675562E+05   5.80296421E+00   1.43617415E+00   8.52010938E+05   5.82571793E+00 
0 310 6.43736398E-10   6.56607710E-08   2.68395599E-08   1.97505532E-08   1.73293457E-09   1.67878073E-10   5.02051307E-08   6.89047766E+00   -2.33216715E+00   3.11315417E-01   1.17721200E-01   6.81141853E+00   -2.27175093E+00   -1.30454004E-01   1.18993670E-01   1.43209660E+00   8.45951750E+05   5.81094933E+00   1.43563437E+00   8.51209125E+05   5.82376385E+00 
0 320 6.26407259E-10   6.32928376E-08   2.58626329E-08   1.78123898E-08   1.57984659E-09   1.64203970E-10   4.65134100E-08   6.90753555E+00   -2.32154608E+00   3.16151053E-01   1.17515750E-01   6.80940819E+00   -2.27135086E+00   -1.30246907E-01   1.19034857E-01   1.43426263E+00   8.49170812E+05   5.81879568E+00   1.43516648E+00   8.50513875E+05   5.82206917E+00 
0 330 6.17910945E-10   6.11913578E-08   2.48884078E-08   1.61204934E-08   1.49794144E-09   1.61139824E-10   4.31135874E-08   6.92403030E+00   -2.31068063E+00   3.20245653E-01   1.17320672E-01   6.80746460E+00   -2.27110577E+00   -1.30142823E-01   1.19074151E-01   1.43639278E+00   8.52335812E+05   5.82650995E+00   1.43472052E+00   8.49851250E+05   5.82045412E+00 
0 340 6.17001505E-10   5.92667746E-08   2.39489300E-08   1.47270880E-08   1.47216450E-09   1.58593111E-10   4.00358431E-08   6.93947124E+00   -2.30011845E+00   3.23408067E-01   1.17140330E-01   6.80552101E+00   -2.27098489E+00   -1.29877269E-01   1.19112805E-01   1.43845868E+00   8.55404188E+05   5.83398867E+00   1.43428946E+00   8.49210688E+05   5.81889296E+00 
0 350 6.19517604E-10   5.74450745E-08   2.30761668E-08   1.35702303E-08   1.46653178E-09   1.56431715E-10   3.72320166E-08   6.95335054E+00   -2.29030299E+00   3.25724602E-01   1.16979688E-01   6.80363798E+00   -2.27094173E+00   -1.29354134E-01   1.19150333E-01   1.44039595E+00   8.58281000E+05   5.84100056E+00   1.43388915E+00   8.48615938E+05   5.81744337E+00 
0 360 6.21909968E-10   5.56895472E-08   2.22736514E-08   1.25763711E-08   1.46502577E-09   1.54537605E-10   3.46481706E-08   6.96507931E+00   -2.28151488E+00   3.27416807E-01   1.16845816E-01   6.80186367E+00   -2.27089429E+00   -1.28721148E-01   1.19186513E-01   1.44211388E+00   8.60831312E+05   5.84721661E+00   1.43352759E+00   8.48078562E+05   5.81613350E+00 
0 370 6.15359652E-10   5.39957341E-08   2.15141238E-08   1.16945174E-08   1.44525036E-09   1.52834329E-10   3.22589884E-08   6.97419453E+00   -2.27392888E+00   3.28694195E-01   1.16744690E-01   6.80018425E+00   -2.27077889E+00   -1.28214195E-01   1.19221807E-01   1.44352257E+00   8.62922250E+05   5.85231304E+00   1.43319535E+00   8.47584812E+05   5.81492996E+00 
0 380 5.93378346E-10   5.23798427E-08   2.07701341E-08   1.09305232E-08   1.38873557E-09   1.51283056E-10   3.00801730E-08   6.98046112E+00   -2.26769090E+00   3.29712212E-01   1.16679147E-01   6.79858255E+00   -2.27057171E+00   -1.27973661E-01   1.19256407E-01   1.44456470E+00   8.64468750E+05   5.85608244E+00   1.43288338E+00   8.47121188E+05   5.81379986E+00 
0 390 5.59141455E-10   5.08608693E-08   2.00254853E-08   1.02811866E-08   1.30895217E-09   1.49861346E-10   2.81283246E-08   6.98383188E+00   -2.26284814E+00   3.30594957E-01   1.16649710E-01   6.79707766E+00   -2.27029252E+00   -1.27966627E-01   1.19289719E-01   1.44522679E+00   8.65451250E+05   5.85847712E+00   1.43259633E+00   8.46694500E+05   5.81275988E+00 
0 400 5.22921151E-10   4.94421712E-08   1.92652347E-08   9.71203651E-09   1.23986366E-09   1.48555279E-10   2.64023843E-08   6.98453999E+00   -2.25942993E+00   3.31429392E-01   1.16652884E-01   6.79571867E+00   -2.26999235E+00   -1.28055617E-01   1.19320586E-01   1.44554150E+00   8.65918188E+05   5.85961533E+00   1.43234622E+00   8.46322812E+05   5.81185389E+00 
0 410 4.92092533E-10   4.81054094E-08   1.84903648E-08   9.18654042E-09   1.19434285E-09   1.47346468E-10   2.48862246E-08   6.98296738E+00   -2.25744295E+00   3.32285017E-01   1.16683178E-01   6.79453754E+00   -2.26972365E+00   -1.28120303E-01   1.19348243E-01   1.44557095E+00   8.65961875E+05   5.85972166E+00   1.43213916E+00   8.46015062E+05   5.81110382E+00 
0 420 4.68362404E-10   4.68172772E-08   1.77262116E-08   8.70060113E-09   1.16182675E-09   1.46218287E-10   2.35448425E-08   6.97956705E+00   -2.25683141E+00   3.33187222E-01   1.16734475E-01   6.79351091E+00   -2.26951027E+00   -1.28119245E-01   1.19373024E-01   1.44538438E+00   8.65685000E+05   5.85904694E+00   1.43196619E+00   8.45757938E+05   5.81047726E+00 
