RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 1 8.41022114E-08   4.56117141E-06   6.28246880E-07   6.53085010E-07   3.03181565E-07   1.26107480E-07   9.86477535E-05   9.96313381E+00   -8.17789417E-03   -7.19413208E-03   1.05474323E-01   9.94021893E+00   -3.67187709E-02   -6.50840160E-03   1.05715938E-01   9.93379498E+00   -2.55223308E-02   5.38179651E-03   1.05786212E-01   1.68640089E+00   2.15238300E+06   9.69932747E+00   1.68640137E+00   2.15234575E+06   9.69895363E+00   1.68640053E+00   2.15241275E+06   9.69962502E+00 
0 10 2.66094560E-07   3.81156678E-06   1.84469445E-06   1.29620582E-06   9.17262525E-07   1.00490072E-09   8.92524213E-07   9.59449005E+00   -8.40212703E-02   -3.29283215E-02   1.09504841E-01   9.52563381E+00   -1.64030835E-01   1.07541075E-02   1.10264458E-01   9.47457790E+00   -1.09192789E-01   2.44729128E-02   1.10904172E-01   1.67928517E+00   2.08617225E+06   9.03462124E+00   1.67938364E+00   2.08660525E+06   9.03896809E+00   1.67952299E+00   2.08722412E+06   9.04518127E+00 
0 20 2.55652651E-07   3.49035008E-06   2.21506502E-06   1.82322162E-06   8.57270265E-07   1.38206602E-09   1.07558333E-06   9.84716320E+00   -1.64994538E-01   -3.62981521E-02   1.06652878E-01   9.70821571E+00   -2.49500409E-01   4.37957793E-02   1.08156249E-01   9.66117764E+00   -1.69602826E-01   2.34000199E-02   1.08695559E-01   1.67553627E+00   2.07145725E+06   8.88689423E+00   1.67618394E+00   2.07379275E+06   8.91034031E+00   1.67611039E+00   2.07352375E+06   8.90764046E+00 
0 30 1.92739734E-07   3.06139987E-06   2.22340782E-06   1.78422022E-06   6.19180753E-07   1.70193570E-09   1.24878022E-06   1.02244339E+01   -1.87767118E-01   -5.50121553E-02   1.02839239E-01   9.98904228E+00   -3.18105489E-01   3.91539261E-02   1.05196439E-01   1.00214157E+01   -2.58942783E-01   -2.06243210E-02   1.04888357E-01   1.67707276E+00   2.05656688E+06   8.82985878E+00   1.67653489E+00   2.06177800E+06   8.84953690E+00   1.67645431E+00   2.06254362E+06   8.85242748E+00 
0 40 1.43229769E-07   2.65182803E-06   1.89678155E-06   1.58220257E-06   4.61578082E-07   1.25740085E-09   9.76034016E-07   1.03690786E+01   -2.03289703E-01   -7.53377154E-02   1.01555251E-01   1.00689325E+01   -3.32720727E-01   2.13020071E-02   1.04451887E-01   1.01322765E+01   -2.88828850E-01   -4.80420776E-02   1.03852592E-01   1.68079209E+00   2.01346075E+06   8.66708755E+00   1.68061090E+00   2.01597600E+06   8.67658520E+00   1.68043971E+00   2.01829525E+06   8.68534279E+00 
0 50 1.17302356E-07   2.50513540E-06   1.59961598E-06   1.39919291E-06   3.76515800E-07   9.74220926E-10   7.76588422E-07   1.03851719E+01   -2.26550907E-01   -7.64215142E-02   1.01505958E-01   1.00631657E+01   -2.98251480E-01   2.47784015E-02   1.04589731E-01   1.00888147E+01   -2.55372018E-01   -4.91609275E-02   1.04354776E-01   1.68341386E+00   1.96517038E+06   8.48473835E+00   1.68338299E+00   1.96598888E+06   8.48782921E+00   1.68331349E+00   1.96779100E+06   8.49463367E+00 
0 60 9.83650494E-08   2.50728976E-06   1.38367875E-06   1.22561585E-06   3.11871219E-07   9.00713615E-10   6.75986598E-07   1.03701315E+01   -2.11036906E-01   -6.50525540E-02   1.01753883E-01   1.00350742E+01   -2.44098455E-01   4.54695523E-02   1.04955904E-01   1.00310745E+01   -2.11877093E-01   -3.41384895E-02   1.05002247E-01   1.68437290E+00   1.92234288E+06   8.32301807E+00   1.68437552E+00   1.92197938E+06   8.32164574E+00   1.68436944E+00   1.92280238E+06   8.32475376E+00 
0 70 8.36548608E-08   2.42125816E-06   1.22753772E-06   1.09535608E-06   2.62218862E-07   8.79868400E-10   6.02729585E-07   1.03436661E+01   -1.87568381E-01   -7.68047348E-02   1.02143466E-01   1.00065002E+01   -1.77644014E-01   5.13951033E-02   1.05353780E-01   9.99487114E+00   -1.81898162E-01   -2.74849553E-02   1.05459251E-01   1.68413520E+00   1.88364988E+06   8.17691040E+00   1.68413281E+00   1.88352712E+06   8.17644691E+00   1.68413615E+00   1.88369938E+06   8.17709732E+00 
0 80 7.17048394E-08   2.22965127E-06   1.10690246E-06   1.00597379E-06   2.16990259E-07   9.08284226E-10   5.58785246E-07   1.02927942E+01   -1.64463282E-01   -9.76361334E-02   1.02783225E-01   9.96410942E+00   -1.24273755E-01   5.34380414E-02   1.05912060E-01   9.94434357E+00   -1.39282942E-01   -2.22203825E-02   1.06088564E-01   1.68305957E+00   1.84961375E+06   8.04838753E+00   1.68314540E+00   1.85161838E+06   8.05595684E+00   1.68311822E+00   1.85097825E+06   8.05353928E+00 
0 90 6.38041939E-08   2.03757645E-06   1.00870864E-06   9.36862591E-07   1.86877372E-07   9.34986977E-10   5.25100006E-07   1.02098646E+01   -1.47778511E-01   -1.06470495E-01   1.03736818E-01   9.91551971E+00   -9.17802453E-02   5.69219813E-02   1.06535435E-01   9.89221954E+00   -9.26663727E-02   -1.12885805E-02   1.06743068E-01   1.68162608E+00   1.82256212E+06   7.94623804E+00   1.68193889E+00   1.82771825E+06   7.96570778E+00   1.68183482E+00   1.82596812E+06   7.95909929E+00 
