RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 1 8.70237429E-08   4.47764933E-06   6.20775324E-07   6.69176870E-07   3.14426359E-07   1.27434333E-07   9.97722964E-05   9.94936657E+00   -1.72798913E-02   1.10213887E-02   1.05620652E-01   9.94788647E+00   -8.41146894E-03   -7.33365957E-03   1.05636105E-01   9.95842266E+00   -1.17146526E-03   4.74981312E-03   1.05524786E-01   1.68640375E+00   2.15215050E+06   9.69699287E+00   1.68640721E+00   2.15185400E+06   9.69401646E+00   1.68640232E+00   2.15226975E+06   9.69818878E+00 
0 10 2.62321322E-07   3.71317060E-06   1.82096653E-06   1.27338456E-06   9.03409386E-07   1.01993392E-09   9.39483073E-07   9.54856110E+00   -1.31199837E-01   6.91735819E-02   1.10049650E-01   9.53060913E+00   -3.86118479E-02   -4.28245626E-02   1.10278808E-01   9.59042835E+00   -6.27705604E-02   1.18537890E-02   1.09591559E-01   1.67913151E+00   2.08550175E+06   9.02788925E+00   1.67874467E+00   2.08384438E+06   9.01125050E+00   1.67917728E+00   2.08570050E+06   9.02988529E+00 
0 20 2.49006661E-07   3.40689189E-06   2.16213789E-06   1.78174787E-06   8.33633521E-07   1.34138345E-09   1.07282301E-06   9.78042507E+00   -2.03958690E-01   1.18366778E-01   1.07446037E-01   9.80673885E+00   -1.69328719E-01   -5.37887812E-02   1.07171565E-01   9.88651848E+00   -1.93931550E-01   -9.17371269E-03   1.06306143E-01   1.67563307E+00   2.07180188E+06   8.89035320E+00   1.67573059E+00   2.07215038E+06   8.89385223E+00   1.67559958E+00   2.07168238E+06   8.88915348E+00 
0 30 1.86667208E-07   2.97870247E-06   2.16625585E-06   1.73752460E-06   5.99925613E-07   1.59905855E-09   1.20159973E-06   1.01393738E+01   -2.57343709E-01   1.36792451E-01   1.03735335E-01   1.01578331E+01   -2.61409551E-01   -6.72006533E-02   1.03528239E-01   1.02355804E+01   -2.39939228E-01   -2.54349727E-02   1.02752082E-01   1.67699754E+00   2.05730638E+06   8.83265114E+00   1.67697847E+00   2.05749400E+06   8.83336067E+00   1.67687023E+00   2.05855125E+06   8.83735275E+00 
0 40 1.38669350E-07   2.57277338E-06   1.84428063E-06   1.53587530E-06   4.49103936E-07   1.20940724E-09   9.66897005E-07   1.03025875E+01   -3.18279713E-01   1.39311492E-01   1.02161862E-01   1.02546473E+01   -3.15737039E-01   -8.56261179E-02   1.02607541E-01   1.03451548E+01   -2.62123853E-01   -6.30266890E-02   1.01747505E-01   1.68079948E+00   2.01335788E+06   8.66669846E+00   1.68113351E+00   2.00854725E+06   8.64853287E+00   1.68064439E+00   2.01551562E+06   8.67484665E+00 
0 50 1.13629774E-07   2.42050987E-06   1.54368615E-06   1.35489245E-06   3.65922716E-07   9.58436663E-10   7.89376088E-07   1.03132105E+01   -2.92696893E-01   1.42033622E-01   1.02119915E-01   1.02451668E+01   -3.38674963E-01   -1.04436867E-01   1.02757297E-01   1.03601160E+01   -2.64764994E-01   -9.18806270E-02   1.01649590E-01   1.68340623E+00   1.96537225E+06   8.48550129E+00   1.68371320E+00   1.95645038E+06   8.45181084E+00   1.68342435E+00   1.96488962E+06   8.48367882E+00 
0 60 9.55691348E-08   2.41390148E-06   1.34391985E-06   1.19121455E-06   3.02937366E-07   8.85208629E-10   6.90317734E-07   1.02772007E+01   -2.48270258E-01   1.39694810E-01   1.02551438E-01   1.02379131E+01   -3.26591343E-01   -1.11174591E-01   1.02891475E-01   1.03795891E+01   -2.49840304E-01   -9.83135998E-02   1.01517268E-01   1.68436503E+00   1.92336538E+06   8.32687950E+00   1.68441188E+00   1.91101400E+06   8.28024006E+00   1.68439066E+00   1.91958038E+06   8.31258678E+00 
0 70 8.19260251E-08   2.32723528E-06   1.19583046E-06   1.06899108E-06   2.57269306E-07   8.73454864E-10   6.22601078E-07   1.02367783E+01   -2.04137251E-01   1.18567526E-01   1.03056043E-01   1.02255964E+01   -2.79563427E-01   -1.19885884E-01   1.03118069E-01   1.03936195E+01   -2.14655608E-01   -1.19964227E-01   1.01478264E-01   1.68417227E+00   1.88559912E+06   8.18427086E+00   1.68383276E+00   1.87109162E+06   8.12948895E+00   1.68405771E+00   1.87995700E+06   8.16296577E+00 
0 80 7.03416347E-08   2.14833904E-06   1.07610742E-06   9.79827860E-07   2.14115659E-07   8.98043251E-10   5.77421758E-07   1.01725502E+01   -1.47565141E-01   9.69094485E-02   1.03821658E-01   1.01792793E+01   -2.31035173E-01   -1.22652233E-01   1.03705615E-01   1.03734312E+01   -1.74746692E-01   -1.36566758E-01   1.01789936E-01   1.68315744E+00   1.85190538E+06   8.05704117E+00   1.68249285E+00   1.83772850E+06   8.00350761E+00   1.68291593E+00   1.84639662E+06   8.03623867E+00 
0 90 6.21053147E-08   1.96925089E-06   9.75016633E-07   9.10882250E-07   1.82535729E-07   9.16151932E-10   5.38172230E-07   1.00979900E+01   -9.47017521E-02   8.54643583E-02   1.04706511E-01   1.01267805E+01   -1.79224744E-01   -1.20942384E-01   1.04375564E-01   1.03335896E+01   -1.40206143E-01   -1.35173023E-01   1.02305487E-01   1.68176270E+00   1.82477575E+06   7.95459700E+00   1.68097639E+00   1.81270462E+06   7.90901518E+00   1.68149412E+00   1.82047362E+06   7.93835163E+00 
