RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 100 5.61208218E-08   1.79797507E-06   8.63682828E-07   8.19113211E-07   1.65486171E-07   9.10769016E-10   5.44814668E-07   1.00030632E+01   -1.09143905E-01   6.81704953E-02   1.05830565E-01   9.89974785E+00   -5.58762252E-02   4.71599028E-02   1.06842376E-01   9.88387871E+00   -4.21046168E-02   -2.62035020E-02   1.06977984E-01   1.68053758E+00   1.80656712E+06   7.88583994E+00   1.68072438E+00   1.80913450E+06   7.89553404E+00   1.67996168E+00   1.79902000E+06   7.85734081E+00 
0 110 4.79372169E-08   1.66826533E-06   8.13986219E-07   7.80264372E-07   1.42007011E-07   9.15581999E-10   5.00813314E-07   9.98597813E+00   -9.21328589E-02   6.18157014E-02   1.06127016E-01   9.90151215E+00   -3.85809168E-02   3.52248698E-02   1.06928237E-01   9.87547302E+00   -3.22466083E-02   -3.16716656E-02   1.07172370E-01   1.67987990E+00   1.79798775E+06   7.85344315E+00   1.68003905E+00   1.80000375E+06   7.86105585E+00   1.67939794E+00   1.79209112E+06   7.83117723E+00 
0 120 4.04025720E-08   1.54259692E-06   7.82594554E-07   7.61936974E-07   1.19033615E-07   9.30288457E-10   4.65734814E-07   9.98173523E+00   -8.08674842E-02   5.66706471E-02   1.06280334E-01   9.91251850E+00   -3.28845382E-02   2.18390077E-02   1.06909819E-01   9.87778664E+00   -2.81723216E-02   -4.00740989E-02   1.07244805E-01   1.67951608E+00   1.79350862E+06   7.83652973E+00   1.67962217E+00   1.79479788E+06   7.84139776E+00   1.67902625E+00   1.78773375E+06   7.81472349E+00 
0 130 3.66377719E-08   1.42414638E-06   7.54581606E-07   7.43240491E-07   1.07335509E-07   9.54366364E-10   4.42980308E-07   9.97005081E+00   -7.47870132E-02   5.80845661E-02   1.06504023E-01   9.90848827E+00   -3.18939164E-02   1.80489421E-02   1.07049420E-01   9.87486553E+00   -2.34720148E-02   -4.54140753E-02   1.07371949E-01   1.67896688E+00   1.78705325E+06   7.81215382E+00   1.67908537E+00   1.78841775E+06   7.81730604E+00   1.67837942E+00   1.78049688E+06   7.78739643E+00 
0 140 3.35344552E-08   1.32546688E-06   7.18554475E-07   7.14150701E-07   9.65365459E-08   9.73343406E-10   4.24173123E-07   9.94164371E+00   -7.15443194E-02   6.79169074E-02   1.06897481E-01   9.88536167E+00   -3.12491506E-02   2.88283452E-02   1.07393928E-01   9.85911083E+00   -1.72845684E-02   -4.21717204E-02   1.07639559E-01   1.67795980E+00   1.77600800E+06   7.77044582E+00   1.67819798E+00   1.77853712E+06   7.77999592E+00   1.67726946E+00   1.76893000E+06   7.74371862E+00 
0 150 3.07382102E-08   1.24263431E-06   6.67534437E-07   6.78512095E-07   8.73525607E-08   9.73467640E-10   4.00574152E-07   9.90524197E+00   -7.06931949E-02   8.22180361E-02   1.07367717E-01   9.85498619E+00   -3.13545018E-02   4.88337614E-02   1.07817769E-01   9.83387184E+00   -1.34413373E-02   -3.16035263E-02   1.08010799E-01   1.67656851E+00   1.76208450E+06   7.71786976E+00   1.67700052E+00   1.76626588E+06   7.73365879E+00   1.67585039E+00   1.75538288E+06   7.69256353E+00 
0 160 2.99757765E-08   1.16251874E-06   6.05923049E-07   6.35226570E-07   8.75158790E-08   9.57217305E-10   3.72143859E-07   9.87666035E+00   -7.19448850E-02   9.45969149E-02   1.07741654E-01   9.83359241E+00   -3.17327641E-02   6.64836019E-02   1.08140506E-01   9.80945110E+00   -1.59198847E-02   -2.10795868E-02   1.08368613E-01   1.67588294E+00   1.74670612E+06   7.66856670E+00   1.67573726E+00   1.75435250E+06   7.68867254E+00   1.67652750E+00   1.73710738E+06   7.64759779E+00 
0 170 2.86574551E-08   1.08229835E-06   5.47107334E-07   5.82569783E-07   8.51765094E-08   9.39196276E-10   3.45842551E-07   9.86480713E+00   -7.31997415E-02   9.97492820E-02   1.07916035E-01   9.82865715E+00   -3.09846681E-02   7.30303377E-02   1.08270518E-01   9.79507160E+00   -2.35523898E-02   -1.76013988E-02   1.08602047E-01   1.67693663E+00   1.73078300E+06   7.63378191E+00   1.67634547E+00   1.73986300E+06   7.65361738E+00   1.67741358E+00   1.72315275E+06   7.61711311E+00 
0 180 2.49409862E-08   1.00546629E-06   4.99533485E-07   5.27635336E-07   7.22012885E-08   9.26014376E-10   3.25600496E-07   9.86673069E+00   -7.29122832E-02   9.57625061E-02   1.07917927E-01   9.83576298E+00   -2.86564399E-02   6.75787032E-02   1.08247772E-01   9.79188061E+00   -3.14031281E-02   -2.26667635E-02   1.08690523E-01   1.67749929E+00   1.72175012E+06   7.61404896E+00   1.67704129E+00   1.72913400E+06   7.63017941E+00   1.67788172E+00   1.71536688E+06   7.60010481E+00 
0 190 2.18030678E-08   9.28077156E-07   4.61440663E-07   4.78771142E-07   6.05953900E-08   9.16170528E-10   3.11705747E-07   9.87298584E+00   -7.08294213E-02   8.56176242E-02   1.07851177E-01   9.84580231E+00   -2.59707570E-02   5.67486659E-02   1.08168811E-01   9.79208183E+00   -3.41463275E-02   -3.13710645E-02   1.08718425E-01   1.67779398E+00   1.71685062E+06   7.60334587E+00   1.67752147E+00   1.72138612E+06   7.61325407E+00   1.67813253E+00   1.71105812E+06   7.59069204E+00 
