RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 1 8.49620108E-08   4.38616280E-06   5.97341625E-07   6.36323932E-07   3.09244143E-07   1.24323620E-07   9.72473063E-05   9.93928623E+00   -2.85805445E-02   1.65443495E-02   1.05727144E-01   9.93360329E+00   -2.19513495E-02   9.73059144E-03   1.05787031E-01   9.94759464E+00   -6.29616017E-03   -7.42334232E-04   1.05638802E-01   1.68640256E+00   2.15225550E+06   9.69804478E+00   1.68639970E+00   2.15246950E+06   9.70019531E+00   1.68640053E+00   2.15241100E+06   9.69960690E+00 
0 10 2.52705320E-07   3.63836602E-06   1.73094600E-06   1.23624670E-06   8.70803490E-07   9.97070204E-10   2.27022542E-06   9.52121735E+00   -1.50215521E-01   9.11437199E-02   1.10353962E-01   9.45254421E+00   -6.26206473E-02   7.10420758E-02   1.11121982E-01   9.55824375E+00   -1.19281918E-01   3.11426399E-03   1.09911866E-01   1.67912090E+00   2.08545538E+06   9.02742481E+00   1.67957079E+00   2.08743775E+06   9.04732513E+00   1.67965150E+00   2.08780012E+06   9.05096340E+00 
0 20 2.41253645E-07   3.32544187E-06   2.09499467E-06   1.73916658E-06   8.08840639E-07   1.37158307E-09   1.98640373E-06   9.81301212E+00   -2.91895837E-01   1.15599483E-01   1.07059687E-01   9.67357731E+00   -1.82527393E-01   1.30608559E-01   1.08520269E-01   9.71059513E+00   -1.85757339E-01   -1.15742292E-02   1.08175591E-01   1.67554414E+00   2.07148512E+06   8.88717270E+00   1.67625129E+00   2.07403988E+06   8.91282177E+00   1.67636633E+00   2.07446362E+06   8.91707516E+00 
0 30 1.82360012E-07   2.90492244E-06   2.10558278E-06   1.70598582E-06   5.86716340E-07   1.67047243E-09   1.82538986E-06   1.01425791E+01   -3.63680631E-01   1.06800742E-01   1.03626594E-01   1.00694294E+01   -2.50112981E-01   1.62103161E-01   1.04357369E-01   9.97144127E+00   -2.42033854E-01   -3.73105071E-02   1.05421171E-01   1.67699134E+00   2.05736688E+06   8.83288002E+00   1.67656124E+00   2.06152788E+06   8.84859276E+00   1.67613018E+00   2.06558375E+06   8.86390781E+00 
0 40 1.35170737E-07   2.51907409E-06   1.78887490E-06   1.51277595E-06   4.35736268E-07   1.25345556E-09   1.46686330E-06   1.01990395E+01   -3.61230254E-01   1.08451262E-01   1.03128999E-01   1.02308397E+01   -3.15036654E-01   1.54400364E-01   1.02817513E-01   1.00738907E+01   -2.77042598E-01   -5.80175556E-02   1.04428723E-01   1.68081498E+00   2.01313875E+06   8.66587162E+00   1.68063021E+00   2.01570988E+06   8.67558002E+00   1.67999828E+00   2.02405825E+06   8.70710373E+00 
0 50 1.10714865E-07   2.37509403E-06   1.50427081E-06   1.34261779E-06   3.55355382E-07   9.93548022E-10   1.20290542E-06   1.01843920E+01   -3.28087419E-01   1.09939568E-01   1.03327572E-01   1.02077417E+01   -3.10329765E-01   1.55906290E-01   1.03114754E-01   1.00677853E+01   -2.73675323E-01   -4.96324711E-02   1.04546428E-01   1.68343711E+00   1.96454475E+06   8.48237610E+00   1.68332076E+00   1.96760500E+06   8.49393177E+00   1.68296790E+00   1.97600088E+06   8.52563572E+00 
0 60 9.31882127E-08   2.37658401E-06   1.30608043E-06   1.17602372E-06   2.96050104E-07   9.11652975E-10   1.02661272E-06   1.01558132E+01   -2.68121094E-01   1.07452683E-01   1.03692271E-01   1.01384382E+01   -2.60335654E-01   1.51479453E-01   1.03898026E-01   1.00249176E+01   -2.40543544E-01   -3.02805472E-02   1.05053909E-01   1.68437803E+00   1.92162025E+06   8.32028961E+00   1.68432987E+00   1.92708650E+06   8.34093094E+00   1.68425989E+00   1.93262138E+06   8.36183071E+00 
0 70 7.92859609E-08   2.29701186E-06   1.15905232E-06   1.04774085E-06   2.49658285E-07   8.99691655E-10   8.95548055E-07   1.01213398E+01   -2.11148307E-01   9.40976739E-02   1.04147971E-01   1.00920353E+01   -1.96552172E-01   1.22563355E-01   1.04502365E-01   9.97804737E+00   -1.88603431E-01   -2.66349930E-02   1.05646141E-01   1.68410540E+00   1.88217650E+06   8.17134666E+00   1.68424761E+00   1.89010175E+06   8.20127296E+00   1.68431175E+00   1.89484250E+06   8.21917439E+00 
0 80 6.80688146E-08   2.12456780E-06   1.04142566E-06   9.57287170E-07   2.06697379E-07   9.22120769E-10   7.96370671E-07   1.00670767E+01   -1.58898920E-01   8.20813030E-02   1.04823478E-01   1.00360222E+01   -1.38258278E-01   9.36208516E-02   1.05213940E-01   9.91779900E+00   -1.40718937E-01   -2.52712127E-02   1.06399782E-01   1.68296361E+00   1.84744775E+06   8.04020882E+00   1.68333578E+00   1.85632300E+06   8.07372189E+00   1.68358755E+00   1.86324025E+06   8.09984207E+00 
0 90 6.11261939E-08   1.94633776E-06   9.45468059E-07   8.90822264E-07   1.79568929E-07   9.39445632E-10   7.14729481E-07   1.00064068E+01   -1.05990425E-01   7.66813383E-02   1.05576850E-01   9.96656227E+00   -8.73404220E-02   8.20622146E-02   1.06061235E-01   9.85150051E+00   -9.84874442E-02   -2.15254202E-02   1.07227534E-01   1.68150616E+00   1.82066062E+06   7.93905783E+00   1.68201482E+00   1.82902012E+06   7.97062397E+00   1.68255901E+00   1.83901500E+06   8.00836563E+00 
0 100 5.60534872E-08   1.79832682E-06   8.70056738E-07   8.35295339E-07   1.65562597E-07   9.43974787E-10   6.41814950E-07   9.97118187E+00   -6.75558597E-02   7.09297135E-02   1.06069610E-01   9.91749096E+00   -5.60186654E-02   7.97750279E-02   1.06694020E-01   9.81021404E+00   -6.33007362E-02   -2.21919604E-02   1.07789807E-01   1.68034995E+00   1.80405062E+06   7.87633705E+00   1.68088722E+00   1.81142738E+06   7.90419245E+00   1.68169188E+00   1.82362162E+06   7.95023870E+00 
