RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 1.12474787E-07   2.82788801E-06   2.64470685E-07   5.16289674E-07   4.12319565E-07   2.05486927E-07   1.34476155E-04   1.19122095E+01   -1.14549501E-02   -3.52807082E-02   1.05857342E-01   1.19137058E+01   -4.94777318E-03   1.97235234E-02   1.05844490E-01   1.67732584E+00   2.27568625E+06   1.16276197E+01   1.67722690E+00   2.27596525E+06   1.16343193E+01 
0 10 9.17031286E-08   1.91458798E-06   5.45858313E-07   5.85519331E-07   3.07359102E-07   2.10372608E-09   1.53225835E-06   1.16451092E+01   -5.21726310E-02   -2.04209805E-01   1.08314626E-01   1.16445284E+01   -4.58270870E-02   1.55219957E-01   1.08327433E-01   1.68125045E+00   2.25476875E+06   1.11253691E+01   1.68122303E+00   2.25568300E+06   1.11473246E+01 
0 20 4.55799487E-08   1.31321997E-06   4.63249762E-07   4.17529748E-07   1.68576790E-07   1.82478543E-09   1.36866493E-06   1.18888054E+01   -7.95782954E-02   -2.86905915E-01   1.06329359E-01   1.18629723E+01   -2.88310368E-02   2.06973985E-01   1.06555842E-01   1.68126667E+00   2.25312900E+06   1.10859966E+01   1.68126416E+00   2.25391750E+06   1.11049290E+01 
0 30 3.61763846E-08   1.03813397E-06   3.45069793E-07   3.33207424E-07   1.18161658E-07   1.58977564E-09   1.27537498E-06   1.17484102E+01   -9.31112692E-02   -2.95329660E-01   1.07801594E-01   1.17522421E+01   -4.73652892E-02   2.36244649E-01   1.07768849E-01   1.68038976E+00   2.24277175E+06   1.08373108E+01   1.68067956E+00   2.24468850E+06   1.08833351E+01 
0 40 2.56708166E-08   8.85717782E-07   3.08918146E-07   3.23044219E-07   8.21789499E-08   1.41931322E-09   1.10311601E-06   1.17460690E+01   -8.61819983E-02   -2.39861697E-01   1.08062662E-01   1.17368717E+01   -2.11897418E-02   2.48534754E-01   1.08146846E-01   1.67902362E+00   2.23645025E+06   1.06855259E+01   1.67951000E+00   2.23839100E+06   1.07321234E+01 
0 50 1.78448580E-08   7.68278085E-07   2.65527518E-07   2.66672743E-07   5.67191343E-08   1.29617184E-09   9.46127159E-07   1.17769909E+01   -8.22168142E-02   -2.46121317E-01   1.08078562E-01   1.17582064E+01   -1.29249515E-02   2.16941997E-01   1.08220115E-01   1.67772615E+00   2.23212525E+06   1.05816793E+01   1.67842448E+00   2.23433050E+06   1.06346264E+01 
0 60 1.53417794E-08   6.49328229E-07   2.25044815E-07   2.28791464E-07   4.63753835E-08   1.19461840E-09   8.34644936E-07   1.17441368E+01   -6.86451495E-02   -2.57094771E-01   1.08599260E-01   1.17266941E+01   -7.32239103E-03   1.81374207E-01   1.08700529E-01   1.67637777E+00   2.22841400E+06   1.04925699E+01   1.67730951E+00   2.23091300E+06   1.05525723E+01 
0 70 1.13370540E-08   5.55088434E-07   1.93256696E-07   1.94531978E-07   3.51846516E-08   1.11068843E-09   7.41714189E-07   1.17442856E+01   -7.16122240E-02   -2.51910239E-01   1.08761005E-01   1.17200975E+01   4.21417964E-04   1.74931809E-01   1.08866751E-01   1.67558336E+00   2.22646675E+06   1.04458122E+01   1.67658043E+00   2.22893575E+06   1.05050974E+01 
0 80 8.59532001E-09   4.93152015E-07   1.70233960E-07   1.73741711E-07   2.61036881E-08   1.03320152E-09   6.61040303E-07   1.17523661E+01   -7.93424100E-02   -2.50010520E-01   1.08784869E-01   1.17233896E+01   -1.14655786E-03   1.84647337E-01   1.08864777E-01   1.67605639E+00   2.22427175E+06   1.04210348E+01   1.67612600E+00   2.22778100E+06   1.04773684E+01 
0 90 7.05775172E-09   4.45185378E-07   1.50449509E-07   1.52174110E-07   2.14624460E-08   9.61754010E-10   5.95091933E-07   1.17484703E+01   -8.44184831E-02   -2.42436275E-01   1.08856373E-01   1.17191877E+01   -7.56014560E-05   1.94635674E-01   1.08881183E-01   1.67693496E+00   2.22100325E+06   1.03882217E+01   1.67565072E+00   2.22662625E+06   1.04496450E+01 
