RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 150 4.70070738E-09   2.54178701E-07   1.05536998E-07   5.72433798E-08   1.39684468E-08   6.51749488E-10   3.58943026E-07   1.02771463E+01   -4.19665909E+00   -3.30447644E-01   1.15429424E-01   1.05239964E+01   -4.08385849E+00   -3.33825171E-01   1.13570355E-01   1.68297541E+00   2.19232850E+06   1.01003494E+01   1.67837918E+00   2.21528200E+06   1.03307838E+01 
0 160 3.96616517E-09   2.37732863E-07   9.79479253E-08   5.02039832E-08   1.13226148E-08   6.26033281E-10   3.34214747E-07   1.02623215E+01   -4.19620323E+00   -3.32537532E-01   1.15592383E-01   1.05165281E+01   -4.08029699E+00   -3.33934635E-01   1.13677844E-01   1.68339574E+00   2.18958975E+06   1.00728540E+01   1.67870724E+00   2.21391275E+06   1.03170376E+01 
0 170 3.14795301E-09   2.23262219E-07   9.13097722E-08   4.42789947E-08   8.66717720E-09   6.05104467E-10   3.11467460E-07   1.02549791E+01   -4.19259930E+00   -3.33547533E-01   1.15693510E-01   1.05094919E+01   -4.07797241E+00   -3.36562723E-01   1.13772713E-01   1.68370306E+00   2.18746475E+06   1.00515203E+01   1.67898798E+00   2.21271700E+06   1.03050346E+01 
0 180 2.71115996E-09   2.09752770E-07   8.57062759E-08   3.90713950E-08   7.53110996E-09   5.87080606E-10   2.90585263E-07   1.02530289E+01   -4.18615007E+00   -3.32296252E-01   1.15752332E-01   1.05036030E+01   -4.07653141E+00   -3.38944614E-01   1.13850370E-01   1.68393755E+00   2.18576150E+06   1.00344219E+01   1.67922699E+00   2.21168150E+06   1.02946386E+01 
0 190 2.58519650E-09   1.96696234E-07   8.09392873E-08   3.45192213E-08   7.39362394E-09   5.70589298E-10   2.71232466E-07   1.02567749E+01   -4.17670202E+00   -3.29863429E-01   1.15766764E-01   1.04986982E+01   -4.07544279E+00   -3.39394271E-01   1.13915682E-01   1.68410492E+00   2.18449600E+06   1.00217152E+01   1.67943704E+00   2.21075750E+06   1.02853603E+01 
0 200 2.46395038E-09   1.84554281E-07   7.67448114E-08   3.07437986E-08   7.08646164E-09   5.54836288E-10   2.53088871E-07   1.02671709E+01   -4.16419220E+00   -3.27084213E-01   1.15728110E-01   1.04942350E+01   -4.07397079E+00   -3.37768435E-01   1.13977738E-01   1.68419695E+00   2.18378050E+06   1.00145330E+01   1.67963350E+00   2.20987975E+06   1.02765503E+01 
0 210 2.25848207E-09   1.73728353E-07   7.30217380E-08   2.76690244E-08   6.38025321E-09   5.39672695E-10   2.36143592E-07   1.02834129E+01   -4.14904404E+00   -3.24448198E-01   1.15642585E-01   1.04893656E+01   -4.07185268E+00   -3.35174501E-01   1.14046037E-01   1.68421745E+00   2.18361925E+06   1.00129147E+01   1.67983329E+00   2.20897450E+06   1.02674618E+01 
0 220 2.03049377E-09   1.63933436E-07   6.96109410E-08   2.50377319E-08   5.58754554E-09   5.24899402E-10   2.20195943E-07   1.03029346E+01   -4.13209867E+00   -3.22688401E-01   1.15531594E-01   1.04835253E+01   -4.06922340E+00   -3.33173990E-01   1.14124984E-01   1.68418682E+00   2.18386000E+06   1.00153313E+01   1.68004453E+00   2.20800275E+06   1.02577057E+01 
0 230 1.84220927E-09   1.54858114E-07   6.62021975E-08   2.28549908E-08   5.03390396E-09   5.10517628E-10   2.05025842E-07   1.03232393E+01   -4.11444998E+00   -3.22455794E-01   1.15414828E-01   1.04771013E+01   -4.06645966E+00   -3.32679451E-01   1.14208825E-01   1.68412685E+00   2.18432675E+06   1.00200176E+01   1.68025684E+00   2.20700900E+06   1.02477283E+01 
0 240 1.77208392E-09   1.46503808E-07   6.26035046E-08   2.10078710E-08   5.08628029E-09   4.96739982E-10   1.90593752E-07   1.03430929E+01   -4.09735918E+00   -3.23676050E-01   1.15299143E-01   1.04709902E+01   -4.06399679E+00   -3.33356589E-01   1.14286989E-01   1.68404758E+00   2.18493400E+06   1.00261145E+01   1.68045032E+00   2.20608900E+06   1.02384939E+01 
