V_Magnitude,arc_length
8.6385,108
8.6385,108.3
8.6385,108.6
8.6385,108.9
8.6385,109.2
8.6385,109.5
8.6385,109.8
8.6385,110.1
8.6385,110.4
8.6385,110.7
8.6385,111
8.6385,111.3
8.6385,111.6
8.6385,111.9
8.6385,112.2
8.6385,112.5
8.53607,112.8
8.53607,113.1
8.53607,113.4
8.53607,113.7
8.53607,114
8.53607,114.3
8.53607,114.6
8.53607,114.9
8.53607,115.2
8.53607,115.5
8.53607,115.8
8.53607,116.1
8.53607,116.4
8.53607,116.7
8.53607,117
8.53607,117.3
8.53607,117.6
8.53607,117.9
8.53607,118.2
8.53607,118.5
8.44794,118.8
8.44794,119.1
8.44794,119.4
8.44794,119.7
8.44794,120
8.44794,120.3
8.44794,120.6
8.44794,120.9
8.44794,121.2
8.44794,121.5
8.44794,121.8
8.44794,122.1
8.44794,122.4
8.44794,122.7
8.44794,123
8.44794,123.3
8.44794,123.6
8.44794,123.9
8.44794,124.2
8.44794,124.5
8.44794,124.8
8.37848,125.1
8.37848,125.4
8.37848,125.7
8.37848,126
8.37848,126.3
8.37848,126.6
8.37848,126.9
8.37848,127.2
8.37848,127.5
8.37848,127.8
8.37848,128.1
8.37848,128.4
8.37848,128.7
8.37848,129
8.37848,129.3
8.37848,129.6
8.37848,129.9
8.37848,130.2
8.37848,130.5
8.37848,130.8
8.37848,131.1
8.33008,131.4
8.33008,131.7
8.33008,132
8.33008,132.3
8.33008,132.6
8.33008,132.9
8.33008,133.2
8.33008,133.5
8.33008,133.8
8.33008,134.1
8.33008,134.4
8.33008,134.7
8.33008,135
8.33008,135.3
8.33008,135.6
8.33008,135.9
8.33008,136.2
8.33008,136.5
8.33008,136.8
8.33008,137.1
8.33008,137.4
8.30354,137.7
8.30354,138
8.30354,138.3
8.30354,138.6
8.30354,138.9
8.30354,139.2
8.30354,139.5
8.30354,139.8
8.30354,140.1
8.30354,140.4
8.30354,140.7
8.30354,141
8.30354,141.3
8.30354,141.6
8.30354,141.9
8.30354,142.2
8.30354,142.5
8.30354,142.8
8.30354,143.1
8.30354,143.4
8.30354,143.7
8.29973,144
8.29973,144.3
8.29973,144.6
8.29973,144.9
8.29973,145.2
8.29973,145.5
8.29973,145.8
8.29973,146.1
8.29973,146.4
8.29973,146.7
8.29973,147
8.29973,147.3
8.29973,147.6
8.29973,147.9
8.29973,148.2
8.29973,148.5
8.29973,148.8
8.29973,149.1
8.29973,149.4
8.29973,149.7
8.31819,150
8.31819,150.3
8.31819,150.6
8.31819,150.9
8.31819,151.2
8.31819,151.5
8.31819,151.8
8.31819,152.1
8.31819,152.4
8.31819,152.7
8.31819,153
8.31819,153.3
8.31819,153.6
8.31819,153.9
8.31819,154.2
8.31819,154.5
8.31819,154.8
8.31819,155.1
8.31819,155.4
8.31819,155.7
8.31819,156
8.35799,156.3
8.35799,156.6
8.35799,156.9
8.35799,157.2
8.35799,157.5
8.35799,157.8
8.35799,158.1
8.35799,158.4
8.35799,158.7
8.35799,159
8.35799,159.3
8.35799,159.6
8.35799,159.9
8.35799,160.2
8.35799,160.5
8.35799,160.8
8.35799,161.1
8.35799,161.4
8.35799,161.7
8.35799,162
8.35799,162.3
8.41717,162.6
8.41717,162.9
8.41717,163.2
8.41717,163.5
8.41717,163.8
8.41717,164.1
8.41717,164.4
8.41717,164.7
8.41717,165
8.41717,165.3
8.41717,165.6
8.41717,165.9
8.41717,166.2
8.41717,166.5
8.41717,166.8
8.41717,167.1
8.41717,167.4
8.41717,167.7
8.41717,168
8.41717,168.3
8.41717,168.6
8.49329,168.9
8.49329,169.2
8.49329,169.5
8.49329,169.8
8.49329,170.1
8.49329,170.4
8.49329,170.7
8.49329,171
8.49329,171.3
8.49329,171.6
8.49329,171.9
8.49329,172.2
8.49329,172.5
8.49329,172.8
8.49329,173.1
8.49329,173.4
8.49329,173.7
8.49329,174
8.49329,174.3
8.49329,174.6
8.49329,174.9
8.58379,175.2
8.58379,175.5
8.58379,175.8
8.58379,176.1
8.58379,176.4
8.58379,176.7
8.58379,177
8.58379,177.3
8.58379,177.6
8.58379,177.9
8.58379,178.2
8.58379,178.5
8.58379,178.8
8.58379,179.1
8.58379,179.4
8.58379,179.7
8.58379,180
8.58379,180.3
8.58379,180.6
8.58379,180.9
8.58379,181.2
8.68636,181.5
8.68636,181.8
8.68636,182.1
8.68636,182.4
8.68636,182.7
8.68636,183
8.68636,183.3
8.68636,183.6
8.68636,183.9
8.68636,184.2
8.68636,184.5
8.68636,184.8
8.68636,185.1
8.68636,185.4
8.68636,185.7
8.68636,186
8.68636,186.3
8.68636,186.6
8.68636,186.9
8.68636,187.2
8.68636,187.5
8.7967,187.8
8.7967,188.1
8.7967,188.4
8.7967,188.7
8.7967,189
8.7967,189.3
8.7967,189.6
8.7967,189.9
8.7967,190.2
8.7967,190.5
8.7967,190.8
8.7967,191.1
8.7967,191.4
8.7967,191.7
8.7967,192
8.7967,192.3
8.7967,192.6
8.7967,192.9
8.7967,193.2
8.7967,193.5
8.91089,193.8
8.91089,194.1
8.91089,194.4
8.91089,194.7
8.91089,195
8.91089,195.3
8.91089,195.6
8.91089,195.9
8.91089,196.2
8.91089,196.5
8.91089,196.8
8.91089,197.1
8.91089,197.4
8.91089,197.7
8.91089,198
8.91089,198.3
8.91089,198.6
8.91089,198.9
8.91089,199.2
8.91089,199.5
8.91089,199.8
9.02732,200.1
9.02732,200.4
9.02732,200.7
9.02732,201
9.02732,201.3
9.02732,201.6
9.02732,201.9
9.02732,202.2
9.02732,202.5
9.02732,202.8
9.02732,203.1
9.02732,203.4
9.02732,203.7
9.02732,204
9.02732,204.3
9.02732,204.6
9.02732,204.9
9.02732,205.2
9.02732,205.5
9.02732,205.8
9.02732,206.1
9.1432,206.4
9.1432,206.7
9.1432,207
9.1432,207.3
9.1432,207.6
9.1432,207.9
9.1432,208.2
9.1432,208.5
9.1432,208.8
9.1432,209.1
9.1432,209.4
9.1432,209.7
9.1432,210
9.1432,210.3
9.1432,210.6
9.1432,210.9
9.1432,211.2
9.1432,211.5
9.1432,211.8
9.1432,212.1
9.1432,212.4
9.2546,212.7
9.2546,213
9.2546,213.3
9.2546,213.6
9.2546,213.9
