V_Magnitude,arc_length
10.0297,0
10.0297,0.300003
10.0297,0.600006
10.0297,0.899994
10.0297,1.2
10.0297,1.5
10.0297,1.8
10.0297,2.10001
10.0297,2.39999
10.0297,2.7
10.0297,3
10.0297,3.3
10.0297,3.60001
10.0297,3.89999
10.0297,4.2
10.0297,4.5
10.0297,4.8
10.0297,5.10001
10.0297,5.39999
10.0297,5.7
10.0297,6
10.0297,6.3
10.0297,6.60001
10.0297,6.89999
10.0297,7.2
10.0297,7.5
10.0297,7.8
10.0297,8.10001
10.0297,8.39999
10.0297,8.7
10.0297,9
10.0297,9.3
10.0297,9.60001
10.0297,9.89999
10.0297,10.2
10.0297,10.5
10.0297,10.8
10.0297,11.1
10.0297,11.4
10.0297,11.7
10.0297,12
10.0297,12.3
10.024,12.6
10.024,12.9
10.024,13.2
10.024,13.5
10.024,13.8
10.024,14.1
10.024,14.4
10.024,14.7
10.024,15
10.024,15.3
10.024,15.6
10.024,15.9
10.024,16.2
10.024,16.5
10.024,16.8
10.024,17.1
10.024,17.4
10.024,17.7
10.024,18
10.024,18.3
10.024,18.6
10.024,18.9
10.024,19.2
10.024,19.5
10.024,19.8
10.024,20.1
10.024,20.4
10.024,20.7
10.024,21
10.024,21.3
10.024,21.6
10.024,21.9
10.024,22.2
10.024,22.5
10.024,22.8
10.024,23.1
10.024,23.4
10.024,23.7
10.024,24
10.024,24.3
10.024,24.6
10.024,24.9
10.0081,25.2
10.0081,25.5
10.0081,25.8
10.0081,26.1
10.0081,26.4
10.0081,26.7
10.0081,27
10.0081,27.3
10.0081,27.6
10.0081,27.9
10.0081,28.2
10.0081,28.5
10.0081,28.8
10.0081,29.1
10.0081,29.4
10.0081,29.7
10.0081,30
10.0081,30.3
10.0081,30.6
10.0081,30.9
10.0081,31.2
10.0081,31.5
10.0081,31.8
10.0081,32.1
10.0081,32.4
10.0081,32.7
10.0081,33
10.0081,33.3
10.0081,33.6
10.0081,33.9
10.0081,34.2
10.0081,34.5
10.0081,34.8
10.0081,35.1
10.0081,35.4
10.0081,35.7
10.0081,36
10.0081,36.3
10.0081,36.6
10.0081,36.9
10.0081,37.2
10.0081,37.5
9.96569,37.8
9.96569,38.1
9.96569,38.4
9.96569,38.7
9.96569,39
9.96569,39.3
9.96569,39.6
9.96569,39.9
9.96569,40.2
9.96569,40.5
9.96569,40.8
9.96569,41.1
9.96569,41.4
9.96569,41.7
9.96569,42
9.96569,42.3
9.96569,42.6
9.96569,42.9
9.96569,43.2
9.96569,43.5
9.96569,43.8
9.96569,44.1
9.96569,44.4
9.96569,44.7
9.96569,45
9.96569,45.3
9.96569,45.6
9.96569,45.9
9.96569,46.2
9.96569,46.5
9.96569,46.8
9.96569,47.1
9.96569,47.4
9.96569,47.7
9.96569,48
9.96569,48.3
9.96569,48.6
9.96569,48.9
9.96569,49.2
9.96569,49.5
9.96569,49.8
9.86454,50.1
9.86454,50.4
9.86454,50.7
9.86454,51
9.86454,51.3
9.86454,51.6
9.86454,51.9
9.86454,52.2
9.86454,52.5
9.86454,52.8
9.86454,53.1
9.86454,53.4
9.86454,53.7
9.86454,54
9.86454,54.3
9.86454,54.6
9.86454,54.9
9.86454,55.2
9.86454,55.5
9.86454,55.8
9.86454,56.1
9.86454,56.4
9.86454,56.7
9.86454,57
9.86454,57.3
9.86454,57.6
9.86454,57.9
9.86454,58.2
9.86454,58.5
9.86454,58.8
9.86454,59.1
9.86454,59.4
9.86454,59.7
9.86454,60
9.86454,60.3
9.86454,60.6
9.86454,60.9
9.86454,61.2
9.86454,61.5
9.86454,61.8
9.86454,62.1
9.86454,62.4
9.65382,62.7
9.65382,63
9.65382,63.3
9.65382,63.6
9.65382,63.9
9.65382,64.2
9.65382,64.5
9.65382,64.8
9.65382,65.1
9.65382,65.4
9.65382,65.7
9.65382,66
9.65382,66.3
9.65382,66.6
9.65382,66.9
9.65382,67.2
9.65382,67.5
9.65382,67.8
9.65382,68.1
9.65382,68.4
9.65382,68.7
9.65382,69
9.65382,69.3
9.65382,69.6
9.65382,69.9
9.65382,70.2
9.65382,70.5
9.65382,70.8
9.65382,71.1
9.65382,71.4
9.65382,71.7
9.65382,72
9.65382,72.3
9.65382,72.6
9.65382,72.9
9.65382,73.2
9.65382,73.5
9.65382,73.8
9.65382,74.1
9.65382,74.4
9.65382,74.7
9.65382,75
9.27192,75.3
