V_Magnitude,arc_length
9.95945,0
9.95945,0.300003
9.95945,0.600006
9.95945,0.899994
9.95945,1.2
9.95945,1.5
9.95945,1.8
9.95945,2.10001
9.95945,2.39999
9.95945,2.7
9.95945,3
9.95945,3.3
9.95945,3.60001
9.95945,3.89999
9.95945,4.2
9.95945,4.5
9.95945,4.8
9.95945,5.10001
9.95945,5.39999
9.95945,5.7
9.95945,6
9.96373,6.3
9.96373,6.60001
9.96373,6.89999
9.96373,7.2
9.96373,7.5
9.96373,7.8
9.96373,8.10001
9.96373,8.39999
9.96373,8.7
9.96373,9
9.96373,9.3
9.96373,9.60001
9.96373,9.89999
9.96373,10.2
9.96373,10.5
9.96373,10.8
9.96373,11.1
9.96373,11.4
9.96373,11.7
9.96373,12
9.96373,12.3
9.96373,12.6
9.96373,12.9
9.96373,13.2
9.96373,13.5
9.96373,13.8
9.96373,14.1
9.96373,14.4
9.96373,14.7
9.96373,15
9.96373,15.3
9.96373,15.6
9.96373,15.9
9.96373,16.2
9.96373,16.5
9.96373,16.8
9.96373,17.1
9.96373,17.4
9.96373,17.7
9.96182,18
9.96182,18.3
9.96182,18.6
9.96182,18.9
9.96182,19.2
9.96182,19.5
9.96182,19.8
9.96182,20.1
9.96182,20.4
9.96182,20.7
9.96182,21
9.96182,21.3
9.96182,21.6
9.96182,21.9
9.96182,22.2
9.96182,22.5
9.96182,22.8
9.96182,23.1
9.96182,23.4
9.96182,23.7
9.96182,24
9.95873,24.3
9.95873,24.6
9.95873,24.9
9.95873,25.2
9.95873,25.5
9.95873,25.8
9.95873,26.1
9.95873,26.4
9.95873,26.7
9.95873,27
9.95873,27.3
9.95873,27.6
9.95873,27.9
9.95873,28.2
9.95873,28.5
9.95873,28.8
9.95873,29.1
9.95873,29.4
9.95873,29.7
9.95873,30
9.98771,30.3
9.98771,30.6
9.98771,30.9
9.98771,31.2
9.98771,31.5
9.98771,31.8
9.98771,32.1
9.98771,32.4
9.98771,32.7
9.98448,33
9.98448,33.3
9.98448,33.6
9.98448,33.9
9.98448,34.2
9.98448,34.5
9.98448,34.8
9.98448,35.1
9.98448,35.4
9.98448,35.7
9.98448,36
9.97994,36.3
9.97994,36.6
9.97994,36.9
9.97994,37.2
9.97994,37.5
9.97994,37.8
9.97994,38.1
9.97994,38.4
9.97994,38.7
9.97403,39
9.97403,39.3
9.97403,39.6
9.97403,39.9
9.97403,40.2
9.97403,40.5
9.97403,40.8
9.97403,41.1
9.97403,41.4
9.97403,41.7
9.96642,42
9.96642,42.3
9.96642,42.6
9.96642,42.9
9.96642,43.2
9.96642,43.5
9.96642,43.8
9.96642,44.1
9.96642,44.4
9.96642,44.7
9.96642,45
9.95666,45.3
9.95666,45.6
9.95666,45.9
9.95666,46.2
9.95666,46.5
9.95666,46.8
9.95666,47.1
9.95666,47.4
9.95666,47.7
9.94425,48
9.94425,48.3
9.94425,48.6
9.94425,48.9
9.94425,49.2
9.94425,49.5
9.94425,49.8
9.94425,50.1
9.94425,50.4
9.94425,50.7
9.92859,51
9.92859,51.3
9.92859,51.6
9.92859,51.9
9.92859,52.2
9.92859,52.5
9.92859,52.8
9.92859,53.1
9.92859,53.4
9.92859,53.7
9.92859,54
9.90896,54.3
9.90896,54.6
9.90896,54.9
9.90896,55.2
9.90896,55.5
9.90896,55.8
9.90896,56.1
9.90896,56.4
9.90896,56.7
9.90896,57
9.88457,57.3
9.88457,57.6
9.88457,57.9
9.88457,58.2
9.88457,58.5
9.88457,58.8
9.88457,59.1
9.88457,59.4
9.88457,59.7
9.85444,60
9.85444,60.3
9.85444,60.6
9.85444,60.9
9.85444,61.2
9.85444,61.5
9.85444,61.8
9.85444,62.1
9.85444,62.4
9.85444,62.7
9.81745,63
9.81745,63.3
9.81745,63.6
9.81745,63.9
9.81745,64.2
9.81745,64.5
9.81745,64.8
9.81745,65.1
9.81745,65.4
9.81745,65.7
9.77225,66
9.77225,66.3
9.77225,66.6
9.77225,66.9
9.77225,67.2
9.77225,67.5
9.77225,67.8
9.77225,68.1
9.77225,68.4
9.77225,68.7
9.77225,69
9.71723,69.3
9.71723,69.6
9.71723,69.9
9.71723,70.2
9.71723,70.5
9.71723,70.8
9.71723,71.1
9.71723,71.4
9.71723,71.7
9.65039,72
9.65039,72.3
9.65039,72.6
9.65039,72.9
9.65039,73.2
9.65039,73.5
9.65039,73.8
9.65039,74.1
9.65039,74.4
9.65039,74.7
9.56937,75
9.56937,75.3
9.56937,75.6
9.56937,75.9
9.56937,76.2
9.56937,76.5
9.56937,76.8
9.56937,77.1
9.56937,77.4
9.56937,77.7
9.56937,78
9.47173,78.3
9.47173,78.6
9.47173,78.9
9.47173,79.2
9.47173,79.5
9.47173,79.8
9.47173,80.1
9.47173,80.4
9.47173,80.7
9.47173,81
9.355,81.3
9.355,81.6
9.355,81.9
9.355,82.2
9.355,82.5
9.355,82.8
9.355,83.1
9.355,83.4
9.355,83.7
9.21712,84
9.21712,84.3
9.21712,84.6
9.21712,84.9
9.21712,85.2
9.21712,85.5
9.21712,85.8
9.21712,86.1
9.21712,86.4
9.21712,86.7
9.05606,87
9.05606,87.3
9.05606,87.6
9.05606,87.9
9.05606,88.2
9.05606,88.5
9.05606,88.8
9.05606,89.1
9.05606,89.4
9.05606,89.7
8.85774,90
8.85774,90.3
8.85774,90.6
8.85774,90.9
8.85774,91.2
8.85774,91.5
8.85774,91.8
8.85774,92.1
8.85774,92.4
8.85774,92.7
8.85774,93
8.59123,93.3
8.59123,93.6
8.59123,93.9
8.59123,94.2
8.59123,94.5
8.59123,94.8
8.59123,95.1
8.59123,95.4
8.59123,95.7
8.24517,96
8.24517,96.3
8.24517,96.6
8.24517,96.9
8.24517,97.2
8.24517,97.5
8.24517,97.8
8.24517,98.1
8.24517,98.4
8.24517,98.7
7.74205,99
7.74205,99.3
7.74205,99.6
7.74205,99.9
7.74205,100.2
7.74205,100.5
7.74205,100.8
7.74205,101.1
7.74205,101.4
7.74205,101.7
7.74205,102
7.38369,102.3
7.38369,102.6
7.38369,102.9
7.38369,103.2
7.38369,103.5
7.38369,103.8
7.38369,104.1
7.38369,104.4
7.38369,104.7
7.38369,105
7.14363,105.3
7.14363,105.6
7.14363,105.9
7.14363,106.2
7.14363,106.5
7.14363,106.8
7.14363,107.1
7.14363,107.4
7.14363,107.7
6.92387,108
6.92387,108.3
6.92387,108.6
6.92387,108.9
6.92387,109.2
6.92387,109.5
6.92387,109.8
6.92387,110.1
6.92387,110.4
6.92387,110.7
6.7247,111
6.7247,111.3
6.7247,111.6
6.7247,111.9
6.7247,112.2
6.7247,112.5
6.7247,112.8
6.7247,113.1
6.7247,113.4
6.7247,113.7
6.54617,114
6.54617,114.3
6.54617,114.6
6.54617,114.9
6.54617,115.2
6.54617,115.5
6.54617,115.8
6.54617,116.1
6.54617,116.4
6.54617,116.7
6.54617,117
6.38882,117.3
6.38882,117.6
6.38882,117.9
6.38882,118.2
6.38882,118.5
6.38882,118.8
6.38882,119.1
6.38882,119.4
6.38882,119.7
6.25248,120
6.25248,120.3
6.25248,120.6
6.25248,120.9
6.25248,121.2
6.25248,121.5
6.25248,121.8
6.25248,122.1
6.25248,122.4
6.25248,122.7
6.13659,123
6.13659,123.3
6.13659,123.6
6.13659,123.9
6.13659,124.2
6.13659,124.5
6.13659,124.8
6.13659,125.1
6.13659,125.4
6.13659,125.7
6.13659,126
6.04055,126.3
6.04055,126.6
6.04055,126.9
6.04055,127.2
6.04055,127.5
6.04055,127.8
6.04055,128.1
6.04055,128.4
6.04055,128.7
6.04055,129
5.96334,129.3
