V_Magnitude,arc_length
nan,0
nan,0.300003
nan,0.600006
nan,0.899994
nan,1.2
nan,1.5
nan,1.8
nan,2.10001
nan,2.39999
nan,2.7
nan,3
nan,3.3
nan,3.60001
9.95895,3.89999
9.95895,4.2
9.95895,4.5
9.95895,4.8
9.95895,5.10001
9.95895,5.39999
9.95895,5.7
9.95895,6
9.95016,6.3
9.95016,6.60001
9.95016,6.89999
9.95016,7.2
9.95016,7.5
9.95016,7.8
9.95016,8.10001
9.95016,8.39999
9.95016,8.7
9.95016,9
9.95016,9.3
9.95016,9.60001
9.95016,9.89999
9.95016,10.2
9.95016,10.5
9.95016,10.8
9.95016,11.1
9.95016,11.4
9.95016,11.7
9.95016,12
9.95016,12.3
9.95016,12.6
9.95016,12.9
9.95016,13.2
9.95016,13.5
9.95016,13.8
9.95016,14.1
9.95016,14.4
9.95016,14.7
9.95016,15
9.95016,15.3
9.95016,15.6
nan,15.9
nan,16.2
nan,16.5
nan,16.8
nan,17.1
nan,17.4
nan,17.7
nan,18
nan,18.3
nan,18.6
nan,18.9
nan,19.2
nan,19.5
nan,19.8
nan,20.1
nan,20.4
nan,20.7
nan,21
nan,21.3
nan,21.6
nan,21.9
nan,22.2
nan,22.5
nan,22.8
nan,23.1
nan,23.4
nan,23.7
nan,24
nan,24.3
nan,24.6
nan,24.9
nan,25.2
nan,25.5
nan,25.8
nan,26.1
nan,26.4
nan,26.7
nan,27
nan,27.3
nan,27.6
9.95016,27.9
9.95016,28.2
9.95016,28.5
9.95016,28.8
9.95016,29.1
9.95016,29.4
9.95016,29.7
9.95016,30
9.9102,30.3
9.9102,30.6
9.9102,30.9
9.9102,31.2
9.9102,31.5
9.9102,31.8
9.9102,32.1
9.9102,32.4
9.9102,32.7
9.9102,33
9.9102,33.3
9.9102,33.6
9.9102,33.9
9.9102,34.2
9.9102,34.5
9.9102,34.8
9.9102,35.1
9.9102,35.4
9.9102,35.7
9.9102,36
9.9102,36.3
9.9102,36.6
9.9102,36.9
9.9102,37.2
9.9102,37.5
9.9102,37.8
9.9102,38.1
9.9102,38.4
nan,38.7
nan,39
nan,39.3
nan,39.6
nan,39.9
nan,40.2
nan,40.5
nan,40.8
nan,41.1
nan,41.4
nan,41.7
nan,42
nan,42.3
nan,42.6
nan,42.9
nan,43.2
nan,43.5
nan,43.8
nan,44.1
nan,44.4
nan,44.7
nan,45
nan,45.3
nan,45.6
nan,45.9
nan,46.2
nan,46.5
nan,46.8
nan,47.1
nan,47.4
nan,47.7
nan,48
nan,48.3
nan,48.6
nan,48.9
nan,49.2
nan,49.5
nan,49.8
nan,50.1
nan,50.4
nan,50.7
nan,51
nan,51.3
nan,51.6
nan,51.9
nan,52.2
nan,52.5
nan,52.8
nan,53.1
nan,53.4
nan,53.7
nan,54
nan,54.3
nan,54.6
nan,54.9
nan,55.2
nan,55.5
nan,55.8
nan,56.1
nan,56.4
nan,56.7
nan,57
nan,57.3
nan,57.6
nan,57.9
nan,58.2
nan,58.5
nan,58.8
nan,59.1
nan,59.4
nan,59.7
nan,60
nan,60.3
nan,60.6
nan,60.9
nan,61.2
nan,61.5
nan,61.8
nan,62.1
nan,62.4
nan,62.7
nan,63
nan,63.3
nan,63.6
nan,63.9
nan,64.2
nan,64.5
nan,64.8
nan,65.1
nan,65.4
nan,65.7
nan,66
nan,66.3
nan,66.6
9.58533,66.9
9.58533,67.2
9.58533,67.5
9.58533,67.8
9.58533,68.1
9.58533,68.4
9.58533,68.7
9.58533,69
9.58533,69.3
9.58533,69.6
9.58533,69.9
9.58533,70.2
9.58533,70.5
9.58533,70.8
9.58533,71.1
9.58533,71.4
9.58533,71.7
9.58533,72
9.58533,72.3
9.58533,72.6
9.58533,72.9
9.58533,73.2
9.58533,73.5
9.58533,73.8
9.58533,74.1
9.58533,74.4
9.58533,74.7
9.58533,75
9.58533,75.3
9.58533,75.6
9.58533,75.9
9.58533,76.2
9.58533,76.5
9.58533,76.8
9.58533,77.1
9.58533,77.4
9.58533,77.7
9.28985,78
9.28985,78.3
9.28985,78.6
9.28985,78.9
9.28985,79.2
9.28985,79.5
9.28985,79.8
nan,80.1
nan,80.4
nan,80.7
nan,81
nan,81.3
nan,81.6
nan,81.9
nan,82.2
nan,82.5
nan,82.8
9.28985,83.1
9.28985,83.4
9.28985,83.7
9.01958,84
9.01958,84.3
9.01958,84.6
9.01958,84.9
9.01958,85.2
9.01958,85.5
9.01958,85.8
nan,86.1
nan,86.4
nan,86.7
nan,87
nan,87.3
nan,87.6
nan,87.9
nan,88.2
nan,88.5
nan,88.8
9.01958,89.1
9.01958,89.4
9.01958,89.7
9.01958,90
8.6591,90.3
8.6591,90.6
8.6591,90.9
8.6591,91.2
8.6591,91.5
8.6591,91.8
nan,92.1
nan,92.4
nan,92.7
nan,93
nan,93.3
nan,93.6
nan,93.9
nan,94.2
nan,94.5
nan,94.8
8.6591,95.1
8.6591,95.4
8.6591,95.7
8.16859,96
8.16859,96.3
8.16859,96.6
8.16859,96.9
8.16859,97.2
8.16859,97.5
8.16859,97.8
nan,98.1
nan,98.4
nan,98.7
nan,99
nan,99.3
nan,99.6
nan,99.9
nan,100.2
nan,100.5
nan,100.8
8.16859,101.1
8.16859,101.4
8.16859,101.7
8.16859,102
7.64118,102.3
7.64118,102.6
7.64118,102.9
7.64118,103.2
7.64118,103.5
7.64118,103.8
nan,104.1
nan,104.4
nan,104.7
nan,105
nan,105.3
nan,105.6
nan,105.9
nan,106.2
nan,106.5
nan,106.8
7.64118,107.1
7.64118,107.4
7.64118,107.7
7.25513,108
7.25513,108.3
7.25513,108.6
7.25513,108.9
7.25513,109.2
7.25513,109.5
7.25513,109.8
nan,110.1
nan,110.4
nan,110.7
nan,111
nan,111.3
nan,111.6
nan,111.9
nan,112.2
nan,112.5
nan,112.8
7.25513,113.1
7.25513,113.4
7.25513,113.7
7.25513,114
6.92932,114.3
6.92932,114.6
6.92932,114.9
6.92932,115.2
6.92932,115.5
6.92932,115.8
nan,116.1
nan,116.4
nan,116.7
nan,117
nan,117.3
nan,117.6
nan,117.9
nan,118.2
nan,118.5
nan,118.8
6.92932,119.1
6.92932,119.4
6.92932,119.7
6.6705,120
6.6705,120.3
6.6705,120.6
6.6705,120.9
6.6705,121.2
6.6705,121.5
6.6705,121.8
nan,122.1
nan,122.4
nan,122.7
nan,123
nan,123.3
nan,123.6
nan,123.9
nan,124.2
nan,124.5
nan,124.8
6.6705,125.1
6.6705,125.4
6.6705,125.7
6.6705,126
6.47969,126.3
6.47969,126.6
6.47969,126.9
6.47969,127.2
6.47969,127.5
6.47969,127.8
nan,128.1
nan,128.4
nan,128.7
nan,129
nan,129.3
nan,129.6
nan,129.9
nan,130.2
nan,130.5
nan,130.8
6.47969,131.1
6.47969,131.4
6.47969,131.7
6.35498,132
6.35498,132.3
6.35498,132.6
6.35498,132.9
6.35498,133.2
6.35498,133.5
6.35498,133.8
nan,134.1
nan,134.4
nan,134.7
nan,135
nan,135.3
nan,135.6
nan,135.9
nan,136.2
nan,136.5
nan,136.8
6.35498,137.1
6.35498,137.4
6.35498,137.7
6.35498,138
6.29178,138.3
6.29178,138.6
6.29178,138.9
6.29178,139.2
6.29178,139.5
6.29178,139.8
nan,140.1
nan,140.4
nan,140.7
nan,141
nan,141.3
nan,141.6
nan,141.9
nan,142.2
nan,142.5
nan,142.8
6.29178,143.1
6.29178,143.4
6.29178,143.7
6.28396,144
6.28396,144.3
6.28396,144.6
6.28396,144.9
nan,145.2
nan,145.5
nan,145.8
nan,146.1
nan,146.4
nan,146.7
nan,147
nan,147.3
nan,147.6
nan,147.9
6.28396,148.2
6.28396,148.5
6.28396,148.8
6.28396,149.1
6.28396,149.4
6.28396,149.7
6.28396,150
6.32499,150.3
6.32499,150.6
6.32499,150.9
nan,151.2
nan,151.5
nan,151.8
nan,152.1
nan,152.4
nan,152.7
nan,153
nan,153.3
nan,153.6
nan,153.9
6.32499,154.2
6.32499,154.5
6.32499,154.8
6.32499,155.1
6.32499,155.4
6.32499,155.7
6.40975,156
6.40975,156.3
6.40975,156.6
6.40975,156.9
6.40975,157.2
6.40975,157.5
6.40975,157.8
nan,158.1
nan,158.4
nan,158.7
nan,159
nan,159.3
nan,159.6
nan,159.9
nan,160.2
nan,160.5
nan,160.8
6.40975,161.1
6.40975,161.4
6.40975,161.7
6.40975,162
6.53532,162.3
6.53532,162.6
6.53532,162.9
6.53532,163.2
6.53532,163.5
6.53532,163.8
nan,164.1
nan,164.4
nan,164.7
nan,165
nan,165.3
nan,165.6
nan,165.9
nan,166.2
nan,166.5
nan,166.8
6.53532,167.1
6.53532,167.4
6.53532,167.7
6.70073,168
6.70073,168.3
6.70073,168.6
6.70073,168.9
6.70073,169.2
6.70073,169.5
6.70073,169.8
nan,170.1
nan,170.4
nan,170.7
nan,171
nan,171.3
nan,171.6
nan,171.9
nan,172.2
nan,172.5
